Date,Open_CRM,High_CRM,Low_CRM,Close_CRM,Volume_CRM,AdjClose_CRM
2014-11-04,63.439999,63.959999,62.990002,63.57,2655100,63.57
2014-11-05,63.970001,64.010002,61.59,61.91,4971200,61.91
2014-11-06,62.080002,63.450001,61.880001,63.09,3994200,63.09
2014-11-07,63.610001,64.639999,63.450001,63.970001,3639500,63.970001
2014-11-10,64.050003,64.540001,63.130001,64.449997,2566000,64.449997
2014-11-11,64.449997,64.739998,63.450001,64.059998,2026800,64.059998
2014-11-12,63.790001,63.93,63.259998,63.77,2364100,63.77
2014-11-13,64.0,64.220001,62.73,63.16,3025200,63.16
2014-11-14,63.189999,63.93,62.380001,63.91,3150500,63.91
2014-11-17,63.73,64.099998,62.450001,62.509998,3333700,62.509998
2014-11-18,62.509998,63.32,62.16,62.470001,4129800,62.470001
2014-11-19,62.18,62.209999,60.450001,61.02,7256300,61.02
2014-11-20,59.43,59.68,57.810001,58.299999,15530100,58.299999
2014-11-21,58.889999,59.580002,57.66,58.189999,10342700,58.189999
2014-11-24,57.290001,58.240002,56.799999,58.09,9220200,58.09
2014-11-25,57.970001,59.380001,57.939999,59.34,5876100,59.34
2014-11-26,59.279999,59.419998,58.91,59.23,3257300,59.23
2014-11-28,57.93,60.290001,57.75,59.869999,4469000,59.869999
2014-12-01,59.09,59.810001,58.959999,59.080002,4355400,59.080002
2014-12-02,59.48,59.73,58.580002,59.25,4931200,59.25
2014-12-03,59.419998,59.580002,58.540001,58.880001,3056600,58.880001
2014-12-04,58.66,59.119999,58.540001,58.950001,3087400,58.950001
2014-12-05,58.98,59.139999,58.560001,58.849998,2732000,58.849998
2014-12-08,58.540001,58.73,56.150002,56.41,5057200,56.41
2014-12-09,55.040001,56.200001,53.439999,56.139999,6117600,56.139999
2014-12-10,56.110001,56.75,55.060001,55.32,5642900,55.32
2014-12-11,55.5,56.34,55.16,55.48,4179300,55.48
2014-12-12,55.310001,55.709999,54.91,55.07,4477700,55.07
2014-12-15,55.419998,56.16,55.110001,55.41,4892200,55.41
2014-12-16,54.360001,55.669998,53.75,53.790001,5924300,53.790001
2014-12-17,54.189999,57.25,54.09,57.0,9257500,57.0
2014-12-18,58.490002,59.580002,58.310001,59.330002,11006500,59.330002
2014-12-19,59.610001,60.48,59.310001,59.860001,9550200,59.860001
2014-12-22,59.93,60.490002,59.450001,59.860001,5297700,59.860001
2014-12-23,60.0,60.860001,59.880001,60.5,3404100,60.5
2014-12-24,60.529999,60.880001,60.09,60.330002,2309500,60.330002
2014-12-26,60.459999,61.099998,59.919998,60.799999,3454700,60.799999
2014-12-29,60.41,60.93,60.02,60.349998,2632500,60.349998
2014-12-30,60.259998,60.82,59.009998,59.43,2777100,59.43
2014-12-31,59.389999,60.23,59.220001,59.310001,3232000,59.310001
2015-01-02,59.900002,60.43,58.509998,59.240002,2796400,59.240002
2015-01-05,58.599998,59.240002,57.84,58.169998,3688200,58.169998
2015-01-06,58.18,58.549999,56.549999,57.200001,3174900,57.200001
2015-01-07,57.790001,57.950001,56.599998,56.93,4284300,56.93
2015-01-08,57.330002,58.779999,57.169998,58.59,3756600,58.59
2015-01-09,59.16,59.5,57.77,58.16,6869500,58.16
2015-01-12,58.450001,58.599998,57.52,57.73,2716900,57.73
2015-01-13,58.389999,59.540001,57.299999,57.970001,3503900,57.970001
2015-01-14,57.41,57.779999,56.380001,57.25,3098400,57.25
2015-01-15,57.150002,57.540001,55.029999,55.110001,4811500,55.110001
2015-01-16,54.959999,56.720001,54.950001,56.639999,3236700,56.639999
2015-01-20,56.700001,57.560001,55.810001,57.290001,6521500,57.290001
2015-01-21,56.990002,58.549999,56.84,57.709999,3544900,57.709999
2015-01-22,57.91,58.459999,57.169998,58.0,5481500,58.0
2015-01-23,58.0,59.049999,57.779999,58.619999,3887300,58.619999
2015-01-26,58.529999,59.98,58.400002,59.779999,4753200,59.779999
2015-01-27,58.900002,58.900002,57.240002,57.790001,4150700,57.790001
2015-01-28,58.43,58.5,56.349998,56.349998,4683400,56.349998
2015-01-29,56.799999,58.259998,55.849998,58.099998,4424500,58.099998
2015-01-30,57.5,58.139999,56.369999,56.450001,3817400,56.450001
2015-02-02,56.880001,57.330002,55.450001,57.279999,3495200,57.279999
2015-02-03,57.66,58.66,57.23,58.610001,3474200,58.610001
2015-02-04,58.439999,59.470001,58.209999,58.990002,3013100,58.990002
2015-02-05,58.950001,59.48,58.759998,59.259998,2513000,59.259998
2015-02-06,59.259998,59.700001,58.650002,59.169998,2694000,59.169998
2015-02-09,58.849998,58.98,57.82,57.98,2879000,57.98
2015-02-10,58.5,59.169998,58.220001,58.790001,3093700,58.790001
2015-02-11,58.82,59.099998,58.610001,58.799999,3413700,58.799999
2015-02-12,59.290001,61.34,59.220001,61.259998,5284800,61.259998
2015-02-13,61.25,63.220001,61.099998,62.849998,5107000,62.849998
2015-02-17,62.580002,62.610001,61.830002,62.07,3447200,62.07
2015-02-18,62.400002,63.0,62.290001,63.0,2534300,63.0
2015-02-19,62.59,63.029999,62.009998,62.810001,2320900,62.810001
2015-02-20,62.779999,63.75,62.509998,63.740002,3473800,63.740002
2015-02-23,63.139999,63.439999,62.369999,62.580002,4671400,62.580002
2015-02-24,62.580002,62.59,61.549999,61.93,5481700,61.93
2015-02-25,61.93,63.049999,61.889999,62.869999,7634000,62.869999
2015-02-26,70.019997,71.0,69.0,70.239998,20370800,70.239998
2015-02-27,69.849998,70.410004,69.010002,69.379997,8289500,69.379997
2015-03-02,67.379997,68.800003,66.669998,68.459999,8124800,68.459999
2015-03-03,68.059998,68.379997,66.709999,66.949997,4945600,66.949997
2015-03-04,66.379997,66.400002,64.720001,64.879997,9121300,64.879997
2015-03-05,65.120003,66.059998,64.760002,65.589996,3925200,65.589996
2015-03-06,65.18,65.940002,64.279999,64.559998,3861800,64.559998
2015-03-09,64.75,65.669998,64.32,65.480003,4567800,65.480003
2015-03-10,64.779999,64.959999,63.759998,63.759998,3941700,63.759998
2015-03-11,64.0,64.5,63.650002,63.68,3374100,63.68
2015-03-12,63.66,65.349998,63.66,64.949997,3809500,64.949997
2015-03-13,64.809998,65.419998,63.900002,64.599998,3248000,64.599998
2015-03-16,64.949997,66.470001,64.910004,66.43,4538900,66.43
