Date,Open_UHS,High_UHS,Low_UHS,Close_UHS,Volume_UHS,AdjClose_UHS
2013-07-30,70.0,70.360001,69.099998,70.099998,775200,69.459296
2013-07-31,70.110001,70.400002,69.889999,69.949997,935200,69.310665
2013-08-01,70.410004,70.75,69.669998,69.809998,1234800,69.171946
2013-08-02,69.540001,70.589996,69.309998,70.360001,995200,69.716922
2013-08-05,70.290001,71.730003,69.849998,71.360001,644600,70.707782
2013-08-06,71.290001,71.290001,70.279999,70.709999,603500,70.063721
2013-08-07,70.379997,70.949997,69.849998,70.690002,633200,70.043907
2013-08-08,70.489998,71.25,70.400002,70.970001,509300,70.321347
2013-08-09,70.940002,72.739998,70.940002,71.870003,656600,71.213123
2013-08-12,71.489998,71.889999,71.059998,71.620003,431000,70.965408
2013-08-13,71.830002,72.339996,71.190002,71.779999,339200,71.123941
2013-08-14,72.150002,72.43,71.639999,72.019997,282900,71.361746
2013-08-15,71.239998,71.32,69.779999,69.849998,494100,69.211581
2013-08-16,70.0,70.209999,69.309998,69.800003,407200,69.162042
2013-08-19,69.900002,70.709999,69.290001,69.309998,461300,68.676516
2013-08-20,69.220001,70.419998,69.089996,70.190002,344900,69.548477
2013-08-21,70.129997,70.129997,68.470001,68.940002,580400,68.309902
2013-08-22,68.959999,70.050003,68.739998,69.650002,379900,69.013412
2013-08-23,69.730003,70.709999,69.440002,70.419998,474500,69.776371
2013-08-26,70.349998,71.349998,70.220001,71.209999,318100,70.559151
2013-08-27,70.589996,70.639999,69.309998,69.309998,550600,68.676516
2013-08-28,69.309998,69.860001,68.949997,68.989998,271200,68.359441
2013-08-29,68.919998,69.540001,68.260002,69.220001,267200,68.637087
2013-08-30,69.139999,69.309998,67.5,67.75,486000,67.179465
2013-09-03,68.589996,69.0,67.099998,67.870003,670500,67.298457
2013-09-04,67.82,68.459999,67.660004,67.970001,334300,67.397613
2013-09-05,68.07,68.68,67.830002,68.260002,401600,67.685172
2013-09-06,68.529999,69.019997,66.919998,68.459999,678100,67.883485
2013-09-09,68.32,68.43,67.5,67.599998,619600,67.030727
2013-09-10,68.0,69.690002,68.0,69.669998,530400,69.083294
2013-09-11,69.669998,70.949997,69.339996,70.440002,481000,69.846814
2013-09-12,70.199997,70.730003,69.540001,70.68,394500,70.084791
2013-09-13,70.910004,72.139999,70.669998,71.699997,634400,71.096198
2013-09-16,72.5,72.519997,71.260002,71.489998,504900,70.887968
2013-09-17,71.589996,72.830002,71.43,72.830002,466600,72.216687
2013-09-18,72.800003,73.779999,72.360001,73.650002,472000,73.029781
2013-09-19,73.970001,74.190002,73.370003,73.510002,468000,72.890961
2013-09-20,74.0,74.209999,72.650002,73.370003,940700,72.752141
2013-09-23,73.370003,73.459999,72.25,73.389999,453200,72.771969
2013-09-24,73.330002,74.089996,72.93,72.989998,392400,72.375336
2013-09-25,73.160004,73.93,72.669998,73.690002,418000,73.069445
2013-09-26,73.68,74.870003,73.480003,74.269997,307200,73.644555
2013-09-27,73.779999,74.730003,73.559998,74.290001,559900,73.664391
2013-09-30,73.550003,75.349998,73.349998,74.989998,696500,74.358493
2013-10-01,75.449997,76.790001,74.970001,75.669998,1064700,75.032767
2013-10-02,75.18,76.910004,75.099998,76.68,918400,76.034264
2013-10-03,76.400002,77.550003,76.290001,77.029999,929100,76.381315
2013-10-04,77.160004,78.199997,76.93,77.660004,546800,77.006015
2013-10-07,79.139999,79.139999,76.900002,76.900002,536400,76.252413
2013-10-08,77.199997,78.330002,75.830002,75.879997,549100,75.240998
2013-10-09,76.120003,76.589996,75.300003,76.010002,547800,75.369908
2013-10-10,76.800003,77.199997,76.32,76.459999,508700,75.816115
2013-10-11,76.290001,77.730003,76.150002,77.690002,874900,77.035761
2013-10-14,77.099998,77.709999,76.730003,77.540001,445700,76.887022
2013-10-15,77.510002,77.879997,76.809998,77.029999,425600,76.381315
2013-10-16,77.589996,78.050003,77.279999,77.610001,590100,76.956433
2013-10-17,77.57,79.239998,77.370003,79.129997,685400,78.463629
2013-10-18,79.790001,80.889999,79.199997,80.360001,674200,79.683274
2013-10-21,80.349998,80.790001,79.889999,80.400002,547600,79.722938
2013-10-22,80.68,81.279999,79.779999,80.059998,598400,79.385798
2013-10-23,79.660004,79.900002,78.82,79.860001,438500,79.187485
2013-10-24,79.860001,80.269997,78.379997,78.989998,677500,78.324809
2013-10-25,79.029999,80.010002,77.769997,79.75,523100,79.078411
2013-10-28,79.57,80.0,78.690002,78.690002,610100,78.02734
2013-10-29,78.57,80.059998,78.330002,79.449997,900100,78.780934
2013-10-30,80.290001,81.68,78.669998,80.720001,1141800,80.040243
2013-10-31,80.699997,81.690002,80.510002,80.559998,815900,79.881587
2013-11-01,80.629997,81.199997,79.669998,80.779999,545300,80.099736
2013-11-04,80.940002,81.529999,80.470001,81.419998,694400,80.734345
2013-11-05,81.68,81.68,80.029999,80.239998,602400,79.564282
2013-11-06,80.410004,81.019997,79.580002,80.129997,474600,79.455208
2013-11-07,80.309998,80.440002,77.239998,77.309998,772200,76.658956
2013-11-08,78.339996,80.059998,77.519997,80.0,1026600,79.326305
2013-11-11,80.07,81.150002,79.860001,80.720001,533300,80.040243
2013-11-12,80.43,80.959999,79.870003,80.760002,615100,80.079907
2013-11-13,80.849998,81.099998,79.800003,80.379997,659800,79.703103
2013-11-14,80.379997,80.82,80.139999,80.75,583200,80.06999
2013-11-15,80.949997,81.040001,79.199997,79.400002,963400,78.73136
2013-11-18,79.43,79.900002,78.830002,79.510002,890400,78.840434
2013-11-19,79.620003,79.809998,78.800003,79.110001,726700,78.443801
2013-11-20,79.150002,80.0,79.150002,79.790001,715100,79.118075
2013-11-21,79.5,80.309998,79.370003,79.889999,763600,79.217231
2013-11-22,80.300003,80.330002,79.470001,79.769997,818500,79.098239
2013-11-25,80.139999,81.559998,79.639999,81.529999,1200600,80.84342
2013-11-26,82.080002,82.980003,81.410004,82.089996,4447900,81.398701
2013-11-27,82.529999,82.800003,81.839996,82.209999,508200,81.567376
2013-11-29,82.489998,82.919998,82.129997,82.43,265000,81.785657
2013-12-02,82.760002,83.489998,81.959999,82.279999,765600,81.636828
2013-12-03,82.279999,83.129997,81.940002,83.089996,570200,82.440494
2013-12-04,82.599998,82.970001,82.040001,82.809998,535000,82.162684
2013-12-05,82.559998,82.739998,82.029999,82.209999,552800,81.567376
2013-12-06,83.029999,83.830002,82.730003,82.910004,573800,82.261909
2013-12-09,82.809998,83.160004,81.82,83.0,645200,82.351201
2013-12-10,82.68,83.489998,82.440002,83.120003,571600,82.470266
2013-12-11,83.449997,83.449997,80.720001,80.839996,598200,80.208082
2013-12-12,80.639999,81.379997,80.349998,80.93,659000,80.297383
2013-12-13,81.290001,81.779999,80.5,81.330002,420300,80.694257
2013-12-16,81.470001,81.940002,80.809998,80.919998,408300,80.287459
2013-12-17,80.660004,81.279999,79.720001,80.25,861500,79.622698
2013-12-18,80.519997,81.0,79.389999,80.529999,708000,79.900508
2013-12-19,80.360001,80.440002,78.459999,79.019997,1760500,78.402309
2013-12-20,78.559998,79.650002,78.110001,79.400002,1844700,78.779344
2013-12-23,79.559998,79.959999,79.349998,79.68,494000,79.057154
2013-12-24,79.809998,80.989998,79.529999,80.529999,261000,79.900508
2013-12-26,80.900002,81.089996,80.169998,80.589996,297000,79.960036
2013-12-27,80.589996,80.82,79.919998,80.150002,392200,79.523481
2013-12-30,80.190002,80.550003,79.389999,80.18,416900,79.553245
2013-12-31,80.440002,81.57,80.089996,81.260002,339600,80.624805
2014-01-02,80.839996,81.889999,80.199997,80.620003,544000,79.989808
2014-01-03,80.709999,82.459999,80.709999,81.510002,645800,80.872851
2014-01-06,81.639999,81.940002,79.650002,80.510002,603900,79.880667
2014-01-07,80.93,83.349998,80.93,82.82,670700,82.172608
2014-01-08,82.809998,83.43,82.160004,83.040001,422500,82.39089
2014-01-09,83.510002,84.489998,83.059998,84.440002,726500,83.779948
2014-01-10,84.199997,85.550003,83.940002,85.519997,581800,84.8515
2014-01-13,85.550003,85.949997,83.720001,83.989998,816300,83.333461
2014-01-14,84.32,85.779999,84.199997,85.690002,529500,85.020176
2014-01-15,85.480003,86.010002,85.230003,85.800003,502100,85.129317
2014-01-16,85.669998,86.080002,85.059998,85.260002,810800,84.593537
2014-01-17,85.07,85.620003,84.639999,85.279999,376700,84.613378
2014-01-21,85.519997,85.75,82.720001,83.889999,933000,83.234244
2014-01-22,83.889999,84.370003,83.290001,83.809998,573300,83.154867
2014-01-23,83.410004,83.739998,82.419998,82.910004,662900,82.261909
2014-01-24,82.519997,82.519997,80.279999,80.32,825100,79.69215
2014-01-27,80.279999,80.699997,78.980003,79.68,733700,79.057154
2014-01-28,79.809998,81.209999,79.400002,80.660004,697400,80.029496
2014-01-29,79.959999,81.0,79.57,79.980003,387000,79.354812
2014-01-30,80.379997,81.099998,80.029999,80.900002,511000,80.267618
2014-01-31,80.18,82.989998,79.620003,82.019997,695300,81.378859
2014-02-03,81.68,82.25,78.510002,78.68,988700,78.06497
2014-02-04,79.029999,79.580002,77.660004,78.190002,874700,77.578803
2014-02-05,78.190002,78.639999,77.120003,78.199997,564200,77.588719
2014-02-06,78.269997,78.650002,77.849998,78.220001,591300,77.608567
2014-02-07,78.410004,78.879997,77.830002,78.639999,605400,78.025282
2014-02-10,78.470001,80.169998,77.970001,80.120003,688000,79.493717
2014-02-11,80.050003,80.900002,79.309998,80.870003,417100,80.237854
2014-02-12,80.620003,81.989998,80.040001,80.279999,749500,79.652462
2014-02-13,79.370003,82.449997,78.550003,82.029999,530300,81.388782
2014-02-14,82.239998,83.379997,82.110001,82.5,439900,81.85511
2014-02-18,82.68,83.559998,82.220001,83.419998,468500,82.767916
2014-02-19,83.07,83.440002,81.970001,82.0,513200,81.359018
