Date,Open_APH,High_APH,Low_APH,Close_APH,Volume_APH,AdjClose_APH
2014-06-04,96.169998,96.459999,95.900002,96.099998,555200,47.035266
2014-06-05,96.230003,97.120003,96.080002,96.870003,1233200,47.412137
2014-06-06,97.279999,97.93,97.080002,97.589996,1283000,47.764532
2014-06-09,97.209999,98.75,96.980003,98.199997,1041200,48.161796
2014-06-10,97.849998,97.970001,97.449997,97.660004,712200,47.896958
2014-06-11,97.32,98.209999,97.010002,98.059998,619200,48.093134
2014-06-12,97.120003,97.870003,96.68,97.010002,713800,47.578168
2014-06-13,97.110001,97.360001,96.519997,96.82,556000,47.484982
2014-06-16,96.650002,97.120003,96.18,96.480003,484600,47.318232
2014-06-17,96.230003,97.139999,95.989998,96.75,726400,47.450651
2014-06-18,96.75,97.050003,95.809998,97.0,1265400,47.573262
2014-06-19,97.099998,97.599998,96.699997,97.410004,934000,47.774347
2014-06-20,97.699997,97.879997,97.239998,97.480003,1247000,47.808678
2014-06-23,97.43,97.629997,97.0,97.099998,537000,47.622306
2014-06-24,96.940002,97.209999,96.040001,96.169998,731200,47.166191
2014-06-25,96.0,96.410004,95.620003,96.129997,924200,47.146573
2014-06-26,96.139999,96.190002,94.93,95.57,707400,46.871924
2014-06-27,95.330002,96.529999,95.330002,96.269997,817200,47.215235
2014-06-30,96.230003,96.419998,95.800003,96.339996,813000,47.249566
2014-07-01,96.940002,97.360001,96.300003,97.349998,1549200,47.744917
2014-07-02,97.160004,97.309998,96.849998,97.199997,657200,47.67135
2014-07-03,97.339996,97.919998,97.25,97.82,420000,47.975428
2014-07-07,97.809998,98.099998,97.199997,97.830002,700400,47.980333
2014-07-08,97.800003,97.980003,96.790001,97.68,908400,47.906766
2014-07-09,97.800003,97.870003,96.75,97.279999,553000,47.710586
2014-07-10,96.389999,97.139999,96.160004,96.660004,474200,47.406512
2014-07-11,96.879997,97.029999,96.300003,96.589996,558600,47.372177
2014-07-14,97.18,97.650002,96.879997,96.959999,469000,47.553644
2014-07-15,96.919998,97.32,96.25,96.5,863400,47.328039
2014-07-16,96.75,97.050003,96.089996,96.5,675400,47.328039
2014-07-17,96.300003,96.589996,94.470001,94.660004,1469400,46.42562
2014-07-18,94.93,96.489998,94.93,96.370003,1267800,47.264282
2014-07-21,96.120003,96.599998,95.830002,96.339996,646800,47.249566
2014-07-22,96.860001,97.209999,96.480003,97.209999,967800,47.676255
2014-07-23,97.610001,99.779999,96.849998,96.980003,2305000,47.563455
2014-07-24,97.150002,98.32,97.150002,97.709999,897800,47.921478
2014-07-25,97.379997,97.860001,96.639999,97.599998,1269000,47.867529
2014-07-28,97.470001,98.059998,96.870003,97.610001,974000,47.872434
2014-07-29,97.510002,97.860001,97.150002,97.169998,1407000,47.656637
2014-07-30,97.980003,98.080002,97.239998,97.410004,1137000,47.774347
2014-07-31,99.25,99.25,96.150002,96.169998,1392800,47.166191
