Date,Open_AAP,High_AAP,Low_AAP,Close_AAP,Volume_AAP,AdjClose_AAP
2014-10-27,142.160004,144.520004,141.860001,144.460007,464800,144.132085
2014-10-28,145.0,146.229996,143.75,145.779999,664300,145.449081
2014-10-29,146.330002,146.330002,143.949997,145.029999,490800,144.700783
2014-10-30,145.0,146.0,143.960007,145.710007,461400,145.379247
2014-10-31,147.25,147.25,145.710007,146.960007,731400,146.62641
2014-11-03,148.160004,149.300003,147.110001,147.759995,891500,147.424582
2014-11-04,147.089996,148.75,147.089996,148.440002,1029200,148.103046
2014-11-05,149.270004,149.839996,148.559998,149.369995,1416400,149.030928
2014-11-06,138.5,147.5,137.169998,145.559998,3398600,145.229579
2014-11-07,145.880005,146.570007,141.300003,141.850006,1321000,141.528009
2014-11-10,142.229996,145.179993,141.800003,145.169998,1164700,144.840465
2014-11-11,145.0,145.389999,144.229996,144.979996,524800,144.650894
2014-11-12,144.710007,146.5,144.710007,146.270004,579800,145.937974
2014-11-13,146.449997,147.270004,145.410004,146.0,519400,145.668582
2014-11-14,146.800003,147.610001,144.350006,144.809998,563200,144.481281
2014-11-17,145.210007,147.029999,145.210007,145.830002,557800,145.49897
2014-11-18,145.440002,146.520004,145.440002,146.240005,736500,145.908043
2014-11-19,146.0,146.149994,144.080002,144.740005,813100,144.411448
2014-11-20,144.210007,146.25,144.080002,145.190002,485000,144.860424
2014-11-21,146.059998,146.419998,145.440002,145.490005,522400,145.159746
2014-11-24,145.740005,146.169998,144.119995,145.580002,585900,145.249538
2014-11-25,146.0,146.440002,143.110001,145.449997,1001700,145.119828
2014-11-26,145.860001,146.380005,144.75,145.710007,644000,145.379247
2014-11-28,146.0,148.059998,145.669998,147.080002,683000,146.746133
2014-12-01,146.410004,147.770004,146.130005,147.070007,1220300,146.736161
2014-12-02,146.710007,148.869995,146.550003,148.479996,1022700,148.142949
2014-12-03,148.440002,152.149994,148.360001,152.039993,1046300,151.694865
2014-12-04,152.419998,153.529999,150.660004,153.25,800500,152.902125
2014-12-05,154.210007,154.369995,152.380005,154.179993,909200,153.830007
2014-12-08,154.889999,154.889999,152.889999,153.679993,817200,153.331142
2014-12-09,152.009995,158.649994,152.009995,158.25,1242000,157.890775
2014-12-10,158.160004,159.119995,156.809998,157.240005,658000,156.883073
2014-12-11,157.339996,161.270004,157.339996,159.160004,807400,158.798713
2014-12-12,158.919998,161.990005,158.919998,160.25,857500,159.886235
2014-12-15,161.699997,163.360001,160.289993,161.009995,1343500,160.644505
2014-12-16,161.0,161.259995,156.979996,157.009995,1159200,156.653584
2014-12-17,157.279999,159.699997,155.869995,159.550003,497800,159.187827
2014-12-18,161.050003,161.559998,159.289993,160.740005,505300,160.375128
2014-12-19,160.710007,161.210007,159.009995,159.850006,1017900,159.487149
2014-12-22,160.220001,160.660004,158.789993,159.440002,507300,159.078076
2014-12-23,160.509995,162.520004,160.270004,161.190002,524900,160.884651
2014-12-24,161.440002,162.399994,160.220001,160.229996,152400,159.926463
2014-12-26,160.279999,161.25,159.860001,160.0,307500,159.696903
2014-12-29,160.179993,162.130005,159.740005,161.220001,417700,160.914593
2014-12-30,161.210007,162.080002,160.0,160.029999,340000,159.726845
2014-12-31,160.639999,162.690002,159.259995,159.279999,468100,158.978266
2015-01-02,160.850006,162.5,157.470001,158.559998,509800,158.259629
2015-01-05,158.169998,158.990005,155.899994,156.470001,803600,156.173592
2015-01-06,156.559998,157.289993,153.899994,156.360001,872300,156.063799
2015-01-07,157.610001,160.610001,157.059998,159.720001,1326800,159.417435
2015-01-08,163.360001,163.460007,161.0,161.119995,1025700,160.814777
2015-01-09,159.949997,161.619995,158.389999,160.300003,912100,159.996338
2015-01-12,160.130005,160.410004,158.220001,158.929993,756700,158.628923
2015-01-13,159.619995,160.720001,152.330002,153.759995,824700,153.468719
2015-01-14,151.899994,153.160004,149.380005,150.830002,719400,150.544276
2015-01-15,150.830002,151.860001,147.830002,148.020004,926200,147.739602
2015-01-16,148.0,150.199997,147.199997,150.0,776800,149.715847
2015-01-20,150.039993,152.75,148.449997,152.660004,941800,152.370811
2015-01-21,152.490005,154.089996,152.070007,153.350006,711200,153.059507
2015-01-22,154.399994,157.619995,153.899994,156.539993,738800,156.243451
2015-01-23,156.990005,158.050003,154.639999,155.779999,685500,155.484896
2015-01-26,155.75,159.25,155.75,159.229996,614500,158.928358
2015-01-27,158.089996,159.529999,156.869995,159.029999,540800,158.72874
2015-01-28,159.490005,161.130005,158.520004,159.300003,1149800,158.998232
2015-01-29,159.690002,160.979996,157.580002,160.259995,561300,159.956405
2015-01-30,159.559998,160.979996,157.399994,159.0,830500,158.698798
2015-02-02,159.0,159.470001,153.289993,155.970001,820100,155.674539
2015-02-03,157.210007,157.350006,154.470001,157.070007,572600,156.772461
2015-02-04,156.759995,157.270004,154.520004,156.470001,745000,156.173592
2015-02-05,157.740005,160.660004,156.789993,160.160004,1294200,159.856604
2015-02-06,160.399994,162.429993,160.220001,162.0,863800,161.693115
2015-02-09,161.619995,161.759995,159.070007,160.740005,1064200,160.435507
2015-02-10,160.820007,163.229996,160.789993,162.899994,684300,162.591404
2015-02-11,163.5,165.0,161.539993,162.389999,1206300,162.082375
2015-02-12,155.0,157.070007,150.949997,151.419998,4046100,151.133155
2015-02-13,151.020004,151.830002,149.199997,150.160004,2116900,149.875547
2015-02-17,149.910004,151.380005,148.860001,150.229996,1564300,149.945407
2015-02-18,149.649994,153.600006,148.5,153.220001,1789200,152.929748
2015-02-19,153.179993,154.949997,152.460007,153.270004,1149700,152.979657
2015-02-20,152.639999,155.139999,151.820007,155.059998,928900,154.766259
2015-02-23,155.589996,157.210007,154.710007,157.179993,853700,156.882238
2015-02-24,157.350006,157.699997,155.300003,156.399994,643200,156.103717
2015-02-25,156.5,156.570007,155.5,156.25,397300,155.954007
2015-02-26,156.25,156.710007,155.229996,155.380005,493200,155.08566
2015-02-27,155.740005,156.240005,154.630005,154.929993,718500,154.6365
2015-03-02,154.710007,155.410004,153.929993,154.770004,909100,154.476815
2015-03-03,155.389999,156.600006,153.5,154.470001,718100,154.17738
2015-03-04,153.970001,153.970001,150.440002,150.830002,869800,150.544276
2015-03-05,151.820007,153.229996,150.929993,152.520004,753200,152.231077
2015-03-06,151.710007,152.960007,148.470001,149.070007,1711100,148.787616
2015-03-09,149.0,149.509995,147.75,148.289993,839300,148.009079
2015-03-10,146.800003,147.649994,145.100006,146.529999,1291400,146.252419
2015-03-11,146.970001,147.720001,145.610001,147.330002,703900,147.050907
2015-03-12,146.880005,150.229996,146.880005,149.320007,778500,149.037142
2015-03-13,149.199997,150.399994,146.580002,149.610001,674600,149.326586
2015-03-16,149.960007,151.229996,149.490005,151.119995,679900,150.83372
2015-03-17,151.020004,151.690002,149.830002,150.0,531900,149.715847
2015-03-18,149.559998,149.710007,147.009995,149.029999,715600,148.807207
2015-03-19,149.059998,149.419998,147.419998,149.190002,912500,148.966972
2015-03-20,149.399994,152.289993,148.479996,151.910004,1563000,151.682907
2015-03-23,151.059998,152.220001,149.490005,149.509995,1037000,149.286485
2015-03-24,148.899994,151.910004,148.149994,151.009995,688500,150.784243
2015-03-25,150.869995,152.179993,148.619995,148.729996,714700,148.507653
2015-03-26,147.630005,150.330002,146.699997,149.410004,828200,149.186644
2015-03-27,149.669998,152.130005,149.350006,151.389999,858800,151.16368
2015-03-30,152.289993,153.270004,151.199997,152.080002,608200,151.852651
2015-03-31,151.800003,152.570007,149.479996,149.690002,887500,149.466224
2015-04-01,147.779999,148.850006,143.449997,143.75,2423300,143.535102
2015-04-02,143.949997,145.649994,143.020004,143.979996,1530000,143.764754
2015-04-06,143.770004,147.259995,143.339996,145.729996,1150900,145.512138
2015-04-07,146.050003,147.100006,145.789993,146.710007,797000,146.490683
2015-04-08,146.960007,148.839996,146.360001,148.809998,770700,148.587535
2015-04-09,148.309998,149.229996,146.990005,148.050003,646900,147.828677
2015-04-10,148.669998,150.529999,147.570007,150.199997,587900,149.975456
2015-04-13,149.970001,150.75,148.919998,149.179993,376600,148.956977
2015-04-14,148.770004,150.190002,147.630005,149.050003,731700,148.827182
2015-04-15,149.449997,150.399994,148.559998,149.580002,578300,149.356388
