Date,Open_MLM,High_MLM,Low_MLM,Close_MLM,Volume_MLM,AdjClose_MLM
2014-09-17,129.089996,130.300003,128.050003,128.399994,775600,126.061127
2014-09-18,129.369995,129.369995,127.489998,128.289993,759200,125.95313
2014-09-19,128.320007,128.830002,127.190002,128.429993,1512800,126.090579
2014-09-22,128.300003,129.869995,127.900002,128.610001,795900,126.267308
2014-09-23,127.75,130.119995,127.269997,130.0,974900,127.631988
2014-09-24,129.449997,132.309998,129.199997,132.25,1299500,129.841003
2014-09-25,132.289993,132.399994,130.160004,130.630005,678600,128.250517
2014-09-26,130.509995,131.550003,129.839996,130.729996,555300,128.348686
2014-09-29,129.690002,130.460007,128.919998,129.690002,498100,127.327637
2014-09-30,130.009995,130.529999,128.350006,128.940002,584100,126.591299
2014-10-01,128.649994,128.649994,124.510002,125.400002,1038100,123.115781
2014-10-02,124.989998,125.309998,121.800003,123.43,1157800,121.181664
2014-10-03,123.779999,124.449997,122.699997,122.889999,598300,120.651499
2014-10-06,123.0,123.480003,120.0,120.919998,1063900,118.717383
2014-10-07,120.07,120.330002,117.989998,118.059998,1012700,115.909478
2014-10-08,117.790001,118.790001,114.650002,118.690002,1377500,116.528007
2014-10-09,119.029999,120.410004,115.660004,115.849998,1305700,113.739735
2014-10-10,115.580002,116.080002,112.07,112.099998,1068200,110.058043
2014-10-13,112.0,113.379997,107.040001,107.269997,939900,105.316022
2014-10-14,107.940002,108.779999,106.279999,107.360001,1226100,105.404387
2014-10-15,105.220001,109.910004,105.089996,109.300003,1920900,107.309051
2014-10-16,107.120003,113.93,107.080002,113.269997,1290700,111.20673
2014-10-17,115.019997,118.330002,114.629997,117.709999,1462000,115.565855
2014-10-20,117.18,119.699997,116.349998,119.599998,889600,117.421427
2014-10-21,119.970001,121.57,119.970001,121.059998,574300,118.854832
2014-10-22,121.050003,122.279999,119.239998,119.300003,774800,117.126897
2014-10-23,119.800003,122.209999,118.489998,121.480003,954500,119.267187
2014-10-24,121.790001,123.150002,120.540001,122.93,627600,120.690772
2014-10-27,121.129997,121.559998,119.389999,120.620003,1613900,118.422852
2014-10-28,114.860001,119.440002,111.769997,116.900002,3408500,114.770612
2014-10-29,117.010002,117.150002,112.120003,115.07,2695400,112.973945
2014-10-30,114.419998,116.709999,114.129997,115.400002,960600,113.297935
2014-10-31,116.699997,117.339996,115.779999,116.919998,935200,114.790245
2014-11-03,117.75,118.190002,116.620003,117.489998,875000,115.349861
2014-11-04,117.260002,117.5,115.360001,117.120003,1173600,114.986606
2014-11-05,118.269997,120.599998,116.989998,120.480003,1195100,118.285403
2014-11-06,120.910004,122.860001,120.629997,122.809998,857700,120.572955
2014-11-07,122.980003,124.330002,122.739998,123.809998,634700,121.554739
2014-11-10,123.449997,124.980003,123.449997,124.839996,527600,122.565976
2014-11-11,124.650002,126.339996,124.610001,125.57,577400,123.282682
2014-11-12,125.260002,127.110001,124.790001,126.32,578600,124.019021
2014-11-13,126.230003,126.989998,124.059998,124.629997,554500,122.359802
2014-11-14,124.239998,126.629997,124.239998,126.470001,388900,124.16629
2014-11-17,126.18,126.68,124.980003,125.779999,468300,123.488856
2014-11-18,126.0,127.57,125.779999,127.5,606700,125.177527
2014-11-19,127.830002,128.479996,126.32,128.190002,558500,125.85496
2014-11-20,127.449997,129.580002,126.860001,128.639999,457500,126.29676
2014-11-21,130.429993,131.389999,129.740005,130.220001,741900,127.847982
2014-11-24,130.850006,130.850006,129.910004,130.270004,470700,127.897074
2014-11-25,130.559998,131.710007,127.18,127.349998,916600,125.030257
2014-11-26,127.370003,128.160004,124.07,125.519997,840100,123.621884
2014-11-28,125.239998,125.239998,119.949997,120.040001,613400,118.224756
2014-12-01,119.550003,119.720001,115.360001,115.669998,1164700,113.920837
2014-12-02,114.760002,118.660004,114.550003,118.599998,1029100,116.80653
2014-12-03,118.209999,121.949997,118.209999,119.940002,914300,118.12627
2014-12-04,119.830002,121.0,119.209999,119.599998,434200,117.791408
2014-12-05,119.25,120.099998,117.57,117.980003,503700,116.19591
2014-12-08,117.379997,117.769997,113.059998,113.779999,983700,112.059418
2014-12-09,113.410004,114.790001,112.529999,114.760002,701300,113.024602
2014-12-10,114.370003,114.540001,110.260002,111.529999,1042100,109.843443
2014-12-11,112.080002,113.739998,111.0,111.449997,1147100,109.76465
2014-12-12,110.730003,111.639999,107.410004,107.410004,848400,105.78575
2014-12-15,107.93,109.120003,104.75,104.809998,796200,103.225061
2014-12-16,103.669998,108.199997,103.089996,106.599998,1302200,104.987994
2014-12-17,107.129997,111.349998,106.419998,111.260002,935700,109.577529
2014-12-18,111.730003,115.440002,111.730003,115.400002,940600,113.654923
2014-12-19,116.220001,119.519997,115.18,119.260002,1601600,117.456553
2014-12-22,119.739998,119.739998,113.599998,114.010002,1272300,112.285943
2014-12-23,114.449997,114.459999,111.470001,111.790001,771700,110.099513
2014-12-24,112.25,112.989998,110.949997,111.690002,446900,110.001027
2014-12-26,111.970001,113.18,111.43,111.489998,341700,109.804047
2014-12-29,111.43,112.389999,110.870003,111.949997,452700,110.257089
2014-12-30,111.68,111.949997,110.0,110.900002,518800,109.222972
2014-12-31,111.550003,112.629997,110.32,110.32,389400,108.651741
2015-01-02,111.629997,112.669998,109.629997,110.849998,478100,109.173725
2015-01-05,109.910004,110.279999,105.769997,106.330002,671600,104.72208
2015-01-06,106.339996,107.940002,104.150002,105.309998,799500,103.7175
2015-01-07,105.989998,108.779999,105.300003,107.769997,743400,106.140299
2015-01-08,108.870003,112.349998,108.690002,111.910004,755200,110.217701
2015-01-09,112.07,112.529999,109.239998,109.779999,706600,108.119906
2015-01-12,110.260002,110.400002,107.400002,110.089996,529600,108.425216
2015-01-13,111.239998,112.25,107.120003,108.75,653900,107.105483
2015-01-14,107.0,107.5,105.360001,106.660004,789200,105.047091
2015-01-15,106.660004,107.779999,104.529999,104.580002,575900,102.998543
2015-01-16,104.620003,108.059998,104.620003,107.940002,675100,106.307734
2015-01-20,108.730003,109.019997,107.190002,108.529999,520100,106.888809
2015-01-21,108.040001,110.910004,108.040001,110.349998,644200,108.681286
2015-01-22,110.599998,111.360001,108.870003,110.959999,903100,109.282062
2015-01-23,110.639999,111.25,108.879997,109.830002,373200,108.169153
2015-01-26,110.139999,112.599998,108.239998,112.43,584600,110.729834
2015-01-27,110.949997,112.230003,109.160004,111.57,505500,109.882839
2015-01-28,111.790001,112.209999,107.400002,107.550003,600700,105.923632
2015-01-29,107.339996,110.800003,105.32,110.019997,929000,108.356275
2015-01-30,109.190002,109.940002,106.730003,107.739998,622900,106.110754
2015-02-02,107.980003,113.809998,107.980003,113.339996,898800,111.626069
2015-02-03,113.650002,115.739998,113.059998,115.199997,636300,113.457943
2015-02-04,114.190002,116.800003,114.0,114.980003,758400,113.241276
2015-02-05,115.639999,119.199997,114.900002,117.599998,1138000,115.821652
2015-02-06,117.510002,119.059998,117.360001,117.970001,878600,116.186059
2015-02-09,118.07,120.440002,117.220001,119.160004,1070100,117.358067
2015-02-10,119.160004,138.089996,119.160004,137.240005,3942400,135.164663
2015-02-11,137.610001,144.660004,137.520004,140.089996,2848000,137.971556
2015-02-12,140.130005,142.699997,138.479996,142.080002,1957400,139.931469
2015-02-13,142.960007,146.210007,142.509995,145.229996,1559300,143.033828
2015-02-17,144.789993,145.589996,143.0,143.669998,1198200,141.497421
2015-02-18,143.5,146.070007,143.199997,144.949997,985500,142.758064
2015-02-19,144.0,145.699997,143.809998,145.0,826500,142.807311
2015-02-20,144.940002,144.940002,142.149994,143.240005,634400,141.073931
2015-02-23,143.240005,144.589996,142.149994,143.429993,702100,141.261045
2015-02-24,143.710007,144.669998,142.539993,143.289993,508100,141.123163
2015-02-25,143.600006,144.240005,141.800003,142.490005,545400,140.335272
2015-02-26,143.919998,144.529999,140.869995,141.630005,703400,139.880947
2015-02-27,141.990005,143.380005,141.779999,142.330002,491600,140.572299
2015-03-02,142.330002,143.490005,141.380005,143.350006,541700,141.579707
2015-03-03,142.0,143.850006,142.0,143.0,572000,141.234023
2015-03-04,142.199997,143.529999,141.429993,142.830002,641600,141.066125
2015-03-05,143.449997,143.720001,142.0,142.460007,449300,140.700699
2015-03-06,141.5,142.820007,139.630005,140.690002,528000,138.952553
2015-03-09,140.550003,141.460007,139.479996,139.869995,449700,138.142673
2015-03-10,138.729996,139.639999,136.919998,137.619995,672100,135.920459
2015-03-11,138.169998,139.699997,136.830002,138.889999,517900,137.174779
2015-03-12,140.309998,143.669998,140.110001,143.490005,864900,141.717978
2015-03-13,143.199997,143.449997,140.119995,141.809998,687500,140.058717
2015-03-16,142.25,143.600006,141.550003,142.369995,572300,140.611799
2015-03-17,141.639999,143.149994,140.669998,142.350006,452500,140.592057
2015-03-18,141.880005,143.25,139.020004,142.490005,704600,140.730327
2015-03-19,141.25,142.339996,137.800003,138.679993,790500,136.967366
2015-03-20,139.940002,141.610001,138.399994,138.5,812500,136.789596
2015-03-23,138.5,141.350006,138.5,139.619995,566800,137.89576
2015-03-24,139.919998,141.639999,139.830002,140.690002,375800,138.952553
2015-03-25,141.229996,141.899994,138.679993,139.960007,701200,138.231573
2015-03-26,139.940002,143.300003,139.320007,142.119995,826100,140.364886
2015-03-27,141.820007,143.0,140.610001,141.729996,618700,139.979703
2015-03-30,142.740005,142.910004,141.809998,142.839996,584800,141.075996
2015-03-31,141.850006,142.440002,139.759995,139.800003,661100,138.073545
2015-04-01,140.039993,140.190002,136.5,138.100006,847000,136.394542
2015-04-02,137.979996,139.770004,136.880005,137.360001,573000,135.663675
2015-04-06,137.130005,139.479996,136.410004,139.339996,737700,137.619219
2015-04-07,138.779999,138.940002,135.809998,135.809998,703100,134.132814
2015-04-08,135.860001,136.839996,134.100006,136.190002,994900,134.508126
2015-04-09,136.210007,137.270004,135.380005,137.009995,346500,135.317991
2015-04-10,136.759995,138.610001,136.759995,138.539993,382000,136.829096
2015-04-13,138.339996,139.199997,137.699997,138.0,448400,136.295771
2015-04-14,138.169998,139.020004,136.759995,138.190002,583900,136.483427
2015-04-15,138.809998,143.300003,138.529999,142.179993,683500,140.424143
2015-04-16,141.940002,142.160004,140.710007,142.009995,612000,140.256244
