Date,Open_TSCO,High_TSCO,Low_TSCO,Close_TSCO,Volume_TSCO,AdjClose_TSCO
2013-10-07,68.010002,68.300003,66.760002,66.790001,826700,65.173865
2013-10-08,66.739998,66.889999,65.470001,65.489998,908100,63.905318
2013-10-09,65.639999,65.910004,64.169998,64.68,743600,63.11492
2013-10-10,65.629997,65.879997,65.25,65.830002,621100,64.237095
2013-10-11,66.029999,66.080002,65.0,65.849998,694300,64.256608
2013-10-14,65.599998,65.800003,65.110001,65.709999,522000,64.119996
2013-10-15,65.660004,65.839996,64.800003,64.980003,544500,63.407664
2013-10-16,65.25,67.089996,65.0,66.690002,814700,65.076286
2013-10-17,66.559998,66.849998,66.010002,66.440002,800200,64.832335
2013-10-18,66.769997,67.470001,66.480003,67.190002,515900,65.564187
2013-10-21,67.459999,68.879997,67.230003,68.849998,1156600,67.184016
2013-10-22,69.5,70.0,68.32,68.540001,1304900,66.881519
2013-10-23,68.519997,68.610001,67.349998,68.389999,964100,66.735147
2013-10-24,70.0,74.25,69.019997,73.940002,3596500,72.150855
2013-10-25,74.059998,74.910004,73.080002,73.220001,1482500,71.448276
2013-10-28,73.339996,73.690002,71.510002,71.849998,1377900,70.111424
2013-10-29,71.790001,72.629997,71.309998,72.25,793600,70.501746
2013-10-30,72.260002,72.669998,71.120003,71.540001,872000,69.808927
2013-10-31,71.32,71.769997,70.589996,71.349998,1044900,69.623523
2013-11-01,70.900002,71.5,70.699997,71.120003,914300,69.399092
2013-11-04,70.459999,71.699997,70.459999,70.989998,1032700,69.272233
2013-11-05,70.699997,71.209999,70.050003,70.760002,966500,69.047803
2013-11-06,70.949997,71.959999,70.550003,71.389999,952300,69.662556
2013-11-07,71.559998,71.940002,69.919998,70.040001,870300,68.345223
2013-11-08,70.059998,71.580002,70.029999,71.370003,886000,69.643043
2013-11-11,71.5,71.940002,70.949997,71.779999,529300,70.043118
2013-11-12,71.400002,72.860001,71.139999,72.339996,726600,70.589565
2013-11-13,71.970001,73.510002,71.879997,73.5,1086500,71.7215
2013-11-14,73.330002,73.870003,72.75,73.349998,620700,71.701947
2013-11-15,73.459999,74.099998,73.010002,74.089996,546900,72.425318
2013-11-18,74.449997,74.599998,72.730003,72.970001,576900,71.330487
2013-11-19,73.080002,73.529999,71.480003,71.519997,842600,69.913062
2013-11-20,71.709999,72.290001,70.959999,71.309998,567800,69.707781
2013-11-21,71.82,72.660004,71.220001,72.639999,518100,71.0079
2013-11-22,72.209999,73.269997,72.209999,73.190002,522200,71.545545
2013-11-25,73.580002,73.970001,73.080002,73.5,601000,71.848578
2013-11-26,73.400002,74.5,73.360001,74.349998,771400,72.679478
2013-11-27,74.260002,74.290001,73.57,74.040001,389200,72.376446
2013-11-29,74.330002,74.550003,73.169998,73.209999,331400,71.565093
2013-12-02,73.25,74.470001,72.57,73.690002,521000,72.034311
2013-12-03,73.400002,73.760002,72.309998,73.389999,1380600,71.741049
2013-12-04,73.040001,73.349998,71.629997,72.720001,833300,71.086104
2013-12-05,72.580002,72.860001,71.720001,72.650002,937300,71.017677
2013-12-06,72.739998,73.389999,72.0,72.760002,1018400,71.125207
2013-12-09,72.769997,73.32,72.300003,72.5,799900,70.871046
2013-12-10,72.010002,72.629997,71.449997,71.739998,1066300,70.12812
2013-12-11,71.68,72.440002,71.279999,71.449997,878200,69.844635
2013-12-12,71.25,71.739998,70.879997,71.360001,705800,69.756661
2013-12-13,71.360001,72.629997,71.290001,72.029999,866200,70.411605
2013-12-16,73.029999,73.959999,72.510002,73.589996,1394500,71.936552
2013-12-17,73.5,73.980003,73.019997,73.370003,1331900,71.721501
2013-12-18,73.779999,74.800003,72.830002,74.720001,1335200,73.041168
2013-12-19,74.260002,74.879997,73.339996,74.07,945300,72.405771
2013-12-20,74.18,75.5,74.080002,74.919998,6624100,73.236671
2013-12-23,77.0,77.0,75.599998,75.949997,1353300,74.243527
2013-12-24,76.0,76.400002,75.349998,76.080002,390900,74.370611
2013-12-26,76.279999,76.910004,76.110001,76.120003,450100,74.409714
2013-12-27,76.089996,76.330002,74.730003,75.540001,727200,73.842743
2013-12-30,74.93,76.470001,74.93,76.230003,640400,74.517243
2013-12-31,76.720001,78.169998,76.660004,77.580002,1444400,75.836909
2014-01-02,77.599998,77.720001,76.129997,76.800003,855300,75.074435
2014-01-03,76.559998,76.870003,76.089996,76.480003,743700,74.761626
2014-01-06,77.0,77.389999,75.349998,75.459999,675600,73.764539
2014-01-07,75.900002,76.610001,75.639999,75.93,733500,74.22398
2014-01-08,76.529999,76.639999,75.379997,76.349998,780100,74.634542
2014-01-09,76.669998,76.940002,76.080002,76.699997,589300,74.976676
2014-01-10,76.970001,77.199997,76.279999,76.580002,582200,74.859377
2014-01-13,76.620003,76.809998,73.089996,73.400002,1452400,71.750826
2014-01-14,73.470001,74.599998,72.610001,74.349998,982100,72.679478
2014-01-15,74.400002,75.529999,74.190002,75.18,762300,73.490831
2014-01-16,75.07,75.470001,73.709999,74.309998,852700,72.640376
2014-01-17,75.599998,75.730003,73.839996,74.169998,2061000,72.503522
2014-01-21,74.389999,74.910004,72.790001,72.910004,2668200,71.271838
2014-01-22,73.099998,73.529999,71.379997,73.160004,2519500,71.516221
2014-01-23,72.349998,73.290001,71.199997,71.870003,30011000,70.255204
2014-01-24,71.269997,71.580002,70.110001,70.18,2576600,68.603173
2014-01-27,70.620003,70.919998,70.120003,70.459999,1641700,68.876881
2014-01-28,70.410004,70.949997,70.25,70.68,1306200,69.091939
2014-01-29,70.75,70.860001,68.720001,69.0,2386300,67.449685
2014-01-30,65.120003,68.160004,64.629997,67.459999,5139700,65.944286
2014-01-31,65.93,66.889999,65.870003,66.510002,2098300,65.015634
2014-02-03,66.260002,66.330002,63.029999,63.419998,2282900,61.995057
2014-02-04,63.77,64.150002,63.32,63.549999,1608700,62.122137
2014-02-05,62.91,63.869999,62.060001,63.740002,1627300,62.30787
2014-02-06,63.93,65.199997,63.77,65.099998,1627100,63.63731
2014-02-07,65.220001,66.650002,65.019997,66.519997,1648600,65.025404
2014-02-10,66.599998,66.75,65.769997,66.019997,948300,64.536638
2014-02-11,65.959999,66.440002,65.580002,65.669998,1272800,64.194503
2014-02-12,65.5,66.150002,65.5,66.0,998100,64.51709
2014-02-13,65.610001,66.760002,65.32,66.18,1148400,64.693046
2014-02-14,64.129997,66.220001,64.07,65.699997,1265800,64.223828
2014-02-18,65.669998,66.629997,65.419998,66.529999,1230800,65.035181
2014-02-19,66.269997,66.730003,65.529999,65.620003,1232700,64.145631
2014-02-20,65.779999,66.0,65.019997,65.769997,1313400,64.419877
2014-02-21,65.910004,66.739998,65.230003,66.400002,1190700,65.036949
2014-02-24,66.410004,67.489998,66.050003,66.769997,916400,65.399349
2014-02-25,67.989998,69.599998,67.870003,69.199997,1915900,67.779466
2014-02-26,69.360001,70.93,68.779999,70.459999,1799200,69.013603
2014-02-27,70.959999,70.959999,69.790001,70.32,1013600,68.876478
2014-02-28,70.32,71.279999,70.07,70.559998,944800,69.111549
2014-03-03,69.93,70.290001,69.0,70.150002,1037300,68.709969
2014-03-04,70.959999,72.209999,70.959999,71.739998,1301200,70.267326
2014-03-05,71.440002,72.489998,71.440002,71.739998,851100,70.267326
2014-03-06,72.099998,72.709999,71.25,72.290001,702200,70.806039
2014-03-07,72.589996,72.989998,72.010002,72.720001,802700,71.227212
2014-03-10,72.68,72.870003,72.089996,72.550003,880100,71.060704
2014-03-11,72.709999,72.849998,72.050003,72.120003,937300,70.639531
2014-03-12,71.839996,72.120003,71.419998,72.089996,621700,70.61014
2014-03-13,72.239998,72.639999,70.599998,70.870003,696400,69.41519
2014-03-14,70.849998,71.870003,70.790001,71.059998,772900,69.601285
2014-03-17,71.510002,72.690002,71.220001,72.32,988900,70.835422
2014-03-18,72.629997,74.110001,72.449997,74.010002,1177000,72.490732
2014-03-19,73.989998,74.260002,72.940002,73.559998,968700,72.049965
2014-03-20,73.080002,74.110001,73.080002,74.07,635600,72.549498
2014-03-21,74.25,74.690002,73.610001,74.370003,2212100,72.843343
2014-03-24,74.529999,74.889999,72.139999,73.199997,1179500,71.697355
2014-03-25,73.730003,73.730003,71.699997,71.839996,1334800,70.365272
2014-03-26,71.980003,72.269997,70.379997,70.43,1036700,68.98422
2014-03-27,70.389999,70.879997,69.739998,70.239998,1074000,68.798118
2014-03-28,70.440002,71.489998,70.260002,70.769997,660400,69.317237
2014-03-31,70.07,70.940002,69.940002,70.629997,893700,69.180112
2014-04-01,70.779999,71.769997,70.669998,71.720001,830800,70.24774
2014-04-02,71.82,72.32,71.129997,72.260002,607700,70.776656
2014-04-03,72.989998,72.989998,70.739998,71.040001,741200,69.581699
