Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2013-12-11,119.330002,119.400002,116.410004,117.010002,706400,113.09903
2013-12-12,116.900002,117.440002,116.160004,117.050003,586000,113.137694
2013-12-13,117.0,118.550003,117.0,117.440002,654800,113.514657
2013-12-16,116.050003,119.190002,116.050003,118.800003,658900,114.829201
2013-12-17,118.720001,118.769997,117.040001,117.480003,664500,113.553321
2013-12-18,117.919998,120.889999,117.349998,120.800003,832500,116.762353
2013-12-19,120.410004,120.760002,118.93,120.599998,552300,116.569033
2013-12-20,121.300003,122.160004,120.230003,121.730003,1144100,117.661268
2013-12-23,122.25,122.629997,121.260002,122.279999,501300,118.192881
2013-12-24,122.040001,123.980003,121.959999,123.089996,447100,118.975805
2013-12-26,123.099998,123.959999,122.82,123.669998,352500,119.53642
2013-12-27,123.449997,124.099998,121.449997,122.040001,390500,118.166334
2013-12-30,122.040001,122.650002,121.25,122.330002,327400,118.44713
2013-12-31,122.879997,123.889999,122.699997,123.830002,508200,119.899518
2014-01-02,123.040001,123.209999,119.459999,120.0,800500,116.191084
2014-01-03,120.279999,121.709999,119.300003,119.769997,592400,115.968382
2014-01-06,119.93,120.209999,115.68,116.370003,1203900,112.676307
2014-01-07,116.760002,118.110001,116.370003,117.989998,972300,114.244882
2014-01-08,117.760002,118.419998,115.940002,117.089996,817100,113.373447
2014-01-09,117.360001,117.849998,115.239998,116.599998,1068200,112.899002
2014-01-10,116.599998,117.089996,114.639999,116.379997,1079400,112.685984
2014-01-13,116.32,117.620003,115.610001,116.010002,1232500,112.327733
2014-01-14,116.260002,118.169998,115.690002,117.949997,695600,114.20615
2014-01-15,118.220001,119.68,117.919998,119.160004,853400,115.37775
2014-01-16,117.339996,117.559998,116.220001,117.099998,921700,113.383132
2014-01-17,116.389999,117.43,116.309998,116.309998,932700,112.618206
2014-01-21,117.540001,117.830002,116.169998,117.169998,629300,113.45091
2014-01-22,117.690002,118.82,117.0,117.019997,874000,113.305669
2014-01-23,116.650002,117.849998,116.5,117.279999,1184700,113.557419
2014-01-24,103.010002,104.0,92.5,99.489998,14625300,96.332089
2014-01-27,100.379997,100.540001,98.220001,99.290001,2629700,96.138441
2014-01-28,100.040001,101.739998,100.040001,101.57,1677000,98.34607
2014-01-29,101.0,104.25,100.510002,102.07,2369700,98.8302
2014-01-30,102.379997,106.0,102.379997,105.529999,2020600,102.180375
2014-01-31,104.029999,106.099998,103.459999,105.589996,1819000,102.238468
2014-02-03,105.290001,106.18,100.040001,100.25,2443700,97.067968
2014-02-04,100.639999,102.589996,100.419998,101.07,1578600,97.861941
2014-02-05,100.75,101.040001,99.080002,99.919998,1257700,96.748441
2014-02-06,100.269997,101.580002,100.0,101.139999,1014200,97.929718
2014-02-07,101.93,103.089996,101.0,102.589996,958600,99.333691
2014-02-10,102.629997,102.779999,101.059998,101.709999,892800,98.481626
2014-02-11,101.339996,102.57,101.239998,102.110001,969300,98.868931
2014-02-12,102.209999,102.480003,100.300003,100.919998,1377700,97.7167
2014-02-13,99.589996,100.120003,98.199997,98.519997,2527600,95.392877
2014-02-14,98.620003,98.900002,95.040001,95.959999,3457000,92.914136
2014-02-18,93.910004,94.730003,88.559998,91.669998,6378700,88.760304
2014-02-19,92.18,93.5,90.889999,91.120003,2314800,88.227766
2014-02-20,91.220001,94.57,91.07,94.230003,2315000,91.239052
2014-02-21,94.870003,97.360001,94.330002,95.580002,2402400,92.5462
2014-02-24,95.349998,95.849998,94.470001,94.599998,1874200,91.597303
2014-02-25,94.489998,94.870003,92.550003,93.389999,2454400,90.425711
2014-02-26,93.230003,93.290001,91.449997,92.190002,2842800,89.263803
2014-02-27,91.709999,93.75,91.449997,93.25,1557500,90.290155
2014-02-28,93.099998,94.220001,92.480003,93.919998,1276800,90.938887
2014-03-03,93.449997,95.419998,92.940002,94.660004,1385800,91.655404
2014-03-04,96.239998,97.260002,96.0,97.029999,1242000,93.950173
2014-03-05,96.830002,97.529999,96.410004,96.779999,978300,93.708108
2014-03-06,96.919998,97.900002,96.75,97.550003,881500,94.727735
2014-03-07,98.160004,99.110001,97.0,98.370003,1503100,95.524011
2014-03-10,98.139999,99.199997,97.489998,99.160004,1667600,96.291156
2014-03-11,99.300003,101.050003,98.160004,100.230003,2285100,97.330199
2014-03-12,99.889999,102.239998,99.599998,101.239998,1989800,98.310973
2014-03-13,101.519997,101.879997,97.110001,97.910004,2631800,95.077321
2014-03-14,97.919998,98.330002,96.489998,96.599998,1633800,93.805216
2014-03-17,97.400002,99.080002,97.400002,98.480003,942800,95.630829
2014-03-18,98.82,100.129997,98.18,99.980003,1113700,97.087432
2014-03-19,100.07,100.730003,99.370003,99.839996,976200,96.951476
2014-03-20,99.290001,99.980003,98.309998,99.510002,783700,96.631029
