Date,Open_BXLT,High_BXLT,Low_BXLT,Close_BXLT,Volume_BXLT,AdjClose_BXLT
2015-09-28,32.369999,33.27,31.110001,31.16,4900500,30.995021
2015-09-29,31.120001,32.869999,30.700001,31.07,5301800,30.905498
2015-09-30,31.84,32.0,30.799999,31.51,4613500,31.343169
2015-10-01,31.030001,32.150002,30.709999,32.09,3758300,31.920098
2015-10-02,30.84,32.490002,30.77,32.439999,3431600,32.268243
2015-10-05,32.459999,32.650002,31.780001,32.360001,2311400,32.188669
2015-10-06,31.24,32.349998,30.51,31.26,4855300,31.094492
2015-10-07,31.360001,31.66,30.73,30.940001,4101300,30.776187
2015-10-08,30.51,31.370001,30.5,31.09,4739900,30.925392
2015-10-09,30.690001,31.530001,30.690001,31.030001,4712100,30.86571
2015-10-12,31.040001,31.75,31.02,31.190001,2975500,31.024863
2015-10-13,31.02,31.5,30.709999,30.77,4025000,30.607087
2015-10-14,30.75,31.299999,30.66,31.030001,2160500,30.86571
2015-10-15,31.555,33.490002,31.049999,33.369999,4941600,33.193319
2015-10-16,32.75,33.75,32.439999,32.959999,1600300,32.78549
2015-10-19,32.799999,33.459999,32.23,33.060001,1948500,32.884963
2015-10-20,32.700001,33.139999,31.9,32.09,2351600,31.920098
2015-10-21,32.450001,32.82,31.530001,31.73,3031200,31.562003
2015-10-22,31.809999,32.0,30.959999,31.360001,2615600,31.193963
2015-10-23,31.58,33.599998,31.5,33.41,4820000,33.233109
2015-10-26,33.369999,34.080002,32.889999,33.84,3528700,33.660832
2015-10-27,34.049999,34.93,33.779999,34.84,3353200,34.655538
2015-10-28,34.650002,36.0,34.34,35.970001,2304600,35.779556
2015-10-29,36.720001,36.720001,34.200001,34.450001,2394800,34.267603
2015-10-30,34.5,35.169998,34.34,34.459999,1918600,34.277549
2015-11-02,34.400002,35.174999,33.52,34.84,2944400,34.655538
2015-11-03,34.610001,34.709999,33.66,33.830002,2389100,33.650887
2015-11-04,34.119999,34.919998,33.27,34.52,2031800,34.337232
2015-11-05,34.52,35.07,34.0,34.27,1948500,34.088556
2015-11-06,33.919998,35.32,33.830002,35.110001,1939300,34.924109
2015-11-09,34.849998,34.860001,33.720001,34.349998,1858700,34.16813
2015-11-10,34.400002,34.799999,33.5,33.669998,1705600,33.49173
2015-11-11,33.639999,34.0,33.099998,33.689999,2061200,33.511625
2015-11-12,33.299999,33.689999,32.849998,33.25,2250600,33.073956
2015-11-13,33.169998,34.23,32.759998,33.790001,3282700,33.611098
2015-11-16,33.73,34.509998,33.07,34.48,1824000,34.297443
2015-11-17,34.380001,34.990002,33.869999,34.540001,2187300,34.357127
2015-11-18,34.32,34.689999,33.990002,34.439999,2313400,34.257654
2015-11-19,34.130001,34.540001,33.540001,34.48,2054000,34.297443
2015-11-20,35.099998,35.099998,33.66,34.330002,2670700,34.14824
2015-11-23,34.240002,34.299999,33.400002,33.529999,2304400,33.352472
2015-11-24,33.200001,37.5,32.400002,35.669998,7187800,35.481141
2015-11-25,35.880001,37.060001,35.009998,35.779999,4581200,35.590559
2015-11-27,35.810001,36.064999,35.25,35.650002,1342900,35.46125
2015-11-30,35.610001,35.650002,34.259998,34.380001,7499000,34.197974
2015-12-01,34.5,35.060001,33.939999,34.630001,2651700,34.44665
2015-12-02,34.610001,36.369999,34.57,35.630001,3303800,35.513139
2015-12-03,35.630001,35.919998,34.709999,34.98,4067600,34.86527
2015-12-04,35.200001,35.970001,34.5,35.830002,2606500,35.712484
2015-12-07,35.75,35.919998,34.860001,35.73,3991000,35.61281
2015-12-08,35.459999,37.060001,35.25,36.959999,3701300,36.838775
2015-12-09,36.830002,38.799999,36.830002,37.209999,4481300,37.087955
2015-12-10,37.240002,38.18,36.936001,37.68,2217800,37.556415
2015-12-11,37.07,39.200001,36.533001,37.040001,6580700,36.918515
2015-12-14,37.509998,38.5,37.150002,38.16,4121800,38.03484
2015-12-15,38.709999,38.75,37.0,37.099998,3222000,36.978315
2015-12-16,37.240002,38.080002,36.830002,37.599998,4834000,37.476676
2015-12-17,37.509998,37.834999,36.959999,37.240002,3045000,37.11786
2015-12-18,37.040001,38.650002,36.880001,38.419998,8613400,38.293986
2015-12-21,38.799999,38.900002,37.330002,38.060001,2944400,37.93517
2015-12-22,37.900002,40.240002,37.220001,39.790001,7469800,39.659495
2015-12-23,40.0,40.099998,39.099998,39.330002,2373700,39.201005
2015-12-24,39.23,39.549999,38.919998,39.27,1021200,39.1412
2015-12-28,39.25,39.5,38.419998,38.490002,1693200,38.36376
2015-12-29,38.52,39.459999,38.349998,39.389999,1906200,39.260806
2015-12-30,39.25,39.400002,38.779999,39.099998,2295000,38.971756
2015-12-31,38.810001,39.369999,38.305,39.029999,1688300,38.901986
2016-01-04,40.580002,41.259998,39.828999,41.169998,12289400,41.034966
2016-01-05,41.02,41.59,40.52,41.509998,6297300,41.373851
2016-01-06,40.860001,41.27,38.490002,39.299999,12839300,39.171101
2016-01-07,38.560001,41.650002,38.009998,40.459999,10486500,40.327296
2016-01-08,41.099998,41.259998,39.82,40.009998,6477700,39.878771
2016-01-11,40.009998,41.189999,38.66,39.099998,39669200,38.971756
2016-01-12,40.09,40.400002,39.48,40.310001,23215300,40.17779
2016-01-13,40.75,41.380001,40.290001,40.32,18334100,40.187756
2016-01-14,40.380001,41.09,40.080002,41.009998,10274100,40.875491
2016-01-15,40.279999,41.0,40.0,40.130001,11554800,39.99838
2016-01-19,40.73,41.169998,40.310001,40.700001,12332800,40.56651
2016-01-20,40.119999,40.68,39.689999,40.25,8618300,40.117985
2016-01-21,40.099998,40.939999,39.869999,40.689999,9991100,40.556541
2016-01-22,41.009998,41.849998,40.93,41.799999,6275900,41.662901
2016-01-25,41.580002,42.380001,41.5,41.619999,7043400,41.483491
2016-01-26,41.759998,41.759998,40.84,41.049999,6687300,40.915361
2016-01-27,40.75,41.209999,39.959999,40.119999,12046100,39.988411
2016-01-28,39.82,40.099998,38.66,39.849998,32692600,39.719296
2016-01-29,40.380001,40.400002,39.419998,40.009998,8322400,39.878771
2016-02-01,39.860001,40.310001,39.66,40.169998,8557100,40.038246
2016-02-02,40.060001,40.139999,39.455002,39.790001,5605600,39.659495
2016-02-03,40.049999,40.049999,38.580002,39.09,5836500,38.96179
2016-02-04,39.580002,39.580002,38.779999,38.889999,8250200,38.762445
2016-02-05,38.990002,39.0,37.91,37.98,9200600,37.85543
2016-02-08,37.709999,37.810001,36.099998,36.459999,10727400,36.340415
2016-02-09,36.369999,37.02,36.18,36.779999,5313600,36.659365
2016-02-10,36.939999,38.0,36.900002,37.459999,6847500,37.337135
2016-02-11,37.830002,37.98,36.674999,37.02,5152900,36.89858
2016-02-12,37.25,38.709999,37.25,38.669998,6464100,38.543166
2016-02-16,38.650002,39.009998,38.485001,39.0,4165500,38.872085
2016-02-17,39.43,40.25,39.349998,40.110001,7433500,39.978445
2016-02-18,39.830002,39.970001,39.235001,39.389999,3305700,39.260806
2016-02-19,39.25,39.66,38.889999,39.41,3781500,39.28074
2016-02-22,39.830002,39.91,39.32,39.529999,3532700,39.400346
2016-02-23,39.290001,39.48,38.990002,39.299999,3490600,39.171101
2016-02-24,38.779999,39.07,38.470001,38.98,3959300,38.85215
2016-02-25,39.299999,39.57,39.009998,39.5,3634000,39.370445
2016-02-26,39.509998,39.84,39.150002,39.189999,4092200,39.061461
2016-02-29,39.07,39.220001,38.299999,38.52,6734800,38.39366
2016-03-01,38.759998,39.474998,38.549999,39.43,6976800,39.300675
2016-03-02,39.619999,40.09,39.52,39.900002,7758700,39.769135
2016-03-03,39.59,39.759998,39.075001,39.299999,4846000,39.171101
2016-03-04,39.09,39.700001,39.09,39.470001,5099000,39.340545
2016-03-07,39.259998,39.779999,39.130001,39.740002,8931500,39.60966
2016-03-08,39.470001,39.759998,39.040001,39.049999,4955100,38.990602
2016-03-09,39.16,39.5,39.060001,39.220001,3655400,39.160346
2016-03-10,39.630001,39.93,39.080002,39.41,8999200,39.350055
2016-03-11,39.669998,39.799999,38.924999,39.400002,6440500,39.340072
2016-03-14,39.200001,39.709999,39.18,39.400002,9454000,39.340072
2016-03-15,39.099998,39.43,38.029999,38.130001,7102900,38.072003
2016-03-16,38.09,38.419998,37.439999,38.049999,10223400,37.992123
2016-03-17,38.220001,38.41,37.860001,38.25,34022300,38.19182
2016-03-18,38.540001,39.240002,38.470001,39.060001,14463500,39.000589
2016-03-21,39.400002,40.115002,39.279999,39.84,13346200,39.779401
2016-03-22,39.799999,40.23,39.73,40.200001,7692100,40.138855
2016-03-23,40.040001,40.285,39.98,40.060001,8600700,39.999068
2016-03-24,39.84,40.34,39.709999,40.0,20267000,39.939158
2016-03-28,40.049999,40.169998,39.669998,39.799999,5795100,39.739461
2016-03-29,39.93,40.360001,39.830002,40.349998,6528300,40.288624
2016-03-30,40.459999,40.759998,40.080002,40.150002,5914600,40.088931
2016-03-31,40.200001,40.759998,40.18,40.400002,10818700,40.338551
2016-04-01,40.189999,40.935001,40.189999,40.82,9754000,40.75791
2016-04-04,41.049999,41.93,40.959999,41.57,6356100,41.50677
2016-04-05,40.66,40.82,38.209999,38.5,35987800,38.44144
2016-04-06,39.080002,41.59,38.009998,40.650002,50881900,40.588171
2016-04-07,40.5,41.259998,39.98,40.34,15645300,40.278641
2016-04-08,39.970001,40.349998,39.875,40.259998,6094100,40.198761
2016-04-11,40.41,40.669998,40.060001,40.349998,5795500,40.288624
2016-04-12,40.400002,40.630001,39.950001,40.360001,4354200,40.298611
2016-04-13,40.299999,41.259998,40.259998,41.0,6679300,40.937637
2016-04-14,40.84,41.290001,40.735001,40.790001,7125500,40.727957
2016-04-15,40.790001,40.98,40.450001,40.509998,5985000,40.448381
2016-04-18,40.549999,41.52,40.52,41.34,5345500,41.27712
2016-04-19,41.290001,41.740002,41.049999,41.259998,7307200,41.19724
2016-04-20,41.290001,41.34,40.349998,40.66,6486500,40.598154
2016-04-21,40.709999,41.34,40.610001,41.080002,3588800,41.017517
2016-04-22,41.18,41.41,40.889999,41.380001,3907500,41.31706
2016-04-25,41.139999,41.450001,40.889999,41.310001,3469500,41.247167
2016-04-26,41.220001,41.560001,40.860001,41.220001,3870400,41.157303
2016-04-27,41.029999,41.25,40.689999,40.799999,4140400,40.73794
2016-04-28,40.59,41.75,40.349998,40.889999,8990200,40.827804
2016-04-29,42.029999,42.48,41.59,41.950001,7904300,41.886193
2016-05-02,41.950001,42.68,41.919998,42.139999,10153900,42.075902
2016-05-03,41.82,42.849998,41.77,42.279999,11174400,42.215689
2016-05-04,41.799999,42.049999,41.224998,41.369999,10163000,41.307073
2016-05-05,41.209999,41.610001,41.040001,41.34,8162700,41.27712
2016-05-06,41.119999,41.439999,40.669998,41.169998,9814300,41.107377
2016-05-09,41.540001,42.700001,41.540001,42.349998,16182800,42.285582
2016-05-10,42.48,43.060001,42.330002,42.93,9851400,42.864702
2016-05-11,42.75,43.349998,42.57,42.580002,10755100,42.515235
2016-05-12,42.75,42.900002,41.459999,41.779999,16717900,41.716449
2016-05-13,41.779999,42.720001,41.73,42.389999,13602400,42.325522
2016-05-16,42.330002,42.889999,42.18,42.82,12243900,42.754868
2016-05-17,42.84,43.279999,42.605,42.779999,12119000,42.714928
2016-05-18,42.880001,43.779999,42.869999,43.439999,8752300,43.373924
2016-05-19,43.919998,44.060001,43.419998,43.720001,12716100,43.653501
2016-05-20,44.209999,44.650002,44.189999,44.43,13580200,44.36242
2016-05-23,44.619999,45.110001,44.450001,44.610001,10156400,44.542147
2016-05-24,44.93,45.279999,44.720001,45.0,15651100,44.931553
2016-05-25,45.48,45.709999,45.330002,45.709999,12692600,45.640472
2016-05-26,45.790001,46.09,45.490002,45.700001,14242300,45.630489
2016-05-27,45.84,46.007999,45.290001,45.529999,43081100,45.460745
2016-05-31,45.650002,45.950001,45.23,45.23,15429200,45.161202
2016-06-01,45.599998,46.313,45.52,46.200001,15488700,46.129728
2016-06-02,46.27,46.52,46.009998,46.02,228648400,45.950002
2016-06-03,46.02,46.02,46.02,46.02,0,45.950002
2016-06-06,46.02,46.02,46.02,46.02,0,45.950002
2016-06-07,46.02,46.02,46.02,46.02,0,45.950002
2016-06-08,46.02,46.02,46.02,46.02,0,46.02
2016-06-09,46.02,46.02,46.02,46.02,0,46.02
2016-06-10,46.02,46.02,46.02,46.02,0,46.02
2016-06-13,46.02,46.02,46.02,46.02,0,46.02
