Date,Open_EXR,High_EXR,Low_EXR,Close_EXR,Volume_EXR,AdjClose_EXR
2015-09-28,75.860001,76.370003,74.769997,75.470001,701600,74.426422
2015-09-29,75.699997,76.709999,75.209999,76.610001,630300,75.550657
2015-09-30,77.419998,77.699997,76.599998,77.160004,826900,76.093055
2015-10-01,77.43,77.480003,76.029999,76.410004,1291500,75.353426
2015-10-02,75.620003,76.980003,75.589996,76.870003,1247400,75.807064
2015-10-05,77.239998,78.32,76.910004,78.230003,983800,77.148259
2015-10-06,78.190002,78.290001,76.629997,76.720001,1100600,75.659137
2015-10-07,76.849998,77.150002,75.739998,76.290001,1662200,75.235083
2015-10-08,76.190002,77.489998,75.809998,77.349998,932200,76.280423
2015-10-09,77.349998,77.550003,76.129997,77.099998,987900,76.03388
2015-10-12,77.339996,78.32,77.279999,78.07,577600,76.990468
2015-10-13,77.559998,78.080002,76.669998,77.029999,728000,75.964848
2015-10-14,77.260002,77.459999,75.82,76.080002,669500,75.027987
2015-10-15,76.339996,77.239998,76.260002,77.239998,644800,76.171943
2015-10-16,77.309998,78.050003,77.18,77.309998,915900,76.240975
2015-10-19,77.349998,79.589996,77.150002,79.540001,1148600,78.440142
2015-10-20,79.540001,81.010002,79.300003,80.699997,1369200,79.584098
2015-10-21,81.059998,81.230003,80.139999,80.790001,880100,79.672858
2015-10-22,81.459999,81.480003,80.379997,81.379997,820200,80.254696
2015-10-23,81.519997,81.809998,80.209999,80.779999,576600,79.662994
2015-10-26,80.949997,81.190002,80.099998,80.730003,641000,79.61369
2015-10-27,80.699997,81.989998,80.68,81.349998,905200,80.225112
2015-10-28,81.540001,81.989998,79.57,80.75,1081500,79.63341
2015-10-29,81.959999,82.540001,79.919998,80.809998,849900,79.692578
2015-10-30,81.129997,81.239998,79.120003,79.239998,1004200,78.144288
2015-11-02,79.480003,80.550003,78.809998,80.470001,1175600,79.357283
2015-11-03,80.410004,80.519997,78.660004,79.150002,892600,78.055536
2015-11-04,79.169998,79.599998,78.779999,79.150002,791000,78.055536
2015-11-05,79.160004,79.519997,78.669998,79.129997,570100,78.035808
2015-11-06,78.400002,79.120003,77.0,77.510002,726400,76.438214
2015-11-09,77.419998,77.489998,75.769997,76.260002,803400,75.205499
2015-11-10,76.040001,77.440002,76.0,77.260002,1326900,76.191671
2015-11-11,76.510002,78.349998,76.5,78.199997,715000,77.118668
2015-11-12,78.029999,79.160004,77.779999,79.080002,1258400,77.986504
2015-11-13,79.949997,80.279999,78.279999,78.870003,1088200,77.779409
2015-11-16,78.760002,79.470001,78.360001,79.370003,534200,78.272495
2015-11-17,79.660004,81.959999,79.400002,81.32,885200,80.195528
2015-11-18,81.300003,81.519997,79.879997,80.919998,741300,79.801057
2015-11-19,81.0,81.720001,80.540001,80.970001,584900,79.850369
2015-11-20,81.32,83.059998,81.059998,82.940002,798700,81.79313
2015-11-23,82.760002,83.559998,82.510002,82.779999,535400,81.635338
2015-11-24,82.360001,82.879997,81.580002,82.43,711000,81.29018
2015-11-25,82.839996,83.660004,82.459999,83.440002,579800,82.286216
2015-11-27,83.370003,84.589996,83.309998,83.93,366100,82.769438
2015-11-30,84.309998,84.830002,83.669998,83.75,1582100,82.591927
2015-12-01,83.93,85.709999,83.75,85.709999,1071100,84.524823
2015-12-02,85.199997,85.910004,85.0,85.07,996700,83.893674
2015-12-03,85.0,85.5,84.07,84.360001,1064200,83.193492
2015-12-04,84.25,86.110001,84.230003,85.790001,749500,84.603719
2015-12-07,86.540001,87.370003,85.82,86.25,909400,85.057357
2015-12-08,86.129997,86.980003,85.529999,86.550003,700400,85.353212
2015-12-09,86.410004,87.18,85.440002,85.620003,630700,84.436072
2015-12-10,86.110001,86.400002,84.660004,84.919998,902900,83.745746
2015-12-11,84.199997,85.580002,83.889999,85.269997,1007000,84.679234
2015-12-14,85.18,86.400002,84.550003,86.199997,1075600,85.602791
2015-12-15,86.910004,87.389999,86.57,87.0,1326100,86.397251
