Date,Open_EIX,High_EIX,Low_EIX,Close_EIX,Volume_EIX,AdjClose_EIX
2014-09-29,54.5,55.849998,54.119999,55.75,1973300,53.464173
2014-09-30,55.880001,56.560001,55.650002,55.919998,1593400,53.627201
2014-10-01,56.009998,57.209999,55.880001,56.68,2693200,54.356042
2014-10-02,56.639999,57.110001,56.18,56.299999,2202200,53.991622
2014-10-03,56.43,56.790001,55.959999,56.599998,1375600,54.27932
2014-10-06,56.830002,57.189999,56.5,56.849998,1321400,54.51907
2014-10-07,56.599998,57.360001,56.529999,56.689999,2336000,54.36563
2014-10-08,56.82,58.150002,56.689999,58.060001,2370900,55.679461
2014-10-09,58.060001,58.189999,57.049999,57.099998,3093200,54.75882
2014-10-10,57.43,58.060001,57.040001,57.720001,3008100,55.353402
2014-10-13,57.799999,58.77,57.619999,58.139999,2266100,55.756179
2014-10-14,58.459999,60.0,57.849998,59.799999,3990400,57.348117
2014-10-15,59.82,59.950001,57.740002,59.040001,3002400,56.619279
2014-10-16,58.349998,58.59,57.139999,58.389999,3285100,55.995929
2014-10-17,58.66,59.02,58.049999,58.759998,2415300,56.350757
2014-10-20,58.759998,60.0,58.759998,59.82,2749500,57.367297
2014-10-21,60.0,60.0,59.34,59.93,2168300,57.472788
2014-10-22,59.919998,60.93,59.799999,60.330002,1816100,57.856389
2014-10-23,60.560001,60.77,59.669998,59.849998,2783100,57.396066
2014-10-24,60.009998,60.740002,59.68,60.650002,1748800,58.163268
2014-10-27,60.759998,61.240002,60.57,60.869999,1293000,58.374245
2014-10-28,60.939999,61.790001,60.630001,61.759998,2554100,59.227753
2014-10-29,62.0,62.900002,60.689999,61.380001,2588300,58.863336
2014-10-30,61.099998,62.849998,60.98,62.560001,3951100,59.994955
2014-10-31,62.720001,62.799999,62.139999,62.580002,3833200,60.014135
2014-11-03,62.669998,63.310001,62.549999,63.240002,2152300,60.647074
2014-11-04,63.34,63.509998,62.189999,62.310001,2237300,59.755205
2014-11-05,62.919998,63.48,62.57,63.02,5272800,60.436094
2014-11-06,62.509998,63.049999,61.57,61.990002,2428700,59.448326
2014-11-07,62.060001,62.450001,61.950001,62.380001,3067200,59.822335
2014-11-10,62.419998,63.09,62.27,63.080002,2084800,60.493635
2014-11-11,63.02,63.290001,62.720001,63.209999,1569500,60.618302
2014-11-12,62.77,62.880001,61.869999,62.400002,3282800,59.841515
2014-11-13,62.349998,62.610001,61.610001,61.68,1691000,59.151035
2014-11-14,61.540001,62.139999,61.389999,61.759998,1957800,59.227753
2014-11-17,61.59,62.740002,61.52,62.720001,2486200,60.148395
2014-11-18,62.77,63.060001,62.200001,62.700001,2121000,60.129214
2014-11-19,62.529999,62.630001,62.139999,62.549999,1850100,59.985363
2014-11-20,62.369999,63.0,62.139999,62.25,1797000,59.697664
2014-11-21,62.91,62.919998,61.639999,62.450001,2260100,59.889465
2014-11-24,62.57,62.619999,61.860001,62.110001,1739800,59.563405
2014-11-25,62.279999,62.57,61.459999,62.400002,2264000,59.841515
2014-11-26,62.57,62.799999,62.23,62.610001,1307200,60.042904
2014-11-28,62.779999,63.66,62.639999,63.560001,876200,60.953954
2014-12-01,63.130001,64.099998,62.790001,63.599998,2494800,60.992311
2014-12-02,63.48,64.470001,63.18,64.260002,1789300,61.625253
2014-12-03,64.209999,64.269997,63.529999,64.209999,1364500,61.577301
2014-12-04,64.279999,64.650002,63.900002,64.410004,1108900,61.769105
2014-12-05,63.91,64.540001,63.150002,63.630001,1529300,61.021083
2014-12-08,63.799999,64.669998,63.560001,64.629997,2115600,61.980078
2014-12-09,64.5,65.089996,64.330002,64.75,1717100,62.095161
2014-12-10,64.75,65.410004,64.199997,64.230003,1507100,61.596485
2014-12-11,64.580002,64.989998,64.260002,64.43,1959600,61.788281
2014-12-12,64.540001,65.360001,63.970001,64.0,2287100,61.375912
2014-12-15,64.059998,64.449997,62.900002,63.209999,3134500,60.618302
2014-12-16,63.310001,64.32,62.779999,63.18,3640600,60.589533
2014-12-17,63.419998,64.239998,63.259998,63.889999,2802400,61.270421
2014-12-18,64.050003,64.839996,63.810001,64.779999,2694100,62.123929
2014-12-19,65.190002,65.440002,64.589996,64.800003,3129600,62.143114
2014-12-22,64.989998,65.269997,64.669998,65.239998,1676200,62.565068
2014-12-23,65.269997,65.559998,65.050003,65.339996,1292900,62.660966
2014-12-24,65.459999,66.919998,65.400002,66.75,1131800,64.013158
2014-12-26,66.809998,67.849998,66.809998,67.540001,1479700,64.770768
2014-12-29,67.199997,68.739998,67.199997,68.269997,2069900,65.87757
2014-12-30,68.040001,68.239998,66.870003,66.93,1873000,64.584532
2014-12-31,67.290001,67.440002,65.43,65.480003,2044800,63.185348
2015-01-02,65.010002,65.940002,64.779999,65.510002,1892800,63.214296
2015-01-05,65.580002,65.809998,65.110001,65.349998,2462100,63.059899
2015-01-06,65.099998,66.730003,65.029999,65.599998,2238600,63.301139
2015-01-07,65.660004,67.339996,65.5,66.699997,2385600,64.362589
