Date,Open_VTR,High_VTR,Low_VTR,Close_VTR,Volume_VTR,AdjClose_VTR
2014-11-03,68.370003,68.949997,68.190002,68.75,2872100,63.211977
2014-11-04,68.510002,69.139999,68.510002,69.129997,1480700,63.561365
2014-11-05,69.110001,69.209999,68.440002,69.110001,1582900,63.542979
2014-11-06,68.949997,69.239998,67.790001,67.860001,2243400,62.39367
2014-11-07,67.889999,68.540001,67.610001,68.260002,2191500,62.76145
2014-11-10,68.120003,68.709999,68.010002,68.610001,1673800,63.083255
2014-11-11,68.660004,68.739998,68.019997,68.519997,1009200,63.000502
2014-11-12,68.709999,68.709999,67.860001,68.349998,1352500,62.844197
2014-11-13,68.580002,69.510002,68.379997,69.510002,1929400,63.910759
2014-11-14,69.169998,69.440002,68.260002,68.660004,2432800,63.129231
2014-11-17,68.470001,69.040001,68.419998,68.800003,1239500,63.257953
2014-11-18,68.849998,69.239998,68.449997,69.029999,1090200,63.469422
2014-11-19,69.029999,69.139999,68.440002,68.519997,1238800,63.000502
2014-11-20,68.43,68.669998,68.010002,68.650002,1686300,63.120034
2014-11-21,69.120003,69.730003,68.639999,69.720001,2525600,64.103842
2014-11-24,69.75,69.93,69.349998,69.730003,1774100,64.113039
2014-11-25,69.910004,70.400002,69.57,70.290001,2805500,64.627927
2014-11-26,70.290001,71.059998,70.139999,71.0,2551100,65.280733
2014-11-28,71.279999,72.169998,70.959999,71.550003,1188600,65.786432
2014-12-01,71.360001,72.650002,71.160004,72.419998,2183000,66.586346
2014-12-02,71.790001,72.639999,71.370003,72.480003,3390300,66.641518
2014-12-03,72.440002,72.510002,71.959999,72.339996,2018100,66.512789
2014-12-04,72.339996,72.709999,72.059998,72.559998,1836900,66.715068
2014-12-05,72.019997,72.019997,70.410004,71.059998,2620200,65.335898
2014-12-08,71.230003,72.220001,71.129997,71.669998,1826700,65.896761
2014-12-09,71.330002,72.43,71.199997,72.379997,2363900,66.549567
2014-12-10,72.160004,73.57,72.0,73.07,3038900,67.183988
2014-12-11,73.150002,74.010002,73.150002,73.669998,3230300,67.735655
2014-12-12,73.529999,75.160004,73.529999,74.440002,3812000,68.443633
2014-12-15,74.440002,74.739998,72.379997,72.720001,3275700,66.862183
2014-12-16,72.940002,73.010002,71.940002,71.989998,3352900,66.190984
2014-12-17,72.309998,73.620003,71.980003,73.25,2457000,67.349489
2014-12-18,73.220001,73.220001,71.040001,71.849998,3482300,66.782512
2014-12-19,72.139999,72.440002,71.339996,71.889999,4105100,66.819692
2014-12-22,71.879997,73.559998,71.860001,73.519997,2635100,68.334728
2014-12-23,73.699997,73.809998,72.540001,72.620003,2473100,67.498209
2014-12-24,72.68,73.010002,71.730003,71.730003,1479800,66.67098
2014-12-26,72.050003,72.589996,71.779999,72.370003,1111600,67.265842
2014-12-29,72.489998,72.949997,72.32,72.75,1531600,67.619038
2014-12-30,72.800003,73.410004,72.690002,72.889999,1782200,67.749164
2014-12-31,73.18,73.379997,71.639999,71.699997,1474500,66.64309
2015-01-02,71.889999,73.730003,71.889999,73.309998,1987400,68.13954
2015-01-05,72.68,73.900002,72.459999,73.68,2795400,68.483447
2015-01-06,73.970001,75.660004,73.970001,75.32,4307200,70.007779
2015-01-07,75.389999,76.709999,74.800003,76.440002,2984100,71.04879
2015-01-08,76.860001,76.860001,75.32,76.07,3676100,70.704883
2015-01-09,76.07,76.610001,75.089996,76.059998,2180200,70.695586
2015-01-12,76.449997,77.059998,76.050003,76.940002,1800600,71.513525
2015-01-13,77.0,77.75,76.540001,77.230003,2668200,71.783073
2015-01-14,77.099998,78.0,76.760002,77.620003,2636400,72.145566
2015-01-15,77.800003,78.120003,76.870003,77.709999,4256500,72.229215
2015-01-16,77.739998,78.410004,77.5,78.0,8465700,72.498762
2015-01-20,78.239998,79.82,78.150002,78.809998,4469500,73.450324
2015-01-21,78.629997,78.669998,77.910004,78.339996,3032300,73.012287
2015-01-22,78.660004,80.059998,78.650002,80.059998,3156400,74.615315
2015-01-23,80.410004,80.68,79.849998,80.43,4701700,74.960155
2015-01-26,80.410004,80.650002,79.629997,80.650002,3254400,75.165194
2015-01-27,80.309998,80.959999,80.129997,80.760002,2983400,75.267714
2015-01-28,80.809998,81.93,80.660004,80.75,2439000,75.258392
2015-01-29,80.550003,81.110001,80.059998,80.949997,2689100,75.444788
2015-01-30,80.620003,80.970001,79.809998,79.809998,3140500,74.382317
2015-02-02,79.669998,80.0,78.07,79.790001,4142400,74.36368
2015-02-03,79.870003,80.010002,78.290001,79.730003,2772600,74.307763
2015-02-04,79.459999,79.459999,78.150002,78.57,4092900,73.226648
2015-02-05,78.639999,79.470001,78.089996,79.370003,3153500,73.972245
2015-02-06,79.160004,79.169998,75.589996,76.010002,4229800,70.84075
2015-02-09,76.120003,76.43,75.470001,75.75,2697100,70.59843
2015-02-10,75.830002,76.959999,75.080002,76.669998,3681500,71.455861
2015-02-11,76.900002,77.57,76.0,76.489998,2590900,71.288102
2015-02-12,76.489998,77.230003,76.010002,77.019997,1912400,71.782057
2015-02-13,77.32,77.32,76.010002,76.610001,1772300,71.399944
2015-02-17,76.760002,77.879997,76.260002,76.489998,2685400,71.288102
2015-02-18,77.040001,77.860001,75.610001,77.849998,3487300,72.555612
2015-02-19,77.419998,77.610001,76.230003,76.339996,2300600,71.148302
2015-02-20,76.269997,77.800003,76.230003,77.43,3378900,72.164177
2015-02-23,77.529999,78.339996,76.980003,77.580002,2451300,72.303978
2015-02-24,75.879997,76.370003,73.830002,74.540001,5925900,69.47072
2015-02-25,74.57,75.480003,74.269997,74.43,2736500,69.3682
2015-02-26,74.370003,74.779999,73.470001,73.779999,2560500,68.762403
2015-02-27,74.190002,74.540001,73.160004,74.470001,1955300,69.40548
2015-03-02,74.470001,75.809998,74.43,74.68,3011900,69.601198
2015-03-03,74.370003,74.849998,73.550003,74.529999,2049500,69.461398
2015-03-04,73.980003,74.260002,72.800003,73.029999,3107800,68.596312
2015-03-05,73.529999,73.940002,72.82,72.900002,2744000,68.474207
2015-03-06,71.32,72.190002,69.440002,69.910004,3645000,65.665733
2015-03-09,70.309998,70.449997,69.760002,70.0,3226000,65.750266
2015-03-10,69.849998,70.139999,69.5,69.5,5143600,65.280621
2015-03-11,69.580002,70.0,69.019997,69.120003,3064000,64.923694
2015-03-12,69.580002,70.459999,69.5,70.370003,2417400,66.097805
2015-03-13,70.279999,70.660004,69.650002,70.110001,1750300,65.853588
2015-03-16,70.480003,71.32,70.480003,70.699997,1868400,66.407766
2015-03-17,70.690002,71.0,70.239998,70.290001,2089700,66.022661
2015-03-18,70.290001,71.989998,69.809998,71.5,3948900,67.1592
2015-03-19,71.209999,72.419998,71.169998,71.860001,2782400,67.497345
2015-03-20,72.379997,74.07,71.849998,73.730003,5576400,69.253819
2015-03-23,73.830002,74.970001,73.610001,74.059998,2276000,69.563779
2015-03-24,73.870003,74.370003,73.379997,73.379997,2754100,68.925062
2015-03-25,73.389999,73.730003,71.989998,72.0,2834700,67.628845
2015-03-26,71.589996,72.400002,71.410004,71.660004,3023400,67.30949
2015-03-27,71.779999,72.489998,71.690002,72.32,2091300,67.929417
2015-03-30,72.43,73.730003,72.419998,73.650002,1958200,69.178674
2015-03-31,73.959999,74.0,72.879997,73.019997,1878600,68.586917
2015-04-01,73.110001,73.449997,72.419998,73.029999,1488800,68.596312
2015-04-02,72.900002,73.550003,72.790001,73.230003,1353100,68.784174
2015-04-06,75.209999,77.360001,74.940002,76.900002,4659100,72.231365
2015-04-07,76.709999,76.75,74.790001,74.970001,4043700,70.418536
2015-04-08,75.07,75.440002,74.690002,75.099998,2091200,70.540641
2015-04-09,74.910004,74.93,73.790001,74.120003,2819800,69.620141
2015-04-10,74.760002,75.25,73.730003,74.050003,2069500,69.554391
2015-04-13,74.010002,74.120003,73.330002,73.330002,1577200,68.878102
2015-04-14,73.529999,74.199997,73.5,73.849998,1337000,69.366529
2015-04-15,73.849998,74.050003,73.139999,73.169998,2164400,68.727812
2015-04-16,72.870003,73.739998,72.379997,73.290001,1994700,68.840529
2015-04-17,72.82,73.360001,72.559998,72.910004,2038600,68.483602
2015-04-20,72.949997,73.529999,72.650002,73.150002,1698600,68.709029
2015-04-21,73.150002,73.68,72.760002,72.790001,1531200,68.370884
2015-04-22,72.75,73.220001,72.519997,72.709999,1531600,68.295739
2015-04-23,72.510002,73.349998,72.510002,73.059998,1625500,68.624489
2015-04-24,74.059998,74.059998,72.510002,72.82,2039900,68.399062
2015-04-27,73.059998,73.800003,72.150002,72.32,1620400,67.929417
2015-04-28,72.18,72.739998,71.620003,72.620003,1645400,68.211207
2015-04-29,72.0,72.489998,70.510002,70.870003,2565100,66.56745
2015-04-30,70.5,70.559998,68.529999,68.900002,2751200,64.717049
2015-05-01,68.870003,69.959999,68.870003,69.339996,2121500,65.130331
2015-05-04,69.419998,69.610001,68.639999,68.779999,1892600,64.604331
2015-05-05,68.650002,68.769997,67.540001,67.739998,3123100,63.627469
2015-05-06,68.010002,68.010002,66.660004,67.099998,3024100,63.026325
2015-05-07,67.349998,68.769997,67.110001,68.459999,2756500,64.303759
2015-05-08,69.260002,70.410004,69.080002,69.120003,2294400,64.923694
2015-05-11,68.790001,69.360001,67.839996,67.900002,1955100,63.777759
2015-05-12,67.459999,68.599998,66.5,68.07,2760400,63.937437
2015-05-13,68.309998,68.800003,66.970001,67.089996,1908100,63.01693
2015-05-14,67.559998,68.230003,67.400002,68.199997,1562200,64.059542
2015-05-15,68.519997,69.489998,68.360001,69.400002,3301900,65.186693
2015-05-18,69.139999,69.480003,68.93,69.190002,1476400,64.989444
2015-05-19,68.82,69.650002,68.82,69.209999,1233900,65.008226
2015-05-20,69.190002,69.720001,68.870003,68.889999,1202800,64.707654
2015-05-21,69.019997,69.07,67.910004,68.32,1400500,64.172259
2015-05-22,68.010002,68.809998,67.459999,68.279999,1301900,64.134687
2015-05-26,68.239998,68.290001,67.5,67.720001,1218500,63.608687
2015-05-27,67.959999,68.360001,67.699997,67.830002,1718400,63.712009
2015-05-28,67.949997,67.949997,66.940002,67.129997,3830400,63.054502
2015-05-29,67.150002,67.68,66.160004,66.519997,3205800,62.481535
2015-06-01,66.589996,67.459999,66.550003,67.139999,2184200,63.063897
2015-06-02,67.089996,67.32,66.43,66.699997,2520100,62.650607
2015-06-03,65.959999,66.0,64.699997,64.800003,2583100,61.595505
2015-06-04,64.760002,65.190002,64.139999,64.919998,2542200,61.709566
2015-06-05,64.099998,64.410004,62.790001,63.560001,4844000,60.416824
2015-06-08,63.599998,64.260002,63.25,63.950001,2419700,60.787537
2015-06-09,63.810001,63.830002,63.169998,63.23,1658000,60.103142
2015-06-10,63.18,64.360001,63.18,63.709999,1557300,60.559404
2015-06-11,64.050003,64.330002,63.869999,64.07,2213400,60.901602
2015-06-12,64.07,64.32,63.700001,63.970001,1437100,60.806549
2015-06-15,64.040001,64.389999,63.560001,63.560001,1576900,60.416824
2015-06-16,63.580002,64.480003,63.470001,64.18,2072200,61.006163
2015-06-17,64.150002,64.629997,63.490002,64.400002,1781500,61.215285
2015-06-18,64.580002,65.639999,64.529999,65.120003,2046300,61.89968
2015-06-19,65.029999,65.5,64.519997,65.190002,3408500,61.966218
2015-06-22,65.360001,65.5,64.110001,64.199997,2253500,61.025171
2015-06-23,63.98,64.199997,63.119999,63.580002,1721600,60.435836
2015-06-24,63.619999,63.810001,62.91,62.950001,1810500,59.836989
2015-06-25,62.91,63.0,61.619999,61.82,4125800,58.762869
2015-06-26,61.759998,63.139999,61.639999,62.790001,5276100,59.684902
2015-06-29,63.009998,63.529999,62.34,62.380001,2630700,59.295177
2015-06-30,62.740002,62.84,62.0,62.09,1686600,59.019518
2015-07-01,62.240002,62.619999,61.799999,62.610001,2555200,59.513803
2015-07-02,62.880001,63.790001,62.759998,62.950001,2393300,59.836989
2015-07-06,62.610001,63.009998,62.240002,62.830002,3478500,59.722925
2015-07-07,63.41,64.650002,63.27,64.389999,4566600,61.205777
2015-07-08,63.91,64.580002,63.849998,64.129997,2830200,60.958633
2015-07-09,64.629997,65.0,63.970001,64.089996,2657600,60.92061
2015-07-10,64.290001,65.029999,63.77,64.550003,1872600,61.357868
2015-07-13,65.110001,65.440002,64.169998,64.589996,2357900,61.395884
2015-07-14,64.599998,64.860001,64.199997,64.25,1557900,61.072701
2015-07-15,64.290001,64.709999,64.089996,64.300003,2192200,61.120231
2015-07-16,64.440002,64.779999,64.139999,64.589996,2112500,61.395884
2015-07-17,64.410004,64.709999,64.059998,64.440002,1711600,61.253307
2015-07-20,64.269997,64.349998,63.889999,64.309998,1698300,61.129731
2015-07-21,64.150002,64.389999,63.919998,63.939999,2589600,60.77803
2015-07-22,63.939999,64.57,63.860001,64.279999,1817800,61.101216
2015-07-23,64.269997,64.459999,63.18,63.650002,2164300,60.502374
2015-07-24,63.970001,65.75,63.66,65.389999,2764600,62.156325
2015-07-27,65.440002,66.75,65.440002,66.080002,2383300,62.812205
2015-07-28,66.190002,66.790001,66.040001,66.230003,2255700,62.954789
2015-07-29,66.150002,66.809998,65.699997,66.639999,1756100,63.34451
2015-07-30,66.57,66.879997,66.050003,66.360001,1964700,63.078357
2015-07-31,66.830002,67.720001,66.830002,67.089996,2210400,63.772253
2015-08-03,67.0,67.75,66.949997,67.440002,2659200,64.104951
2015-08-04,67.440002,67.760002,66.510002,66.760002,2448300,63.458578
2015-08-05,66.860001,66.889999,66.07,66.43,3806200,63.144896
2015-08-06,66.400002,67.050003,65.610001,66.989998,3334900,63.6772
2015-08-07,66.82,67.699997,66.220001,67.400002,2837600,64.066928
2015-08-10,67.720001,68.0,66.459999,66.769997,2291100,63.468078
2015-08-11,66.589996,67.93,66.5,67.480003,2475700,64.142974
2015-08-12,67.339996,68.019997,67.050003,67.970001,2633700,64.60874
2015-08-13,67.629997,68.239998,66.720001,67.849998,1831800,64.494672
2015-08-14,67.650002,68.440002,67.360001,68.389999,1623400,65.007969
2015-08-17,68.410004,68.730003,68.010002,68.519997,3089200,65.131537
2015-08-18,60.450001,60.759998,59.25,59.799999,3423100,56.842762
2015-08-19,59.439999,60.32,59.18,60.049999,2676300,57.080399
2015-08-20,59.950001,60.939999,59.439999,60.549999,3521600,57.555673
2015-08-21,60.419998,60.779999,59.580002,59.599998,3279500,56.652652
2015-08-24,59.029999,59.549999,56.700001,56.869999,5076000,54.057657
2015-08-25,58.299999,58.450001,54.900002,54.959999,4406200,52.24211
2015-08-26,55.689999,56.220001,55.009998,56.099998,4180000,53.325734
2015-08-27,56.310001,57.66,55.91,57.02,4668500,54.20024
2015-08-28,57.029999,57.209999,56.389999,56.689999,2525300,53.886558
2015-08-31,56.509998,56.66,54.990002,55.02,4169600,52.299144
2015-09-01,54.439999,54.880001,53.860001,54.27,3149500,51.586234
2015-09-02,54.790001,55.080002,54.0,54.450001,2610200,51.757332
2015-09-03,54.810001,54.93,54.27,54.450001,2315200,51.757332
2015-09-04,54.0,54.0,52.799999,53.099998,2951200,50.474091
2015-09-08,53.669998,53.900002,53.119999,53.610001,2187200,50.958872
2015-09-09,53.91,54.080002,52.740002,52.849998,2460800,50.236454
2015-09-10,52.82,53.369999,52.529999,52.779999,2500900,50.169916
2015-09-11,52.110001,52.720001,52.029999,52.66,3654000,50.757883
2015-09-14,52.700001,52.959999,52.52,52.93,3158200,51.018131
2015-09-15,53.029999,53.869999,52.610001,53.82,2823100,51.875983
2015-09-16,53.830002,55.060001,53.759998,54.580002,2343300,52.608533
2015-09-17,54.549999,56.439999,54.34,55.450001,3014200,53.447107
2015-09-18,54.66,57.049999,54.66,56.150002,4883400,54.121823
2015-09-21,56.369999,56.970001,56.200001,56.77,2110800,54.719428
2015-09-22,56.459999,56.849998,55.740002,56.619999,2965900,54.574844
2015-09-23,56.689999,57.220001,56.23,56.869999,1846200,54.815814
2015-09-24,56.849998,57.220001,56.290001,56.57,2764900,54.526651
2015-09-25,56.810001,57.380001,56.470001,56.919998,2452800,54.864007
2015-09-28,56.700001,57.200001,55.060001,55.380001,2909300,53.379636
2015-09-29,55.330002,55.939999,54.75,55.880001,2474700,53.861576
2015-09-30,56.23,56.48,55.73,56.060001,3019400,54.035074
2015-10-01,56.310001,56.400002,55.400002,55.759998,3397900,53.745907
2015-10-02,55.09,56.060001,55.09,56.060001,2585300,54.035074
2015-10-05,56.549999,57.380001,56.150002,57.32,2044800,55.24956
2015-10-06,57.139999,57.630001,56.84,57.060001,1678600,54.998953
2015-10-07,57.16,57.580002,56.950001,57.57,2477200,55.49053
2015-10-08,57.59,57.939999,57.02,57.84,2264100,55.750778
2015-10-09,57.75,57.959999,57.290001,57.650002,1881700,55.567642
2015-10-12,57.57,58.049999,57.389999,57.549999,1522700,55.471252
2015-10-13,57.200001,57.580002,56.91,56.990002,1687500,54.931482
2015-10-14,57.119999,58.119999,55.799999,55.93,2421300,53.909769
2015-10-15,56.080002,56.34,55.459999,55.990002,2727200,53.967603
2015-10-16,56.169998,57.130001,56.16,56.970001,2619400,54.912204
2015-10-19,56.970001,58.049999,56.880001,58.029999,1955400,55.933914
2015-10-20,57.810001,58.09,57.419998,57.73,1798100,55.644751
2015-10-21,58.09,58.59,57.700001,58.279999,1931700,56.174884
2015-10-22,58.41,58.73,57.869999,58.380001,2273400,56.271274
2015-10-23,58.599998,58.599998,54.880001,55.130001,4255600,53.138666
2015-10-26,54.439999,55.32,53.84,55.080002,3898800,53.090473
2015-10-27,55.0,55.18,54.299999,55.150002,2613400,53.157944
2015-10-28,55.25,55.369999,53.84,54.919998,3348300,52.936249
2015-10-29,54.66,54.990002,54.09,54.880001,2552000,52.897696
2015-10-30,54.93,55.09,53.599998,53.720001,3620300,51.779596
2015-11-02,53.759998,54.5,53.5,54.490002,2437900,52.521784
2015-11-03,54.279999,54.439999,53.32,53.610001,2458600,51.673569
2015-11-04,53.630001,53.869999,53.240002,53.439999,3075700,51.509708
2015-11-05,53.27,54.200001,53.240002,54.189999,2619300,52.232617
2015-11-06,53.419998,53.419998,50.5,50.82,6970900,48.984345
2015-11-09,50.830002,51.0,49.310001,49.77,4156700,47.972273
2015-11-10,49.77,50.580002,49.540001,50.150002,3468000,48.338548
2015-11-11,50.220001,50.400002,49.68,49.880001,2277200,48.0783
