Date,Open_BMY,High_BMY,Low_BMY,Close_BMY,Volume_BMY,AdjClose_BMY
2015-07-22,68.790001,69.550003,68.470001,69.370003,7786100,68.153126
2015-07-23,69.660004,69.660004,67.739998,68.239998,8947000,67.042944
2015-07-24,68.07,68.07,65.980003,65.980003,6866800,64.822594
2015-07-27,65.699997,65.699997,64.290001,64.300003,9237500,63.172064
2015-07-28,64.449997,64.720001,64.110001,64.660004,9173100,63.525749
2015-07-29,64.989998,65.120003,64.309998,64.889999,4920500,63.75171
2015-07-30,64.550003,64.830002,63.82,64.459999,4168200,63.329253
2015-07-31,64.800003,66.779999,64.639999,65.639999,7955200,64.488554
2015-08-03,65.949997,66.129997,64.690002,65.339996,4611600,64.193814
2015-08-04,65.470001,65.550003,64.650002,64.839996,3890100,63.702584
2015-08-05,65.110001,65.480003,65.050003,65.059998,3902900,63.918726
2015-08-06,65.129997,65.269997,63.34,63.540001,4732600,62.425393
2015-08-07,63.5,63.59,62.16,63.41,7424000,62.297673
2015-08-10,63.970001,64.349998,63.84,63.889999,5681500,62.769252
2015-08-11,63.41,63.779999,62.369999,62.66,5409100,61.560829
2015-08-12,62.310001,62.599998,61.27,62.389999,6739200,61.295565
2015-08-13,62.400002,62.689999,61.799999,62.419998,3686900,61.325037
2015-08-14,62.450001,63.279999,62.41,63.080002,6060600,61.973463
2015-08-17,62.709999,63.610001,62.57,63.470001,3993800,62.356622
2015-08-18,63.5,64.620003,63.459999,64.279999,7992200,63.15241
2015-08-19,63.27,64.970001,63.220001,64.120003,5245800,62.995221
2015-08-20,63.490002,63.790001,62.709999,62.709999,5334000,61.609951
2015-08-21,62.259998,62.830002,61.009998,61.07,7516400,59.99872
2015-08-24,57.990002,60.939999,51.82,58.650002,15215000,57.621173
2015-08-25,60.189999,60.540001,57.880001,57.880001,8146200,56.86468
2015-08-26,59.310001,60.119999,57.75,60.029999,10246500,58.976963
2015-08-27,60.509998,60.880001,59.48,60.82,7446900,59.753106
2015-08-28,60.220001,61.049999,59.77,60.610001,5326300,59.546791
2015-08-31,60.639999,60.990002,59.279999,59.470001,5680000,58.426789
2015-09-01,58.549999,59.290001,57.939999,58.200001,8879100,57.179066
2015-09-02,58.950001,59.720001,58.549999,59.610001,7219300,58.564332
2015-09-03,60.419998,60.970001,58.610001,58.75,8231100,57.719418
2015-09-04,58.080002,58.48,56.900002,57.299999,9288700,56.294853
2015-09-08,58.380001,59.080002,56.32,58.990002,11438200,57.955209
2015-09-09,59.459999,59.52,57.860001,58.029999,7931500,57.012047
2015-09-10,58.220001,59.150002,58.040001,58.75,7520500,57.719418
2015-09-11,58.5,59.279999,58.490002,59.220001,9624000,58.181174
2015-09-14,59.400002,59.82,58.82,59.169998,4960600,58.132048
2015-09-15,59.279999,60.200001,58.84,60.09,7190000,59.035912
2015-09-16,60.240002,61.77,60.099998,61.610001,9551000,60.529249
2015-09-17,61.41,63.119999,61.279999,62.189999,7396400,61.099073
2015-09-18,62.18,64.68,62.040001,64.339996,18650300,63.211355
2015-09-21,64.419998,64.68,62.200001,62.720001,10273300,61.619778
2015-09-22,61.959999,62.900002,61.349998,62.09,7557900,61.000828
2015-09-23,62.349998,62.709999,61.470001,61.740002,4766700,60.656969
2015-09-24,61.27,62.02,60.450001,61.799999,6380600,60.715914
2015-09-25,62.330002,62.48,59.630001,60.240002,9427800,59.183282
2015-09-28,59.799999,59.93,57.029999,57.459999,11017400,56.452046
2015-09-29,57.93,59.919998,57.419998,58.950001,10515100,57.91591
2015-09-30,59.439999,59.610001,58.610001,59.200001,11274700,58.52888
2015-10-01,59.259998,60.52,58.970001,60.049999,11280900,59.369242
2015-10-02,59.080002,63.18,58.959999,62.23,13527800,61.524529
2015-10-05,62.66,63.220001,61.330002,61.970001,8039900,61.267478
2015-10-06,61.77,62.130001,58.389999,59.880001,10075500,59.201171
2015-10-07,59.970001,61.380001,59.060001,60.549999,8230700,59.863574
2015-10-08,60.200001,60.869999,59.599998,60.509998,6268600,59.824026
2015-10-09,59.880001,61.529999,59.82,61.439999,9492100,60.743484
2015-10-12,60.98,62.900002,60.650002,62.709999,5888300,61.999087
2015-10-13,62.560001,63.330002,62.130001,62.34,7260600,61.633282
2015-10-14,62.400002,63.25,61.91,62.080002,4457300,61.376232
2015-10-15,62.049999,63.720001,61.66,63.619999,4641700,62.89877
2015-10-16,64.040001,64.709999,63.759998,64.489998,5781200,63.758907
2015-10-19,64.489998,65.489998,64.25,65.080002,6023500,64.342222
2015-10-20,64.93,64.989998,63.080002,63.889999,5965100,63.16571
2015-10-21,64.239998,64.269997,61.5,62.509998,8094400,61.801353
2015-10-22,62.869999,63.400002,61.689999,63.18,7908000,62.46376
2015-10-23,63.580002,65.550003,63.48,65.160004,8081600,64.421317
2015-10-26,64.739998,65.769997,64.349998,64.550003,6679500,63.818232
2015-10-27,65.5,66.980003,64.949997,66.800003,9075700,66.042724
2015-10-28,66.809998,68.169998,66.120003,67.589996,6446700,66.823762
2015-10-29,67.5,68.480003,66.980003,67.309998,4570400,66.546937
2015-10-30,67.339996,67.599998,65.949997,65.949997,6458000,65.202354
2015-11-02,66.559998,66.900002,65.57,65.75,7508200,65.004625
2015-11-03,65.769997,66.269997,65.099998,66.080002,5509100,65.330886
2015-11-04,65.940002,66.139999,65.010002,65.620003,5241700,64.876101
2015-11-05,65.790001,66.0,65.199997,65.550003,3918400,64.806895
2015-11-06,65.480003,65.580002,64.139999,65.449997,5504000,64.708023
2015-11-09,65.080002,65.440002,64.540001,64.989998,3987400,64.253238
2015-11-10,65.029999,65.589996,64.699997,65.050003,4024000,64.312563
2015-11-11,65.389999,65.389999,64.190002,64.239998,3980100,63.511741
2015-11-12,64.089996,64.690002,63.689999,63.720001,4037300,62.997639
2015-11-13,63.740002,64.529999,63.57,64.150002,6239100,63.422765
2015-11-16,64.150002,65.129997,63.709999,65.019997,4660300,64.282897
2015-11-17,64.93,66.610001,64.669998,65.730003,4959600,64.984855
2015-11-18,66.0,67.709999,65.959999,67.610001,6169900,66.843539
2015-11-19,67.419998,67.879997,66.739998,66.940002,4010200,66.181137
2015-11-20,67.370003,69.0,67.160004,67.82,6052200,67.051158
2015-11-23,67.82,68.459999,67.410004,67.989998,5605500,67.219229
2015-11-24,67.629997,67.949997,67.239998,67.82,6022000,67.051158
2015-11-25,67.82,68.449997,67.589996,68.080002,3706900,67.308213
2015-11-27,68.080002,68.440002,67.809998,67.849998,1385100,67.080817
2015-11-30,67.849998,67.989998,66.849998,67.010002,6167700,66.250343
2015-12-01,67.540001,68.370003,66.93,68.260002,5529900,67.486172
2015-12-02,68.620003,69.709999,67.660004,67.779999,5924500,67.01161
2015-12-03,67.589996,68.040001,66.139999,66.449997,6804400,65.696686
2015-12-04,66.879997,69.309998,66.849998,69.110001,6775200,68.326535
2015-12-07,69.0,69.449997,68.480003,68.839996,4865500,68.059591
2015-12-08,68.379997,69.849998,68.349998,69.400002,5215200,68.613248
2015-12-09,69.099998,69.389999,68.269997,68.559998,4814900,67.782767
2015-12-10,68.559998,69.419998,68.169998,68.940002,3783300,68.158464
2015-12-11,68.940002,68.940002,67.470001,67.620003,4187000,66.853428
2015-12-14,67.889999,68.690002,67.339996,68.639999,5966900,67.861862
2015-12-15,69.300003,70.480003,69.300003,70.220001,8220900,69.423952
2015-12-16,70.349998,70.839996,69.07,70.709999,6232300,69.908395
2015-12-17,70.790001,70.870003,69.209999,69.279999,7068700,68.494606
2015-12-18,68.809998,69.18,67.629997,67.639999,9868500,66.873198
2015-12-21,68.230003,68.650002,67.309998,68.040001,4124000,67.268665
2015-12-22,68.300003,68.440002,67.360001,68.309998,3320700,67.535601
2015-12-23,68.550003,69.099998,68.239998,68.989998,4048900,68.207892
2015-12-24,68.779999,69.25,68.440002,68.970001,1668200,68.188122
2015-12-28,68.760002,69.18,68.629997,69.169998,3004000,68.385852
2015-12-29,69.489998,70.139999,69.349998,69.739998,4038300,68.94939
2015-12-30,69.5,70.029999,69.349998,69.519997,3445200,69.108443
2015-12-31,69.120003,69.730003,68.790001,68.790001,4007000,68.382769
2016-01-04,67.449997,67.910004,66.379997,67.029999,7113700,66.633186
2016-01-05,67.5,68.900002,67.419998,68.349998,7836700,67.945371
2016-01-06,67.470001,68.269997,66.849998,67.150002,6691400,66.752478
2016-01-07,65.849998,66.690002,64.949997,65.290001,8436600,64.903488
2016-01-08,65.599998,65.790001,63.5,63.630001,9076400,63.253316
2016-01-11,63.709999,63.990002,61.98,62.98,10337800,62.607162
2016-01-12,63.25,63.790001,62.119999,63.439999,7796200,63.064438
2016-01-13,63.599998,64.480003,61.189999,61.279999,9706400,60.917225
2016-01-14,61.32,63.91,60.889999,63.509998,9343600,63.134023
2016-01-15,61.689999,62.919998,61.07,62.779999,11230600,62.408345
2016-01-19,63.610001,64.43,62.560001,63.209999,8463200,62.8358
2016-01-20,62.240002,64.580002,61.799999,63.549999,8702900,63.173787
2016-01-21,63.939999,63.970001,62.5,63.130001,5665200,62.756276
2016-01-22,64.459999,64.800003,63.650002,64.400002,6644000,64.018758
2016-01-25,64.230003,64.419998,62.639999,62.919998,7957100,62.547516
2016-01-26,63.029999,63.049999,61.919998,62.689999,5531500,62.318878
2016-01-27,62.939999,62.950001,61.16,61.709999,7537400,61.34468
2016-01-28,64.169998,64.25,60.0,61.16,17001400,60.797937
2016-01-29,61.650002,62.639999,61.16,62.16,10139300,61.792017
2016-02-01,61.869999,62.360001,60.049999,60.82,10195800,60.459949
2016-02-02,60.029999,60.299999,58.459999,58.869999,9915400,58.521492
2016-02-03,59.200001,60.18,57.939999,60.119999,11153900,59.764093
2016-02-04,59.619999,60.75,59.189999,59.700001,7987200,59.346581
2016-02-05,59.75,60.060001,58.990002,59.630001,7129500,59.276995
2016-02-08,59.040001,61.169998,58.77,60.720001,10656000,60.360543
2016-02-09,60.27,61.98,60.029999,61.02,6391900,60.658766
2016-02-10,61.25,62.419998,60.919998,61.080002,5933600,60.718412
2016-02-11,59.880001,60.25,58.939999,59.52,6632300,59.167646
2016-02-12,60.200001,60.41,59.16,60.200001,5979600,59.843621
2016-02-16,62.720001,62.720001,61.349998,62.18,7808000,61.811899
2016-02-17,62.889999,64.019997,61.959999,63.919998,6971400,63.541596
2016-02-18,63.950001,64.019997,62.91,63.32,6338700,62.94515
2016-02-19,62.919998,64.540001,62.91,63.799999,5873200,63.422307
2016-02-22,63.900002,64.419998,63.330002,63.700001,5821700,63.322901
2016-02-23,63.279999,63.349998,62.02,62.07,6293900,61.702549
2016-02-24,61.84,62.360001,60.830002,62.23,4825800,61.861602
2016-02-25,62.630001,63.060001,62.299999,63.029999,4499900,62.656865
2016-02-26,63.349998,63.580002,62.240002,62.25,5345100,61.881484
2016-02-29,62.259998,62.73,61.919998,61.93,7416300,61.563379
2016-03-01,62.310001,64.239998,61.919998,64.220001,5203800,63.839823
2016-03-02,64.18,65.089996,63.709999,64.900002,6150500,64.515798
2016-03-03,64.489998,65.239998,63.639999,65.0,8198200,64.615204
2016-03-04,65.0,65.290001,64.169998,64.709999,7112000,64.32692
2016-03-07,64.5,66.629997,64.449997,66.489998,6979800,66.096382
2016-03-08,66.110001,66.360001,65.730003,66.260002,6494600,65.867747
2016-03-09,66.660004,66.68,64.949997,65.540001,5431200,65.152008
2016-03-10,66.169998,66.260002,64.480003,64.940002,5992100,64.555562
2016-03-11,65.18,65.589996,64.540001,64.959999,7107600,64.57544
2016-03-14,64.68,64.699997,64.010002,64.120003,5721800,63.740417
2016-03-15,63.970001,64.279999,63.32,63.68,5400300,63.303019
2016-03-16,63.380001,64.32,62.209999,62.639999,8666400,62.269175
2016-03-17,62.52,62.610001,60.98,61.470001,9640100,61.106103
2016-03-18,61.540001,62.830002,61.0,62.830002,17343800,62.458052
2016-03-21,62.529999,62.880001,62.130001,62.700001,4002100,62.328821
2016-03-22,62.580002,63.25,62.380001,62.799999,5756300,62.428227
2016-03-23,63.080002,63.080002,62.259998,62.34,3651500,61.970952
2016-03-24,62.18,62.560001,61.73,62.52,5342100,62.149886
2016-03-28,62.580002,63.150002,62.220001,62.77,4699300,62.398406
2016-03-29,62.450001,64.449997,62.330002,64.190002,6146300,63.810002
2016-03-30,63.959999,64.160004,63.200001,63.439999,4489200,63.439999
2016-03-31,63.599998,64.040001,63.299999,63.880001,5719200,63.880001
2016-04-01,63.66,65.190002,63.5,64.910004,5800800,64.910004
2016-04-04,65.010002,66.330002,64.769997,65.970001,5720300,65.970001
2016-04-05,65.830002,66.800003,65.599998,65.760002,4306800,65.760002
2016-04-06,65.760002,67.139999,65.760002,66.540001,5715400,66.540001
2016-04-07,66.050003,66.629997,65.599998,66.279999,5580000,66.279999
2016-04-08,66.830002,66.93,65.639999,66.07,4255900,66.07
2016-04-11,66.199997,66.489998,65.769997,65.980003,3527400,65.980003
2016-04-12,65.959999,67.290001,65.860001,66.839996,4337000,66.839996
2016-04-13,67.0,67.660004,66.419998,67.57,5607200,67.57
2016-04-14,67.660004,68.309998,67.519997,67.870003,3413700,67.870003
2016-04-15,67.940002,68.300003,67.57,68.050003,3237300,68.050003
2016-04-18,68.080002,68.949997,67.589996,68.860001,3332900,68.860001
2016-04-19,68.849998,69.739998,68.190002,68.910004,3982300,68.910004
2016-04-20,69.18,69.550003,68.410004,69.230003,6889200,69.230003
2016-04-21,69.019997,70.239998,68.879997,70.160004,5373300,70.160004
2016-04-22,70.25,71.07,70.25,70.68,5798800,70.68
2016-04-25,70.610001,70.830002,70.040001,70.629997,4215900,70.629997
2016-04-26,70.639999,71.07,70.129997,70.860001,4602100,70.860001
2016-04-27,70.860001,71.0,68.610001,70.230003,7499600,70.230003
2016-04-28,71.779999,73.059998,69.5,72.260002,13653800,72.260002
2016-04-29,72.059998,72.690002,71.370003,72.18,9500800,72.18
2016-05-02,72.190002,72.339996,71.489998,71.959999,7686200,71.959999
2016-05-03,71.949997,72.029999,70.75,71.129997,5741800,71.129997
2016-05-04,70.419998,70.949997,70.139999,70.779999,6812600,70.779999
2016-05-05,70.559998,71.190002,70.040001,71.150002,6361600,71.150002
2016-05-06,71.0,71.5,69.879997,71.220001,4768000,71.220001
2016-05-09,71.339996,71.980003,71.290001,71.339996,5234700,71.339996
2016-05-10,71.75,71.75,70.849998,71.529999,5507000,71.529999
2016-05-11,71.32,71.519997,70.599998,70.809998,5288700,70.809998
2016-05-12,71.040001,71.389999,70.589996,71.279999,4917900,71.279999
2016-05-13,71.269997,71.900002,71.0,71.18,3916200,71.18
2016-05-16,71.419998,73.010002,71.019997,72.830002,5010300,72.830002
2016-05-17,72.230003,72.970001,70.900002,71.209999,10756600,71.209999
2016-05-18,70.910004,71.800003,70.639999,71.089996,5059200,71.089996
2016-05-19,70.629997,71.0,69.559998,70.330002,5414700,70.330002
2016-05-20,70.550003,71.160004,70.32,70.769997,5164000,70.769997
2016-05-23,70.93,71.0,69.610001,70.400002,5905300,70.400002
2016-05-24,70.940002,71.440002,70.830002,71.230003,3872500,71.230003
2016-05-25,71.300003,71.57,70.540001,70.690002,5810100,70.690002
2016-05-26,70.540001,70.980003,70.290001,70.730003,3958900,70.730003
2016-05-27,70.940002,71.540001,70.709999,71.309998,3612100,71.309998
2016-05-31,71.360001,71.879997,70.940002,71.699997,6947100,71.699997
2016-06-01,71.709999,72.110001,71.400002,71.870003,3724200,71.870003
2016-06-02,71.919998,73.0,71.790001,73.0,4603300,73.0
2016-06-03,72.760002,73.370003,72.330002,72.889999,5034800,72.889999
