Date,Open_SRE,High_SRE,Low_SRE,Close_SRE,Volume_SRE,AdjClose_SRE
2015-08-05,101.07,102.160004,100.370003,100.690002,1801800,98.459553
2015-08-06,100.550003,100.660004,98.93,100.239998,1400100,98.019517
2015-08-07,100.040001,101.940002,99.730003,101.839996,972200,99.584072
2015-08-10,102.0,103.169998,101.68,102.349998,1237900,100.082777
2015-08-11,102.32,103.949997,101.93,102.849998,870400,100.571701
2015-08-12,102.5,105.379997,102.169998,105.330002,1454800,102.996769
2015-08-13,105.150002,105.589996,104.419998,105.080002,1023300,102.752307
2015-08-14,104.800003,106.290001,104.5,106.129997,786800,103.779043
2015-08-17,106.150002,106.699997,105.019997,106.379997,979800,104.023505
2015-08-18,105.839996,106.279999,105.230003,105.599998,1102300,103.260784
2015-08-19,105.089996,105.589996,104.269997,104.900002,978200,102.576294
2015-08-20,104.209999,105.5,104.010002,104.300003,1210000,101.989586
2015-08-21,103.769997,104.529999,101.949997,101.959999,1312300,99.701417
2015-08-24,98.279999,101.099998,97.82,98.739998,2475500,96.552744
2015-08-25,100.040001,100.82,96.510002,96.589996,2361100,94.450369
2015-08-26,97.93,98.25,94.870003,96.93,1777300,94.782841
2015-08-27,97.559998,97.940002,96.540001,97.839996,2160300,95.672679
2015-08-28,97.699997,98.139999,96.099998,97.360001,2048800,95.203316
2015-08-31,97.059998,97.139999,94.050003,94.849998,2016400,92.748915
2015-09-01,93.580002,94.089996,91.690002,92.220001,1647200,90.177176
2015-09-02,93.169998,93.300003,90.68,92.0,2412000,89.962048
2015-09-03,92.120003,93.550003,91.75,93.389999,2616800,91.321257
2015-09-04,92.440002,93.089996,91.830002,92.639999,2220600,90.587871
2015-09-08,93.290001,93.669998,92.620003,92.949997,1569100,90.891001
2015-09-09,93.150002,93.32,91.279999,91.480003,1272500,89.45357
2015-09-10,91.389999,91.650002,89.739998,90.089996,1944300,88.094354
2015-09-11,89.900002,90.440002,89.440002,90.32,1488200,88.319263
2015-09-14,90.43,91.019997,90.0,90.309998,1013200,88.309482
2015-09-15,90.410004,91.0,89.870003,90.849998,1308400,88.837521
2015-09-16,90.870003,91.779999,90.5,91.459999,982400,89.434009
2015-09-17,91.459999,94.309998,91.050003,92.93,1359500,90.871448
2015-09-18,92.5,93.410004,92.25,92.43,2514100,90.382523
2015-09-21,92.650002,93.269997,92.199997,93.059998,1295300,90.998565
2015-09-22,93.589996,94.150002,92.690002,93.0,3013600,90.939897
2015-09-23,92.400002,93.080002,91.529999,92.110001,1158900,90.752695
2015-09-24,91.800003,92.849998,91.510002,92.739998,1112700,91.373409
2015-09-25,92.870003,95.110001,92.870003,93.940002,1649900,92.555731
2015-09-28,93.629997,94.540001,93.400002,94.029999,1903400,92.644401
2015-09-29,94.010002,94.809998,93.860001,94.459999,1602700,93.068065
2015-09-30,94.959999,96.809998,94.699997,96.720001,1888200,95.294764
2015-10-01,96.709999,96.919998,95.489998,96.400002,1782700,94.97948
2015-10-02,96.989998,96.989998,95.82,96.68,1904200,95.255353
2015-10-05,97.099998,98.419998,96.849998,98.360001,1082500,96.910597
2015-10-06,97.980003,98.690002,97.339996,97.669998,1841600,96.230763
2015-10-07,97.860001,98.800003,97.370003,97.790001,1119100,96.348997
2015-10-08,97.589996,99.800003,97.139999,99.660004,1161400,98.191444
2015-10-09,99.790001,100.300003,99.169998,99.720001,1268200,98.250557
2015-10-12,100.099998,100.959999,99.559998,100.330002,826400,98.851569
2015-10-13,100.019997,100.839996,99.889999,100.529999,1062000,99.048619
2015-10-14,100.529999,101.040001,99.25,99.389999,1512200,97.925418
2015-10-15,99.800003,101.0,99.209999,100.709999,960500,99.225967
2015-10-16,101.279999,102.029999,100.32,101.610001,1247100,100.112706
2015-10-19,101.269997,101.889999,100.809998,101.839996,982900,100.339313
2015-10-20,101.540001,101.760002,101.110001,101.459999,846900,99.964915
2015-10-21,101.830002,102.360001,101.050003,101.139999,670500,99.649631
2015-10-22,101.360001,102.550003,101.169998,102.510002,1030800,100.999446
2015-10-23,102.410004,102.959999,101.239998,101.470001,1106300,99.97477
2015-10-26,101.629997,101.830002,100.470001,101.449997,1038300,99.95506
2015-10-27,101.07,101.449997,100.290001,101.010002,772700,99.521549
2015-10-28,101.019997,101.400002,99.5,100.910004,1230300,99.423024
2015-10-29,100.5,101.480003,99.610001,101.300003,929400,99.807277
2015-10-30,101.489998,102.449997,100.870003,102.410004,1283100,100.900921
2015-11-02,102.290001,102.589996,101.730003,102.389999,1649400,100.881211
2015-11-03,102.830002,104.699997,99.169998,104.449997,1851200,102.910853
2015-11-04,104.239998,105.779999,104.110001,105.519997,1587200,103.965086
2015-11-05,105.290001,105.519997,104.07,104.120003,1175100,102.585722
2015-11-06,103.190002,103.300003,100.169998,100.919998,1476900,99.432871
2015-11-09,100.699997,100.93,99.779999,100.349998,1306000,98.871271
2015-11-10,100.459999,101.370003,100.050003,101.300003,957500,99.807277
2015-11-11,101.489998,102.150002,100.980003,101.480003,997000,99.984625
2015-11-12,101.18,102.209999,99.480003,99.5,961700,98.033798
2015-11-13,99.650002,100.379997,98.669998,98.860001,1032000,97.403229
2015-11-16,98.809998,101.5,98.779999,101.480003,1045600,99.984625
2015-11-17,101.419998,101.959999,99.940002,100.110001,857400,98.63481
2015-11-18,100.089996,101.230003,99.470001,101.099998,878900,99.610219
2015-11-19,101.110001,101.940002,100.809998,101.660004,679300,100.161972
2015-11-20,102.0,102.900002,101.75,102.169998,1293800,100.664452
2015-11-23,102.32,102.32,100.93,101.080002,622000,99.590517
2015-11-24,100.589996,100.739998,99.669998,100.279999,819200,98.802303
2015-11-25,100.080002,100.080002,99.059998,99.18,951800,97.718514
2015-11-27,99.360001,100.239998,99.199997,99.639999,429200,98.171734
2015-11-30,99.629997,100.07,99.209999,99.230003,1088100,97.76778
2015-12-01,99.639999,100.139999,98.800003,100.059998,850000,98.585544
2015-12-02,99.839996,99.989998,98.239998,98.379997,710800,96.930299
2015-12-03,97.82,98.989998,96.650002,96.959999,997100,95.531226
2015-12-04,97.290001,98.220001,96.220001,97.669998,1225000,96.230763
2015-12-07,97.440002,97.440002,93.050003,95.0,3027300,93.600109
2015-12-08,94.5,95.0,92.75,94.019997,1789700,92.634546
2015-12-09,93.639999,94.440002,92.800003,93.75,1561100,92.368528
2015-12-10,93.669998,94.110001,92.349998,92.519997,888800,91.15665
2015-12-11,91.900002,92.230003,90.870003,91.279999,1556100,89.934924
2015-12-14,91.239998,92.019997,90.519997,91.900002,1342700,90.545791
2015-12-15,92.330002,93.610001,92.139999,92.800003,966300,91.43253
2015-12-16,92.919998,96.349998,92.75,96.25,1750900,94.831689
2015-12-17,96.300003,96.779999,95.550003,95.949997,898300,94.536107
2015-12-18,95.230003,95.529999,94.059998,94.410004,2340000,93.018806
2015-12-21,94.910004,95.300003,93.629997,94.169998,1140800,92.782337
2015-12-22,94.410004,94.410004,93.160004,93.919998,1008000,92.536021
2015-12-23,93.589996,97.089996,93.589996,96.540001,1236500,95.831666
2015-12-24,96.110001,96.400002,95.709999,96.019997,343300,95.315478
2015-12-28,95.669998,96.269997,95.169998,96.050003,414700,95.345264
2015-12-29,96.489998,96.839996,95.730003,95.849998,1145000,95.146727
2015-12-30,95.980003,96.370003,94.699997,94.849998,1480800,94.154064
2015-12-31,94.470001,94.769997,92.889999,94.010002,1247900,93.320231
2016-01-04,93.160004,93.25,92.370003,93.18,1490300,92.496319
2016-01-05,92.830002,94.43,92.110001,94.290001,1209900,93.598175
2016-01-06,93.510002,93.849998,91.849998,92.0,1967600,91.324976
2016-01-07,90.489998,90.900002,86.730003,87.0,4730900,86.361663
2016-01-08,87.129997,88.940002,86.720001,87.830002,2995400,87.185574
2016-01-11,88.029999,89.870003,87.82,89.690002,2285600,89.031928
2016-01-12,90.82,90.849998,88.400002,88.940002,2002800,88.287431
2016-01-13,89.540001,91.800003,89.139999,90.239998,2119900,89.577888
2016-01-14,90.220001,93.559998,90.050003,92.940002,2360400,92.258082
2016-01-15,91.330002,92.279999,90.290001,91.989998,1940500,91.315048
2016-01-19,92.68,93.150002,92.019997,92.5,2488500,91.821308
2016-01-20,92.110001,92.290001,89.139999,90.050003,2086700,89.389287
2016-01-21,90.099998,91.330002,89.449997,91.040001,1274900,90.372021
2016-01-22,91.68,93.849998,91.389999,93.610001,1393300,92.923164
2016-01-25,93.230003,93.849998,91.830002,92.07,968900,91.394463
2016-01-26,92.360001,93.32,91.739998,92.220001,1216000,91.543363
2016-01-27,91.940002,92.300003,90.589996,91.330002,1189600,90.659894
2016-01-28,91.769997,93.029999,91.529999,92.830002,1112100,92.148888
2016-01-29,93.709999,95.279999,93.709999,94.75,2017100,94.054799
2016-02-01,94.75,96.199997,94.290001,95.669998,1420900,94.968047
2016-02-02,94.940002,95.650002,94.040001,95.519997,2266600,94.819146
2016-02-03,95.949997,96.839996,95.18,95.639999,1722600,94.938268
2016-02-04,95.480003,96.970001,95.199997,95.309998,1989100,94.610688
