Date,Open_NTRS,High_NTRS,Low_NTRS,Close_NTRS,Volume_NTRS,AdjClose_NTRS
2013-10-04,53.25,53.860001,53.040001,53.630001,1316700,50.723246
2013-10-07,53.119999,53.52,52.93,53.130001,1027500,50.250346
2013-10-08,52.98,53.200001,52.400002,52.41,1372200,49.569369
2013-10-09,52.59,53.189999,52.529999,52.990002,1391600,50.117934
2013-10-10,53.560001,54.740002,53.41,54.73,1568100,51.763624
2013-10-11,54.290001,55.0,54.119999,54.790001,706500,51.820373
2013-10-14,54.439999,55.32,54.25,55.25,1102200,52.25544
2013-10-15,55.02,55.25,54.18,54.48,1785600,51.527174
2013-10-16,55.169998,56.93,54.810001,55.040001,4019900,52.056823
2013-10-17,54.959999,56.580002,54.790001,56.509998,1788000,53.447147
2013-10-18,56.91,56.98,56.07,56.52,1239600,53.456607
2013-10-21,53.860001,56.639999,53.860001,56.360001,849900,53.305279
2013-10-22,56.450001,56.450001,55.610001,55.959999,1487800,52.926957
2013-10-23,55.57,56.02,55.150002,55.529999,1342100,52.520263
2013-10-24,55.720001,56.099998,55.400002,56.009998,930100,52.974247
2013-10-25,55.959999,56.599998,55.810001,56.400002,961600,53.343112
2013-10-28,56.540001,57.150002,56.360001,56.849998,1350000,53.768719
2013-10-29,57.009998,57.27,56.630001,57.18,947500,54.080834
2013-10-30,57.18,57.689999,56.939999,57.099998,921000,54.005169
2013-10-31,57.189999,57.240002,56.389999,56.419998,1151400,53.362025
2013-11-01,56.380001,56.709999,56.209999,56.580002,1096000,53.513356
2013-11-04,56.349998,56.75,56.25,56.650002,1009700,53.579562
2013-11-05,56.639999,57.189999,56.200001,57.139999,1039700,54.043002
2013-11-06,57.540001,57.540001,56.880001,57.18,747900,54.080834
2013-11-07,57.439999,57.650002,56.200001,56.23,932900,53.182324
2013-11-08,56.119999,58.419998,56.040001,58.400002,1195500,55.234711
2013-11-11,58.560001,58.560001,57.91,58.099998,675500,54.950969
2013-11-12,57.91,58.099998,57.43,57.700001,704900,54.572651
2013-11-13,56.43,57.77,56.43,57.639999,1003800,54.515901
2013-11-14,57.529999,57.939999,57.139999,57.200001,1377900,54.099751
2013-11-15,57.23,57.700001,56.830002,57.150002,1235200,54.052462
2013-11-18,57.169998,57.5,56.889999,56.990002,856800,53.901134
2013-11-19,56.790001,57.43,56.419998,57.240002,1596200,54.137584
2013-11-20,57.189999,57.84,57.130001,57.400002,1088600,54.288912
2013-11-21,57.599998,58.040001,57.400002,57.939999,722500,54.799641
2013-11-22,58.09,58.099998,57.57,58.099998,930100,54.950969
2013-11-25,58.09,58.740002,57.790001,58.59,964400,55.414412
2013-11-26,58.560001,58.990002,58.459999,58.66,1094100,55.480618
2013-11-27,58.709999,59.0,58.439999,58.939999,701900,55.745441
2013-11-29,58.990002,59.400002,58.689999,58.990002,646200,55.792733
2013-12-02,58.91,59.529999,58.48,58.700001,944700,55.518451
2013-12-03,58.34,58.830002,57.98,58.349998,1252800,55.187418
2013-12-04,57.790001,58.5,57.439999,57.869999,918700,55.025772
2013-12-05,57.740002,58.139999,57.689999,57.75,997000,54.911671
2013-12-06,58.400002,58.919998,58.32,58.75,970000,55.862522
2013-12-09,59.0,59.220001,58.740002,58.950001,887800,56.052693
2013-12-10,58.59,59.099998,58.23,58.27,1102200,55.406114
2013-12-11,58.119999,58.259998,57.150002,57.169998,1702200,54.360175
2013-12-12,57.290001,57.549999,56.66,57.139999,1279300,54.331651
2013-12-13,58.279999,58.279999,57.139999,57.580002,1616800,54.750028
2013-12-16,57.959999,58.389999,57.68,57.82,1535600,54.97823
2013-12-17,57.709999,57.98,57.189999,57.5,1024600,54.673958
2013-12-18,57.470001,59.400002,57.299999,59.369999,1691100,56.452049
2013-12-19,59.09,59.43,58.709999,59.279999,1209400,56.366472
2013-12-20,59.639999,60.939999,59.450001,60.810001,3895700,57.821277
2013-12-23,60.59,61.369999,60.57,61.290001,1446400,58.277686
2013-12-24,61.110001,61.400002,60.860001,61.299999,454400,58.287193
2013-12-26,61.580002,61.82,61.27,61.709999,688200,58.677042
2013-12-27,61.599998,61.669998,61.18,61.450001,755700,58.429822
2013-12-30,61.57,61.810001,61.549999,61.720001,854700,58.686552
2013-12-31,61.700001,62.0,61.66,61.889999,709000,58.848195
2014-01-02,61.759998,61.950001,60.669998,60.889999,1011100,57.897344
2014-01-03,61.200001,61.599998,60.990002,61.299999,873100,58.287193
2014-01-06,61.470001,61.790001,60.580002,60.919998,1518500,57.925868
2014-01-07,61.110001,61.91,60.77,61.700001,1155700,58.667535
2014-01-08,61.57,62.139999,61.25,62.02,2320900,58.971807
2014-01-09,62.16,62.380001,61.290001,61.490002,909400,58.467857
2014-01-10,61.060001,61.490002,60.849998,61.119999,862100,58.116039
2014-01-13,61.040001,61.23,60.259998,60.43,1025700,57.459953
2014-01-14,60.650002,60.970001,60.419998,60.599998,1118500,57.621596
2014-01-15,60.939999,61.389999,60.810001,61.200001,1330400,58.192109
2014-01-16,61.040001,61.349998,60.73,61.049999,1080100,58.04948
2014-01-17,61.189999,61.330002,60.330002,60.709999,1569000,57.72619
2014-01-21,61.16,61.59,60.400002,60.610001,1524900,57.631106
2014-01-22,61.779999,63.0,60.759998,62.610001,4200500,59.532809
2014-01-23,62.759998,62.950001,61.75,62.599998,1983600,59.523299
2014-01-24,61.16,62.18,61.09,61.130001,1936000,58.12555
2014-01-27,61.240002,61.490002,60.509998,60.549999,1435600,57.574054
2014-01-28,60.389999,61.080002,60.32,60.759998,1447800,57.773732
2014-01-29,60.32,61.169998,60.240002,60.700001,1561500,57.716683
2014-01-30,61.09,61.34,60.419998,61.119999,955200,58.116039
2014-01-31,60.279999,60.779999,59.830002,60.220001,1259900,57.260275
2014-02-03,60.299999,60.400002,58.310001,58.400002,1452200,55.529726
2014-02-04,58.599998,59.93,58.310001,59.779999,1509900,56.841898
2014-02-05,59.650002,59.98,59.130001,59.16,937600,56.252371
2014-02-06,59.220001,59.950001,58.98,59.75,794800,56.813374
2014-02-07,60.0,60.93,59.799999,60.73,960200,57.745208
2014-02-10,60.720001,60.889999,60.380001,60.849998,555800,57.859309
2014-02-11,60.799999,61.990002,60.419998,61.77,838900,58.734094
2014-02-12,61.810001,62.389999,61.610001,61.869999,1155500,58.829178
2014-02-13,61.529999,62.110001,61.360001,62.040001,895600,58.990824
2014-02-14,61.889999,62.389999,61.75,62.25,769300,59.190502
2014-02-18,62.0,62.459999,61.580002,62.220001,787800,59.161978
2014-02-19,61.860001,62.34,61.400002,61.43,1066200,58.410804
2014-02-20,61.540001,61.970001,60.98,61.540001,926900,58.515399
2014-02-21,61.669998,62.290001,61.119999,61.900002,860200,58.857706
2014-02-24,61.830002,62.84,61.830002,62.450001,947800,59.380673
2014-02-25,62.529999,62.529999,61.759998,61.860001,676100,58.819671
2014-02-26,62.009998,62.16,61.27,61.720001,869800,58.686552
2014-02-27,61.48,62.189999,61.470001,62.18,839800,59.123943
2014-02-28,62.049999,62.490002,61.549999,61.849998,1547700,58.81016
2014-03-03,61.43,62.0,60.779999,61.330002,1185400,58.315721
2014-03-04,62.009998,62.380001,61.810001,62.290001,990800,59.228537
2014-03-05,61.669998,62.150002,61.59,62.130001,710800,59.371879
2014-03-06,62.369999,63.0,62.07,62.82,812800,60.031246
2014-03-07,62.959999,64.260002,62.900002,64.019997,1548600,61.177972
2014-03-10,63.849998,64.400002,63.549999,64.120003,781300,61.273539
2014-03-11,63.009998,63.880001,62.91,63.139999,726400,60.33704
2014-03-12,62.669998,63.02,62.34,62.700001,728900,59.916574
2014-03-13,63.0,63.0,61.709999,61.799999,1013500,59.056526
2014-03-14,61.91,62.279999,61.650002,62.040001,906200,59.285874
2014-03-17,62.5,62.990002,62.32,62.75,646400,59.964354
2014-03-18,62.700001,63.16,62.450001,63.080002,984500,60.279706
2014-03-19,63.119999,64.010002,62.689999,63.919998,1403300,61.082413
2014-03-20,63.669998,66.099998,63.43,65.580002,2496800,62.668724
2014-03-21,66.470001,67.169998,65.669998,65.769997,2363000,62.850285
2014-03-24,65.970001,66.410004,65.029999,65.650002,1438700,62.735616
2014-03-25,66.089996,66.360001,64.839996,65.309998,1020100,62.410706
2014-03-26,65.75,65.790001,64.650002,64.669998,852200,61.799118
2014-03-27,64.660004,64.93,63.68,64.32,1297000,61.464657
2014-03-28,64.610001,65.400002,64.32,64.910004,760900,62.028469
2014-03-31,65.440002,65.760002,64.940002,65.559998,787000,62.649608
2014-04-01,65.779999,65.980003,65.290001,65.75,833300,62.831176
2014-04-02,65.709999,65.839996,65.339996,65.639999,2180000,62.726058
2014-04-03,65.900002,65.940002,65.190002,65.470001,1543100,62.563607
2014-04-04,65.769997,65.860001,64.010002,64.160004,1541100,61.311764
2014-04-07,64.199997,64.360001,62.57,62.830002,1726200,60.040804
2014-04-08,62.790001,63.25,62.099998,62.580002,1887800,59.801903
2014-04-09,62.84,62.900002,62.27,62.779999,1105500,59.993021
2014-04-10,62.869999,62.880001,61.400002,61.560001,1620900,58.827183
2014-04-11,60.970001,61.290001,60.580002,60.59,1282400,57.900243
2014-04-14,61.369999,61.619999,60.619999,61.220001,1495000,58.502276
2014-04-15,58.380001,60.16,58.299999,59.630001,3196600,56.98286
2014-04-16,60.529999,60.580002,58.549999,59.040001,3107200,56.419052
2014-04-17,58.919998,59.77,58.849998,59.389999,1923200,56.753513
2014-04-21,59.650002,60.18,59.48,59.91,1354300,57.250429
2014-04-22,59.689999,60.700001,59.189999,60.290001,1181100,57.613561
2014-04-23,60.150002,61.02,60.150002,60.84,1142000,58.139144
2014-04-24,61.189999,61.23,60.200001,60.240002,1378000,57.565781
2014-04-25,60.049999,60.18,59.389999,59.470001,1432700,56.829963
2014-04-28,59.630001,59.689999,58.689999,59.200001,1400900,56.571949
2014-04-29,59.610001,60.279999,59.400002,60.02,859100,57.355547
2014-04-30,59.849998,60.41,58.619999,60.25,917200,57.575336
2014-05-01,60.27,60.939999,59.869999,60.060001,932100,57.393772
2014-05-02,59.970001,61.27,58.610001,60.490002,787900,57.804683
2014-05-05,60.040001,60.330002,59.619999,60.150002,421700,57.479777
2014-05-06,59.82,60.049999,59.380001,59.439999,806400,56.801293
2014-05-07,59.77,60.709999,59.310001,60.639999,803400,57.948022
2014-05-08,60.720001,61.630001,59.880001,61.040001,1212100,58.330267
2014-05-09,61.32,61.700001,60.450001,61.110001,981900,58.397159
2014-05-12,61.259998,61.830002,61.209999,61.759998,601300,59.018301
2014-05-13,61.700001,61.919998,61.43,61.720001,765000,58.98008
2014-05-14,61.68,61.75,60.720001,60.880001,731900,58.17737
2014-05-15,60.790001,61.009998,58.720001,59.619999,1621800,56.973302
2014-05-16,59.759998,59.970001,58.990002,59.810001,1078100,57.15487
2014-05-19,59.580002,60.25,59.580002,60.080002,746600,57.412884
2014-05-20,59.98,60.369999,59.419998,59.57,599600,56.925523
2014-05-21,59.849998,60.259998,59.610001,59.880001,811300,57.221762
2014-05-22,59.860001,60.490002,59.759998,60.330002,603800,57.651786
2014-05-23,60.25,60.509998,60.009998,60.360001,677200,57.680453
2014-05-27,60.580002,61.110001,60.470001,60.84,874400,58.139144
2014-05-28,60.959999,61.150002,60.43,60.779999,832200,58.081807
2014-05-29,60.869999,60.939999,60.209999,60.490002,712400,57.804683
2014-05-30,60.5,60.630001,60.240002,60.400002,794400,57.718678
2014-06-02,60.459999,60.880001,60.200001,60.830002,440800,58.12959
2014-06-03,60.57,60.98,60.5,60.939999,561400,58.234704
2014-06-04,60.540001,61.369999,60.52,61.290001,666800,58.888057
2014-06-05,61.34,61.84,60.959999,61.630001,503300,59.214733
2014-06-06,61.919998,62.490002,61.73,62.209999,887400,59.772001
2014-06-09,62.07,62.889999,62.07,62.639999,799200,60.185149
2014-06-10,62.369999,62.759998,62.27,62.689999,455500,60.233189
2014-06-11,62.34,62.369999,61.98,62.099998,431400,59.666311
2014-06-12,62.150002,62.619999,61.790001,62.200001,778100,59.762394
2014-06-13,62.299999,62.77,61.98,62.209999,639100,59.772001
2014-06-16,62.02,62.560001,61.650002,62.25,999900,59.810434
2014-06-17,61.970001,64.970001,61.810001,63.889999,2330800,61.386162
2014-06-18,63.830002,64.720001,63.43,64.389999,2219500,61.866567
2014-06-19,64.540001,64.57,63.720001,64.120003,1019100,61.607152
2014-06-20,64.510002,64.510002,63.830002,64.290001,1743100,61.770488
2014-06-23,64.160004,64.470001,63.75,64.110001,777500,61.597542
2014-06-24,63.900002,64.620003,63.779999,63.880001,1001200,61.376556
2014-06-25,63.630001,64.199997,63.32,64.150002,666100,61.635975
2014-06-26,64.040001,64.190002,63.09,64.07,720400,61.559108
2014-06-27,63.91,64.519997,63.689999,64.449997,943600,61.924213
2014-06-30,64.470001,64.900002,64.110001,64.209999,1246300,61.693621
2014-07-01,64.510002,64.989998,64.230003,64.5,1080100,61.972257
2014-07-02,64.309998,64.919998,63.98,64.059998,991700,61.549498
2014-07-03,64.389999,65.279999,64.139999,64.889999,654200,62.346972
2014-07-07,64.599998,64.830002,64.080002,64.800003,627200,62.260503
2014-07-08,64.519997,64.559998,63.84,64.120003,615400,61.607152
2014-07-09,64.480003,64.709999,63.759998,64.019997,974100,61.511065
2014-07-10,63.540001,64.050003,63.110001,63.830002,626800,61.328516
2014-07-11,63.830002,64.489998,63.360001,64.410004,853200,61.885788
2014-07-14,64.949997,65.230003,64.230003,64.43,1163800,61.905
2014-07-15,64.470001,65.199997,64.330002,64.480003,1520800,61.953044
2014-07-16,64.900002,65.739998,63.919998,64.480003,1505900,61.953044
2014-07-17,64.150002,64.68,63.900002,64.339996,1414800,61.818524
2014-07-18,64.699997,65.190002,64.269997,65.019997,1294000,62.471875
2014-07-21,64.559998,65.529999,64.559998,65.489998,1126600,62.923457
2014-07-22,65.5,66.190002,65.410004,66.07,1460500,63.480729
2014-07-23,66.010002,66.629997,65.760002,66.389999,1442000,63.788188
2014-07-24,66.400002,67.260002,66.370003,67.110001,1115600,64.479972
2014-07-25,67.110001,67.370003,66.949997,67.129997,1143800,64.499185
2014-07-28,67.150002,67.449997,66.809998,67.18,1049900,64.547228
2014-07-29,66.629997,67.699997,66.629997,67.110001,993500,64.479972
2014-07-30,67.5,68.110001,66.839996,67.879997,1368100,65.219793
2014-07-31,67.639999,67.919998,66.889999,66.889999,1460200,64.268593
2014-08-01,66.800003,66.940002,65.989998,66.139999,1293200,63.547985
2014-08-04,66.139999,66.639999,65.93,66.5,1049300,63.893877
2014-08-05,66.120003,66.5,65.449997,65.68,814500,63.106013
2014-08-06,65.529999,66.620003,65.410004,65.900002,1118000,63.317393
2014-08-07,66.239998,66.470001,65.449997,65.690002,2076100,63.115623
2014-08-08,65.690002,66.209999,65.470001,66.129997,1361400,63.538375
2014-08-11,66.169998,66.379997,65.940002,66.25,1316900,63.653675
2014-08-12,66.209999,66.470001,66.120003,66.440002,1345300,63.836231
2014-08-13,64.059998,66.849998,64.059998,66.779999,1001200,64.162903
2014-08-14,66.760002,67.129997,66.370003,66.980003,875600,64.355069
2014-08-15,67.160004,67.279999,66.25,66.589996,999000,63.980347
2014-08-18,67.120003,67.379997,66.370003,67.150002,810300,64.518405
2014-08-19,67.230003,67.449997,66.779999,66.959999,1348700,64.335849
2014-08-20,66.949997,67.379997,66.599998,67.230003,1269200,64.595272
2014-08-21,67.199997,68.0,67.199997,67.989998,1233500,65.325482
2014-08-22,67.760002,68.68,66.480003,68.260002,1312700,65.584905
2014-08-25,68.440002,69.160004,68.419998,68.940002,1710300,66.238256
2014-08-26,69.019997,69.089996,68.690002,68.940002,664600,66.238256
2014-08-27,68.800003,69.139999,68.68,68.970001,921300,66.26708
2014-08-28,68.849998,68.889999,68.449997,68.800003,822500,66.103744
2014-08-29,69.0,69.440002,68.699997,69.349998,1091500,66.632185
2014-09-02,69.540001,69.870003,69.110001,69.489998,1776100,66.766698
2014-09-03,69.620003,69.769997,69.150002,69.400002,1304800,66.998396
2014-09-04,69.620003,69.879997,69.010002,69.07,1146500,66.679814
2014-09-05,68.849998,69.440002,68.660004,69.120003,1181600,66.728087
2014-09-08,68.769997,68.949997,68.230003,68.620003,1923100,66.245389
2014-09-09,68.610001,68.639999,67.989998,68.269997,861800,65.907495
2014-09-10,68.43,69.099998,68.290001,68.849998,988700,66.467426
2014-09-11,68.639999,69.139999,68.480003,69.07,819200,66.679814
2014-09-12,69.110001,69.800003,68.959999,69.550003,1099000,67.143207
2014-09-15,69.339996,69.529999,69.019997,69.339996,1029900,66.940467
2014-09-16,69.300003,69.580002,68.970001,69.18,1040400,66.786008
2014-09-17,69.209999,70.389999,68.93,69.900002,1220400,67.481093
2014-09-18,70.040001,70.839996,69.889999,70.330002,1582300,67.896214
2014-09-19,70.599998,70.650002,69.629997,69.629997,1568000,67.220433
2014-09-22,69.32,69.82,69.269997,69.529999,1104800,67.123895
2014-09-23,69.660004,69.830002,69.010002,69.050003,1455600,66.660509
2014-09-24,68.68,69.269997,68.360001,69.209999,1060400,66.814969
2014-09-25,69.139999,69.709999,68.0,68.080002,1076200,65.724075
2014-09-26,68.580002,68.790001,68.010002,68.650002,723400,66.27435
2014-09-29,67.989998,68.449997,67.620003,68.230003,764200,65.868886
2014-09-30,68.410004,68.57,67.690002,68.029999,1117500,65.675803
2014-10-01,68.099998,68.099998,67.139999,67.260002,856600,64.932452
2014-10-02,67.220001,67.610001,66.830002,67.370003,674400,65.038646
2014-10-03,67.739998,68.349998,67.580002,68.120003,572900,65.762692
2014-10-06,68.559998,68.699997,67.709999,68.220001,706600,65.85923
2014-10-07,67.82,68.07,66.639999,66.660004,945100,64.353217
2014-10-08,66.779999,67.419998,66.290001,67.379997,1318500,65.048295
2014-10-09,67.589996,67.589996,65.419998,65.440002,1740100,63.175434
2014-10-10,65.550003,66.199997,64.519997,64.550003,1280900,62.316233
2014-10-13,64.650002,64.980003,63.68,63.799999,1098800,61.592183
2014-10-14,64.040001,64.830002,63.650002,63.790001,960800,61.582531
2014-10-15,62.970001,63.900002,61.259998,62.59,2222400,60.424057
2014-10-16,61.389999,63.310001,60.779999,62.759998,1644900,60.588172
2014-10-17,64.809998,64.809998,62.970001,63.299999,1807600,61.109486
2014-10-20,63.950001,64.699997,62.970001,63.610001,1220600,61.40876
2014-10-21,64.0,65.529999,63.970001,65.470001,1743700,63.204395
2014-10-22,62.07,64.629997,61.490002,61.900002,3593800,59.757936
2014-10-23,62.16,63.099998,62.119999,62.860001,2278100,60.684714
2014-10-24,62.779999,63.68,62.619999,63.639999,1456900,61.43772
2014-10-27,63.630001,63.700001,63.119999,63.639999,1279800,61.43772
2014-10-28,64.209999,64.330002,62.349998,64.18,1554200,61.959034
2014-10-29,64.199997,65.160004,63.98,65.099998,1856200,62.847196
2014-10-30,64.730003,65.5,64.589996,65.230003,1286600,62.972702
2014-10-31,66.139999,66.559998,65.690002,66.300003,1530200,64.005674
2014-11-03,66.230003,66.510002,65.660004,65.790001,1376100,63.513321
2014-11-04,65.830002,66.120003,65.199997,65.910004,873500,63.629171
2014-11-05,66.379997,66.5,65.779999,66.290001,944800,63.996018
2014-11-06,66.440002,66.900002,66.190002,66.830002,819500,64.517332
2014-11-07,66.690002,67.160004,66.239998,66.900002,732600,64.584909
2014-11-10,66.0,67.269997,66.0,67.230003,674600,64.903491
2014-11-11,67.110001,67.760002,66.5,67.580002,805400,65.241378
2014-11-12,67.440002,68.080002,67.160004,67.860001,798600,65.511687
2014-11-13,68.0,68.199997,67.190002,67.519997,817600,65.183449
2014-11-14,67.279999,68.040001,67.150002,67.790001,1057000,65.44411
2014-11-17,67.669998,67.849998,67.470001,67.830002,1049600,65.482727
2014-11-18,67.940002,68.419998,67.489998,68.120003,967900,65.762692
2014-11-19,67.980003,68.309998,67.540001,68.139999,765000,65.781997
2014-11-20,67.550003,68.43,67.389999,68.309998,789200,65.946112
2014-11-21,69.150002,69.150002,67.709999,67.919998,1536500,65.569609
2014-11-24,67.959999,68.440002,67.519997,67.739998,1265200,65.395837
2014-11-25,68.0,68.0,67.599998,67.849998,1137200,65.502031
2014-11-26,67.949997,68.139999,67.489998,67.610001,951800,65.270339
2014-11-28,67.760002,67.989998,67.489998,67.730003,393800,65.386189
2014-12-01,67.489998,67.699997,66.410004,66.779999,818300,64.469059
2014-12-02,67.019997,67.809998,65.190002,67.669998,669200,65.32826
2014-12-03,67.239998,67.860001,67.010002,67.839996,715400,65.813322
2014-12-04,67.599998,68.0,67.32,67.529999,729900,65.512586
2014-12-05,67.989998,68.900002,67.849998,68.360001,942200,66.317792
2014-12-08,68.339996,69.0,67.889999,68.669998,675500,66.618528
2014-12-09,67.830002,68.559998,67.519997,68.379997,563700,66.337191
2014-12-10,68.0,68.790001,67.050003,67.089996,797200,65.085728
2014-12-11,67.449997,68.190002,66.760002,66.860001,885200,64.862603
2014-12-12,66.260002,67.089996,65.900002,65.900002,1082100,63.931283
2014-12-15,66.199997,66.400002,64.879997,65.650002,865600,63.688752
2014-12-16,65.510002,66.540001,64.720001,64.730003,867600,62.796238
2014-12-17,64.879997,66.419998,64.760002,66.360001,1010300,64.37754
2014-12-18,67.190002,68.029999,67.07,68.029999,1153800,65.997648
2014-12-19,68.010002,68.489998,67.120003,67.300003,2985100,65.289461
2014-12-22,67.43,67.93,67.139999,67.860001,716900,65.832729
2014-12-23,68.18,68.849998,67.959999,68.699997,605300,66.647631
2014-12-24,68.839996,68.849998,68.269997,68.330002,292600,66.288689
2014-12-26,68.650002,68.669998,68.150002,68.150002,386700,66.114066
2014-12-29,68.0,68.870003,67.919998,68.309998,459900,66.269283
2014-12-30,68.120003,68.400002,67.970001,68.080002,375100,66.046158
2014-12-31,68.360001,68.75,67.389999,67.400002,639800,65.386472
2015-01-02,67.68,67.949997,66.790001,67.550003,676000,65.531992
2015-01-05,67.010002,67.150002,64.989998,65.07,1420400,63.126077
2015-01-06,65.220001,65.349998,63.009998,63.240002,1520100,61.350749
2015-01-07,63.779999,64.419998,63.330002,64.260002,798600,62.340278
