Date,Open_DUK,High_DUK,Low_DUK,Close_DUK,Volume_DUK,AdjClose_DUK
2015-11-11,67.529999,68.440002,67.400002,68.230003,2733100,66.816285
2015-11-12,68.010002,68.809998,67.279999,67.290001,3095600,65.89576
2015-11-13,67.449997,67.989998,66.68,66.889999,3497200,65.504046
2015-11-16,66.889999,67.75,66.760002,67.730003,2782100,66.326645
2015-11-17,67.540001,68.010002,65.650002,65.830002,5423400,64.466012
2015-11-18,66.139999,67.300003,65.82,67.199997,3856600,65.807621
2015-11-19,67.489998,68.529999,67.25,68.489998,3770600,67.070893
2015-11-20,68.849998,69.459999,68.639999,69.099998,3734400,67.668254
2015-11-23,69.050003,69.25,67.790001,68.010002,3441400,66.600843
2015-11-24,67.760002,68.190002,67.360001,68.080002,2860900,66.669392
2015-11-25,67.970001,68.160004,67.580002,67.720001,1973000,66.316851
2015-11-27,67.739998,68.300003,67.489998,67.510002,1482000,66.111203
2015-11-30,67.610001,68.230003,67.550003,67.760002,3847700,66.356023
2015-12-01,68.050003,68.440002,67.389999,68.059998,2846900,66.649802
2015-12-02,67.879997,67.940002,66.059998,66.129997,4304000,64.759791
2015-12-03,66.040001,66.730003,65.5,66.230003,3960300,64.857725
2015-12-04,66.489998,67.099998,66.300003,67.040001,2711300,65.65094
2015-12-07,66.800003,68.559998,66.769997,68.5,4328100,67.080688
2015-12-08,68.269997,68.599998,67.809998,68.440002,3690100,67.021933
2015-12-09,68.169998,69.5,67.900002,68.610001,2703200,67.188409
2015-12-10,68.449997,68.459999,67.309998,67.43,2972700,66.032858
2015-12-11,67.190002,67.980003,66.989998,67.839996,4730300,66.434359
2015-12-14,67.809998,68.5,67.25,68.449997,3645400,67.031721
2015-12-15,68.57,69.529999,68.260002,68.839996,4185300,67.413639
2015-12-16,69.290001,70.290001,69.110001,70.029999,4747800,68.578985
2015-12-17,70.07,71.019997,69.699997,70.5,4205800,69.039248
2015-12-18,70.080002,70.349998,68.779999,69.599998,6136900,68.157894
2015-12-21,69.959999,70.260002,69.330002,69.809998,2122600,68.363542
2015-12-22,70.349998,71.150002,69.660004,70.949997,2949000,69.479921
2015-12-23,71.150002,72.309998,71.080002,72.0,2737700,70.508168
2015-12-24,72.0,72.389999,71.900002,72.040001,1018200,70.54734
2015-12-28,71.75,72.260002,71.599998,71.919998,2351800,70.429824
2015-12-29,72.279999,72.75,72.169998,72.370003,1943600,70.870505
2015-12-30,72.370003,72.599998,72.120003,72.190002,2062000,70.694234
2015-12-31,72.139999,72.220001,70.739998,71.389999,2999500,69.910807
2016-01-04,70.93,71.209999,70.160004,71.190002,3565500,69.714954
