Date,Open_EA,High_EA,Low_EA,Close_EA,Volume_EA,AdjClose_EA
2016-04-07,65.699997,65.910004,63.669998,63.93,2900400,63.93
2016-04-08,64.120003,64.699997,63.279999,64.239998,2352000,64.239998
2016-04-11,64.389999,64.400002,63.119999,63.16,1860100,63.16
2016-04-12,63.139999,63.150002,61.900002,62.959999,2960800,62.959999
2016-04-13,63.040001,65.029999,62.91,64.769997,3082600,64.769997
2016-04-14,64.849998,65.239998,64.43,64.940002,2100600,64.940002
2016-04-15,65.139999,66.970001,64.459999,66.839996,4644000,66.839996
2016-04-18,66.279999,66.559998,65.459999,66.519997,2845700,66.519997
2016-04-19,66.589996,66.739998,65.330002,66.190002,1903500,66.190002
2016-04-20,66.599998,66.739998,65.699997,65.800003,1804400,65.800003
2016-04-21,65.830002,66.330002,65.230003,66.18,1741700,66.18
2016-04-22,65.900002,66.849998,65.32,65.870003,2600400,65.870003
2016-04-25,65.43,66.0,65.419998,65.93,1153300,65.93
2016-04-26,65.970001,66.290001,65.169998,65.330002,1515400,65.330002
2016-04-27,65.129997,65.419998,62.349998,63.349998,5537400,63.349998
2016-04-28,63.119999,64.019997,61.91,62.32,4232600,62.32
2016-04-29,61.810001,62.419998,61.23,61.849998,3727500,61.849998
2016-05-02,62.0,63.119999,61.700001,62.889999,3360400,62.889999
2016-05-03,62.610001,63.23,62.02,62.080002,3222900,62.080002
2016-05-04,61.740002,62.48,61.099998,61.880001,3211800,61.880001
2016-05-05,62.279999,62.759998,61.18,62.240002,4874100,62.240002
2016-05-06,62.189999,63.990002,61.990002,63.939999,3362800,63.939999
2016-05-09,64.18,65.040001,64.010002,64.519997,3041900,64.519997
2016-05-10,65.0,65.099998,63.73,64.540001,7427600,64.540001
2016-05-11,70.43,74.919998,70.239998,73.379997,21897100,73.379997
2016-05-12,73.629997,76.239998,73.389999,75.010002,8195900,75.010002
2016-05-13,74.730003,76.089996,74.660004,75.199997,4182500,75.199997
2016-05-16,75.07,77.150002,74.809998,76.620003,4326800,76.620003
2016-05-17,75.720001,76.599998,74.529999,75.139999,5105100,75.139999
2016-05-18,74.699997,74.870003,73.260002,74.489998,4430200,74.489998
2016-05-19,74.220001,74.220001,72.940002,73.5,3233700,73.5
2016-05-20,73.480003,74.010002,72.93,73.110001,3772500,73.110001
2016-05-23,73.389999,73.889999,72.410004,73.239998,3243800,73.239998
2016-05-24,73.68,75.660004,73.25,75.349998,3781500,75.349998
2016-05-25,75.389999,75.830002,74.839996,74.940002,2002500,74.940002
2016-05-26,74.629997,75.43,73.919998,75.110001,1631800,75.110001
2016-05-27,75.330002,76.459999,75.330002,75.699997,2311200,75.699997
2016-05-31,75.980003,76.82,75.699997,76.75,4674600,76.75
2016-06-01,76.809998,77.379997,76.199997,76.620003,3240500,76.620003
2016-06-02,76.720001,76.940002,76.099998,76.580002,2062400,76.580002
2016-06-03,76.699997,76.699997,75.43,76.360001,1861000,76.360001
