Date,Open_VFC,High_VFC,Low_VFC,Close_VFC,Volume_VFC,AdjClose_VFC
2014-03-19,62.220001,62.439999,61.189999,61.689999,2152700,59.091823
2014-03-20,61.490002,62.48,61.209999,62.279999,2016300,59.656974
2014-03-21,62.799999,63.209999,62.220001,62.299999,3172600,59.676132
2014-03-24,62.43,62.849998,61.59,61.900002,1383600,59.292981
2014-03-25,62.169998,62.25,60.830002,60.98,1962700,58.411727
2014-03-26,60.919998,61.59,60.610001,60.630001,1461900,58.076469
2014-03-27,60.700001,61.18,60.41,60.860001,1406200,58.296782
2014-03-28,61.049999,61.700001,60.759998,61.369999,1196300,58.785301
2014-03-31,61.950001,62.209999,61.700001,61.880001,1728900,59.273823
2014-04-01,62.07,62.830002,61.939999,62.18,1589600,59.561187
2014-04-02,62.25,62.970001,62.130001,62.630001,1515000,59.992236
2014-04-03,62.66,62.880001,61.389999,61.599998,2257100,59.005613
2014-04-04,61.959999,62.009998,60.150002,60.360001,3086900,57.81784
2014-04-07,60.299999,60.52,59.259998,59.5,1930100,56.99406
2014-04-08,59.279999,60.18,59.029999,59.810001,1768500,57.291005
2014-04-09,59.290001,59.389999,58.200001,59.02,4493800,56.534276
2014-04-10,59.110001,59.91,58.299999,58.43,2498600,55.969125
2014-04-11,58.0,58.529999,57.57,57.700001,2488000,55.26987
2014-04-14,58.040001,58.57,57.889999,58.369999,1869200,55.911651
2014-04-15,58.5,59.25,58.18,59.169998,1763800,56.677957
2014-04-16,59.630001,60.139999,59.52,60.130001,1784400,57.597527
2014-04-17,60.110001,60.470001,59.759998,59.849998,1105300,57.329318
2014-04-21,60.060001,60.650002,59.75,60.07,1295200,57.540053
2014-04-22,60.220001,60.490002,59.68,59.990002,2351900,57.463424
2014-04-23,60.130001,60.75,60.07,60.509998,1392600,57.96152
2014-04-24,60.57,60.610001,59.57,60.110001,1948300,57.578369
2014-04-25,60.5,62.220001,60.459999,61.439999,2993300,58.852352
2014-04-28,61.919998,62.25,59.68,60.82,2980300,58.258466
2014-04-29,60.91,61.52,60.810001,61.299999,1525900,58.718249
2014-04-30,61.189999,61.330002,60.689999,61.09,2181700,58.517094
2014-05-01,61.099998,61.529999,60.57,61.18,1442000,58.603304
2014-05-02,61.369999,61.939999,61.029999,61.16,1420400,58.584146
2014-05-05,60.959999,61.5,60.48,61.32,1110700,58.737407
2014-05-06,61.25,61.560001,60.860001,61.130001,1425000,58.555411
2014-05-07,61.32,61.380001,60.18,60.950001,1205100,58.382991
2014-05-08,60.98,62.139999,60.700001,61.759998,2056700,59.158875
2014-05-09,61.439999,61.880001,60.560001,61.759998,1800600,59.158875
2014-05-12,62.040001,63.040001,61.759998,62.810001,1634700,60.164655
2014-05-13,63.360001,63.990002,63.360001,63.540001,1776200,60.863909
2014-05-14,63.709999,63.759998,62.959999,63.080002,1377600,60.423284
2014-05-15,62.869999,62.869999,61.799999,62.360001,1180300,59.733607
2014-05-16,62.290001,62.790001,61.990002,62.77,1331000,60.126339
2014-05-19,62.68,63.360001,62.68,63.09,1031600,60.432861
2014-05-20,62.790001,62.91,61.810001,62.0,1962700,59.388768
2014-05-21,62.099998,62.41,61.810001,62.119999,980500,59.503713
2014-05-22,62.189999,62.560001,61.900002,62.419998,1028100,59.791077
2014-05-23,62.529999,62.810001,62.41,62.720001,911700,60.078445
2014-05-27,63.09,63.48,62.790001,62.889999,953900,60.241284
2014-05-28,63.0,63.049999,62.279999,62.68,1344500,60.040129
2014-05-29,62.939999,62.939999,62.48,62.68,761500,60.040129
2014-05-30,62.790001,63.419998,62.650002,63.02,1376700,60.36581
2014-06-02,63.099998,63.580002,62.82,63.419998,881100,60.748961
2014-06-03,63.41,63.549999,63.080002,63.48,1104300,60.806435
2014-06-04,63.400002,63.849998,63.060001,63.700001,912200,61.017171
2014-06-05,63.419998,64.050003,62.799999,63.98,1862300,61.285377
2014-06-06,63.990002,64.080002,63.330002,63.369999,1348000,60.951617
2014-06-09,63.400002,63.709999,63.369999,63.540001,1007600,61.115131
2014-06-10,63.490002,63.639999,63.150002,63.189999,900700,60.778486
2014-06-11,62.939999,63.07,62.599998,62.860001,1326500,60.461082
2014-06-12,62.59,62.75,61.790001,61.919998,1258700,59.556952
2014-06-13,61.900002,61.900002,61.450001,61.639999,1169000,59.287639
2014-06-16,61.369999,62.139999,61.279999,61.700001,1482000,59.345351
2014-06-17,61.540001,62.099998,61.389999,61.84,1450900,59.480007
2014-06-18,62.040001,62.490002,61.599998,62.360001,1556800,59.980163
2014-06-19,62.470001,62.5,61.779999,62.099998,1386900,59.730083
