Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2013-10-29,80.699997,80.970001,80.330002,80.779999,584300,77.969009
2013-10-30,80.699997,80.989998,79.330002,80.099998,375600,77.312672
2013-10-31,80.169998,81.0,79.449997,80.5,722200,77.698754
2013-11-01,80.660004,80.879997,79.139999,79.720001,766300,76.945898
2013-11-04,79.980003,80.379997,79.489998,80.239998,986100,77.4478
2013-11-05,80.110001,80.349998,79.230003,80.120003,453700,77.33198
2013-11-06,80.370003,81.209999,79.870003,80.290001,523400,77.496063
2013-11-07,78.690002,79.790001,74.779999,76.160004,2271200,73.509781
2013-11-08,75.830002,76.580002,74.470001,76.510002,1007700,73.847601
2013-11-11,76.370003,76.760002,75.5,75.709999,816400,73.075436
2013-11-12,75.190002,75.970001,74.959999,75.889999,798000,73.249173
2013-11-13,75.870003,76.599998,75.360001,76.599998,611200,73.934465
2013-11-14,76.75,77.110001,76.07,76.400002,703000,73.741428
2013-11-15,76.779999,76.860001,74.68,75.459999,1105200,72.834136
2013-11-18,75.690002,75.949997,74.610001,74.699997,730100,72.10058
2013-11-19,74.580002,75.389999,74.510002,74.800003,768700,72.197106
2013-11-20,75.120003,75.419998,74.169998,74.470001,822500,71.878588
2013-11-21,74.900002,75.120003,74.57,75.040001,346200,72.428753
2013-11-22,75.080002,75.360001,74.339996,74.650002,738000,72.052324
2013-11-25,74.800003,74.860001,73.68,74.260002,684800,71.675896
2013-11-26,74.199997,74.889999,73.580002,74.800003,938400,72.343236
2013-11-27,74.970001,75.080002,74.18,74.769997,385400,72.314215
2013-11-29,74.730003,75.269997,74.239998,74.589996,249100,72.140126
2013-12-02,74.470001,74.940002,73.809998,73.970001,666100,71.540495
2013-12-03,73.589996,73.779999,72.610001,73.25,1071300,70.844142
2013-12-04,72.830002,73.790001,72.459999,72.660004,1049700,70.273523
2013-12-05,72.720001,73.360001,72.300003,72.849998,797600,70.457278
2013-12-06,73.629997,74.120003,73.139999,73.989998,627400,71.559835
2013-12-09,74.239998,74.830002,73.400002,74.739998,741200,72.285201
2013-12-10,74.529999,75.379997,74.370003,75.25,986400,72.778453
2013-12-11,79.5,85.730003,79.099998,81.0,7623800,78.339597
2013-12-12,80.220001,81.010002,79.150002,80.330002,1583000,77.691604
2013-12-13,80.419998,81.029999,79.790001,80.730003,1023900,78.078468
2013-12-16,81.099998,81.559998,80.330002,81.470001,1676600,78.794161
2013-12-17,81.349998,81.559998,80.610001,81.370003,746800,78.697447
2013-12-18,81.510002,82.970001,81.080002,82.910004,660100,80.186867
2013-12-19,82.860001,84.269997,82.739998,83.360001,1140200,80.622084
2013-12-20,83.669998,84.75,83.389999,83.690002,1188500,80.941248
2013-12-23,83.919998,84.379997,83.620003,84.029999,579400,81.270077
2013-12-24,84.339996,84.650002,83.959999,84.239998,400800,81.473179
2013-12-26,84.610001,85.029999,84.160004,84.919998,464300,82.130845
2013-12-27,85.0,85.019997,84.43,84.660004,245500,81.87939
2013-12-30,84.879997,86.220001,84.779999,86.190002,420200,83.359136
2013-12-31,86.059998,86.410004,85.610001,86.410004,377800,83.571912
2014-01-02,85.68,86.620003,85.040001,85.480003,582000,82.672457
2014-01-03,85.660004,86.07,84.93,84.980003,510400,82.188879
2014-01-06,85.419998,85.580002,84.43,84.529999,418100,81.753655
2014-01-07,84.75,85.220001,84.449997,84.559998,459700,81.782668
2014-01-08,84.550003,84.730003,82.419998,82.43,895900,79.722629
2014-01-09,83.019997,83.129997,81.620003,82.43,1152700,79.722629
2014-01-10,82.190002,82.879997,81.360001,82.010002,865300,79.316426
2014-01-13,78.75,80.25,76.150002,76.309998,1826700,73.803635
2014-01-14,76.529999,76.709999,75.199997,76.190002,1383300,73.687581
2014-01-15,76.139999,76.849998,75.980003,76.07,656800,73.57152
2014-01-16,76.0,76.330002,75.089996,75.150002,924600,72.681739
2014-01-17,74.75,75.260002,74.110001,74.169998,1166800,71.733923
2014-01-21,74.400002,76.040001,73.190002,75.279999,1227400,72.807466
2014-01-22,75.790001,76.639999,75.220001,75.68,711700,73.19433
2014-01-23,75.050003,75.400002,74.269997,75.260002,622600,72.788126
2014-01-24,74.57,74.669998,73.510002,73.610001,746400,71.192318
2014-01-27,73.739998,74.290001,72.470001,72.940002,642300,70.544326
2014-01-28,73.480003,73.879997,73.0,73.57,519600,71.153631
2014-01-29,72.75,73.080002,71.970001,72.370003,789600,69.993047
2014-01-30,73.32,74.230003,72.650002,73.459999,418900,71.047243
2014-01-31,72.459999,73.160004,72.120003,72.519997,847200,70.138115
2014-02-03,72.800003,72.910004,71.330002,71.889999,985300,69.528809
2014-02-04,72.080002,72.839996,71.510002,72.470001,841700,70.089761
2014-02-05,72.059998,73.419998,71.629997,72.989998,735100,70.592679
2014-02-06,73.279999,74.519997,73.199997,74.440002,509800,71.995059
2014-02-07,74.540001,76.510002,74.540001,76.300003,912400,73.793969
2014-02-10,76.18,76.480003,75.480003,75.800003,948300,73.310391
2014-02-11,75.769997,77.269997,75.769997,76.779999,693700,74.258199
2014-02-12,76.900002,77.830002,76.559998,77.830002,656600,75.273716
2014-02-13,77.230003,78.18,76.949997,77.440002,1077400,74.896526
2014-02-14,76.230003,80.190002,75.199997,78.949997,1432100,76.356925
2014-02-18,78.949997,79.800003,78.150002,78.769997,1008700,76.182837
2014-02-19,78.910004,80.150002,78.599998,79.260002,1129300,76.656748
2014-02-20,79.43,80.589996,79.129997,80.019997,921400,77.391781
2014-02-21,80.0,81.209999,79.779999,80.699997,1043600,78.049447
2014-02-24,80.639999,81.910004,80.589996,81.07,690100,78.407297
2014-02-25,81.010002,81.730003,80.790001,80.900002,1253400,78.242883
2014-02-26,80.93,81.860001,80.589996,80.790001,1107400,78.330139
2014-02-27,80.57,81.25,80.540001,80.959999,1023500,78.494961
2014-02-28,81.110001,81.510002,80.790001,81.239998,1141900,78.766435
2014-03-03,80.669998,81.029999,80.239998,80.900002,963700,78.43679
2014-03-04,81.550003,82.040001,81.089996,81.309998,1671900,78.834303
2014-03-05,81.629997,81.769997,81.32,81.580002,1183000,79.096086
2014-03-06,81.639999,81.970001,81.510002,81.809998,942700,79.319079
2014-03-07,82.07,82.489998,81.690002,81.889999,1195700,79.396645
2014-03-10,81.589996,81.760002,80.959999,80.980003,688900,78.514356
2014-03-11,81.199997,81.230003,79.900002,80.110001,1009400,77.670843
2014-03-12,79.849998,80.190002,79.57,79.709999,1124600,77.283021
2014-03-13,80.0,80.239998,78.239998,78.360001,899800,75.974126
2014-03-14,78.190002,79.18,78.040001,78.739998,805400,76.342554
2014-03-17,79.269997,79.610001,78.910004,79.199997,620000,76.788547
2014-03-18,79.199997,80.019997,79.080002,79.699997,642200,77.273323
2014-03-19,79.540001,79.709999,78.129997,78.43,656100,76.041995
2014-03-20,78.089996,78.269997,76.93,77.220001,1273000,74.868837
2014-03-21,77.279999,77.889999,74.5,74.5,1951300,72.231654
2014-03-24,76.0,77.239998,74.709999,75.089996,1819100,72.803686
2014-03-25,75.25,75.389999,74.099998,74.709999,1253400,72.435259
2014-03-26,75.07,75.110001,73.900002,73.910004,749400,71.659621
2014-03-27,73.839996,75.010002,73.220001,74.589996,779000,72.31891
2014-03-28,74.970001,76.300003,74.800003,75.730003,753200,73.424206
2014-03-31,76.220001,76.610001,75.75,75.910004,581100,73.598726
2014-04-01,76.059998,77.720001,76.059998,77.660004,667700,75.295443
2014-04-02,77.769997,77.779999,76.160004,76.339996,973600,74.015626
2014-04-03,76.489998,76.699997,75.769997,75.940002,632500,73.627811
2014-04-04,76.239998,78.150002,76.110001,76.32,1030000,73.996239
2014-04-07,76.220001,76.459999,74.370003,74.730003,660500,72.454654
2014-04-08,74.699997,75.589996,74.400002,75.279999,615200,72.987903
2014-04-09,75.540001,76.370003,75.43,75.800003,892000,73.492075
2014-04-10,75.779999,75.879997,74.040001,74.139999,647500,71.882614
2014-04-11,73.980003,74.160004,73.349998,73.459999,749700,71.223318
2014-04-14,73.870003,74.809998,73.389999,73.889999,776600,71.640226
2014-04-15,74.0,74.269997,72.129997,73.099998,750200,70.874279
2014-04-16,73.510002,74.629997,73.419998,74.589996,487700,72.31891
2014-04-17,74.480003,75.110001,74.150002,74.389999,687200,72.125002
2014-04-21,74.5,75.019997,74.010002,74.75,426300,72.474042
2014-04-22,74.699997,75.290001,74.419998,74.860001,568900,72.580693
2014-04-23,74.970001,75.830002,74.57,74.589996,453300,72.31891
2014-04-24,74.760002,75.160004,74.169998,75.050003,420600,72.76491
2014-04-25,74.809998,74.809998,73.940002,74.089996,418000,71.834134
2014-04-28,74.5,74.879997,73.230003,74.269997,530900,72.008653
2014-04-29,74.57,74.900002,74.169998,74.360001,373400,72.095917
2014-04-30,74.279999,75.160004,74.269997,75.07,568600,72.784298
2014-05-01,74.900002,75.720001,74.800003,75.18,443200,72.89095
2014-05-02,75.18,75.940002,75.040001,75.459999,368800,73.162423
2014-05-05,75.07,76.110001,74.349998,75.970001,540500,73.656897
2014-05-06,75.82,75.959999,74.510002,74.599998,736000,72.328607
2014-05-07,74.650002,75.120003,74.160004,74.470001,617800,72.202568
2014-05-08,75.5,78.379997,74.019997,76.720001,1427200,74.384061
2014-05-09,76.57,76.650002,75.0,75.410004,722200,73.11395
2014-05-12,75.540001,75.879997,74.980003,75.550003,726500,73.249687
2014-05-13,75.699997,75.949997,75.139999,75.160004,453200,72.871562
2014-05-14,75.0,75.199997,73.940002,73.970001,468700,71.717792
2014-05-15,73.889999,74.410004,73.010002,74.279999,472400,72.018351
2014-05-16,74.360001,75.190002,73.690002,75.160004,392300,72.871562
2014-05-19,74.989998,75.849998,74.68,75.690002,347100,73.385423
2014-05-20,75.489998,75.519997,73.919998,74.019997,692300,71.766265
2014-05-21,74.139999,75.080002,74.0,74.949997,509600,72.667949
2014-05-22,74.989998,75.800003,74.860001,75.709999,421400,73.404811
2014-05-23,75.910004,76.720001,75.870003,76.620003,323500,74.287107
2014-05-27,77.07,77.349998,76.43,76.809998,597400,74.471317
2014-05-28,76.800003,77.0,76.290001,76.589996,416600,74.451877
2014-05-29,76.699997,76.82,76.360001,76.489998,308100,74.35467
2014-05-30,76.470001,76.57,75.639999,76.459999,436900,74.325509
2014-06-02,76.599998,76.849998,76.279999,76.779999,414100,74.636575
2014-06-03,76.510002,77.080002,76.260002,76.889999,533800,74.743505
2014-06-04,76.730003,76.760002,76.0,76.199997,342400,74.072765
2014-06-05,76.309998,77.400002,76.040001,77.260002,362200,75.103179
2014-06-06,77.32,78.07,77.239998,77.989998,447800,75.812795
2014-06-09,77.849998,78.449997,77.599998,78.370003,445500,76.182192
2014-06-10,78.260002,78.260002,77.339996,77.870003,568100,75.69615
2014-06-11,77.739998,77.830002,77.199997,77.32,362000,75.161501
2014-06-12,77.18,77.349998,77.019997,77.059998,703000,74.908757
2014-06-13,77.169998,77.410004,76.949997,77.389999,361300,75.229547
2014-06-16,77.209999,78.25,76.830002,78.199997,523000,76.016932
2014-06-17,77.910004,79.870003,77.580002,79.720001,965000,77.494503
