Date,Open_CMG,High_CMG,Low_CMG,Close_CMG,Volume_CMG,AdjClose_CMG
2013-10-10,432.070007,436.950012,430.279999,435.869995,309800,435.869995
2013-10-11,439.200012,443.929993,438.079987,443.609985,411200,443.609985
2013-10-14,441.420013,447.649994,440.540009,442.019989,543300,442.019989
2013-10-15,441.429993,443.690002,432.929993,433.609985,554300,433.609985
2013-10-16,436.570007,438.51001,434.119995,438.070007,510800,438.070007
2013-10-17,438.600006,442.470001,438.049988,439.070007,898000,439.070007
2013-10-18,481.049988,511.100006,477.339996,509.73999,2438900,509.73999
2013-10-21,509.589996,512.0,506.5,509.25,909800,509.25
2013-10-22,509.079987,520.719971,509.079987,520.0,817600,520.0
2013-10-23,515.02002,522.5,514.679993,520.789978,586500,520.789978
2013-10-24,521.130005,524.539978,517.849976,522.969971,424100,522.969971
2013-10-25,522.049988,528.0,521.099976,527.5,475000,527.5
2013-10-28,527.0,527.919983,522.780029,527.849976,418500,527.849976
2013-10-29,527.98999,529.900024,523.140015,527.929993,338200,527.929993
2013-10-30,528.950012,529.840027,522.849976,524.349976,284800,524.349976
2013-10-31,521.440002,531.429993,521.440002,526.969971,323000,526.969971
2013-11-01,526.780029,529.890015,524.900024,527.599976,367400,527.599976
2013-11-04,529.5,536.559998,526.580017,535.179993,364800,535.179993
2013-11-05,535.030029,543.679993,533.210022,543.049988,412700,543.049988
2013-11-06,543.210022,546.799988,537.76001,539.630005,465700,539.630005
2013-11-07,540.01001,540.01001,524.669983,525.02002,652900,525.02002
2013-11-08,527.799988,536.799988,525.48999,535.200012,428900,535.200012
2013-11-11,535.710022,537.23999,534.0,536.440002,164400,536.440002
2013-11-12,535.76001,537.72998,532.0,535.419983,226600,535.419983
2013-11-13,534.549988,538.380005,533.109985,537.580017,216800,537.580017
2013-11-14,534.299988,544.669983,534.299988,543.919983,255300,543.919983
2013-11-15,545.98999,549.5,544.880005,546.969971,309800,546.969971
2013-11-18,547.22998,550.280029,535.159973,537.51001,274200,537.51001
2013-11-19,539.0,541.809998,537.72998,538.159973,246000,538.159973
2013-11-20,536.0,542.51001,528.460022,531.659973,254400,531.659973
2013-11-21,534.900024,542.0,531.200012,539.219971,382100,539.219971
2013-11-22,544.0,544.0,536.47998,537.47998,221100,537.47998
2013-11-25,537.549988,540.940002,530.880005,532.309998,201500,532.309998
2013-11-26,532.159973,532.77002,525.0,525.0,392800,525.0
2013-11-27,526.210022,527.080017,523.119995,525.0,307800,525.0
2013-11-29,525.23999,529.719971,523.190002,523.859985,160100,523.859985
2013-12-02,521.5,526.599976,520.48999,524.5,238100,524.5
2013-12-03,523.330017,524.98999,521.26001,522.640015,229300,522.640015
2013-12-04,520.549988,522.630005,516.01001,518.109985,321300,518.109985
2013-12-05,518.200012,525.0,517.109985,521.01001,249100,521.01001
2013-12-06,521.0,526.25,519.590027,525.809998,212100,525.809998
2013-12-09,525.710022,529.98999,525.01001,527.320007,278100,527.320007
2013-12-10,525.919983,525.919983,520.23999,521.530029,229900,521.530029
2013-12-11,523.309998,523.940002,516.330017,517.570007,252200,517.570007
2013-12-12,516.320007,522.539978,514.619995,515.02002,281000,515.02002
2013-12-13,518.51001,520.98999,511.279999,512.849976,349300,512.849976
2013-12-16,514.700012,517.359985,511.450012,515.380005,374200,515.380005
2013-12-17,515.789978,518.0,509.350006,512.640015,288900,512.640015
2013-12-18,510.049988,517.0,506.440002,516.890015,327200,516.890015
2013-12-19,517.0,521.22998,514.0,514.580017,321400,514.580017
2013-12-20,517.280029,533.77002,515.859985,533.140015,861100,533.140015
2013-12-23,535.5,537.0,527.940002,531.030029,349900,531.030029
2013-12-24,529.98999,534.0,529.98999,533.109985,104700,533.109985
2013-12-26,532.590027,535.76001,530.440002,535.429993,210800,535.429993
2013-12-27,536.840027,536.840027,529.650024,530.75,238500,530.75
2013-12-30,530.330017,534.590027,528.01001,532.039978,263100,532.039978
2013-12-31,533.799988,534.070007,529.51001,532.780029,197300,532.780029
2014-01-02,530.0,532.960022,521.530029,523.429993,456500,523.429993
2014-01-03,524.0,534.01001,523.47998,531.309998,409100,531.309998
2014-01-06,534.719971,534.719971,523.080017,527.320007,415100,527.320007
2014-01-07,528.799988,535.700012,526.369995,533.059998,308800,533.059998
2014-01-08,529.5,536.190002,528.090027,535.849976,411300,535.849976
2014-01-09,536.950012,548.140015,536.150024,541.030029,529800,541.030029
2014-01-10,542.080017,544.869995,536.710022,538.570007,379200,538.570007
2014-01-13,539.710022,544.48999,526.369995,529.799988,510300,529.799988
2014-01-14,531.97998,533.469971,526.419983,530.280029,373200,530.280029
2014-01-15,534.0,535.289978,529.799988,532.25,243000,532.25
2014-01-16,532.869995,534.190002,527.809998,529.51001,260300,529.51001
2014-01-17,535.640015,535.640015,526.080017,527.609985,403700,527.609985
2014-01-21,531.710022,531.76001,523.210022,525.570007,386600,525.570007
2014-01-22,528.530029,529.0,513.289978,515.950012,623300,515.950012
2014-01-23,512.799988,513.950012,498.559998,503.450012,1062200,503.450012
2014-01-24,495.26001,502.339996,489.5,492.480011,893200,492.480011
2014-01-27,492.359985,497.0,482.700012,489.309998,563200,489.309998
2014-01-28,491.950012,498.779999,488.730011,491.869995,397900,491.869995
2014-01-29,490.0,492.040009,480.869995,484.5,657600,484.5
2014-01-30,486.959991,499.429993,485.399994,493.959991,1260500,493.959991
2014-01-31,553.419983,568.900024,546.099976,551.960022,2134700,551.960022
2014-02-03,550.210022,553.780029,535.349976,543.200012,1071100,543.200012
2014-02-04,546.460022,546.73999,536.460022,540.590027,556800,540.590027
2014-02-05,538.809998,544.48999,531.0,542.429993,498300,542.429993
2014-02-06,542.609985,554.849976,542.049988,544.469971,449500,544.469971
2014-02-07,543.280029,550.549988,540.059998,549.289978,494100,549.289978
2014-02-10,552.47998,552.47998,543.0,548.090027,344200,548.090027
2014-02-11,548.280029,551.799988,544.02002,544.859985,410900,544.859985
2014-02-12,548.950012,551.76001,539.609985,545.73999,485200,545.73999
2014-02-13,539.609985,561.51001,539.0,557.650024,533000,557.650024
2014-02-14,552.0,558.969971,547.0,554.109985,330000,554.109985
2014-02-18,551.169983,556.390015,550.390015,552.859985,303700,552.859985
2014-02-19,553.820007,560.849976,551.059998,552.179993,417500,552.179993
2014-02-20,551.109985,554.950012,548.51001,550.280029,305800,550.280029
2014-02-21,551.380005,555.200012,548.570007,549.48999,408400,549.48999
2014-02-24,550.950012,556.599976,549.159973,554.380005,279500,554.380005
2014-02-25,557.049988,560.440002,553.349976,554.619995,336600,554.619995
2014-02-26,557.059998,563.47998,550.130005,555.119995,550900,555.119995
2014-02-27,551.640015,562.0,551.640015,561.140015,305800,561.140015
2014-02-28,562.25,573.159973,559.48999,565.210022,676400,565.210022
2014-03-03,561.0,563.950012,551.700012,554.599976,527300,554.599976
2014-03-04,561.47998,585.960022,559.119995,584.830017,1003800,584.830017
2014-03-05,585.0,585.98999,578.5,581.25,554800,581.25
2014-03-06,584.109985,594.5,583.700012,593.27002,635900,593.27002
2014-03-07,599.799988,599.969971,587.679993,593.409973,308100,593.409973
2014-03-10,589.820007,593.940002,585.280029,587.960022,362000,587.960022
2014-03-11,589.039978,593.650024,583.0,584.27002,303500,584.27002
2014-03-12,583.280029,588.75,577.369995,588.700012,244900,588.700012
2014-03-13,589.469971,591.900024,577.820007,579.5,312200,579.5
2014-03-14,575.02002,582.099976,572.0,575.960022,334000,575.960022
2014-03-17,580.460022,580.900024,572.51001,576.26001,261700,576.26001
2014-03-18,582.349976,595.210022,578.030029,592.539978,601200,592.539978
2014-03-19,588.52002,598.460022,588.52002,596.5,442700,596.5
2014-03-20,595.690002,614.200012,595.669983,611.580017,806700,611.580017
2014-03-21,616.469971,622.900024,607.359985,611.119995,778400,611.119995
2014-03-24,610.210022,613.090027,585.580017,588.539978,820000,588.539978
2014-03-25,590.119995,593.099976,565.5,570.679993,979800,570.679993
2014-03-26,573.450012,575.950012,563.780029,563.880005,582700,563.880005
2014-03-27,564.0,566.070007,554.25,559.179993,554900,559.179993
2014-03-28,561.5,573.98999,560.799988,567.169983,538400,567.169983
2014-03-31,570.73999,570.97998,565.0,568.049988,442000,568.049988
2014-04-01,568.01001,580.25,568.01001,578.969971,313000,578.969971
2014-04-02,582.549988,582.559998,572.200012,576.210022,297200,576.210022
2014-04-03,579.02002,582.840027,565.5,570.890015,411000,570.890015
2014-04-04,571.0,571.299988,551.039978,555.159973,687100,555.159973
2014-04-07,550.0,554.98999,529.200012,535.590027,804100,535.590027
2014-04-08,540.0,552.98999,539.130005,550.72998,579300,550.72998
2014-04-09,552.26001,556.799988,547.059998,556.400024,410400,556.400024
2014-04-10,555.090027,556.140015,533.929993,534.01001,600000,534.01001
2014-04-11,528.02002,543.5,526.75,534.869995,988000,534.869995
2014-04-14,540.48999,546.5,534.109985,540.97998,442000,540.97998
2014-04-15,543.23999,549.650024,532.0,540.539978,487900,540.539978
2014-04-16,545.0,553.599976,540.0,552.400024,631500,552.400024
2014-04-17,582.700012,588.690002,518.52002,519.609985,3882500,519.609985
2014-04-21,521.719971,522.0,505.700012,506.540009,1373600,506.540009
2014-04-22,508.350006,514.169983,504.130005,512.669983,913900,512.669983
2014-04-23,511.01001,511.950012,502.029999,504.049988,482600,504.049988
2014-04-24,508.600006,511.299988,503.269989,507.600006,530700,507.600006
2014-04-25,507.25,507.25,498.48999,502.309998,404000,502.309998
2014-04-28,502.559998,502.559998,472.410004,476.279999,1436000,476.279999
2014-04-29,479.779999,495.0,477.899994,491.570007,747000,491.570007
2014-04-30,488.549988,499.890015,484.450012,498.5,665500,498.5
2014-05-01,498.51001,504.980011,495.01001,500.149994,462800,500.149994
2014-05-02,496.299988,504.359985,496.299988,501.769989,471800,501.769989
2014-05-05,504.390015,518.539978,501.119995,512.679993,618500,512.679993
2014-05-06,512.909973,514.320007,500.820007,501.910004,436200,501.910004
2014-05-07,506.579987,506.579987,493.329987,500.829987,571800,500.829987
2014-05-08,495.01001,513.840027,495.01001,500.350006,370500,500.350006
2014-05-09,499.76001,508.5,496.170013,507.679993,446800,507.679993
2014-05-12,507.25,513.179993,505.130005,510.209991,430700,510.209991
2014-05-13,509.950012,510.959991,501.790009,504.160004,292500,504.160004
2014-05-14,506.670013,514.51001,501.0,504.320007,491800,504.320007
2014-05-15,504.720001,504.720001,491.130005,495.920013,505400,495.920013
2014-05-16,499.309998,501.5,490.549988,500.519989,590300,500.519989
2014-05-19,498.890015,503.910004,498.890015,501.290009,270900,501.290009
2014-05-20,500.0,501.209991,493.23999,495.649994,315900,495.649994
2014-05-21,496.119995,504.929993,496.0,504.179993,444900,504.179993
2014-05-22,506.5,524.549988,506.190002,520.47998,594800,520.47998
2014-05-23,522.0,523.450012,515.359985,522.320007,311200,522.320007
2014-05-27,522.0,539.76001,522.0,536.039978,566100,536.039978
2014-05-28,533.090027,539.940002,529.080017,538.26001,548100,538.26001
2014-05-29,538.849976,546.900024,538.5,545.419983,617900,545.419983
2014-05-30,546.969971,549.27002,542.5,547.090027,454100,547.090027
2014-06-02,548.0,552.849976,545.27002,551.559998,399200,551.559998
2014-06-03,548.130005,552.5,548.0,550.590027,357700,550.590027
2014-06-04,549.460022,559.380005,546.820007,558.840027,375800,558.840027
2014-06-05,557.549988,564.210022,556.48999,561.030029,345600,561.030029
2014-06-06,560.75,570.219971,559.140015,569.169983,394600,569.169983
2014-06-09,568.25,570.679993,565.929993,568.5,246800,568.5
2014-06-10,566.0,568.799988,563.169983,564.76001,282900,564.76001
2014-06-11,560.919983,571.51001,560.01001,570.340027,325600,570.340027
2014-06-12,571.75,583.27002,570.01001,581.849976,916200,581.849976
2014-06-13,576.840027,589.0,576.840027,588.26001,586900,588.26001
2014-06-16,587.030029,595.47998,584.380005,594.01001,451100,594.01001
2014-06-17,593.140015,596.159973,590.539978,593.52002,322300,593.52002
2014-06-18,591.880005,595.330017,587.200012,594.909973,322700,594.909973
2014-06-19,594.450012,597.450012,591.549988,594.539978,359200,594.539978
2014-06-20,595.0,595.840027,590.650024,592.429993,412100,592.429993
2014-06-23,592.98999,602.210022,590.75,599.590027,370300,599.590027
2014-06-24,599.0,601.609985,595.460022,595.619995,365100,595.619995
2014-06-25,595.700012,600.299988,592.059998,599.5,224700,599.5
2014-06-26,596.219971,600.780029,593.299988,600.320007,231900,600.320007
2014-06-27,599.809998,600.679993,595.700012,596.140015,314400,596.140015
2014-06-30,596.409973,597.080017,592.059998,592.51001,311100,592.51001
2014-07-01,596.349976,604.080017,594.530029,603.26001,312200,603.26001
2014-07-02,603.48999,603.48999,597.0,599.320007,240100,599.320007
2014-07-03,600.25,604.780029,598.549988,603.599976,140600,603.599976
2014-07-07,601.650024,603.159973,592.830017,593.830017,298600,593.830017
2014-07-08,591.26001,592.75,575.919983,586.590027,520900,586.590027
2014-07-09,588.549988,605.0,588.549988,604.169983,597000,604.169983
2014-07-10,596.0,607.549988,595.049988,600.609985,425400,600.609985
2014-07-11,600.440002,601.5,597.5,598.48999,224600,598.48999
2014-07-14,601.700012,608.77002,600.090027,604.919983,325500,604.919983
2014-07-15,605.0,606.869995,590.340027,597.450012,558700,597.450012
2014-07-16,601.0,601.320007,590.0,590.469971,387000,590.469971
2014-07-17,591.02002,592.0,579.809998,581.650024,415400,581.650024
