Date,Open_COF,High_COF,Low_COF,Close_COF,Volume_COF,AdjClose_COF
2013-10-23,70.860001,70.860001,70.150002,70.540001,3294000,67.034035
2013-10-24,70.82,70.849998,70.120003,70.650002,3095400,67.138569
2013-10-25,70.589996,70.82,70.07,70.379997,3311200,66.881984
2013-10-28,70.370003,71.129997,70.019997,70.769997,2322300,67.2526
2013-10-29,70.870003,71.379997,70.839996,70.93,2659100,67.404651
2013-10-30,70.82,71.0,69.68,69.800003,3201700,66.330817
2013-10-31,69.580002,69.669998,68.669998,68.669998,4563300,65.256975
2013-11-01,68.790001,69.449997,68.629997,69.389999,2470600,65.941191
2013-11-04,69.519997,69.690002,69.160004,69.610001,2578600,66.150258
2013-11-05,69.5,70.150002,69.120003,69.959999,2748500,66.482861
2013-11-06,70.480003,70.480003,68.919998,69.290001,3264700,66.129737
2013-11-07,69.589996,69.900002,68.82,68.849998,2946500,65.709803
2013-11-08,68.900002,70.0,68.849998,69.589996,3932300,66.41605
2013-11-11,69.629997,69.949997,69.459999,69.68,2086100,66.501949
2013-11-12,69.660004,69.879997,69.32,69.510002,2515300,66.339704
2013-11-13,69.279999,70.07,68.800003,70.059998,3378900,66.864615
2013-11-14,70.129997,70.879997,70.110001,70.690002,2641000,67.465885
2013-11-15,70.400002,70.93,70.239998,70.370003,2738800,67.160481
2013-11-18,70.440002,70.580002,69.32,69.419998,3286800,66.253805
2013-11-19,69.419998,69.589996,69.019997,69.25,2335700,66.09156
2013-11-20,69.889999,69.910004,68.739998,68.800003,2884700,65.662087
2013-11-21,69.25,69.849998,69.059998,69.629997,2755000,66.454226
2013-11-22,69.959999,69.959999,69.040001,69.610001,3018400,66.435142
2013-11-25,69.730003,70.779999,69.599998,70.410004,2474500,67.198657
2013-11-26,70.540001,71.120003,70.389999,70.809998,2322700,67.580408
2013-11-27,71.089996,71.599998,70.839996,71.510002,1967300,68.248486
2013-11-29,71.690002,72.18,71.32,71.629997,1699700,68.363008
2013-12-02,72.650002,73.0,71.860001,72.099998,3869000,68.811573
2013-12-03,71.919998,72.150002,71.349998,71.629997,4238700,68.363008
2013-12-04,71.279999,72.639999,71.150002,72.349998,3459500,69.05017
2013-12-05,72.25,72.419998,71.599998,71.940002,3508500,68.658874
2013-12-06,72.769997,73.190002,72.330002,72.599998,4134500,69.288768
2013-12-09,73.019997,73.330002,72.800003,73.0,2612400,69.670526
2013-12-10,72.709999,73.220001,72.360001,72.82,1858000,69.498735
2013-12-11,73.0,73.220001,71.690002,71.860001,3254600,68.582521
2013-12-12,71.690002,71.889999,71.019997,71.480003,2558500,68.219855
2013-12-13,71.690002,71.809998,71.089996,71.470001,1837800,68.210309
2013-12-16,71.760002,72.510002,71.550003,72.18,2232700,68.887926
2013-12-17,72.720001,72.949997,71.470001,71.790001,2010800,68.515714
2013-12-18,71.879997,73.510002,71.220001,73.449997,3311900,70.099999
2013-12-19,73.360001,73.779999,72.769997,73.639999,2984300,70.281335
2013-12-20,73.940002,74.809998,73.610001,74.730003,4705200,71.321625
2013-12-23,74.949997,75.330002,74.5,75.010002,1908700,71.588853
2013-12-24,75.07,75.470001,74.970001,75.379997,666700,71.941973
2013-12-26,75.620003,76.0,75.400002,75.879997,1615100,72.419169
2013-12-27,75.870003,75.959999,75.510002,75.779999,693500,72.323731
2013-12-30,75.970001,76.160004,75.540001,75.82,1429300,72.361907
2013-12-31,76.0,76.709999,75.849998,76.610001,1935400,73.115877
2014-01-02,76.610001,77.730003,76.599998,77.25,3070300,73.726687
2014-01-03,77.239998,77.599998,76.910004,77.339996,1940000,73.812578
2014-01-06,77.550003,78.07,76.57,76.589996,3489200,73.096785
2014-01-07,78.309998,78.489998,77.129997,77.279999,5041100,73.755317
2014-01-08,77.220001,77.919998,77.18,77.849998,3035100,74.29932
2014-01-09,78.059998,78.339996,77.739998,77.849998,3648000,74.29932
