Date,Open_SNDK,High_SNDK,Low_SNDK,Close_SNDK,Volume_SNDK,AdjClose_SNDK
2016-04-12,76.669998,76.989998,76.360001,76.68,2069100,76.68
2016-04-13,76.769997,76.93,76.690002,76.75,2227500,76.75
2016-04-14,76.57,76.57,75.620003,75.889999,2852800,75.889999
2016-04-15,75.980003,76.040001,75.519997,75.760002,3294100,75.760002
2016-04-18,75.629997,76.160004,75.610001,76.019997,2101000,76.019997
2016-04-19,76.150002,76.239998,75.709999,75.809998,3695500,75.809998
2016-04-20,75.919998,76.330002,75.589996,75.589996,4803200,75.589996
2016-04-21,75.68,75.830002,74.790001,74.879997,5092600,74.879997
2016-04-22,74.870003,75.760002,74.860001,75.489998,3204100,75.489998
2016-04-25,75.470001,75.699997,75.150002,75.669998,2001700,75.669998
2016-04-26,75.599998,76.07,75.599998,75.790001,2291500,75.790001
2016-04-27,75.57,75.989998,75.309998,75.870003,2209800,75.870003
2016-04-28,76.110001,76.809998,75.959999,76.5,2830700,76.5
2016-04-29,76.230003,76.230003,74.690002,75.129997,2829300,75.129997
2016-05-02,75.07,75.610001,74.830002,75.5,3105800,75.5
2016-05-03,75.050003,75.449997,75.010002,75.32,2600000,75.32
2016-05-04,75.139999,75.410004,74.830002,74.970001,2433700,74.970001
2016-05-05,75.07,75.220001,74.550003,74.690002,2515300,74.690002
2016-05-06,74.519997,75.68,74.360001,75.419998,4458800,75.419998
2016-05-09,75.440002,75.550003,75.239998,75.510002,2209100,75.510002
2016-05-10,76.199997,76.650002,76.07,76.57,20168600,76.57
2016-05-11,76.529999,76.709999,76.07,76.18,8678900,76.18
2016-05-12,76.18,76.18,76.18,76.18,0,76.18
2016-05-13,76.18,76.18,76.18,76.18,0,76.18
2016-05-16,76.18,76.18,76.18,76.18,0,76.18
2016-05-17,76.18,76.18,76.18,76.18,0,76.18
2016-05-18,76.18,76.18,76.18,76.18,0,76.18
2016-05-19,76.18,76.18,76.18,76.18,0,76.18
2016-05-20,76.18,76.18,76.18,76.18,0,76.18
2016-05-23,76.18,76.18,76.18,76.18,0,76.18
2016-05-24,76.18,76.18,76.18,76.18,0,76.18
2016-05-25,76.18,76.18,76.18,76.18,0,76.18
2016-05-26,76.18,76.18,76.18,76.18,0,76.18
2016-05-27,76.18,76.18,76.18,76.18,0,76.18
2016-05-31,76.18,76.18,76.18,76.18,0,76.18
2016-06-01,76.18,76.18,76.18,76.18,0,76.18
2016-06-02,76.18,76.18,76.18,76.18,0,76.18
2016-06-03,76.18,76.18,76.18,76.18,0,76.18
