Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2013-09-27,61.060001,61.630001,60.939999,61.27,889900,55.553492
2013-09-30,60.52,60.630001,60.02,60.32,1542800,54.692127
2013-10-01,60.080002,60.849998,60.060001,60.849998,1741700,55.172676
2013-10-02,60.560001,62.009998,60.32,62.009998,1563600,56.224448
2013-10-03,61.73,62.029999,61.349998,61.810001,1642400,56.043111
2013-10-04,61.900002,62.939999,61.57,62.919998,1287700,57.049545
2013-10-07,62.459999,62.459999,61.419998,61.84,1718100,56.070311
2013-10-08,61.799999,62.41,60.98,61.16,1212100,55.453755
2013-10-09,61.18,61.310001,59.950001,60.23,2005700,54.610524
2013-10-10,61.009998,61.57,60.669998,61.529999,1332000,55.789232
2013-10-11,61.130001,62.330002,61.02,61.880001,921500,56.106579
2013-10-14,61.119999,61.389999,60.360001,61.380001,2203800,55.65323
2013-10-15,61.389999,62.029999,61.029999,61.93,1867800,56.151914
2013-10-16,62.27,62.84,61.700001,62.099998,1261100,56.306051
2013-10-17,62.080002,62.189999,61.540001,61.950001,1225300,56.170048
2013-10-18,62.43,62.549999,62.099998,62.439999,1297100,56.614329
2013-10-21,62.240002,62.639999,61.450001,61.549999,1598200,55.807367
2013-10-22,61.740002,61.990002,61.150002,61.720001,954200,55.961508
2013-10-23,61.299999,61.599998,60.57,61.34,1259200,55.616961
2013-10-24,61.34,61.720001,61.099998,61.650002,952700,55.898039
2013-10-25,61.889999,61.959999,60.98,61.75,672300,55.988708
2013-10-28,61.93,62.650002,61.470001,62.110001,1358200,56.31512
2013-10-29,62.240002,62.93,62.0,62.830002,1132900,56.967945
2013-10-30,62.91,62.990002,61.209999,62.02,1742000,56.233517
2013-10-31,60.799999,60.799999,58.369999,60.32,4038100,54.692127
2013-11-01,59.900002,60.509998,58.720001,60.400002,2491900,54.764664
2013-11-04,60.57,61.439999,60.400002,61.360001,1463300,55.635095
2013-11-05,61.310001,61.57,60.110001,60.360001,2067800,54.728395
2013-11-06,60.66,61.110001,59.73,60.25,1354900,54.628658
2013-11-07,60.16,60.82,59.689999,59.93,2184800,54.338514
2013-11-08,60.099998,61.209999,59.880001,61.040001,1408700,55.344952
2013-11-11,61.25,62.150002,61.09,61.84,1094800,56.070311
2013-11-12,62.77,63.009998,61.700001,61.869999,2352200,56.097511
2013-11-13,61.139999,61.720001,60.889999,61.560001,1289900,56.100246
2013-11-14,61.540001,62.380001,61.200001,62.240002,1156900,56.719937
2013-11-15,62.27,63.099998,61.950001,62.830002,1089500,57.25761
2013-11-18,63.169998,63.619999,62.73,62.990002,2068100,57.40342
2013-11-19,62.849998,63.34,62.349998,63.099998,1592300,57.503661
2013-11-20,63.450001,64.099998,62.599998,62.880001,1385100,57.303175
2013-11-21,63.299999,63.669998,62.810001,63.549999,759600,57.913751
2013-11-22,63.689999,64.349998,63.360001,64.25,1154200,58.551669
2013-11-25,64.080002,64.550003,63.43,64.220001,1679000,58.52433
2013-11-26,63.98,65.290001,63.91,64.949997,1451400,59.189583
2013-11-27,64.779999,65.540001,64.419998,65.089996,2072900,59.317166
2013-11-29,65.029999,65.599998,64.699997,64.93,687900,59.17136
2013-12-02,65.18,66.199997,64.75,65.120003,1782000,59.344511
2013-12-03,64.860001,65.75,64.650002,65.550003,1627500,59.736374
2013-12-04,65.209999,65.360001,63.639999,64.550003,1693500,58.825064
2013-12-05,64.529999,64.650002,63.41,63.540001,1498700,57.904639
2013-12-06,64.080002,64.459999,63.580002,63.900002,1087000,58.232711
2013-12-09,64.660004,64.839996,63.369999,64.120003,1201600,58.433201
2013-12-10,64.029999,64.449997,63.84,64.099998,1085800,58.414971
