Date,Open_APD,High_APD,Low_APD,Close_APD,Volume_APD,AdjClose_APD
2014-07-08,128.160004,129.229996,127.940002,128.580002,842000,123.476123
2014-07-09,129.369995,129.479996,128.490005,129.279999,836800,124.148334
2014-07-10,128.0,129.100006,127.68,128.690002,706800,123.581757
2014-07-11,128.5,129.449997,128.330002,129.419998,631600,124.282776
2014-07-14,129.979996,129.979996,129.190002,129.610001,924500,124.465237
2014-07-15,129.979996,130.75,129.270004,129.600006,1434200,124.455639
2014-07-16,129.990005,130.380005,129.25,129.800003,827500,124.647697
2014-07-17,129.380005,129.850006,128.509995,128.740005,962400,123.629775
2014-07-18,129.199997,130.160004,128.360001,129.979996,1163100,124.820545
2014-07-21,129.330002,130.160004,129.050003,130.059998,924000,124.897371
2014-07-22,130.039993,130.559998,129.720001,130.330002,988100,125.156658
2014-07-23,130.199997,136.309998,130.050003,136.089996,4299800,130.688014
2014-07-24,135.279999,136.429993,134.759995,135.160004,1667600,129.794937
2014-07-25,134.729996,136.0,134.679993,135.869995,1220700,130.476746
2014-07-28,135.75,136.330002,134.820007,136.320007,1302900,130.908895
2014-07-29,136.5,136.800003,135.860001,135.860001,1457500,130.467148
2014-07-30,136.169998,136.910004,134.679993,135.339996,981100,129.967785
2014-07-31,134.210007,135.020004,131.940002,131.949997,1471100,126.712349
2014-08-01,131.460007,133.600006,131.220001,133.119995,1666000,127.835905
2014-08-04,134.179993,135.529999,133.070007,135.320007,864900,129.948589
2014-08-05,135.199997,135.199997,132.100006,132.660004,2886400,127.394172
2014-08-06,132.369995,133.149994,131.860001,132.320007,1470800,127.067672
2014-08-07,132.940002,132.940002,130.679993,131.160004,1045300,125.953714
2014-08-08,131.479996,132.759995,130.960007,132.669998,937700,127.40377
2014-08-11,133.300003,133.539993,131.899994,132.029999,889100,126.789175
2014-08-12,132.149994,132.339996,131.070007,131.990005,583800,126.750769
2014-08-13,132.710007,132.789993,132.070007,132.440002,1140900,127.182904
2014-08-14,132.610001,133.110001,132.190002,132.550003,543000,127.288538
2014-08-15,132.839996,133.820007,131.559998,132.779999,840800,127.509404
2014-08-18,133.389999,134.309998,133.389999,134.139999,989500,128.815421
2014-08-19,134.220001,134.800003,133.570007,134.380005,1341800,129.045899
2014-08-20,134.320007,134.399994,133.330002,133.809998,750400,128.498518
2014-08-21,133.889999,134.020004,132.929993,133.130005,1137100,127.845517
2014-08-22,133.160004,133.300003,132.490005,132.75,779600,127.480596
2014-08-25,133.330002,133.839996,132.660004,133.179993,702000,127.893521
2014-08-26,133.820007,133.820007,133.020004,133.399994,693700,128.104789
2014-08-27,133.029999,133.789993,132.389999,133.0,1099300,127.720673
2014-08-28,132.5,133.899994,131.889999,133.339996,1839700,128.047173
2014-08-29,133.699997,133.869995,132.630005,133.210007,960200,127.922343
2014-09-02,133.169998,133.509995,131.710007,132.289993,1254200,127.038849
2014-09-03,132.279999,133.440002,132.279999,132.880005,1021000,127.605441
2014-09-04,132.889999,133.399994,132.190002,132.429993,777700,127.173291
2014-09-05,132.210007,132.580002,131.520004,132.539993,846300,127.278926
2014-09-08,132.300003,133.389999,131.660004,131.990005,931300,126.750769
2014-09-09,132.039993,132.039993,129.520004,130.110001,1261900,124.94539
2014-09-10,129.929993,131.729996,129.160004,131.610001,3813200,126.385848
2014-09-11,130.470001,130.509995,128.029999,128.429993,3140100,123.332068
2014-09-12,128.389999,129.050003,127.459999,128.220001,2041600,123.130412
2014-09-15,127.830002,129.059998,126.82,128.949997,2428100,123.831431
2014-09-16,128.729996,132.279999,128.350006,131.479996,3399000,126.261004
2014-09-17,131.990005,133.020004,130.220001,130.919998,2301300,125.723235
2014-09-18,131.720001,137.449997,131.059998,133.039993,4749400,127.759079
2014-09-19,133.690002,135.960007,133.369995,134.5,6640400,129.161131
2014-09-22,134.5,134.699997,133.759995,134.199997,1918500,128.873037
2014-09-23,134.199997,134.419998,133.350006,133.410004,2038600,128.114402
2014-09-24,133.800003,136.0,133.309998,135.679993,1776100,130.294285
2014-09-25,134.850006,135.119995,132.789993,133.020004,1805900,127.739883
2014-09-26,133.0,135.279999,133.0,134.770004,1290500,129.420418
2014-09-29,132.990005,133.869995,132.830002,133.130005,1140300,128.580147
2014-09-30,133.110001,133.300003,130.179993,130.179993,1801500,125.730955
2014-10-01,129.440002,129.710007,126.199997,126.480003,3023800,122.157416
2014-10-02,126.339996,128.220001,124.489998,127.419998,2432200,123.065286
2014-10-03,129.070007,129.5,127.68,128.559998,1359900,124.166324
2014-10-06,128.960007,128.970001,127.940002,128.669998,1338400,124.272566
2014-10-07,127.849998,127.970001,125.660004,125.849998,2101200,121.548942
2014-10-08,125.800003,126.910004,123.440002,126.699997,2303500,122.369891
2014-10-09,126.5,126.620003,122.160004,123.309998,2650400,119.095749
2014-10-10,122.540001,123.93,121.440002,122.959999,2628000,118.757712
2014-10-13,122.660004,123.339996,118.790001,119.029999,2333000,114.962023
2014-10-14,119.599998,122.699997,118.199997,121.010002,2945700,116.874358
2014-10-15,119.239998,126.860001,118.239998,126.269997,3643000,121.954587
2014-10-16,125.230003,129.210007,124.559998,127.709999,3022800,123.345376
2014-10-17,128.800003,129.729996,127.919998,129.009995,2040200,124.600942
2014-10-20,128.929993,129.970001,128.369995,129.970001,1321800,125.52814
2014-10-21,129.800003,131.699997,129.520004,130.75,2203500,126.281481
2014-10-22,131.389999,132.460007,129.479996,129.600006,1462900,125.17079
2014-10-23,130.960007,131.089996,129.070007,129.520004,1572200,125.093522
2014-10-24,129.5,131.990005,128.889999,131.5,1308600,127.005849
2014-10-27,130.429993,130.429993,127.830002,128.550003,2026200,124.156672
2014-10-28,129.119995,130.259995,128.639999,129.720001,1539000,125.286684
2014-10-29,129.729996,129.75,126.830002,128.850006,3736400,124.446422
2014-10-30,131.0,136.080002,131.0,133.580002,3141900,129.014765
2014-10-31,134.389999,135.419998,133.149994,134.660004,2853600,130.057856
2014-11-03,134.610001,136.229996,133.320007,135.389999,1699600,130.762904
2014-11-04,135.0,135.169998,133.070007,133.669998,1935200,129.101685
