Date,Open_MA,High_MA,Low_MA,Close_MA,Volume_MA,AdjClose_MA
2013-10-11,678.850021,685.540009,675.739975,684.179993,5458000,67.268305
2013-10-14,679.420013,690.049973,674.300003,689.100037,3598000,67.752041
2013-10-15,687.249985,693.239975,682.659988,686.389999,9156000,67.485592
2013-10-16,689.459991,699.589996,687.770004,695.500031,5440000,68.381286
2013-10-17,692.689972,705.0,692.610016,704.639969,5420000,69.279921
2013-10-18,706.999969,716.389999,701.100006,715.189972,5959000,70.317193
2013-10-21,717.020035,719.869995,709.179993,717.839966,4799000,70.57774
2013-10-22,721.760025,727.399979,716.610031,718.679962,4306000,70.660328
2013-10-23,715.999985,716.620026,707.009964,710.970001,4414000,69.902288
2013-10-24,714.550018,726.989975,714.01001,724.690018,4020000,71.251234
2013-10-25,725.0,732.450027,720.049973,723.779984,4640000,71.16176
2013-10-28,724.029999,731.600037,721.360016,729.940033,4411000,71.767414
2013-10-29,733.440018,737.829971,727.549973,732.440033,4655000,72.013213
2013-10-30,733.990021,734.599991,721.350021,725.680008,5562000,71.34857
2013-10-31,730.039978,734.61998,707.389984,717.099991,10221000,70.504986
2013-11-01,723.949966,739.240036,723.180008,737.480011,8304000,72.508741
2013-11-04,738.330002,739.820023,726.240005,728.399963,4568000,71.615995
2013-11-05,727.310028,738.239975,723.22998,736.380005,6120000,72.400589
2013-11-06,738.000031,738.359985,730.090027,733.87001,4849000,72.153807
2013-11-07,737.360001,737.549973,719.629974,721.320038,4743000,70.919899
2013-11-08,720.490036,734.499969,720.490036,734.469986,4558000,72.212797
2013-11-11,734.110031,743.420029,732.229996,741.159973,4068000,72.870554
2013-11-12,739.469986,740.699997,731.529999,737.679977,4520000,72.528402
2013-11-13,735.0,737.450027,731.900024,735.479965,4843000,72.312097
2013-11-14,735.0,744.000015,734.560013,743.529968,3384000,73.103571
2013-11-15,743.550034,753.600006,743.550034,752.259979,4843000,73.961902
2013-11-18,753.720016,759.700012,751.210022,754.550018,6949000,74.187057
2013-11-19,754.499969,757.5,745.009995,746.949997,3141000,73.439826
2013-11-20,748.000031,753.990021,743.450012,745.930023,3059000,73.339543
2013-11-21,744.840012,749.589996,744.840012,746.999969,3685000,73.44474
2013-11-22,747.519989,755.86998,746.520004,754.449997,3796000,74.177223
2013-11-25,759.169998,759.499969,752.399979,756.490021,4461000,74.377798
2013-11-26,756.930008,765.149994,755.0,757.040024,5048000,74.431874
2013-11-27,760.999985,764.47998,756.100006,760.400009,2596000,74.762226
2013-11-29,761.429977,765.0,759.629974,760.810013,2388000,74.802538
2013-12-02,760.810013,763.75,754.000015,756.119995,4185000,74.341417
2013-12-03,752.900009,755.159988,747.249985,754.100037,4184000,74.142815
2013-12-04,751.999969,753.75,744.059982,748.170013,5091000,73.559778
2013-12-05,750.250015,754.899979,747.009964,751.500015,3597000,73.887182
2013-12-06,757.740021,759.649963,752.720032,758.470001,3310000,74.572469
2013-12-09,762.900009,766.480026,758.000031,758.860016,4348000,74.610815
2013-12-10,758.499985,769.100037,758.499985,763.610001,6168000,75.077831
2013-12-11,793.740005,801.63002,789.469986,790.569992,25460000,77.728527
2013-12-12,791.500015,791.500015,781.330032,782.539978,10075000,76.939019
2013-12-13,785.500031,791.790009,783.460007,787.969971,6828000,77.472894
2013-12-16,793.000031,800.459976,791.699982,796.750031,7478000,78.336146
2013-12-17,799.800034,803.539963,796.119995,797.949982,9610000,78.454125
2013-12-18,797.870026,803.509979,788.62999,802.060013,10444000,78.858221
2013-12-19,801.999969,809.209976,799.029999,805.38002,9530000,79.184643
2013-12-20,808.550034,823.209991,807.040024,817.050018,13154000,80.332033
2013-12-23,825.059967,825.630035,812.559967,815.100021,8946000,80.14031
2013-12-24,814.520035,815.820007,811.050034,813.199997,4048000,79.9535
2013-12-26,815.049973,821.900024,814.169998,821.900024,5940000,80.808883
2013-12-27,821.999969,828.339996,820.039978,827.870026,5710000,81.395851
2013-12-30,830.12001,838.919983,828.550034,833.300018,7068000,81.929726
2013-12-31,839.369965,839.380035,830.619965,835.459976,6759000,82.142092
2014-01-02,837.409973,837.969971,830.100021,834.140015,7214000,82.012314
2014-01-03,834.140015,835.800018,825.999985,830.810013,6438000,81.68491
2014-01-06,831.959991,833.880005,824.660034,826.689987,7022000,81.279831
2014-01-07,831.009979,839.189987,830.999985,837.089996,7635000,82.412013
2014-01-08,837.320023,844.01001,836.009979,836.839981,6936000,82.387399
2014-01-09,840.0,844.240036,836.25,843.600006,7025000,83.052928
2014-01-10,846.839981,847.480011,831.600037,834.759979,8211000,82.182622
2014-01-13,835.459976,838.000031,807.630005,810.0,12354000,79.744987
2014-01-14,812.819977,822.969971,804.140015,821.709976,10869000,80.897841
2014-01-15,825.110016,829.779968,821.240005,823.36998,7750000,81.061269
2014-01-16,824.820023,827.990036,822.419968,825.500031,4965000,81.270974
2014-01-17,825.0,834.020004,807.88002,818.420029,13330000,80.573944
2014-01-21,823.02002,826.559982,814.029999,818.479996,10103000,80.579848
2014-01-22,82.209999,83.900002,82.0,83.300003,7220600,82.009354
2014-01-23,83.800003,83.809998,81.919998,82.360001,6590300,81.083916
2014-01-24,81.779999,81.980003,78.5,78.510002,9460200,77.293569
2014-01-27,78.949997,78.980003,74.949997,76.050003,13707500,74.871685
2014-01-28,76.699997,79.089996,76.580002,78.830002,7735000,77.608611
2014-01-29,78.190002,78.669998,77.010002,77.699997,7908500,76.496114
2014-01-30,80.449997,80.550003,78.239998,79.760002,8702200,78.524202
2014-01-31,75.510002,76.989998,71.75,75.68,23252800,74.507415
2014-02-03,76.050003,76.410004,73.849998,73.910004,9828200,72.764843
2014-02-04,74.220001,74.349998,72.800003,73.120003,11378100,71.987082
2014-02-05,72.760002,73.5,72.110001,72.839996,7768100,71.711414
2014-02-06,73.230003,74.910004,73.139999,74.900002,6804600,73.739502
2014-02-07,75.669998,76.93,75.129997,76.309998,8437500,75.127651
2014-02-10,76.660004,77.339996,75.849998,76.349998,4885600,75.167032
2014-02-11,76.800003,76.830002,76.0,76.190002,5322900,75.009515
2014-02-12,76.440002,76.93,75.669998,75.970001,4775200,74.792923
2014-02-13,75.480003,76.639999,75.129997,76.529999,4912300,75.344244
2014-02-14,76.580002,77.660004,76.480003,77.389999,4731900,76.19092
2014-02-18,78.459999,78.489998,77.199997,77.489998,5811700,76.289369
2014-02-19,77.339996,78.010002,76.529999,76.650002,6032800,75.462387
2014-02-20,76.879997,76.879997,74.849998,75.860001,8711100,74.684627
2014-02-21,75.860001,76.349998,75.5,75.699997,6551800,74.527102
