Date,Open_GPC,High_GPC,Low_GPC,Close_GPC,Volume_GPC,AdjClose_GPC
2013-08-29,77.199997,77.739998,77.010002,77.300003,425600,71.313783
2013-08-30,77.540001,77.540001,76.550003,77.010002,498700,71.04624
2013-09-03,77.800003,78.07,76.699997,77.110001,629900,71.138495
2013-09-04,76.440002,77.239998,76.400002,77.099998,492900,71.629025
2013-09-05,77.059998,78.559998,76.940002,78.32,614500,72.762456
2013-09-06,78.809998,79.18,77.830002,78.660004,726500,73.078333
2013-09-09,78.75,80.339996,78.75,80.220001,699300,74.527634
2013-09-10,80.610001,81.150002,80.470001,80.93,814700,75.187252
2013-09-11,80.989998,81.400002,80.709999,81.019997,461900,75.270862
2013-09-12,80.910004,81.220001,80.010002,80.230003,551600,74.536927
2013-09-13,80.489998,80.589996,79.449997,79.800003,793100,74.137439
2013-09-16,80.800003,80.839996,79.690002,79.889999,625700,74.221049
2013-09-17,79.889999,80.360001,79.830002,80.360001,282000,74.657699
2013-09-18,80.389999,81.800003,79.599998,81.580002,492500,75.79113
2013-09-19,81.940002,82.419998,81.43,81.75,337000,75.949065
2013-09-20,81.839996,82.459999,81.269997,81.309998,687300,75.540285
2013-09-23,81.300003,81.5,80.290001,81.07,427400,75.317317
2013-09-24,81.120003,81.419998,80.559998,80.839996,506200,75.103635
2013-09-25,81.019997,81.529999,80.589996,80.940002,519000,75.196544
2013-09-26,80.989998,81.5,80.32,80.699997,463700,74.97357
2013-09-27,80.269997,80.489998,80.089996,80.389999,453200,74.685569
2013-09-30,79.839996,80.900002,79.690002,80.889999,744700,75.15009
2013-10-01,80.739998,81.290001,80.129997,81.190002,725100,75.428805
2013-10-02,80.839996,81.260002,79.900002,81.230003,438400,75.465967
2013-10-03,81.360001,81.43,79.279999,79.349998,895400,73.719366
2013-10-04,79.260002,80.660004,79.080002,80.650002,522700,74.927122
2013-10-07,79.93,80.610001,79.470001,79.489998,492800,73.849431
2013-10-08,79.559998,79.730003,78.25,78.279999,486400,72.725293
2013-10-09,78.440002,78.620003,77.660004,78.269997,451800,72.716001
2013-10-10,79.230003,80.720001,78.959999,80.550003,670500,74.834219
2013-10-11,80.379997,80.620003,79.970001,80.610001,578000,74.889959
2013-10-14,79.699997,80.050003,79.410004,79.910004,674000,74.239634
2013-10-15,79.839996,79.839996,78.519997,78.919998,908100,73.319879
2013-10-16,79.220001,80.540001,79.150002,79.739998,1136100,74.081692
2013-10-17,79.470001,80.900002,79.160004,80.769997,926800,75.038602
2013-10-18,77.980003,79.480003,76.449997,78.650002,2957800,73.069041
2013-10-21,78.68,78.699997,77.139999,78.089996,992500,72.548773
2013-10-22,78.290001,78.720001,77.690002,78.199997,704900,72.650968
2013-10-23,78.089996,78.580002,77.739998,78.400002,653900,72.836781
2013-10-24,78.699997,79.059998,78.370003,78.839996,602400,73.245554
2013-10-25,79.120003,79.120003,76.260002,79.089996,570200,73.477814
2013-10-28,79.209999,79.459999,78.870003,79.080002,519700,73.468528
2013-10-29,79.349998,79.529999,78.650002,79.489998,586300,73.849431
2013-10-30,79.580002,80.0,78.489998,79.099998,642000,73.487106
2013-10-31,78.93,79.330002,78.379997,78.830002,675400,73.236268
2013-11-01,79.019997,79.300003,78.339996,78.989998,393500,73.384911
2013-11-04,79.610001,80.550003,79.129997,80.529999,782800,74.815634
2013-11-05,79.919998,80.610001,79.32,80.209999,730000,74.518342
2013-11-06,80.599998,81.150002,80.129997,80.959999,502300,75.215122
2013-11-07,81.25,81.309998,79.400002,79.480003,716800,73.840146
2013-11-08,79.419998,80.779999,79.18,80.690002,591700,74.964284
2013-11-11,80.550003,81.470001,80.510002,81.440002,425400,75.661065
2013-11-12,81.07,81.510002,80.809998,81.400002,536800,75.623902
2013-11-13,80.989998,82.080002,80.860001,81.760002,820100,75.958357
2013-11-14,81.940002,82.669998,81.550003,82.629997,958800,76.766618
2013-11-15,82.629997,82.870003,82.010002,82.75,1612300,76.878106
2013-11-18,83.0,83.0,82.120003,82.43,606200,76.580813
2013-11-19,82.339996,82.449997,81.580002,81.879997,1533600,76.069838
2013-11-20,82.279999,82.440002,81.040001,81.25,876200,75.484545
2013-11-21,81.400002,81.82,81.120003,81.650002,1704000,75.856162
2013-11-22,81.800003,82.220001,81.610001,81.949997,639300,76.13487
2013-11-25,82.139999,82.330002,81.449997,81.589996,459300,75.800415
2013-11-26,81.769997,81.970001,81.32,81.349998,626700,75.577447
2013-11-27,81.650002,81.900002,81.349998,81.839996,432800,76.032675
2013-11-29,82.129997,83.290001,82.0,82.839996,464200,76.961716
2013-12-02,82.910004,83.230003,82.150002,82.32,651000,76.478618
2013-12-03,82.790001,84.889999,82.389999,82.959999,1770800,77.073203
2013-12-04,81.980003,82.629997,80.800003,81.459999,896200,76.173635
2013-12-05,81.339996,81.389999,80.25,80.330002,1006200,75.116969
2013-12-06,81.150002,81.809998,80.870003,81.720001,1118300,76.416764
2013-12-09,81.739998,82.5,81.660004,82.419998,675500,77.071335
2013-12-10,82.290001,83.040001,82.230003,82.779999,562900,77.407973
2013-12-11,82.690002,82.769997,81.400002,81.620003,853800,76.323255
2013-12-12,81.43,81.68,81.0,81.089996,544200,75.827644
2013-12-13,81.379997,81.650002,80.720001,81.120003,540700,75.855703
2013-12-16,81.440002,81.690002,80.940002,80.940002,1080600,75.687384
2013-12-17,80.839996,81.160004,80.5,80.559998,612200,75.332039
2013-12-18,80.769997,81.739998,80.18,81.739998,967700,76.435463
2013-12-19,81.639999,81.93,81.389999,81.599998,907400,76.304549
2013-12-20,81.690002,82.080002,81.330002,81.769997,802500,76.463515
2013-12-23,82.239998,82.639999,82.010002,82.300003,393200,76.959127
2013-12-24,82.480003,82.910004,82.199997,82.739998,144400,77.370568
2013-12-26,82.839996,83.139999,82.68,83.029999,254600,77.641749
2013-12-27,83.330002,83.5,82.800003,83.220001,383100,77.819422
2013-12-30,83.150002,83.360001,82.510002,83.150002,321900,77.753964
2013-12-31,83.269997,83.639999,82.849998,83.190002,325000,77.79137
2014-01-02,83.099998,83.129997,81.629997,81.919998,545100,76.603782
2014-01-03,82.169998,82.800003,81.620003,82.32,624900,76.977826
2014-01-06,82.580002,83.150002,82.0,82.040001,644900,76.715998
2014-01-07,82.879997,83.379997,82.18,83.129997,864200,77.735258
2014-01-08,83.029999,83.059998,82.339996,82.910004,881900,77.529541
2014-01-09,82.980003,83.419998,82.230003,82.830002,567500,77.454731
2014-01-10,82.910004,83.489998,82.220001,83.449997,938600,78.034492
2014-01-13,83.169998,83.449997,81.43,81.629997,814600,76.332601
2014-01-14,82.089996,82.870003,81.5,82.739998,622600,77.370568
2014-01-15,82.790001,83.870003,82.25,83.57,935800,78.146707
2014-01-16,83.519997,84.610001,83.279999,84.599998,726300,79.109864
2014-01-17,84.669998,84.669998,83.580002,84.139999,1359000,78.679716
2014-01-21,84.150002,84.43,83.550003,84.239998,856800,78.773225
2014-01-22,84.629997,84.809998,83.779999,84.75,877500,79.250131
2014-01-23,84.029999,84.169998,83.5,84.050003,674000,78.59556
2014-01-24,83.300003,83.519997,82.330002,82.339996,848700,76.996525
2014-01-27,82.639999,83.470001,82.139999,82.910004,840500,77.529541
2014-01-28,83.400002,83.68,82.919998,83.209999,1356000,77.810068
2014-01-29,82.629997,82.860001,81.059998,81.32,696400,76.042721
2014-01-30,81.989998,82.139999,81.25,82.080002,805800,76.753403
2014-01-31,81.080002,82.57,81.019997,82.25,824000,76.912369
2014-02-03,81.959999,82.199997,77.5,77.75,1524200,72.704397
2014-02-04,77.400002,78.43,76.5,78.0,1739100,72.938173
2014-02-05,77.959999,78.360001,76.849998,78.07,1058900,73.00363
2014-02-06,78.540001,80.889999,78.260002,80.599998,1085600,75.369444
2014-02-07,81.150002,81.730003,80.800003,81.589996,622500,76.295196
2014-02-10,81.510002,82.139999,81.120003,81.879997,583600,76.566377
2014-02-11,82.0,83.230003,81.959999,82.849998,635800,77.47343
2014-02-12,83.040001,83.910004,82.919998,83.82,706300,78.380483
2014-02-13,83.110001,85.040001,83.110001,84.639999,931800,79.147269
2014-02-14,84.699997,85.989998,84.25,85.949997,949300,80.372254
2014-02-18,87.0,90.0,87.0,87.410004,1923900,81.737513
2014-02-19,87.360001,87.360001,86.18,86.459999,1141300,80.849159
2014-02-20,86.269997,87.169998,85.860001,87.050003,663400,81.400875
2014-02-21,87.139999,87.629997,86.629997,87.25,542000,81.587893
2014-02-24,87.449997,88.050003,87.110001,87.120003,657800,81.466332
2014-02-25,87.18,87.330002,86.550003,86.709999,852000,81.082935
2014-02-26,86.739998,87.779999,86.639999,87.150002,664100,81.494384
2014-02-27,86.940002,87.139999,86.099998,86.790001,618700,81.157745
2014-02-28,87.050003,88.269997,86.760002,88.089996,811400,82.373377
2014-03-03,86.800003,87.279999,85.989998,86.980003,756100,81.335418
2014-03-04,88.089996,88.309998,87.410004,87.93,743300,82.223764
2014-03-05,87.620003,88.139999,87.25,87.599998,594400,82.454368
2014-03-06,88.029999,88.120003,87.010002,87.089996,523200,81.974323
2014-03-07,87.349998,87.760002,87.029999,87.480003,486400,82.341421
2014-03-10,87.300003,87.489998,86.220001,86.550003,595800,81.466049
2014-03-11,86.760002,87.099998,86.160004,86.440002,447700,81.36251
2014-03-12,86.059998,86.800003,85.75,86.779999,513900,81.682535
2014-03-13,87.110001,87.25,85.540001,85.540001,818500,80.515374
2014-03-14,85.5,86.110001,85.330002,85.43,865400,80.411835
2014-03-17,86.010002,86.400002,85.330002,85.769997,673200,80.73186
2014-03-18,85.93,86.099998,85.529999,85.849998,493100,80.807163
2014-03-19,85.970001,86.260002,84.360001,84.900002,698400,79.912969
2014-03-20,84.68,85.300003,84.459999,85.080002,598400,80.082396
2014-03-21,85.5,85.639999,84.589996,84.690002,1192100,79.715305
2014-03-24,84.910004,85.32,83.919998,84.199997,572600,79.254082
2014-03-25,84.959999,85.050003,84.110001,84.459999,683100,79.498812
2014-03-26,84.730003,85.080002,83.970001,84.239998,604700,79.291734
2014-03-27,84.050003,84.160004,83.510002,83.959999,444500,79.028182
2014-03-28,84.370003,85.379997,84.059998,85.230003,464000,80.223586
2014-03-31,85.739998,86.889999,85.360001,86.849998,739400,81.748423
2014-04-01,86.769997,86.93,86.0,86.800003,770800,81.701364
2014-04-02,87.0,87.489998,86.529999,87.0,883900,81.889613
2014-04-03,87.709999,87.949997,87.169998,87.610001,690200,82.463782
2014-04-04,88.089996,88.18,86.0,86.300003,545000,81.230734
2014-04-07,85.900002,86.290001,84.199997,84.68,621200,79.70589
2014-04-08,84.559998,86.269997,84.349998,86.18,647900,81.11778
2014-04-09,86.519997,87.169998,85.889999,87.059998,657900,81.946086
2014-04-10,87.029999,87.32,85.449997,85.459999,655600,80.440072
2014-04-11,84.769997,85.480003,84.449997,84.550003,518700,79.583529
2014-04-14,85.370003,85.440002,84.089996,84.879997,442200,79.894139
2014-04-15,85.080002,85.360001,83.720001,85.199997,440000,80.195342
2014-04-16,86.959999,87.599998,86.75,87.410004,1078900,82.275533
2014-04-17,87.400002,88.279999,87.160004,87.32,936100,82.190816
2014-04-21,87.269997,88.230003,86.709999,87.949997,847100,82.783807
2014-04-22,88.190002,89.050003,85.970001,86.190002,1502800,81.127195
2014-04-23,86.209999,86.919998,85.330002,86.639999,1099500,81.550759
2014-04-24,86.839996,86.839996,85.889999,86.230003,435900,81.164846
2014-04-25,86.059998,86.059998,85.269997,85.629997,528300,80.600084
