Date,Open_BLL,High_BLL,Low_BLL,Close_BLL,Volume_BLL,AdjClose_BLL
2014-07-18,63.560001,64.580002,63.5,64.339996,727000,63.365962
2014-07-21,64.230003,64.760002,63.810001,64.599998,786600,63.622028
2014-07-22,64.900002,64.910004,63.009998,63.209999,1338300,62.253071
2014-07-23,63.23,63.27,62.549999,62.959999,792800,62.006856
2014-07-24,63.119999,64.040001,63.029999,63.830002,603000,62.863688
2014-07-25,63.610001,63.84,63.189999,63.360001,525800,62.400802
2014-07-28,63.299999,63.360001,62.759998,62.91,768700,61.957614
2014-07-29,62.880001,63.16,62.43,62.450001,461900,61.504579
2014-07-30,62.52,62.91,62.16,62.490002,1396500,61.543974
2014-07-31,62.310001,62.950001,60.73,61.259998,1398500,60.332592
2014-08-01,61.23,62.110001,60.919998,61.68,1685700,60.746235
2014-08-04,61.869999,62.099998,61.540001,61.950001,835100,61.012148
2014-08-05,61.790001,62.049999,61.240002,61.41,697500,60.480322
2014-08-06,61.18,62.380001,61.040001,62.23,854100,61.287908
2014-08-07,62.59,62.799999,62.099998,62.259998,764000,61.317453
2014-08-08,61.93,62.34,61.369999,62.25,779500,61.307606
2014-08-11,62.5,62.790001,62.349998,62.639999,548800,61.691701
2014-08-12,62.68,62.860001,62.369999,62.790001,639600,61.839432
2014-08-13,63.0,63.16,62.43,62.66,571800,61.711399
2014-08-14,62.669998,63.110001,62.549999,62.939999,429400,61.987159
2014-08-15,63.07,63.599998,62.700001,63.119999,942700,62.164434
2014-08-18,63.419998,63.889999,63.290001,63.849998,554800,62.883382
2014-08-19,64.050003,64.199997,63.860001,64.07,543300,63.100053
2014-08-20,64.059998,64.089996,63.220001,63.240002,709300,62.28262
2014-08-21,63.369999,63.889999,63.130001,63.580002,722000,62.617473
2014-08-22,63.759998,63.759998,62.93,63.200001,775200,62.243225
2014-08-25,63.459999,63.48,62.900002,63.099998,556300,62.144736
2014-08-26,63.25,63.619999,63.139999,63.5,614800,62.538682
2014-08-27,63.66,63.959999,63.400002,63.689999,657000,62.725804
2014-08-28,63.27,63.950001,63.02,63.669998,877300,62.83436
2014-08-29,63.869999,64.389999,63.77,64.099998,671800,63.258716
2014-09-02,64.75,65.57,64.419998,65.25,1568500,64.393625
2014-09-03,65.449997,66.099998,65.199997,66.059998,1123800,65.192991
2014-09-04,66.269997,66.529999,65.830002,65.860001,1038700,64.995619
2014-09-05,65.760002,66.330002,65.349998,66.330002,474900,65.459452
2014-09-08,66.139999,66.389999,65.559998,65.910004,684500,65.044966
2014-09-09,65.669998,65.860001,65.360001,65.669998,444400,64.808111
2014-09-10,65.660004,66.010002,65.449997,65.900002,604000,65.035095
2014-09-11,65.5,66.129997,65.419998,66.089996,595700,65.222596
2014-09-12,66.0,66.110001,65.540001,65.709999,813300,64.847587
2014-09-15,65.699997,65.980003,65.519997,65.660004,478100,64.798247
2014-09-16,65.610001,66.040001,65.470001,65.639999,760100,64.778506
2014-09-17,65.449997,65.68,64.190002,64.550003,1154600,63.702815
2014-09-18,64.510002,64.660004,64.0,64.199997,886600,63.357402
2014-09-19,64.400002,64.650002,64.269997,64.379997,1404100,63.53504
2014-09-22,64.449997,64.580002,64.239998,64.440002,885300,63.594258
2014-09-23,64.419998,64.730003,63.880001,63.919998,1072700,63.081079
2014-09-24,63.77,64.25,63.630001,63.970001,609500,63.130425
2014-09-25,63.48,63.900002,63.209999,63.509998,752300,62.67646
2014-09-26,63.439999,63.68,63.139999,63.369999,532800,62.538298
2014-09-29,63.119999,64.449997,62.849998,64.190002,937300,63.347539
2014-09-30,64.139999,64.269997,63.189999,63.27,1161700,62.439612
2014-10-01,63.07,63.259998,61.950001,62.110001,1553300,61.294836
2014-10-02,61.990002,62.580002,61.759998,62.310001,1032300,61.492212
2014-10-03,62.490002,63.290001,62.349998,63.119999,791600,62.291579
2014-10-06,63.25,63.650002,62.849998,63.099998,536600,62.271841
2014-10-07,63.119999,63.23,62.369999,62.41,686700,61.590898
2014-10-08,62.509998,63.900002,62.130001,63.84,816800,63.00213
2014-10-09,63.59,64.349998,62.849998,63.060001,1146900,62.232369
2014-10-10,62.919998,63.82,62.59,62.619999,1457100,61.798141
2014-10-13,62.470001,63.290001,61.790001,61.810001,1380700,60.998774
2014-10-14,62.23,63.259998,61.889999,63.07,1112000,62.242236
2014-10-15,62.619999,64.150002,62.189999,63.959999,2208600,63.120554
2014-10-16,63.259998,64.57,63.220001,63.970001,1197400,63.130425
2014-10-17,64.239998,65.279999,64.239998,65.029999,1344500,64.176511
2014-10-20,65.120003,66.110001,65.050003,65.970001,1231300,65.104176
2014-10-21,66.110001,67.910004,65.940002,67.889999,1664100,66.998975
2014-10-22,68.169998,68.220001,66.830002,66.870003,1354200,65.992366
2014-10-23,67.459999,67.459999,66.230003,66.580002,1284900,65.706171
2014-10-24,66.5,67.059998,66.139999,66.75,770700,65.873938
2014-10-27,66.25,66.519997,65.089996,65.510002,1376700,64.650214
2014-10-28,65.910004,66.580002,65.830002,66.580002,1095200,65.706171
2014-10-29,66.599998,67.029999,65.709999,66.589996,2528500,65.716034
2014-10-30,64.040001,64.919998,62.900002,63.299999,2292900,62.469217
2014-10-31,63.919998,64.529999,63.450001,64.43,1867200,63.584387
2014-11-03,64.230003,64.529999,63.130001,63.389999,1998200,62.558036
2014-11-04,63.529999,64.389999,63.389999,63.93,1594300,63.090949
2014-11-05,64.230003,64.559998,64.120003,64.5,885000,63.653468
2014-11-06,64.480003,65.050003,64.360001,64.690002,867600,63.840977
2014-11-07,64.82,65.360001,64.800003,64.970001,819200,64.117301
