Date,Open_MTB,High_MTB,Low_MTB,Close_MTB,Volume_MTB,AdjClose_MTB
2016-01-05,117.870003,118.989998,117.080002,118.129997,650100,116.651282
2016-01-06,116.349998,117.230003,115.279999,115.739998,859700,114.2912
2016-01-07,113.980003,114.57,111.900002,112.480003,982400,111.072013
2016-01-08,113.540001,113.599998,109.959999,110.169998,865700,108.790924
2016-01-11,110.089996,111.260002,108.32,109.129997,1260300,107.763942
2016-01-12,110.379997,110.739998,109.019997,110.489998,1317800,109.106918
2016-01-13,110.980003,111.160004,106.489998,106.720001,1595200,105.384113
2016-01-14,107.050003,107.989998,105.419998,107.209999,1148800,105.867977
2016-01-15,105.82,105.879997,102.720001,104.489998,1712000,103.182024
2016-01-19,105.690002,108.230003,104.419998,106.349998,1698100,105.018742
2016-01-20,104.120003,106.080002,101.910004,104.730003,2039500,103.419026
2016-01-21,104.720001,104.949997,101.830002,102.239998,1675500,100.960189
2016-01-22,103.739998,105.32,102.190002,104.580002,1776100,103.270902
2016-01-25,104.169998,104.459999,101.510002,101.790001,1607100,100.515825
2016-01-26,102.260002,105.900002,101.980003,105.68,2693100,104.357131
2016-01-27,105.309998,109.339996,104.650002,107.550003,2061400,106.203725
2016-01-28,107.93,109.599998,106.910004,108.199997,1678300,106.845583
2016-01-29,109.040001,110.230003,108.589996,110.18,1821500,108.800801
2016-02-01,109.779999,110.169998,107.160004,108.160004,1308800,106.80609
2016-02-02,106.57,106.57,104.779999,105.559998,1251700,104.23863
2016-02-03,105.93,106.260002,103.169998,106.169998,1245600,104.840995
2016-02-04,105.900002,109.559998,105.879997,108.190002,1011500,106.835713
2016-02-05,108.199997,109.82,106.949997,107.800003,1260600,106.450596
2016-02-08,105.629997,106.360001,104.610001,105.900002,1097000,104.574378
2016-02-09,104.440002,108.279999,104.339996,107.519997,1411600,106.174095
2016-02-10,108.220001,108.870003,105.379997,105.470001,1023400,104.14976
2016-02-11,102.419998,103.790001,100.080002,100.779999,1724000,99.518466
2016-02-12,102.589996,106.410004,102.589996,105.93,1365500,104.604001
2016-02-16,107.720001,110.25,106.230003,108.879997,1105100,107.517071
2016-02-17,109.860001,111.089996,107.860001,108.529999,1294600,107.171454
2016-02-18,108.980003,108.989998,105.279999,106.160004,1513000,104.831126
2016-02-19,105.730003,107.360001,104.839996,107.050003,714800,105.709984
2016-02-22,108.440002,109.639999,108.330002,109.440002,579400,108.070066
2016-02-23,108.980003,109.879997,105.57,105.970001,682400,104.643502
2016-02-24,104.389999,105.160004,101.949997,104.849998,1040400,103.537519
2016-02-25,105.160004,106.110001,103.440002,105.290001,1962500,103.972013
2016-02-26,105.5,107.349998,103.830002,106.25,1323500,105.622204
2016-02-29,106.339996,106.339996,102.529999,102.550003,1603600,101.944069
2016-03-01,103.379997,105.790001,103.169998,105.199997,2064700,104.578405
2016-03-02,105.379997,108.970001,104.730003,108.879997,1976400,108.236661
2016-03-03,108.610001,109.870003,107.660004,109.849998,973000,109.200931
2016-03-04,110.260002,111.459999,108.660004,110.230003,1010400,109.578691
2016-03-07,109.260002,110.080002,108.629997,109.709999,699600,109.061759
2016-03-08,108.540001,108.919998,107.120003,107.82,1254100,107.182927
2016-03-09,108.760002,108.980003,107.459999,108.0,956100,107.361864
2016-03-10,109.07,109.230003,106.050003,107.790001,952500,107.153106
2016-03-11,108.900002,111.449997,108.18,111.32,1492300,110.662247
2016-03-14,111.239998,112.230003,110.349998,111.57,835800,110.91077
2016-03-15,110.290001,111.610001,110.040001,111.379997,662300,110.72189
2016-03-16,110.900002,112.139999,109.260002,110.660004,756300,110.00615
2016-03-17,110.279999,111.389999,108.790001,111.080002,746000,110.423667
2016-03-18,111.620003,113.389999,111.620003,112.610001,2461200,111.944625
2016-03-21,112.18,113.339996,111.699997,112.519997,438600,111.855153
2016-03-22,111.360001,113.010002,111.050003,112.440002,488400,111.775632
2016-03-23,112.5,113.019997,111.480003,111.970001,615000,111.308408
2016-03-24,111.059998,111.260002,109.75,111.25,619700,110.592661
2016-03-28,111.720001,112.730003,110.68,111.330002,480500,110.67219
2016-03-29,110.529999,111.220001,109.160004,111.150002,712600,110.493253
2016-03-30,111.349998,113.300003,110.370003,111.970001,617600,111.308408
2016-03-31,111.589996,112.360001,110.839996,111.0,718900,110.344138
2016-04-01,111.059998,112.82,109.559998,112.419998,966700,111.755746
2016-04-04,112.150002,112.970001,111.589996,112.18,523800,111.517166
2016-04-05,110.879997,111.150002,109.790001,109.980003,599000,109.330168
2016-04-06,109.839996,111.139999,109.169998,110.870003,498400,110.214909
2016-04-07,109.779999,110.120003,107.010002,107.809998,775600,107.172984
2016-04-08,108.849998,110.120003,108.25,108.860001,681400,108.216783
2016-04-11,109.480003,111.129997,109.309998,109.769997,672600,109.121402
2016-04-12,109.449997,111.779999,109.349998,111.449997,450200,110.791476
2016-04-13,112.800003,115.800003,112.599998,115.529999,854300,114.84737
2016-04-14,115.18,117.830002,115.099998,116.220001,835000,115.533296
2016-04-15,116.57,116.669998,114.010002,114.809998,893800,114.131623
2016-04-18,114.349998,116.220001,112.809998,115.809998,959500,115.125715
2016-04-19,115.470001,118.029999,115.040001,117.849998,915000,117.153662
