Date,Open_PNW,High_PNW,Low_PNW,Close_PNW,Volume_PNW,AdjClose_PNW
2014-02-21,54.400002,55.43,54.400002,54.73,1326300,50.210411
2014-02-24,54.689999,55.450001,54.419998,54.439999,954600,49.944358
2014-02-25,54.380001,55.380001,54.34,55.139999,1682800,50.586553
2014-02-26,55.389999,55.470001,55.009998,55.240002,1082600,50.678297
2014-02-27,55.040001,55.290001,54.799999,55.27,1344200,50.705819
2014-02-28,55.290001,55.990002,55.209999,55.650002,975500,51.054439
2014-03-03,55.419998,55.549999,55.029999,55.07,961400,50.522334
2014-03-04,55.330002,55.540001,55.16,55.25,1257500,50.68747
2014-03-05,55.16,55.290001,54.48,54.509998,1189200,50.008577
2014-03-06,54.48,54.509998,53.880001,54.049999,1382800,49.586565
2014-03-07,54.060001,54.209999,53.689999,54.040001,795600,49.577392
2014-03-10,53.799999,54.299999,53.799999,54.25,1168300,49.77005
2014-03-11,54.360001,54.470001,53.630001,53.639999,1288000,49.210423
2014-03-12,53.580002,54.259998,53.509998,54.240002,892500,49.760877
2014-03-13,54.290001,55.279999,54.200001,54.93,1291000,50.393896
2014-03-14,54.93,55.52,54.759998,55.040001,1029500,50.494812
2014-03-17,55.25,55.43,54.919998,55.419998,515400,50.84343
2014-03-18,55.48,55.779999,55.380001,55.59,842800,50.999393
2014-03-19,55.5,55.509998,54.060001,54.209999,675000,49.733352
2014-03-20,53.950001,54.0,53.290001,53.549999,735700,49.127855
2014-03-21,53.98,54.400002,53.59,53.939999,1032300,49.485648
2014-03-24,54.029999,54.830002,53.869999,54.77,1093900,50.247109
2014-03-25,54.880001,55.080002,54.099998,54.490002,889700,49.990232
2014-03-26,54.540001,54.740002,54.150002,54.189999,677300,49.715003
2014-03-27,54.23,54.540001,54.049999,54.5,522200,49.999405
2014-03-28,54.34,54.349998,53.82,54.029999,1274800,49.568216
2014-03-31,54.290001,54.849998,54.139999,54.66,890400,50.146192
2014-04-01,54.66,54.84,54.119999,54.279999,913600,49.797571
2014-04-02,54.25,54.360001,53.709999,54.080002,1055100,49.61409
2014-04-03,54.23,54.66,54.0,54.580002,681400,50.0728
2014-04-04,54.73,55.41,54.630001,54.919998,905400,50.384719
2014-04-07,54.950001,55.419998,54.810001,54.849998,766100,50.3205
2014-04-08,54.75,55.82,54.34,55.619999,880200,51.026914
2014-04-09,55.59,55.639999,54.639999,55.389999,943500,50.815908
2014-04-10,55.459999,55.93,54.900002,55.0,1000900,50.458115
2014-04-11,55.490002,55.970001,54.720001,54.779999,1406200,50.256281
2014-04-14,55.040001,55.43,54.799999,55.209999,1462300,50.650772
2014-04-15,55.16,55.740002,55.029999,55.630001,1240800,51.03609
2014-04-16,55.919998,56.57,55.650002,56.540001,879500,51.870943
2014-04-17,56.330002,56.740002,55.779999,55.939999,624700,51.320489
2014-04-21,55.900002,56.16,55.509998,55.810001,588500,51.201226
2014-04-22,55.73,55.799999,55.41,55.599998,488400,51.008566
2014-04-23,55.689999,56.099998,55.549999,55.619999,787500,51.026914
2014-04-24,55.630001,56.189999,55.23,56.169998,757500,51.531495
2014-04-25,56.220001,57.16,55.970001,56.970001,1039800,52.265434
2014-04-28,56.990002,57.259998,56.310001,56.950001,1212400,52.247085
2014-04-29,57.09,57.310001,56.330002,56.380001,720800,51.724156
2014-04-30,56.240002,56.689999,55.740002,55.950001,1573700,51.329665
2014-05-01,55.619999,56.23,55.23,55.950001,1039200,51.856106
2014-05-02,55.580002,57.09,53.900002,54.02,2111100,50.067324
2014-05-05,53.810001,54.950001,53.810001,54.66,1312700,50.660495
2014-05-06,54.610001,55.130001,54.540001,54.759998,1257200,50.753176
2014-05-07,54.740002,55.939999,54.669998,55.919998,1346300,51.828298
