Date,Open_TIF,High_TIF,Low_TIF,Close_TIF,Volume_TIF,AdjClose_TIF
2015-08-12,92.389999,92.389999,88.650002,89.75,2388700,88.330474
2015-08-13,89.580002,90.800003,89.540001,90.129997,1164200,88.704461
2015-08-14,90.18,91.019997,89.379997,90.330002,1383100,88.901302
2015-08-17,90.050003,91.199997,89.269997,90.970001,628400,89.531179
2015-08-18,91.050003,92.099998,90.980003,91.550003,754200,90.102007
2015-08-19,91.809998,92.199997,90.650002,91.290001,719900,89.846117
2015-08-20,90.690002,91.5,88.82,88.989998,1366700,87.582492
2015-08-21,88.349998,88.800003,85.879997,85.889999,1906500,84.531524
2015-08-24,82.639999,84.980003,81.5,82.989998,3093400,81.677391
2015-08-25,86.830002,86.830002,81.82,81.839996,2061200,80.545578
2015-08-26,83.370003,85.25,82.769997,85.080002,2461200,83.734338
2015-08-27,81.639999,85.239998,81.5,83.290001,5806400,81.972649
2015-08-28,82.309998,84.040001,81.860001,83.610001,1987200,82.287587
2015-08-31,82.989998,83.830002,82.150002,82.25,1312800,80.949097
2015-09-01,81.0,81.389999,79.610001,79.940002,1533100,78.675635
2015-09-02,81.080002,82.120003,80.449997,81.800003,1380100,80.506217
2015-09-03,81.639999,82.629997,80.989998,81.379997,1006600,80.092855
2015-09-04,80.279999,81.290001,79.889999,80.309998,934900,79.039778
2015-09-08,81.669998,82.010002,80.599998,81.870003,872200,80.57511
2015-09-09,82.459999,83.449997,80.769997,80.959999,738600,79.679499
2015-09-10,80.279999,81.110001,79.980003,80.199997,773500,78.931518
2015-09-11,79.959999,80.5,79.080002,80.099998,1103300,78.833101
2015-09-14,80.07,80.5,79.32,79.599998,1071500,78.341009
2015-09-15,79.959999,80.57,79.290001,80.32,1208700,79.049622
2015-09-16,80.620003,81.529999,79.910004,81.440002,1443000,80.151911
2015-09-17,81.150002,82.18,80.400002,80.610001,1161500,79.726622
2015-09-18,79.410004,80.290001,78.900002,79.349998,1892500,78.480428
2015-09-21,79.75,80.190002,78.989998,79.370003,1150400,78.500213
2015-09-22,78.349998,78.879997,77.309998,78.709999,1328200,77.847442
2015-09-23,78.980003,79.209999,78.029999,78.639999,756700,77.778209
2015-09-24,77.959999,78.050003,76.970001,77.910004,867200,77.056214
2015-09-25,78.730003,78.790001,77.059998,77.379997,770800,76.532015
2015-09-28,76.660004,76.860001,74.279999,74.879997,1368200,74.059412
2015-09-29,75.169998,76.190002,74.760002,75.199997,955600,74.375905
2015-09-30,76.029999,77.489998,75.400002,77.220001,1242900,76.373773
2015-10-01,77.339996,77.449997,75.970001,76.580002,1200800,75.740787
2015-10-02,75.739998,77.959999,75.0,77.900002,992300,77.046321
2015-10-05,78.709999,80.620003,78.650002,80.25,1385200,79.370567
2015-10-06,80.150002,80.540001,79.389999,79.860001,847800,78.984841
2015-10-07,80.809998,81.989998,79.510002,80.209999,1139000,79.331004
2015-10-08,79.760002,81.910004,79.639999,81.669998,1035200,80.775003
2015-10-09,81.860001,82.449997,80.959999,81.400002,817200,80.507966
2015-10-12,81.389999,81.699997,80.199997,80.540001,842600,79.657389
2015-10-13,80.050003,80.279999,78.690002,78.779999,1236600,77.916675
2015-10-14,79.059998,79.82,77.870003,78.809998,868600,77.946345
2015-10-15,78.949997,79.389999,78.449997,79.269997,1315600,78.401303
2015-10-16,79.669998,79.940002,78.650002,79.029999,1106300,78.163935
2015-10-19,78.75,80.379997,78.620003,80.040001,1123700,79.162869
2015-10-20,79.760002,81.050003,79.739998,79.900002,963100,79.024404
2015-10-21,80.550003,80.860001,78.959999,79.129997,725900,78.262838
2015-10-22,79.169998,79.300003,78.0,79.25,1505200,78.381525
2015-10-23,79.82,79.980003,77.889999,78.610001,1668200,77.748539
2015-10-26,78.510002,79.169998,77.779999,78.889999,1212400,78.02547
2015-10-27,78.660004,79.589996,78.18,79.550003,1326800,78.678241
2015-10-28,79.730003,81.75,79.480003,81.209999,1324000,80.320045
