Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2014-07-18,100.769997,102.769997,99.980003,102.440002,1131800,100.946328
2014-07-21,101.980003,102.410004,101.019997,101.419998,1008900,99.941197
2014-07-22,103.809998,104.459999,101.339996,102.169998,947900,100.680261
2014-07-23,102.269997,103.68,101.910004,103.160004,1733800,101.655831
2014-07-24,99.279999,100.419998,98.400002,99.82,2814600,98.364528
2014-07-25,99.519997,101.040001,99.290001,100.809998,1474900,99.340091
2014-07-28,101.970001,102.029999,100.010002,100.57,854300,99.103592
2014-07-29,100.650002,101.309998,100.010002,100.93,1186900,99.458343
2014-07-30,101.300003,102.730003,101.279999,102.220001,1821100,100.729535
2014-07-31,101.370003,102.370003,100.0,100.07,1809700,98.610883
2014-08-01,100.080002,100.349998,99.019997,99.610001,1020400,98.157591
2014-08-04,99.610001,100.220001,98.459999,100.139999,799100,98.679862
2014-08-05,99.68,99.919998,98.129997,98.360001,1125700,96.925817
2014-08-06,98.099998,98.410004,95.959999,96.349998,2995200,94.945123
2014-08-07,97.019997,97.18,95.019997,95.309998,1750700,93.920286
2014-08-08,95.669998,96.18,94.730003,96.080002,1368900,94.679063
2014-08-11,96.57,96.959999,95.879997,96.32,873900,94.915561
2014-08-12,96.150002,97.110001,95.800003,96.709999,1556300,95.299874
2014-08-13,96.93,97.82,96.559998,97.68,1034000,96.255732
2014-08-14,97.68,98.139999,97.400002,97.830002,1428400,96.403546
2014-08-15,97.959999,98.150002,96.620003,97.480003,1171400,96.058651
2014-08-18,97.879997,99.32,97.879997,99.309998,1591900,97.861962
2014-08-19,99.610001,100.199997,99.410004,99.940002,944000,98.482781
2014-08-20,99.82,100.300003,99.349998,99.809998,1156900,98.354671
2014-08-21,99.980003,100.68,99.879997,100.620003,630700,99.152866
2014-08-22,100.440002,100.790001,99.449997,99.489998,1014300,98.039338
2014-08-25,100.239998,101.040001,99.980003,100.459999,669800,98.995195
2014-08-26,100.540001,101.209999,100.400002,100.760002,752200,99.290824
2014-08-27,100.860001,101.080002,99.720001,99.779999,853300,98.32511
2014-08-28,99.309998,99.650002,99.0,99.449997,714900,97.99992
2014-08-29,99.599998,99.599998,98.739998,99.309998,1015700,97.861962
2014-09-02,99.720001,99.720001,98.809998,99.290001,1037600,97.842257
2014-09-03,99.75,100.580002,99.419998,100.32,1054000,98.857237
2014-09-04,100.730003,102.529999,100.230003,100.650002,1193100,99.182427
2014-09-05,100.370003,101.080002,99.919998,101.07,562900,99.596302
2014-09-08,101.0,101.330002,100.57,100.919998,825800,99.448487
2014-09-09,101.559998,103.540001,101.559998,102.440002,2060300,100.946328
2014-09-10,102.809998,104.980003,102.099998,104.75,2027300,103.222644
2014-09-11,104.080002,105.379997,103.860001,105.230003,1677400,103.695648
2014-09-12,104.989998,105.68,104.440002,104.940002,1470000,103.409876
2014-09-15,104.93,104.93,104.190002,104.489998,785300,102.966433
2014-09-16,104.309998,105.160004,103.760002,104.940002,985800,103.409876
2014-09-17,104.889999,105.169998,103.57,103.970001,1239500,102.454018
2014-09-18,104.230003,104.300003,103.580002,104.25,1450500,102.729934
2014-09-19,104.68,104.919998,103.5,103.989998,1243200,102.473723
2014-09-22,103.550003,103.959999,103.029999,103.699997,1015200,102.187951
2014-09-23,102.230003,103.449997,102.099998,102.419998,1388800,100.926616
2014-09-24,102.370003,103.980003,102.120003,103.629997,1268900,102.338799
2014-09-25,103.239998,103.300003,101.25,101.25,1915600,99.988456
2014-09-26,101.330002,102.139999,101.160004,101.660004,965100,100.393351
2014-09-29,100.760002,101.699997,100.699997,101.459999,605200,100.195838
2014-09-30,101.589996,101.830002,100.550003,100.550003,1025300,99.297181
2014-10-01,100.629997,101.169998,99.5,100.760002,1687100,99.504563
2014-10-02,100.940002,102.589996,98.870003,102.199997,2721600,100.926616
2014-10-03,102.449997,102.93,102.169998,102.589996,731300,101.311756
2014-10-06,103.370003,104.440002,102.389999,102.989998,966900,101.706774
2014-10-07,102.5,102.760002,101.349998,101.400002,684900,100.136588
2014-10-08,101.82,103.709999,101.209999,103.540001,805500,102.249924
2014-10-09,103.129997,103.419998,101.519997,101.730003,1156700,100.462479
2014-10-10,102.0,103.720001,101.059998,101.080002,882600,99.820576
2014-10-13,100.919998,101.050003,98.629997,98.730003,1014300,97.499858
2014-10-14,99.230003,99.470001,97.18,97.540001,1300900,96.324682
2014-10-15,95.809998,97.870003,95.330002,97.720001,2268300,96.50244
2014-10-16,96.0,97.059998,95.75,95.949997,1781700,94.754489
2014-10-17,96.860001,97.940002,96.620003,97.519997,912800,96.304927
2014-10-20,97.559998,99.260002,97.089996,99.190002,1101500,97.954125
2014-10-21,99.650002,101.43,99.629997,101.32,1027200,100.057583
2014-10-22,101.839996,101.900002,99.879997,100.199997,1335700,98.951536
2014-10-23,103.480003,106.300003,102.68,104.57,1697600,103.267089
2014-10-24,104.57,105.5,104.550003,105.290001,573900,103.97812
2014-10-27,105.169998,105.900002,104.720001,104.980003,574700,103.671984
2014-10-28,105.620003,108.370003,105.239998,108.099998,1701200,106.753105
2014-10-29,108.099998,108.949997,107.739998,108.150002,1360000,106.802485
2014-10-30,107.970001,109.550003,107.510002,109.279999,787400,107.918403
2014-10-31,110.349998,111.290001,110.0,111.239998,1486200,109.853981
2014-11-03,111.18,111.5,109.5,110.410004,789400,109.034329
2014-11-04,110.099998,110.629997,108.940002,109.209999,1020100,107.849276
2014-11-05,110.470001,111.099998,109.440002,110.989998,1196100,109.607096
2014-11-06,110.959999,111.360001,110.160004,110.190002,741800,108.817069
2014-11-07,109.809998,110.0,107.809998,108.190002,829800,106.841988
2014-11-10,108.610001,110.510002,108.199997,110.419998,802100,109.044199
