Date,Open_HES,High_HES,Low_HES,Close_HES,Volume_HES,AdjClose_HES
2014-08-05,100.209999,100.279999,98.099998,98.589996,3216700,95.85595
2014-08-06,98.129997,99.720001,98.129997,98.769997,2013300,96.030959
2014-08-07,99.169998,99.57,97.550003,97.839996,2224400,95.126749
2014-08-08,98.169998,100.050003,98.040001,99.919998,2434500,97.149069
2014-08-11,100.349998,101.0,100.07,100.139999,1568300,97.362969
2014-08-12,99.690002,100.050003,98.660004,99.029999,1404700,96.283751
2014-08-13,99.480003,99.860001,99.019997,99.120003,1960600,96.371259
2014-08-14,99.199997,99.449997,97.290001,97.529999,2454700,94.825348
2014-08-15,97.830002,98.970001,97.800003,98.900002,3021800,96.157358
2014-08-18,99.209999,99.440002,96.93,97.900002,2360100,95.18509
2014-08-19,98.150002,99.540001,98.019997,99.279999,1823400,96.526818
2014-08-20,99.260002,99.699997,98.870003,99.400002,1377200,96.643493
2014-08-21,99.519997,100.290001,99.230003,100.07,1478400,97.294911
2014-08-22,99.57,99.57,98.18,98.809998,1855700,96.06985
2014-08-25,99.389999,100.5,99.07,100.160004,1381000,97.382419
2014-08-26,100.57,101.230003,100.230003,100.260002,1346800,97.479644
2014-08-27,100.25,100.610001,99.529999,99.970001,1224300,97.197685
2014-08-28,99.970001,100.410004,99.620003,100.190002,949000,97.411586
2014-08-29,100.209999,101.220001,100.019997,101.099998,1400000,98.296346
2014-09-02,101.0,101.25,99.82,100.529999,2013300,97.742153
2014-09-03,101.279999,101.959999,100.43,100.75,1532600,97.956054
2014-09-04,100.559998,101.779999,99.5,100.150002,2420000,97.372694
2014-09-05,99.879997,101.029999,99.169998,100.989998,1883000,98.189396
2014-09-08,100.550003,100.550003,98.910004,99.75,1967800,96.983785
2014-09-09,99.980003,100.57,98.660004,99.489998,2603300,96.730993
2014-09-10,99.199997,99.370003,97.68,99.139999,2133400,96.390701
2014-09-11,98.199997,99.080002,97.709999,98.839996,1689200,96.099017
2014-09-12,98.099998,98.349998,96.739998,96.970001,2204600,94.519952
2014-09-15,96.739998,98.510002,96.730003,97.970001,2410400,95.494686
2014-09-16,98.209999,99.900002,97.760002,99.18,1877400,96.674113
2014-09-17,99.620003,99.660004,98.410004,98.900002,1511200,96.401189
2014-09-18,99.449997,99.449997,97.529999,97.730003,2278000,95.260752
2014-09-19,98.290001,98.610001,97.309998,97.510002,3066900,95.046309
2014-09-22,97.199997,97.440002,95.93,96.290001,2894900,93.857133
2014-09-23,96.099998,97.260002,95.800003,96.019997,1724900,93.59395
2014-09-24,96.0,96.849998,94.82,96.0,2646100,93.574459
2014-09-25,96.0,96.199997,94.989998,95.18,1980000,92.775178
2014-09-26,95.089996,96.5,95.010002,96.169998,1286700,93.740162
2014-09-29,95.43,96.529999,94.629997,96.209999,1870000,93.779152
2014-09-30,95.889999,96.300003,93.57,94.32,2716900,91.936906
2014-10-01,93.940002,94.580002,90.919998,91.589996,4306900,89.275879
2014-10-02,91.029999,91.93,89.599998,91.32,3337700,89.012704
2014-10-03,91.879997,91.989998,89.779999,90.720001,2365800,88.427865
2014-10-06,90.809998,91.360001,89.669998,89.879997,3130300,87.609085
2014-10-07,89.68,90.529999,88.43,88.459999,4152100,86.224964
2014-10-08,87.970001,88.510002,85.669998,88.410004,4202000,86.176232
2014-10-09,87.25,87.889999,84.449997,84.599998,3441000,82.462491
2014-10-10,84.309998,84.739998,82.110001,82.540001,4342200,80.454541
2014-10-13,82.330002,83.199997,77.709999,77.779999,4982800,75.814805
2014-10-14,78.190002,78.800003,75.540001,75.910004,6889000,73.992058
2014-10-15,74.239998,76.68,72.860001,76.339996,6815700,74.411186
2014-10-16,74.589996,78.839996,74.220001,78.040001,5962000,76.068238
2014-10-17,79.589996,81.25,78.209999,78.610001,5059500,76.623836
2014-10-20,78.57,80.190002,78.050003,79.709999,3420700,77.696042
2014-10-21,80.900002,82.610001,80.459999,81.339996,3865500,79.284856
2014-10-22,83.940002,84.279999,79.989998,80.0,4778300,77.978716
2014-10-23,81.580002,82.900002,80.959999,82.220001,3208800,80.142626
2014-10-24,81.760002,82.779999,80.730003,82.349998,2524000,80.269339
2014-10-27,80.760002,81.169998,79.32,80.309998,2812700,78.280881
2014-10-28,80.25,82.029999,80.110001,81.949997,2828400,79.879444
2014-10-29,83.529999,84.970001,82.07,82.889999,4545500,80.795696
2014-10-30,82.360001,83.699997,81.660004,83.139999,3202800,81.03938
2014-10-31,83.599998,85.059998,82.099998,84.809998,4429100,82.667184
2014-11-03,85.139999,86.25,82.980003,83.260002,3570500,81.156351
2014-11-04,80.0,81.730003,79.879997,81.440002,3529400,79.382335
2014-11-05,82.32,83.779999,81.529999,83.169998,3482500,81.068621
2014-11-06,83.089996,84.040001,81.940002,83.709999,3712900,81.594978
2014-11-07,84.190002,85.989998,83.739998,84.860001,4306600,82.715923
2014-11-10,85.370003,86.0,82.75,83.809998,4636700,81.69245
2014-11-11,83.830002,84.5,82.879997,83.809998,3345700,81.69245
2014-11-12,83.089996,84.029999,82.099998,82.459999,3587700,80.376561
2014-11-13,82.230003,82.760002,79.919998,81.099998,4298400,79.050922
2014-11-14,81.669998,83.139999,81.459999,83.029999,3928600,80.932159
2014-11-17,82.010002,82.190002,80.360001,81.239998,3928700,79.187384
2014-11-18,81.25,82.550003,80.870003,81.900002,2993700,79.830712
2014-11-19,82.389999,83.0,81.379997,82.370003,2750800,80.288838
2014-11-20,82.440002,83.629997,82.410004,83.589996,2764800,81.478007
2014-11-21,84.940002,86.099998,84.669998,85.209999,4440800,83.057079
2014-11-24,85.400002,85.75,84.050003,84.669998,3124900,82.530722
2014-11-25,84.849998,85.0,82.18,82.309998,3899600,80.230349
2014-11-26,82.139999,82.190002,80.599998,80.830002,3241800,78.787747
2014-11-28,73.93,75.190002,72.800003,72.93,4428600,71.087347
2014-12-01,72.279999,74.089996,71.199997,73.970001,5449900,72.101071
2014-12-02,73.699997,75.639999,72.809998,75.129997,4545100,73.231759
2014-12-03,75.419998,77.459999,75.389999,76.809998,4168400,74.869312
2014-12-04,76.029999,76.370003,75.18,76.290001,4136400,74.362454
2014-12-05,76.0,76.760002,75.330002,75.720001,3922400,73.806856
2014-12-08,74.32,74.699997,71.029999,71.309998,5079000,69.508276
2014-12-09,71.0,72.870003,71.0,72.18,4364900,70.356297
2014-12-10,71.190002,71.190002,68.050003,68.580002,4734500,66.847256
2014-12-11,68.529999,69.900002,67.559998,67.860001,4904500,66.145446
2014-12-12,66.75,67.699997,65.849998,66.529999,6192300,64.849048
2014-12-15,66.529999,67.459999,65.300003,65.449997,5767100,64.036967
2014-12-16,64.480003,68.639999,63.799999,66.230003,7479200,64.800133
2014-12-17,65.93,69.739998,65.849998,69.029999,6127700,67.539679
2014-12-18,71.309998,71.519997,68.639999,70.550003,4934700,69.026867
2014-12-19,71.389999,74.599998,70.75,74.5,7755800,72.891585
2014-12-22,73.910004,74.080002,72.459999,73.760002,4382200,72.167564
2014-12-23,73.650002,75.940002,73.339996,75.360001,4452700,73.733019
2014-12-24,74.629997,74.809998,73.110001,74.370003,1249100,72.764395
2014-12-26,75.0,75.419998,74.029999,74.309998,1555800,72.705685
2014-12-29,75.050003,75.620003,74.239998,74.82,1848600,73.204676
2014-12-30,74.389999,75.040001,73.730003,74.129997,2885700,72.529571
2014-12-31,73.889999,74.760002,73.010002,73.82,1984200,72.226266
2015-01-02,73.190002,74.82,72.949997,74.139999,1908000,72.539357
2015-01-05,72.639999,73.0,69.940002,70.550003,3510300,69.026867
2015-01-06,69.879997,71.709999,68.769997,69.459999,3651000,67.960395
2015-01-07,70.300003,71.110001,68.940002,69.300003,2309600,67.803854
2015-01-08,70.209999,71.550003,69.599998,71.379997,3349900,69.838942
2015-01-09,71.279999,71.610001,70.220001,71.120003,2153500,69.58456
2015-01-12,69.769997,70.379997,67.949997,68.43,3519200,66.952634
2015-01-13,68.860001,69.510002,67.190002,67.690002,3365700,66.228612
2015-01-14,66.970001,69.309998,66.169998,69.239998,3730700,67.745144
2015-01-15,69.239998,70.739998,67.769997,67.919998,5384100,66.453642
2015-01-16,68.5,70.68,68.440002,70.019997,3776900,68.508303
2015-01-20,68.480003,69.690002,68.279999,69.57,2656500,68.068021
2015-01-21,70.410004,71.800003,70.019997,71.410004,2077700,69.8683
2015-01-22,71.809998,72.150002,70.559998,72.07,3192500,70.514047
2015-01-23,71.279999,71.989998,70.599998,70.830002,2647000,69.30082
2015-01-26,70.779999,71.839996,69.970001,71.650002,2836800,70.103117
2015-01-27,71.540001,72.480003,70.199997,71.610001,2511500,70.06398
2015-01-28,70.5,70.889999,66.0,66.019997,6722700,64.594661
2015-01-29,66.599998,67.300003,63.810001,65.699997,5022900,64.28157
2015-01-30,65.040001,68.790001,64.800003,67.489998,5993500,66.032925
2015-02-02,68.839996,70.379997,68.480003,70.080002,3589600,68.567013
2015-02-03,71.239998,73.360001,71.080002,72.68,4812200,71.110878
2015-02-04,71.419998,72.610001,70.849998,72.010002,3624900,70.455345
2015-02-05,72.75,73.93,72.169998,73.169998,4893500,71.590298
