Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2013-08-19,76.480003,77.190002,76.269997,76.349998,2411000,71.344212
2013-08-20,76.290001,76.75,76.029999,76.050003,1741100,71.063885
2013-08-21,75.959999,76.5,75.82,75.879997,1547100,70.905025
2013-08-22,76.150002,76.849998,76.019997,76.650002,1059200,71.624545
2013-08-23,76.760002,77.849998,76.629997,77.650002,1856100,72.558982
2013-08-26,77.400002,77.93,76.93,77.019997,1780300,71.970282
2013-08-27,76.620003,77.290001,75.120003,75.260002,2622300,70.32568
2013-08-28,75.449997,76.080002,75.309998,75.519997,1943300,70.568628
2013-08-29,75.410004,76.279999,75.32,75.68,1211300,70.718141
2013-08-30,75.860001,75.980003,75.18,75.410004,1176100,70.465846
2013-09-03,76.360001,76.629997,75.5,75.690002,1464800,70.727487
2013-09-04,75.75,76.559998,75.589996,76.080002,1741100,71.091917
2013-09-05,76.050003,76.209999,75.43,75.800003,1531900,70.830276
2013-09-06,75.989998,76.129997,74.699997,75.610001,1544800,70.652731
2013-09-09,75.75,76.07,75.5,75.849998,1066900,70.876994
2013-09-10,76.169998,77.040001,76.129997,76.889999,1357300,71.848808
2013-09-11,77.029999,77.43,76.75,77.43,1368800,72.353405
2013-09-12,77.190002,77.949997,77.18,77.57,903600,72.484225
2013-09-13,77.800003,78.669998,77.379997,78.480003,1612300,73.334566
2013-09-16,79.089996,79.68,78.760002,79.660004,1401300,74.437201
2013-09-17,79.550003,80.360001,79.360001,80.260002,1413500,74.997861
2013-09-18,80.349998,80.800003,79.43,80.620003,1463900,75.334259
2013-09-19,80.769997,81.260002,80.550003,80.690002,980500,75.399669
2013-09-20,80.519997,80.629997,78.68,79.0,2587900,73.820469
2013-09-23,79.0,79.230003,78.209999,78.690002,1470000,73.530796
2013-09-24,78.809998,79.150002,78.470001,78.709999,1433400,73.549482
2013-09-25,78.790001,78.910004,78.110001,78.720001,1307200,73.558828
2013-09-26,78.760002,79.82,78.699997,79.800003,1331000,74.568021
2013-09-27,79.760002,79.779999,78.629997,78.739998,1637000,73.577514
2013-09-30,77.379997,77.730003,76.919998,77.07,1619500,72.523585
2013-10-01,77.169998,78.010002,76.889999,77.809998,1292000,73.21993
2013-10-02,77.550003,77.610001,75.639999,76.080002,2503700,71.591988
2013-10-03,75.839996,75.93,74.43,74.919998,2040900,70.500414
2013-10-04,74.900002,75.0,74.029999,74.25,2424200,69.869939
2013-10-07,74.25,75.790001,74.0,75.220001,2407600,70.782719
2013-10-08,75.139999,75.269997,74.029999,74.050003,1349900,69.68174
2013-10-09,74.220001,74.519997,73.809998,73.970001,1314700,69.606458
2013-10-10,74.639999,76.260002,74.5,76.260002,1432500,71.76137
2013-10-11,75.93,76.25,75.629997,76.230003,1609300,71.733141
2013-10-14,75.550003,76.529999,75.269997,76.379997,900800,71.874286
2013-10-15,76.440002,76.540001,75.610001,75.68,1406600,71.215583
2013-10-16,76.209999,76.470001,75.849998,76.260002,1485600,71.76137
2013-10-17,76.18,77.82,75.769997,77.629997,1217200,73.050548
2013-10-18,77.800003,77.800003,76.849998,76.860001,2056800,72.325974
2013-10-21,76.970001,76.989998,74.68,75.07,2627900,70.641567
2013-10-22,75.82,76.290001,75.080002,76.209999,3173300,71.714317
2013-10-23,76.199997,78.75,76.199997,78.489998,2884000,73.859817
2013-10-24,79.089996,79.419998,76.910004,78.080002,2871700,73.474007
2013-10-25,78.639999,80.230003,78.389999,79.959999,2166900,75.243101
2013-10-28,79.860001,81.620003,79.709999,81.089996,2118300,76.306439
2013-10-29,81.099998,81.93,81.0,81.870003,1446200,77.040433
2013-10-30,82.339996,82.68,81.809998,82.099998,1795800,77.256861
2013-10-31,82.0,83.099998,81.690002,82.370003,1887500,77.510937
2013-11-01,82.459999,84.43,82.459999,83.75,2064300,78.809527
2013-11-04,84.129997,84.449997,83.830002,84.120003,1519700,79.157703
2013-11-05,83.989998,84.879997,83.769997,84.489998,1476600,79.505872
2013-11-06,84.910004,84.980003,83.93,84.940002,1353000,79.929331
2013-11-07,85.199997,85.730003,84.199997,84.269997,1323400,79.298849
2013-11-08,84.220001,85.559998,84.199997,85.360001,1505800,80.324553
2013-11-11,85.239998,85.410004,84.699997,85.040001,1313000,80.02343
2013-11-12,85.019997,85.32,84.5,84.849998,1227000,79.844636
2013-11-13,84.669998,85.470001,84.25,85.459999,1487500,80.418652
2013-11-14,85.870003,86.010002,85.360001,85.68,1510900,80.625676
2013-11-15,85.32,85.470001,84.68,85.279999,1702300,80.249271
2013-11-18,85.879997,86.370003,85.459999,85.660004,1497900,80.606859
2013-11-19,85.739998,85.889999,84.970001,85.589996,1456300,80.540981
2013-11-20,85.769997,86.290001,85.080002,85.5,956800,80.456294
2013-11-21,85.980003,87.309998,85.830002,86.839996,1768500,81.717243
2013-11-22,86.550003,87.470001,86.470001,87.360001,1044300,82.206572
2013-11-25,87.529999,87.620003,86.900002,87.339996,1127800,82.187747
2013-11-26,87.349998,88.589996,87.209999,88.389999,2677100,83.17581
2013-11-27,88.739998,89.459999,88.510002,89.150002,1667300,83.890979
2013-11-29,89.099998,89.559998,88.529999,88.68,929400,83.448704
2013-12-02,88.629997,89.160004,87.510002,87.669998,1517900,82.498282
2013-12-03,87.849998,89.209999,87.68,88.779999,2496600,83.542803
2013-12-04,88.290001,88.599998,85.209999,86.050003,3778400,80.973852
2013-12-05,85.959999,86.989998,85.639999,86.0,2253800,80.926798
2013-12-06,86.779999,87.360001,85.699997,86.68,3108300,81.566685
2013-12-09,86.830002,87.010002,86.199997,86.849998,1579600,81.726655
2013-12-10,86.589996,87.400002,86.370003,87.010002,1278700,81.87722
2013-12-11,87.199997,87.209999,85.300003,85.400002,1349400,80.362194
2013-12-12,85.449997,86.110001,85.419998,85.709999,1253300,80.653905
2013-12-13,85.849998,86.739998,85.699997,86.440002,1076100,81.340845
2013-12-16,86.5,87.190002,86.230003,86.629997,1029400,81.519632
2013-12-17,87.040001,87.230003,86.620003,86.790001,1433200,81.670197
2013-12-18,87.150002,88.910004,86.18,88.730003,1905800,83.495757
2013-12-19,88.510002,88.830002,87.519997,88.489998,1398000,83.269909
2013-12-20,88.5,89.419998,88.139999,88.389999,2687700,83.17581
2013-12-23,89.190002,89.389999,88.809998,89.089996,1225600,83.834514
2013-12-24,89.43,89.739998,89.139999,89.599998,400600,84.31443
2013-12-26,89.919998,91.260002,89.629997,91.040001,991800,85.669486
2013-12-27,91.239998,91.389999,90.519997,90.849998,859800,85.490692
2013-12-30,90.410004,90.650002,89.389999,90.43,1050600,85.613771
2013-12-31,90.43,90.889999,90.129997,90.699997,928900,85.869388
2014-01-02,90.160004,90.160004,88.330002,88.779999,1501600,84.051648
2014-01-03,88.940002,89.540001,88.57,88.82,1287900,84.089518
2014-01-06,89.239998,89.82,89.0,89.150002,1574100,84.401944
2014-01-07,89.739998,89.910004,88.349998,88.690002,2062400,83.966444
2014-01-08,88.68,89.089996,87.660004,88.959999,2334800,84.222061
2014-01-09,89.540001,90.279999,89.239998,90.0,1713800,85.206673
2014-01-10,90.059998,90.779999,89.830002,90.660004,1310800,85.831525
2014-01-13,90.279999,91.349998,89.760002,89.93,1561900,85.140401
2014-01-14,90.400002,91.18,89.790001,91.139999,1378900,86.285956
2014-01-15,91.400002,91.849998,90.919998,91.160004,1756900,86.304895
2014-01-16,91.07,91.120003,90.269997,90.68,1135600,85.850457
2014-01-17,90.519997,91.0,89.650002,90.07,2076000,85.272944
2014-01-21,90.800003,91.959999,90.550003,91.529999,2797000,86.655185
2014-01-22,91.349998,92.690002,91.160004,92.449997,2335600,87.526185
2014-01-23,91.989998,92.650002,90.800003,91.099998,2212700,86.248086
2014-01-24,90.099998,90.360001,88.129997,88.129997,1997900,83.436265
2014-01-27,88.550003,89.190002,87.639999,88.559998,2149300,83.843363
2014-01-28,88.470001,89.5,88.410004,89.209999,1512000,84.458746
2014-01-29,88.129997,88.949997,87.720001,88.629997,3034200,83.909635
2014-01-30,88.610001,92.300003,87.860001,91.889999,4058700,86.996012
2014-01-31,92.209999,95.5,91.93,95.07,6101500,90.006648
2014-02-03,95.190002,95.830002,92.389999,92.449997,3730300,87.526185
2014-02-04,91.75,91.980003,89.470001,90.980003,4183800,86.134482
2014-02-05,90.900002,93.129997,90.489998,92.75,2874100,87.81021
2014-02-06,92.709999,93.620003,92.290001,93.599998,1890200,88.614938
2014-02-07,94.029999,95.730003,93.870003,94.269997,2875300,89.249253
2014-02-10,94.300003,94.43,92.660004,93.230003,2458900,88.264649
2014-02-11,92.809998,94.760002,92.720001,94.290001,2373200,89.268191
2014-02-12,94.449997,95.739998,94.389999,95.669998,2159000,90.574691
2014-02-13,95.199997,96.290001,94.910004,95.290001,2006900,90.214932
2014-02-14,94.82,96.139999,94.559998,95.93,1655200,90.820846
2014-02-18,95.209999,96.349998,94.860001,95.870003,1725900,90.764044
2014-02-19,96.18,97.129997,95.120003,95.160004,2065400,90.091859
2014-02-20,95.25,96.910004,95.050003,96.349998,2043800,91.218475
2014-02-21,96.489998,97.349998,96.07,96.599998,2258600,91.45516
2014-02-24,97.080002,99.480003,97.059998,98.220001,3017400,92.988883
2014-02-25,98.209999,98.57,96.519997,96.779999,1763300,91.625574
2014-02-26,96.949997,97.339996,96.25,96.580002,2047300,91.436229
2014-02-27,96.470001,97.589996,96.300003,97.589996,1699300,92.392432
2014-02-28,96.860001,98.949997,96.860001,97.910004,1721600,92.695396
2014-03-03,96.900002,98.57,96.739998,98.199997,1639200,92.969944
2014-03-04,100.93,101.029999,100.080002,100.389999,2092400,95.043309
2014-03-05,101.0,102.0,100.410004,100.690002,1836000,95.327334
2014-03-06,100.029999,101.07,100.029999,100.489998,1436000,95.137982
2014-03-07,101.0,102.150002,100.699997,101.269997,1765900,95.876438
2014-03-10,100.839996,101.080002,100.099998,100.730003,1440100,95.365205
2014-03-11,100.660004,100.709999,99.029999,99.150002,1580500,93.869352
