Date,Open_SHW,High_SHW,Low_SHW,Close_SHW,Volume_SHW,AdjClose_SHW
2014-05-20,199.75,201.570007,199.490005,200.320007,649000,196.217542
2014-05-21,200.429993,201.449997,199.339996,200.440002,450200,196.335079
2014-05-22,200.289993,201.479996,199.649994,200.440002,338800,196.335079
2014-05-23,200.149994,202.710007,199.770004,202.410004,592400,198.264736
2014-05-27,203.690002,203.690002,201.820007,202.020004,436400,197.882723
2014-05-28,202.419998,203.910004,201.710007,201.710007,429400,197.579075
2014-05-29,202.720001,203.600006,201.759995,203.369995,380700,199.205067
2014-05-30,203.059998,205.320007,202.740005,204.610001,440700,200.419678
2014-06-02,204.509995,205.130005,203.050003,203.570007,456100,199.400983
2014-06-03,202.720001,204.830002,202.720001,203.770004,363700,199.596884
2014-06-04,203.0,204.279999,201.639999,203.869995,413100,199.694827
2014-06-05,203.889999,204.740005,201.5,203.949997,386700,199.773191
2014-06-06,204.429993,206.0,203.970001,204.429993,374700,200.243356
2014-06-09,203.979996,205.259995,203.619995,204.300003,383300,200.116029
2014-06-10,204.029999,204.830002,203.300003,204.419998,342300,200.233567
2014-06-11,204.050003,204.509995,202.960007,203.25,285400,199.087529
2014-06-12,203.110001,204.419998,201.660004,202.220001,393900,198.078625
2014-06-13,202.839996,203.279999,201.660004,202.729996,261000,198.578175
2014-06-16,202.639999,204.039993,201.520004,202.330002,332000,198.186372
2014-06-17,201.720001,203.779999,201.5,202.770004,275400,198.617364
2014-06-18,202.830002,203.929993,201.360001,203.720001,338500,199.547905
2014-06-19,203.259995,203.630005,202.639999,203.320007,326600,199.156103
2014-06-20,203.940002,204.960007,203.350006,203.990005,544200,199.81238
2014-06-23,204.259995,205.100006,203.600006,204.589996,343600,200.400083
2014-06-24,204.0,206.100006,203.880005,204.770004,523600,200.576405
2014-06-25,204.809998,206.389999,204.649994,206.050003,396400,201.83019
2014-06-26,205.949997,205.949997,203.610001,205.289993,356200,201.085745
2014-06-27,204.289993,207.679993,204.289993,207.460007,624000,203.211317
2014-06-30,208.0,208.0,206.520004,206.910004,676400,202.672578
2014-07-01,207.020004,208.270004,206.899994,207.350006,431400,203.103569
2014-07-02,207.0,207.899994,206.039993,206.589996,297400,202.359124
2014-07-03,206.979996,207.679993,206.470001,207.460007,197300,203.211317
2014-07-07,207.229996,207.649994,204.75,205.240005,389400,201.036781
2014-07-08,205.330002,205.419998,202.649994,203.210007,545700,199.048355
2014-07-09,203.419998,205.220001,202.990005,205.119995,506700,200.919228
2014-07-10,202.910004,202.910004,201.850006,202.279999,658800,198.137393
2014-07-11,202.460007,202.940002,201.470001,202.759995,346500,198.607559
2014-07-14,202.820007,203.639999,202.759995,203.220001,354900,199.058145
2014-07-15,203.979996,204.649994,201.770004,202.320007,586900,198.176583
2014-07-16,203.0,203.169998,201.490005,201.729996,759200,197.598654
2014-07-17,209.139999,211.369995,205.600006,210.949997,1656500,206.629834
