Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2013-11-04,207.220001,214.259995,206.539993,213.410004,2365400,213.134929
2013-11-05,219.820007,221.199997,208.119995,210.360001,3661100,210.088857
2013-11-06,210.699997,211.740005,197.100006,198.550003,3672900,198.294082
2013-11-07,199.130005,200.300003,184.059998,186.160004,6129700,185.920053
2013-11-08,185.910004,193.449997,185.880005,189.830002,2721100,189.58532
2013-11-11,189.429993,191.399994,187.5,188.380005,1577200,188.137192
2013-11-12,188.399994,190.449997,181.779999,182.75,2465500,182.514444
2013-11-13,186.149994,195.979996,185.350006,195.440002,3116700,195.18809
2013-11-14,195.0,196.789993,191.259995,195.360001,1735300,195.108191
2013-11-15,196.259995,196.490005,192.619995,194.550003,1042600,194.299238
2013-11-18,195.029999,195.5,184.880005,186.039993,2084300,185.800197
2013-11-19,186.809998,186.850006,181.649994,183.399994,2672300,183.1636
2013-11-20,184.970001,187.529999,181.740005,183.130005,1494900,182.893959
2013-11-21,182.839996,189.119995,181.110001,186.720001,1779900,186.479328
2013-11-22,186.729996,187.440002,182.470001,186.679993,1112800,186.439371
2013-11-25,182.360001,183.460007,175.289993,181.039993,3135100,180.806642
2013-11-26,181.839996,188.190002,179.5,183.539993,2410500,183.303419
2013-11-27,181.410004,184.25,177.559998,178.910004,1428200,178.679398
2013-11-29,176.25,180.0,172.600006,177.75,1418900,177.520889
2013-12-02,178.0,178.839996,174.919998,178.110001,1511500,177.880426
2013-12-03,180.419998,183.649994,178.119995,181.399994,2484700,181.166178
2013-12-04,180.509995,185.990005,180.5,185.270004,1486700,185.0312
2013-12-05,184.029999,186.699997,182.880005,184.440002,1213400,184.202268
2013-12-06,185.550003,186.020004,176.300003,177.210007,2213600,176.981592
2013-12-09,177.619995,180.630005,174.350006,177.440002,1933300,177.211291
2013-12-10,177.679993,183.75,176.899994,178.660004,1486700,178.42972
2013-12-11,177.580002,179.610001,175.449997,176.429993,1556800,176.202583
2013-12-12,177.270004,180.130005,176.75,179.080002,1037600,178.849177
2013-12-13,179.149994,180.259995,175.529999,179.75,1160500,179.518311
2013-12-16,179.509995,181.600006,177.679993,179.520004,1214300,179.288612
2013-12-17,179.520004,183.440002,177.350006,182.429993,1610800,182.194849
2013-12-18,183.610001,184.169998,180.350006,183.949997,1576500,183.712895
2013-12-19,183.529999,188.850006,183.410004,187.550003,1877300,187.30826
2013-12-20,188.669998,190.800003,187.009995,187.289993,2263000,187.048586
2013-12-23,187.630005,190.130005,184.289993,185.190002,2202200,184.951302
2013-12-24,184.789993,186.0,182.929993,183.839996,635500,183.603036
2013-12-26,184.389999,186.899994,183.419998,186.320007,853500,186.07985
2013-12-27,186.350006,187.979996,183.5,187.580002,1288800,187.338221
2013-12-30,187.229996,187.460007,181.669998,181.699997,1352200,181.465795
2013-12-31,181.550003,184.429993,180.820007,184.070007,1090300,183.83275
2014-01-02,182.949997,182.949997,175.0,176.529999,2083400,176.30246
2014-01-03,176.320007,178.330002,173.899994,176.050003,1210800,175.823083
2014-01-06,175.940002,175.990005,172.699997,174.059998,1358200,173.835643
