Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2014-07-03,103.82,104.290001,103.480003,103.839996,782500,98.004093
2014-07-07,103.580002,103.839996,103.010002,103.230003,1190400,97.428382
2014-07-08,103.18,103.489998,102.260002,102.690002,1393800,96.91873
2014-07-09,103.279999,103.830002,102.830002,103.400002,963000,97.588826
2014-07-10,102.25,102.720001,101.830002,102.410004,1365400,96.654467
2014-07-11,102.449997,104.059998,102.300003,103.949997,1356000,98.107911
2014-07-14,104.220001,105.050003,104.220001,104.43,1032200,98.560938
2014-07-15,104.07,105.110001,104.07,104.349998,2011100,98.485432
2014-07-16,104.489998,105.370003,103.970001,105.300003,1122900,99.382046
2014-07-17,104.510002,105.470001,104.330002,104.379997,1479500,98.513745
2014-07-18,104.660004,106.220001,104.629997,106.18,1152900,100.212586
2014-07-21,105.720001,106.370003,105.519997,106.220001,1148500,100.250339
2014-07-22,106.970001,107.809998,106.400002,107.610001,1696100,101.562219
2014-07-23,108.419998,108.839996,106.050003,106.839996,1922400,100.83549
2014-07-24,107.190002,108.300003,106.879997,107.779999,1673300,101.722664
2014-07-25,107.629997,107.889999,107.120003,107.5,989100,101.458401
2014-07-28,107.029999,107.400002,105.019997,105.330002,1650800,99.410359
2014-07-29,105.25,105.400002,103.440002,103.459999,1879800,97.645452
2014-07-30,103.519997,104.050003,103.18,103.650002,1663400,98.366712
2014-07-31,103.459999,103.459999,101.550003,101.660004,1341700,96.478149
2014-08-01,101.540001,102.019997,100.150002,101.199997,1581100,96.04159
2014-08-04,101.209999,101.419998,99.860001,101.370003,2143200,96.20293
2014-08-05,100.629997,101.919998,100.459999,100.690002,1741700,95.557591
2014-08-06,99.980003,100.849998,99.629997,100.089996,1662800,94.988169
2014-08-07,100.080002,101.099998,99.760002,100.0,1764300,94.90276
2014-08-08,100.089996,101.440002,99.82,101.370003,1720800,96.20293
2014-08-11,101.510002,103.419998,101.400002,102.839996,1467900,97.597995
2014-08-12,102.279999,103.040001,102.010002,102.449997,1053500,97.227875
2014-08-13,102.489998,103.370003,102.489998,103.230003,903000,97.968122
2014-08-14,103.290001,104.080002,103.199997,103.970001,914200,98.670401
2014-08-15,104.449997,104.68,103.529999,104.489998,1178200,99.163892
2014-08-18,105.449997,106.139999,105.010002,106.029999,1358100,100.625395
2014-08-19,106.169998,106.589996,105.800003,106.080002,1103000,100.672849
2014-08-20,106.110001,106.919998,105.980003,106.360001,2115600,100.938576
2014-08-21,106.57,106.620003,104.220001,105.18,2992200,99.818723
2014-08-22,105.110001,105.879997,105.040001,105.480003,1155400,100.103434
2014-08-25,105.949997,106.080002,105.379997,105.550003,590200,100.169866
2014-08-26,105.879997,106.059998,105.510002,105.529999,916600,100.150881
2014-08-27,106.139999,106.93,106.0,106.82,1238600,101.375128
2014-08-28,106.330002,106.769997,106.110001,106.580002,815900,101.147363
2014-08-29,106.800003,107.0,106.290001,107.0,699300,101.545953
2014-09-02,107.0,107.870003,106.639999,107.010002,1317100,101.555445
2014-09-03,107.339996,108.489998,107.339996,107.959999,1267700,102.457019
2014-09-04,106.599998,109.220001,106.599998,108.559998,1731700,103.026434
2014-09-05,108.669998,109.610001,108.300003,109.550003,1808300,103.965976
2014-09-08,109.410004,109.699997,108.169998,108.639999,1365000,103.102358
2014-09-09,108.639999,109.199997,108.120003,108.779999,1240100,103.235221
2014-09-10,108.870003,109.129997,107.75,107.989998,1485400,102.485488
2014-09-11,107.699997,108.650002,107.540001,108.639999,888600,103.102358
2014-09-12,108.739998,108.919998,107.559998,107.889999,867300,102.390587
2014-09-15,108.07,108.389999,107.32,108.169998,889200,102.656314
2014-09-16,108.129997,109.260002,107.540001,109.169998,1550500,103.605341
2014-09-17,109.470001,112.580002,109.470001,111.769997,2894900,106.072811
2014-09-18,111.839996,112.440002,111.660004,112.150002,1255500,106.433447
2014-09-19,112.699997,112.949997,111.940002,112.0,1668700,106.291091
2014-09-22,112.089996,112.610001,110.949997,111.0,1496000,105.342063
2014-09-23,110.870003,110.949997,110.0,110.059998,956900,104.449975
2014-09-24,110.309998,111.610001,110.099998,111.449997,1226500,105.769123
2014-09-25,111.080002,111.080002,109.389999,109.800003,1259400,104.203233
2014-09-26,109.959999,111.720001,109.800003,111.309998,1151700,105.63626
2014-09-29,110.349998,111.529999,109.830002,111.419998,956800,105.740653
2014-09-30,111.449997,113.410004,111.209999,111.599998,2342300,105.911478
2014-10-01,110.860001,110.970001,108.169998,108.650002,2396300,103.11185
2014-10-02,109.260002,110.349998,108.800003,110.120003,2037200,104.506922
2014-10-03,110.650002,112.599998,110.650002,112.470001,2077600,106.737135
2014-10-06,112.93,113.5,111.050003,111.110001,1802900,105.446457
2014-10-07,110.400002,110.5,108.18,108.25,2112200,102.732237
2014-10-08,108.230003,109.25,106.230003,109.150002,2322300,103.586364
2014-10-09,108.580002,108.900002,105.139999,105.43,2500100,100.05598
2014-10-10,105.489998,105.489998,101.800003,102.360001,2683000,97.142466
2014-10-13,106.330002,111.25,102.809998,103.209999,5190100,97.949138
2014-10-14,104.010002,106.209999,103.68,104.449997,2164300,99.12593
2014-10-15,103.050003,105.699997,101.800003,105.199997,2732500,99.8377
2014-10-16,102.550003,106.120003,102.290001,104.800003,2743900,99.458095
2014-10-17,105.989998,107.209999,105.809998,106.540001,1832500,101.109401
2014-10-20,105.660004,107.230003,105.18,107.07,2054400,101.612385
2014-10-21,108.400002,109.860001,108.209999,109.849998,2320700,104.25068
