Date,Open_AXP,High_AXP,Low_AXP,Close_AXP,Volume_AXP,AdjClose_AXP
2013-11-20,82.959999,83.419998,81.959999,82.25,3510500,79.515263
2013-11-21,82.629997,84.0,82.57,83.949997,4355200,81.158737
2013-11-22,83.919998,83.93,83.370003,83.849998,2690300,81.062063
2013-11-25,84.32,84.760002,84.080002,84.589996,3657700,81.777457
2013-11-26,84.75,85.589996,84.699997,85.089996,4896800,82.260832
2013-11-27,85.260002,85.660004,84.980003,85.589996,2520000,82.744208
2013-11-29,85.879997,86.190002,85.510002,85.800003,2144600,82.947232
2013-12-02,86.019997,86.529999,85.160004,85.290001,3620800,82.454187
2013-12-03,84.889999,85.330002,84.199997,84.610001,3546100,81.796796
2013-12-04,84.209999,85.239998,83.760002,84.5,3579700,81.690453
2013-12-05,84.269997,84.989998,84.150002,84.540001,3677800,81.729124
2013-12-06,85.589996,86.089996,85.349998,85.93,2666600,83.072907
2013-12-09,86.169998,86.400002,85.349998,85.75,2436500,82.898891
2013-12-10,85.379997,85.739998,85.080002,85.290001,2354200,82.454187
2013-12-11,85.279999,85.669998,83.809998,83.900002,3782300,81.110404
2013-12-12,83.779999,84.279999,83.209999,83.300003,3574300,80.530355
2013-12-13,83.32,83.919998,83.230003,83.68,3594900,80.897717
2013-12-16,83.959999,84.970001,83.959999,84.519997,3599000,81.709784
2013-12-17,84.709999,84.720001,83.989998,84.110001,2893700,81.31342
2013-12-18,84.300003,86.120003,83.550003,85.989998,5332300,83.13091
2013-12-19,85.940002,86.529999,85.910004,86.410004,3956300,83.536951
2013-12-20,86.709999,87.779999,86.440002,87.57,6294500,84.658378
2013-12-23,88.0,88.580002,87.940002,88.309998,3242600,85.373771
2013-12-24,88.339996,88.739998,88.190002,88.690002,1042700,85.741141
2013-12-26,88.900002,89.230003,88.760002,89.0,1745200,86.040832
2013-12-27,88.82,89.510002,88.82,89.190002,1797400,86.224517
2013-12-30,89.190002,89.620003,89.139999,89.589996,1769000,86.611211
2013-12-31,89.870003,90.790001,89.519997,90.730003,3083500,87.713314
2014-01-02,90.900002,91.080002,89.379997,89.449997,5112000,86.475867
2014-01-03,89.150002,90.080002,88.629997,89.739998,3888500,86.756225
2014-01-06,89.699997,90.25,89.379997,89.699997,2844700,86.717555
2014-01-07,90.169998,90.699997,89.010002,89.360001,4039500,86.388863
2014-01-08,88.660004,89.639999,88.660004,89.410004,3880200,86.660254
2014-01-09,89.889999,89.93,88.07,88.879997,3469200,86.146547
2014-01-10,89.260002,89.559998,88.099998,88.550003,2901600,85.826702
2014-01-13,88.519997,89.0,86.879997,86.989998,5641000,84.314674
2014-01-14,87.080002,87.449997,86.07,87.120003,4777900,84.44068
2014-01-15,87.459999,88.529999,87.080002,88.25,4494900,85.535925
2014-01-16,88.0,88.239998,87.260002,87.779999,3326100,85.080379
2014-01-17,91.830002,93.620003,90.550003,90.970001,14989900,88.172275
2014-01-21,91.970001,92.709999,89.639999,90.589996,7954600,87.803956
2014-01-22,90.639999,91.419998,90.620003,91.129997,3848700,88.32735
2014-01-23,90.489998,90.489998,88.68,89.169998,5260900,86.42763
2014-01-24,88.559998,89.370003,86.660004,86.949997,6289300,84.275903
2014-01-27,87.150002,87.769997,85.709999,85.720001,5651400,83.083735
2014-01-28,85.849998,87.18,85.599998,86.639999,4108700,83.975439
2014-01-29,86.290001,86.900002,85.43,85.550003,3357900,82.918965
2014-01-30,86.449997,86.980003,86.07,86.620003,4259000,83.956058
2014-01-31,85.279999,85.910004,84.910004,85.019997,4778000,82.405259
2014-02-03,84.989998,85.419998,82.769997,82.860001,5769800,80.311692
2014-02-04,83.190002,84.709999,82.629997,84.0,5380500,81.416631
2014-02-05,83.510002,84.120003,82.949997,83.720001,3260100,81.145244
2014-02-06,84.5,85.760002,84.32,85.690002,5432400,83.054659
2014-02-07,85.959999,87.169998,85.779999,87.0,4495200,84.324368
2014-02-10,87.830002,88.959999,87.5,88.339996,5387900,85.623154
2014-02-11,88.360001,88.839996,88.169998,88.580002,3602400,85.855778
2014-02-12,88.690002,89.050003,88.400002,89.019997,2488600,86.282241
2014-02-13,88.370003,88.980003,88.010002,88.900002,2759700,86.165936
2014-02-14,88.860001,89.269997,88.260002,89.0,2671800,86.26286
2014-02-18,88.800003,89.139999,88.290001,89.019997,3591600,86.282241
2014-02-19,88.889999,90.32,88.75,88.839996,4332300,86.107777
2014-02-20,88.800003,89.230003,88.120003,89.010002,4411800,86.272554
2014-02-21,89.059998,89.410004,88.559998,88.75,3808700,86.020548
2014-02-24,88.790001,90.43,88.790001,89.919998,3261200,87.154564
2014-02-25,90.0,90.370003,89.150002,89.910004,2914800,87.144877
2014-02-26,90.160004,90.690002,89.209999,89.730003,4840200,86.970412
2014-02-27,89.650002,90.43,89.510002,90.290001,3075600,87.513187
2014-02-28,90.25,92.139999,90.089996,91.279999,4689200,88.472738
2014-03-03,90.599998,90.629997,89.160004,89.970001,3465300,87.203029
2014-03-04,91.050003,92.68,91.029999,92.610001,3752000,89.761837
2014-03-05,92.589996,92.589996,91.910004,92.139999,3086400,89.30629
2014-03-06,92.559998,93.639999,92.360001,93.519997,3957900,90.643846
2014-03-07,94.110001,94.349998,93.360001,93.860001,3864600,90.973394
2014-03-10,93.620003,93.879997,93.139999,93.699997,2218700,90.818311
2014-03-11,93.830002,93.879997,93.029999,93.199997,1946200,90.333688
2014-03-12,92.68,92.919998,91.900002,92.900002,2486100,90.042919
2014-03-13,93.199997,93.480003,90.410004,90.690002,3990200,87.900887
2014-03-14,90.550003,91.220001,89.639999,90.169998,3583900,87.396875
2014-03-17,90.510002,91.730003,90.489998,91.260002,3033000,88.453357
2014-03-18,91.269997,91.970001,91.129997,91.589996,2348300,88.773202
2014-03-19,91.669998,91.959999,90.279999,90.730003,3425700,87.939658
2014-03-20,90.480003,91.900002,90.230003,91.690002,3779700,88.870133
2014-03-21,92.779999,93.720001,91.360001,91.519997,6684500,88.705355
2014-03-24,91.639999,91.75,90.290001,91.010002,2520600,88.211045
2014-03-25,91.370003,91.900002,90.629997,90.839996,2420000,88.046268
