Date,Open_ECL,High_ECL,Low_ECL,Close_ECL,Volume_ECL,AdjClose_ECL
2015-07-28,108.379997,114.279999,108.239998,113.769997,2405000,112.711652
2015-07-29,113.879997,115.779999,113.050003,115.32,1281400,114.247236
2015-07-30,115.339996,116.25,115.209999,116.099998,893000,115.019979
2015-07-31,116.5,116.959999,115.559998,115.809998,923000,114.732675
2015-08-03,115.25,115.980003,114.660004,115.279999,1022500,114.207607
2015-08-04,115.889999,115.970001,114.989998,115.32,685000,114.247236
2015-08-05,116.739998,117.690002,115.93,116.75,843100,115.663933
2015-08-06,116.540001,117.18,115.949997,116.309998,743600,115.228024
2015-08-07,116.129997,116.5,114.139999,114.360001,889100,113.296167
2015-08-10,115.050003,116.589996,114.720001,116.589996,774300,115.505418
2015-08-11,115.339996,116.150002,114.669998,115.93,1129800,114.851562
2015-08-12,115.389999,115.860001,114.190002,115.040001,1180700,113.969842
2015-08-13,115.25,115.849998,114.330002,115.279999,626500,114.207607
2015-08-14,115.5,116.550003,115.080002,116.480003,697200,115.396448
2015-08-17,116.150002,116.650002,115.290001,116.349998,817500,115.267653
2015-08-18,116.019997,116.699997,115.57,115.900002,577700,114.821842
2015-08-19,115.120003,115.720001,114.540001,114.860001,633400,113.791516
2015-08-20,114.080002,114.849998,112.57,112.620003,1211900,111.572356
2015-08-21,111.919998,112.169998,109.739998,109.900002,1448900,108.877657
2015-08-24,104.470001,109.279999,103.089996,105.349998,2321900,104.36998
2015-08-25,109.129997,109.389999,104.389999,104.529999,2222800,103.557609
2015-08-26,106.57,106.68,104.260002,106.489998,1952700,105.499375
2015-08-27,108.239998,110.739998,107.849998,109.919998,1824100,108.897468
2015-08-28,109.480003,110.760002,109.209999,110.459999,988000,109.432445
2015-08-31,109.449997,110.389999,108.379997,109.139999,1033000,108.124725
2015-09-01,106.779999,107.669998,104.940002,105.419998,2168300,104.439329
2015-09-02,106.769997,108.110001,105.529999,107.980003,2889800,106.97552
2015-09-03,108.790001,109.32,108.080002,108.830002,1101700,107.817611
2015-09-04,107.190002,107.980003,106.5,106.540001,1429500,105.548913
2015-09-08,108.379997,108.629997,107.089996,108.589996,1386100,107.579838
