Date,Open_AWK,High_AWK,Low_AWK,Close_AWK,Volume_AWK,AdjClose_AWK
2015-08-04,52.07,52.150002,51.169998,51.23,603900,50.079365
2015-08-05,51.52,52.099998,51.349998,51.599998,666800,50.441054
2015-08-06,50.91,51.849998,50.580002,51.77,1016500,50.942907
2015-08-07,51.650002,52.549999,51.369999,52.310001,689700,51.474281
2015-08-10,52.310001,52.700001,52.099998,52.259998,529000,51.425076
2015-08-11,52.380001,53.130001,52.139999,53.119999,839700,52.271337
2015-08-12,52.740002,53.84,52.599998,53.740002,934800,52.881435
2015-08-13,53.639999,54.450001,53.560001,54.18,956300,53.314404
2015-08-14,53.970001,54.310001,53.84,54.290001,635900,53.422647
2015-08-17,54.400002,54.810001,54.259998,54.68,697900,53.806416
2015-08-18,54.5,54.790001,54.080002,54.630001,590300,53.757215
2015-08-19,54.349998,54.869999,54.150002,54.799999,557600,53.924497
2015-08-20,54.419998,54.849998,53.900002,54.189999,1029300,53.324242
2015-08-21,53.59,54.439999,53.59,54.02,1036200,53.15696
2015-08-24,52.220001,52.98,50.16,51.93,1924800,51.100351
2015-08-25,52.740002,53.040001,51.349998,51.349998,1783400,50.529615
2015-08-26,51.880001,52.290001,50.540001,52.139999,1448100,51.306995
2015-08-27,52.669998,53.18,52.209999,53.139999,1016000,52.291018
2015-08-28,53.02,53.27,52.549999,53.009998,1142700,52.163094
2015-08-31,52.740002,52.740002,51.610001,51.939999,827800,51.110189
2015-09-01,51.759998,51.93,50.82,51.060001,895600,50.244251
2015-09-02,51.580002,51.75,50.880001,51.41,1063400,50.588658
2015-09-03,51.459999,52.419998,51.439999,52.209999,1256300,51.375876
2015-09-04,51.669998,51.860001,50.91,51.110001,1210200,50.293451
2015-09-08,51.580002,52.040001,51.41,51.689999,889200,50.864183
2015-09-09,51.98,52.009998,51.139999,51.209999,983400,50.391852
2015-09-10,51.32,51.669998,50.950001,51.110001,994100,50.293451
2015-09-11,50.889999,51.98,50.740002,51.959999,662500,51.12987
2015-09-14,52.0,52.43,51.880001,52.240002,967400,51.405399
2015-09-15,52.360001,52.610001,52.09,52.48,467400,51.641563
2015-09-16,52.490002,52.950001,52.470001,52.84,568800,51.995812
2015-09-17,52.77,53.77,52.75,53.32,911500,52.468143
2015-09-18,52.950001,53.950001,52.799999,53.5,1000600,52.645267
2015-09-21,53.599998,54.07,53.540001,53.68,699400,52.822392
2015-09-22,53.299999,53.709999,53.200001,53.580002,786400,52.723991
2015-09-23,53.52,54.139999,53.439999,53.900002,908800,53.038878
2015-09-24,53.639999,54.68,53.580002,54.369999,793500,53.501367
2015-09-25,54.5,55.630001,54.380001,54.889999,1542900,54.01306
