Date,Open_LMT,High_LMT,Low_LMT,Close_LMT,Volume_LMT,AdjClose_LMT
2014-07-28,169.990005,170.570007,168.300003,170.0,1989600,160.130592
2014-07-29,170.5,170.660004,169.240005,169.330002,1063100,159.499491
2014-07-30,170.240005,171.360001,168.839996,170.179993,1077200,160.300135
2014-07-31,169.080002,169.240005,166.970001,166.970001,1935900,157.276501
2014-08-01,166.720001,168.770004,166.190002,167.119995,1535900,157.417787
2014-08-04,167.559998,168.580002,167.029999,168.289993,1196400,158.51986
2014-08-05,167.789993,169.160004,166.559998,166.929993,1218900,157.238815
2014-08-06,166.080002,166.080002,162.710007,163.050003,1883000,153.584079
2014-08-07,164.279999,164.619995,162.520004,162.949997,1087100,153.489879
2014-08-08,163.110001,166.190002,163.100006,165.800003,1196000,156.174427
2014-08-11,166.860001,166.929993,166.0,166.149994,801800,156.504099
2014-08-12,166.149994,167.149994,165.259995,165.779999,779500,156.155584
2014-08-13,166.149994,169.399994,166.149994,169.089996,1081600,159.273419
2014-08-14,169.339996,170.210007,168.860001,169.5,1030000,159.65962
2014-08-15,169.910004,170.5,167.940002,169.160004,1062400,159.339362
2014-08-18,170.199997,172.100006,170.039993,171.520004,766400,161.562352
2014-08-19,172.020004,172.399994,171.289993,172.130005,841100,162.136939
2014-08-20,172.149994,175.470001,172.130005,175.309998,1351100,165.132316
2014-08-21,174.919998,175.490005,174.179993,175.100006,1088200,164.934515
2014-08-22,174.710007,176.130005,174.360001,175.149994,801400,164.981601
2014-08-25,175.75,177.070007,175.429993,176.529999,866400,166.281489
2014-08-26,176.970001,177.009995,176.039993,176.610001,1036500,166.356847
2014-08-27,176.990005,177.190002,176.0,176.520004,1115200,166.272075
2014-08-28,174.669998,175.050003,173.740005,174.100006,1455800,165.237561
2014-08-29,174.759995,175.089996,173.75,174.0,1532000,165.142646
2014-09-02,175.139999,175.309998,173.070007,173.800003,1547700,164.95283
2014-09-03,174.940002,175.639999,173.210007,173.5,1454800,164.668098
2014-09-04,173.990005,174.490005,172.759995,173.039993,1109000,164.231508
2014-09-05,173.169998,174.649994,172.369995,174.580002,983600,165.693123
2014-09-08,174.520004,175.570007,174.360001,174.770004,926500,165.873454
2014-09-09,175.600006,176.350006,174.839996,174.940002,1418300,166.034798
2014-09-10,174.960007,175.029999,173.720001,174.589996,2210500,165.702609
2014-09-11,174.380005,174.770004,173.580002,174.199997,1299200,165.332462
2014-09-12,174.169998,174.990005,173.710007,174.429993,759400,165.55075
2014-09-15,174.419998,175.779999,173.919998,175.600006,678500,166.661205
2014-09-16,175.130005,177.940002,175.020004,177.190002,1186800,168.170263
2014-09-17,177.779999,179.649994,177.449997,178.800003,1152600,169.698308
2014-09-18,179.369995,179.720001,178.300003,179.570007,1040400,170.429116
2014-09-19,180.490005,181.220001,180.220001,180.740005,1896300,171.539556
2014-09-22,179.720001,180.759995,178.759995,178.990005,1097400,169.878639
2014-09-23,178.529999,178.979996,175.919998,176.339996,1451100,167.363526
2014-09-24,176.279999,178.5,176.279999,178.389999,959400,169.309175
2014-09-25,178.100006,178.740005,176.259995,177.440002,1739100,168.407537
2014-09-26,177.539993,182.270004,177.539993,181.580002,1877700,172.336793
2014-09-29,181.800003,182.789993,180.110001,181.360001,1579900,172.127991
2014-09-30,182.600006,184.089996,182.130005,182.779999,1981200,173.475705
2014-10-01,181.149994,181.149994,177.080002,177.889999,1901400,168.834628
2014-10-02,177.660004,178.300003,175.789993,176.350006,1468900,167.373027
2014-10-03,177.669998,179.339996,176.919998,178.339996,2463700,169.261718
2014-10-06,179.619995,179.699997,176.669998,176.919998,1486300,167.914004
2014-10-07,176.399994,176.559998,173.0,173.020004,1182700,164.212536
2014-10-08,173.270004,176.550003,171.830002,176.350006,1677600,167.373027
2014-10-09,176.320007,176.559998,173.550003,174.550003,1581500,165.664651
2014-10-10,174.679993,176.779999,173.699997,174.470001,1668600,165.588722
2014-10-13,173.970001,176.449997,172.779999,172.880005,1473800,164.079663
2014-10-14,173.550003,177.75,173.139999,176.110001,1585300,167.145238
2014-10-15,174.009995,176.020004,170.259995,175.190002,2180500,166.272072
2014-10-16,173.229996,176.729996,172.449997,174.720001,1972800,165.825996
2014-10-17,176.839996,177.889999,175.860001,176.240005,2360100,167.268625
2014-10-20,175.929993,176.369995,173.929993,175.529999,2054900,166.594761
2014-10-21,170.149994,173.850006,166.279999,172.610001,4106600,163.823404
2014-10-22,171.0,177.839996,170.710007,176.009995,3805700,167.050323
2014-10-23,177.089996,181.630005,177.089996,180.669998,2442900,171.473112
2014-10-24,181.669998,181.759995,179.419998,181.330002,1550700,172.099519
2014-10-27,181.690002,183.100006,180.699997,183.0,1071400,173.684507
2014-10-28,184.100006,185.550003,182.679993,185.550003,1809200,176.104704
