Date,Open_NBL,High_NBL,Low_NBL,Close_NBL,Volume_NBL,AdjClose_NBL
2015-11-23,35.59,36.389999,35.169998,36.299999,4267000,36.085727
2015-11-24,36.540001,37.459999,36.540001,37.0,3725600,36.781595
2015-11-25,36.599998,37.369999,35.860001,36.939999,1920500,36.721948
2015-11-27,36.509998,36.919998,36.279999,36.549999,1365200,36.334251
2015-11-30,36.84,37.43,36.43,36.669998,2934900,36.453542
2015-12-01,36.759998,37.040001,36.389999,36.990002,2621100,36.771656
2015-12-02,36.639999,37.02,35.18,35.419998,5575200,35.21092
2015-12-03,35.779999,36.279999,35.110001,35.48,3860600,35.270567
2015-12-04,34.950001,35.080002,33.82,33.869999,5704200,33.67007
2015-12-07,32.700001,32.759998,31.52,32.169998,6987900,31.980104
2015-12-08,31.33,32.57,31.129999,32.299999,3811200,32.109338
2015-12-09,33.580002,34.25,32.560001,33.060001,5233200,32.864854
2015-12-10,32.990002,34.369999,32.650002,34.0,4730400,33.799304
2015-12-11,33.639999,33.689999,32.450001,32.630001,5740400,32.437392
2015-12-14,32.400002,32.57,31.049999,31.75,6995000,31.562585
2015-12-15,32.310001,32.880001,31.91,32.82,4038900,32.626269
2015-12-16,32.450001,33.169998,31.84,32.419998,4402000,32.228629
2015-12-17,32.48,32.57,30.52,31.219999,5759100,31.035713
2015-12-18,31.17,31.9,30.959999,30.959999,5370900,30.777248
2015-12-21,31.08,31.58,30.389999,31.49,4055900,31.30412
2015-12-22,31.65,32.59,31.469999,32.369999,4629000,32.178924
2015-12-23,33.360001,34.259998,33.029999,34.25,4231500,34.047828
2015-12-24,34.25,34.369999,33.540001,34.09,1288800,33.888773
2015-12-28,33.290001,33.48,32.68,33.02,2890900,32.825089
2015-12-29,33.889999,33.970001,33.139999,33.400002,2481500,33.202847
2015-12-30,32.82,33.59,31.700001,32.220001,4394500,32.029812
2015-12-31,31.91,33.259998,31.610001,32.93,3828800,32.73562
2016-01-04,32.639999,33.549999,32.41,33.5,4321700,33.302255
2016-01-05,33.439999,33.869999,32.970001,33.650002,4027200,33.451371
2016-01-06,32.720001,32.720001,31.530001,31.690001,5893300,31.50294
2016-01-07,31.190001,32.669998,30.639999,30.889999,5508600,30.707661
2016-01-08,31.129999,31.370001,30.389999,30.83,4062700,30.648016
2016-01-11,30.84,30.99,28.690001,28.99,6406700,28.818877
2016-01-12,29.450001,29.549999,27.34,28.6,7032700,28.43118
2016-01-13,29.120001,29.639999,27.77,27.940001,6731500,27.775076
2016-01-14,28.34,29.219999,27.57,29.07,7228500,28.898405
2016-01-15,27.65,28.32,26.76,27.629999,6643200,27.466904
2016-01-19,27.889999,28.0,25.219999,25.82,7155200,25.667589
2016-01-20,25.16,26.120001,23.77,25.719999,8345800,25.568179
2016-01-21,26.129999,28.709999,25.799999,28.389999,7597200,28.222418
2016-01-22,29.690001,30.219999,28.139999,29.030001,6668900,28.858642
2016-01-25,28.200001,29.35,27.24,27.27,5457100,27.10903
2016-01-26,27.950001,28.83,27.17,28.76,5767600,28.590235
2016-01-27,28.450001,30.43,28.190001,29.870001,10647800,29.693683
2016-01-28,31.41,31.51,29.879999,30.969999,5445700,30.787189
2016-01-29,31.18,32.630001,31.16,32.369999,7390800,32.178924
2016-02-01,31.709999,32.130001,30.950001,31.65,4417300,31.463175
2016-02-02,30.610001,31.26,29.969999,30.67,3882400,30.48896
2016-02-03,31.41,32.259998,29.969999,32.240002,5280000,32.049695
2016-02-04,32.509998,33.040001,31.27,31.379999,6135800,31.291829
2016-02-05,30.940001,30.940001,28.610001,29.26,8960600,29.177787
2016-02-08,28.58,28.639999,27.219999,28.360001,7756900,28.280316
2016-02-09,27.74,28.469999,27.0,27.860001,7705600,27.781721
2016-02-10,27.879999,28.940001,27.440001,28.09,6096400,28.011074
2016-02-11,27.5,28.17,26.709999,27.91,5922900,27.831579
2016-02-12,28.6,29.32,28.280001,28.73,5051900,28.649275
2016-02-16,29.610001,29.610001,28.27,28.639999,5664300,28.559528
2016-02-17,29.41,31.129999,29.24,30.42,8360100,30.334527
2016-02-18,30.77,30.77,28.360001,29.18,6660500,29.098011
2016-02-19,28.83,29.860001,28.370001,29.85,5409800,29.766129
2016-02-22,30.77,31.99,30.77,31.620001,4736500,31.531156
2016-02-23,31.219999,31.370001,29.77,29.889999,4059100,29.806016
2016-02-24,28.860001,30.049999,28.76,29.84,3971000,29.756157
2016-02-25,29.709999,30.57,29.139999,30.26,2837600,30.174977
2016-02-26,31.049999,31.09,29.6,29.73,6388000,29.646465
2016-02-29,29.799999,30.540001,28.809999,29.5,5073100,29.417112
2016-03-01,29.67,29.67,27.85,29.190001,6028500,29.107984
2016-03-02,29.129999,31.07,28.940001,31.049999,4186300,30.962756
2016-03-03,30.889999,31.940001,30.51,31.870001,6905200,31.780454
2016-03-04,32.330002,33.57,31.889999,32.43,6897600,32.33888
2016-03-07,32.380001,33.040001,31.4,32.709999,7496700,32.618092
2016-03-08,32.150002,32.18,30.6,30.75,5172200,30.6636
2016-03-09,31.35,32.389999,30.459999,32.060001,4240100,31.96992
2016-03-10,31.780001,32.119999,31.030001,31.98,3224400,31.890143
