Date,Open_MCK,High_MCK,Low_MCK,Close_MCK,Volume_MCK,AdjClose_MCK
2013-09-12,127.800003,129.619995,127.800003,128.600006,900300,126.714937
2013-09-13,128.539993,128.919998,128.0,128.699997,720800,126.813462
2013-09-16,130.029999,130.449997,129.429993,129.779999,595000,127.877633
2013-09-17,129.830002,131.410004,129.779999,131.080002,923800,129.15858
2013-09-18,131.210007,131.889999,129.580002,131.610001,838500,129.68081
2013-09-19,132.199997,133.330002,131.610001,132.009995,1637200,130.07494
2013-09-20,131.899994,132.619995,130.779999,131.270004,2225000,129.345797
2013-09-23,131.070007,131.339996,129.199997,129.5,1494200,127.601738
2013-09-24,129.110001,129.720001,127.449997,127.910004,1758100,126.035049
2013-09-25,128.830002,129.979996,128.399994,128.479996,1454500,126.596686
2013-09-26,128.580002,129.050003,127.900002,128.440002,920000,126.557279
2013-09-27,128.190002,129.770004,128.039993,129.289993,969600,127.39481
2013-09-30,128.399994,128.690002,127.949997,128.300003,782300,126.419331
2013-10-01,128.970001,131.820007,128.970001,131.520004,1264800,129.592133
2013-10-02,131.119995,131.179993,129.539993,130.550003,1028200,128.63635
2013-10-03,129.869995,130.039993,128.839996,129.570007,1071700,127.670719
2013-10-04,130.0,132.020004,129.460007,131.869995,1236400,129.936993
2013-10-07,131.240005,131.300003,129.570007,129.630005,1307900,127.729838
2013-10-08,137.5,138.429993,133.380005,133.720001,6324400,131.759881
2013-10-09,134.050003,134.669998,132.830002,133.479996,2841400,131.523394
2013-10-10,134.559998,138.029999,134.559998,137.880005,2285600,135.858906
2013-10-11,137.880005,139.0,137.229996,138.309998,1421500,136.282595
2013-10-14,137.919998,138.779999,136.690002,138.690002,904000,136.65703
2013-10-15,138.25,139.360001,137.389999,137.949997,1284900,135.927872
2013-10-16,139.070007,141.190002,139.0,140.789993,1157400,138.726238
2013-10-17,140.330002,142.910004,140.139999,142.820007,1501000,140.726496
2013-10-18,143.470001,143.860001,140.759995,141.449997,1521600,139.376568
2013-10-21,141.5,142.089996,140.429993,141.020004,1146300,138.952878
2013-10-22,136.350006,143.229996,135.679993,142.130005,1984000,140.046608
2013-10-23,142.509995,145.039993,141.210007,143.050003,2640500,140.95312
2013-10-24,154.600006,155.0,147.610001,150.0,6964700,147.801241
2013-10-25,151.809998,156.270004,151.050003,154.990005,4271000,152.718101
2013-10-28,152.880005,153.899994,152.059998,153.279999,3006300,151.033161
2013-10-29,153.449997,155.949997,153.289993,155.869995,1941900,153.585192
2013-10-30,156.259995,157.350006,155.330002,156.039993,2142900,153.752698
2013-10-31,156.160004,158.380005,155.309998,156.339996,2297700,154.048303
2013-11-01,156.289993,159.570007,156.0,159.440002,2274100,157.102868
2013-11-04,159.419998,159.789993,158.5,159.720001,1239400,157.378763
2013-11-05,159.610001,159.710007,158.419998,158.919998,1223900,156.590487
2013-11-06,158.970001,158.990005,154.020004,156.460007,2556300,154.166555
2013-11-07,157.479996,158.0,155.800003,156.289993,1374200,153.999033
2013-11-08,156.050003,158.630005,155.910004,158.559998,1331900,156.235763
2013-11-11,158.800003,159.5,157.779999,158.899994,983300,156.570776
2013-11-12,158.449997,159.669998,156.850006,157.889999,1469100,155.575586
2013-11-13,157.309998,157.899994,156.460007,157.889999,1331700,155.575586
2013-11-14,157.869995,159.770004,155.919998,159.460007,2013400,157.12258
2013-11-15,159.649994,160.610001,159.029999,160.149994,1105500,157.802453
2013-11-18,161.339996,161.600006,158.580002,158.779999,1192900,156.452539
2013-11-19,159.0,159.679993,157.380005,159.210007,916900,156.876244
2013-11-20,159.669998,159.929993,157.830002,158.389999,978400,156.068257
2013-11-21,159.210007,161.169998,158.389999,160.899994,1007700,158.541459
2013-11-22,160.899994,164.0,160.429993,163.610001,1703300,161.211741
2013-11-25,163.949997,166.050003,163.610001,165.139999,1916700,162.719313
2013-11-26,164.970001,165.389999,163.580002,164.350006,1581500,161.940899
2013-11-27,165.100006,165.589996,163.770004,165.5,908900,163.312522
2013-11-29,165.729996,166.570007,165.25,165.889999,703200,163.697367
2013-12-02,165.889999,166.25,164.179993,164.669998,978100,162.493491
2013-12-03,163.100006,164.779999,162.570007,163.869995,1361100,161.704062
2013-12-04,163.520004,165.179993,161.970001,162.740005,1200300,160.589007
2013-12-05,162.559998,163.199997,159.779999,159.979996,1866200,157.865478
2013-12-06,161.639999,163.080002,160.720001,162.809998,1599400,160.658074
2013-12-09,163.429993,164.630005,162.850006,163.029999,1175000,160.875168
2013-12-10,159.860001,161.669998,157.0,159.940002,4266900,157.826013
2013-12-11,157.320007,160.690002,157.320007,158.339996,2154200,156.247155
2013-12-12,157.639999,158.460007,156.0,156.75,1539200,154.678174
2013-12-13,157.559998,157.960007,156.029999,157.389999,1210600,155.309714
2013-12-16,157.929993,158.460007,157.110001,157.460007,725300,155.378796
2013-12-17,157.630005,158.759995,156.820007,158.419998,1507200,156.326099
2013-12-18,159.580002,161.059998,156.809998,161.029999,1107600,158.901603
2013-12-19,160.080002,160.679993,158.5,160.589996,1302700,158.467416
2013-12-20,160.820007,162.649994,160.639999,161.5,1489200,159.365392
2013-12-23,161.520004,161.940002,158.309998,160.399994,937800,158.279925
2013-12-24,160.839996,160.839996,159.259995,160.270004,355100,158.151653
2013-12-26,160.509995,161.619995,160.130005,161.369995,549900,159.237105
2013-12-27,161.710007,161.990005,160.149994,160.979996,440600,158.85226
2013-12-30,160.949997,161.279999,159.979996,160.690002,536700,158.5661
2013-12-31,161.339996,162.029999,160.589996,161.399994,685800,159.266707
2014-01-02,160.850006,160.990005,159.449997,160.160004,847000,158.043106
2014-01-03,160.25,162.100006,160.110001,160.710007,2156200,158.58584
2014-01-06,166.110001,166.539993,159.910004,160.259995,2017900,158.141776
2014-01-07,160.740005,163.339996,160.070007,161.830002,2215400,159.691032
2014-01-08,166.0,173.080002,165.600006,169.809998,5450100,167.565553
2014-01-09,175.440002,177.0,174.199997,175.330002,3846400,173.012597
