Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2015-07-22,129.869995,130.639999,129.580002,130.029999,489000,128.188056
2015-07-23,130.779999,130.779999,128.589996,128.820007,389500,126.995205
2015-07-24,129.589996,129.899994,125.440002,126.849998,573000,125.053102
2015-07-27,126.489998,126.5,124.379997,125.0,792500,123.22931
2015-07-28,125.5,126.730003,123.519997,126.610001,764800,124.816504
2015-07-29,126.459999,127.07,125.440002,126.919998,539300,125.12211
2015-07-30,126.379997,127.800003,125.879997,127.120003,548600,125.319282
2015-07-31,127.419998,127.839996,125.739998,125.889999,1194100,124.106702
2015-08-03,125.239998,125.660004,119.160004,123.290001,2223800,121.543534
2015-08-04,123.510002,125.730003,122.43,123.309998,1489200,121.563247
2015-08-05,127.650002,129.160004,120.879997,121.5,2201500,119.778889
2015-08-06,121.830002,122.290001,119.620003,120.169998,2291400,118.467728
2015-08-07,119.739998,120.839996,119.0,120.199997,1434900,118.497301
2015-08-10,121.029999,121.410004,119.309998,120.540001,1349600,118.832489
2015-08-11,119.830002,120.010002,118.510002,119.0,1212900,117.314303
2015-08-12,118.480003,118.480003,116.18,118.0,1107600,116.328469
2015-08-13,118.230003,118.699997,117.019997,117.290001,906000,115.628527
2015-08-14,117.330002,118.580002,117.029999,118.0,1165100,116.328469
2015-08-17,117.269997,118.150002,116.459999,117.989998,711500,116.318608
2015-08-18,118.0,118.309998,116.620003,117.230003,1018300,115.569379
2015-08-19,117.080002,117.43,115.43,115.720001,1164700,114.080767
2015-08-20,114.459999,115.480003,112.879997,112.900002,1456800,111.300714
2015-08-21,111.650002,112.5,110.18,110.639999,1514100,109.072726
2015-08-24,105.040001,111.720001,104.629997,107.589996,2295400,106.065928
2015-08-25,110.010002,110.199997,104.940002,105.019997,1294300,103.532334
2015-08-26,107.690002,108.290001,104.339996,106.790001,1348800,105.277265
2015-08-27,108.629997,109.879997,107.129997,109.18,1151200,107.633409
2015-08-28,109.040001,111.720001,108.5,110.889999,1019700,109.319185
2015-08-31,110.370003,113.190002,109.419998,111.190002,1140600,109.614938
2015-09-01,109.370003,110.709999,107.760002,108.440002,773200,106.903893
2015-09-02,109.669998,109.870003,107.5,109.5,611000,107.948875
2015-09-03,110.199997,111.540001,109.050003,110.959999,922400,109.388193
2015-09-04,109.449997,110.32,108.25,108.980003,517400,107.436245
2015-09-08,110.730003,111.360001,109.940002,111.050003,636700,109.476922
2015-09-09,112.260002,113.5,108.599998,108.839996,662900,107.298221
2015-09-10,108.660004,110.260002,108.589996,109.120003,631300,107.574261
2015-09-11,108.879997,110.330002,108.040001,109.709999,651500,108.1559
2015-09-14,109.370003,109.379997,107.410004,107.910004,629400,106.381402
2015-09-15,108.339996,109.900002,107.800003,109.709999,719800,108.1559
2015-09-16,109.709999,114.910004,109.5,114.599998,1249200,112.97663
2015-09-17,114.410004,116.050003,113.489998,113.949997,1235100,112.335836
2015-09-18,112.5,112.830002,109.07,109.379997,1021500,107.830573
2015-09-21,110.779999,111.889999,110.110001,111.510002,1116100,109.930405
2015-09-22,110.0,110.68,109.050003,110.349998,785400,108.786833
2015-09-23,110.440002,112.07,106.919998,108.07,563400,107.024065
2015-09-24,109.529999,110.629997,106.919998,109.199997,932600,108.143126
2015-09-25,110.470001,110.709999,107.75,108.32,746100,107.271646
2015-09-28,107.790001,109.230003,104.610001,104.879997,763100,103.864937
2015-09-29,104.790001,105.790001,103.290001,104.050003,717700,103.042975
2015-09-30,111.620003,119.139999,111.550003,118.160004,4770500,117.016415
2015-10-01,117.199997,118.25,115.110001,116.559998,1562700,115.431894
2015-10-02,115.459999,117.370003,113.5,117.360001,1105700,116.224155
2015-10-05,118.260002,119.519997,116.309998,119.279999,915500,118.125571
2015-10-06,119.110001,121.300003,117.889999,119.989998,990600,118.828698
2015-10-07,120.330002,120.970001,117.269997,118.620003,1100700,117.471962
2015-10-08,118.639999,122.089996,117.099998,121.25,939500,120.076506
2015-10-09,120.0,121.559998,118.900002,120.540001,751200,119.373378
2015-10-12,121.849998,123.0,119.739998,120.580002,596000,119.412992
2015-10-13,119.269997,120.269997,118.190002,118.730003,633800,117.580898
2015-10-14,119.110001,120.099998,118.120003,118.730003,744700,117.580898
2015-10-15,119.230003,119.610001,115.879997,117.290001,827700,116.154833
2015-10-16,117.82,117.82,115.18,116.959999,725800,115.828025
2015-10-19,116.669998,117.660004,115.75,117.209999,914900,116.075605
2015-10-20,117.209999,118.650002,116.0,117.75,971500,116.61038
2015-10-21,118.080002,118.099998,115.5,115.809998,931300,114.689153
2015-10-22,116.290001,117.510002,115.809998,116.68,404100,115.550736
2015-10-23,114.940002,116.68,110.480003,113.690002,2024300,112.589676
2015-10-26,114.099998,115.519997,113.0,113.610001,652500,112.510448
2015-10-27,113.800003,114.470001,112.050003,112.18,917900,111.094288
2015-10-28,112.279999,113.360001,110.589996,112.43,861900,111.341869
2015-10-29,109.419998,111.010002,108.980003,110.330002,1222400,109.262195
2015-10-30,110.669998,112.0,110.260002,110.769997,1008500,109.697931
2015-11-02,110.889999,111.330002,108.75,110.849998,573800,109.777158
2015-11-03,111.449997,114.589996,110.459999,114.169998,1186900,113.065026
2015-11-04,114.470001,115.139999,112.07,113.57,1413300,112.470835
