Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2013-11-22,151.009999,151.019991,149.169992,149.580004,869200,130.02228
2013-11-25,150.159985,150.339996,148.629993,148.839994,964400,129.379027
2013-11-26,149.020005,150.640003,148.379992,150.129994,1722600,130.500359
2013-11-27,150.479992,151.929987,150.029998,151.729993,1605200,131.891156
2013-11-29,152.019992,152.489985,149.829988,149.850003,938500,130.256977
2013-12-02,151.139987,151.139987,148.579986,148.839994,1562900,129.379027
2013-12-03,148.389984,149.669993,148.029995,148.870001,1204600,129.405111
2013-12-04,147.629992,149.959992,147.549994,149.359994,1299400,129.831037
2013-12-05,148.91,151.029999,148.199998,150.799998,1616700,131.082759
2013-12-06,152.039991,152.780001,151.189994,152.749994,1363900,132.777791
2013-12-09,152.999994,153.820001,151.749992,153.739987,1301000,133.638341
2013-12-10,153.949988,154.579993,153.079991,153.120006,1298500,133.099424
2013-12-11,153.36999,153.820001,150.379995,150.439993,1670200,130.769825
2013-12-12,150.499991,150.700001,148.359993,148.370001,1666700,128.970486
2013-12-13,151.82999,155.009988,151.189994,151.629996,2636200,131.804234
2013-12-16,151.549999,152.459994,150.330004,152.28,1861200,132.369249
2013-12-17,152.01,153.049984,151.729993,152.59999,1619100,132.6474
2013-12-18,152.330007,155.739989,150.849988,155.070002,2744100,134.794456
2013-12-19,154.899999,154.969989,152.749994,153.999995,1836600,133.864353
2013-12-20,153.680005,154.789995,153.429988,154.709997,2509100,134.481522
2013-12-23,155.479997,155.860002,153.609983,153.959996,1456400,133.829584
2013-12-24,154.379999,154.949989,153.260002,154.119991,462900,133.96866
2013-12-26,154.320001,155.479997,153.499994,154.229996,735000,134.064281
2013-12-27,153.249994,153.640006,152.430004,153.220003,1190900,133.186346
2013-12-30,153.519994,154.899999,153.019993,153.399997,934900,133.342806
2013-12-31,153.429988,153.879999,151.609997,152.159988,1657100,132.264929
2014-01-02,152.389989,153.269993,151.019991,152.089998,1465300,132.20409
2014-01-03,152.140005,154.549986,151.55999,153.949988,1215500,133.820885
2014-01-06,154.029986,155.409991,153.789993,154.990004,1563500,134.724918
2014-01-07,154.990004,155.999997,153.699988,154.88,1765300,134.629297
2014-01-08,154.789995,155.289995,153.129998,154.349992,1784100,134.168588
2014-01-09,154.280002,154.829993,152.809992,154.200005,1376000,134.038212
2014-01-10,155.209998,156.139993,154.779987,155.69999,1665700,135.342073
2014-01-13,154.649999,156.610002,154.629983,155.169999,1326300,134.881378
2014-01-14,155.159991,156.589987,154.499995,156.23999,1502100,135.811467
2014-01-15,156.23999,157.899986,155.379984,157.179993,1588200,136.628563
2014-01-16,156.559996,157.699993,156.559996,157.400002,889400,136.819806
2014-01-17,157.360003,157.709984,156.079995,156.709999,1668200,136.220022
2014-01-21,157.170001,158.699994,155.970006,157.909994,1797800,137.263116
2014-01-22,158.219993,158.980001,157.239991,157.46,1297900,136.871959
2014-01-23,156.709999,157.889995,155.569986,156.129985,1574800,135.715845
2014-01-24,155.689999,155.780004,153.189996,153.189996,2225200,133.160262
2014-01-27,153.309992,154.259987,151.209993,151.929987,1999300,132.065
2014-01-28,152.03,153.309992,151.910004,152.049999,1348900,132.169321
2014-01-29,151.079989,152.180003,149.599987,150.619987,1951700,130.926285
