Date,Open_REGN,High_REGN,Low_REGN,Close_REGN,Volume_REGN,AdjClose_REGN
2015-07-21,560.0,563.299988,553.559998,560.0,560100,560.0
2015-07-22,557.580017,563.22998,553.780029,556.530029,770500,556.530029
2015-07-23,558.190002,559.780029,553.140015,556.609985,492500,556.609985
2015-07-24,550.51001,558.0,533.51001,541.849976,933400,541.849976
2015-07-27,538.73999,543.0,530.349976,540.030029,658300,540.030029
2015-07-28,553.299988,559.650024,545.0,552.450012,872000,552.450012
2015-07-29,555.22998,558.659973,540.02002,546.27002,648500,546.27002
2015-07-30,545.630005,550.25,536.02002,547.099976,557000,547.099976
2015-07-31,551.289978,558.5,547.849976,553.659973,500400,553.659973
2015-08-03,558.469971,561.309998,546.0,554.27002,701700,554.27002
2015-08-04,586.0,605.929993,578.210022,580.940002,1939800,580.940002
2015-08-05,584.299988,595.890015,581.380005,592.400024,730500,592.400024
2015-08-06,593.659973,593.659973,579.0,582.469971,726700,582.469971
2015-08-07,586.0,586.0,574.25,579.039978,793900,579.039978
2015-08-10,584.669983,591.840027,580.880005,581.0,640300,581.0
2015-08-11,577.77002,583.380005,565.75,566.98999,760900,566.98999
2015-08-12,561.849976,580.880005,555.5,579.25,856000,579.25
2015-08-13,578.890015,585.789978,572.900024,574.099976,515700,574.099976
2015-08-14,572.900024,579.349976,568.960022,576.299988,491500,576.299988
2015-08-17,574.72998,578.570007,571.590027,576.76001,444700,576.76001
2015-08-18,578.950012,579.97998,569.099976,569.669983,581200,569.669983
2015-08-19,567.320007,575.119995,562.0,568.909973,477200,568.909973
2015-08-20,561.330017,567.859985,546.01001,546.650024,790400,546.650024
2015-08-21,537.75,557.190002,525.22998,527.179993,1501700,527.179993
2015-08-24,498.0,526.099976,480.5,504.579987,1757000,504.579987
2015-08-25,520.940002,528.380005,496.529999,499.019989,1235200,499.019989
2015-08-26,513.219971,535.869995,506.25,535.469971,1064500,535.469971
2015-08-27,540.0,547.51001,526.650024,538.0,759500,538.0
2015-08-28,530.390015,543.119995,530.159973,536.700012,507800,536.700012
2015-08-31,526.26001,534.719971,511.869995,513.5,835300,513.5
2015-09-01,499.290009,510.98999,494.290009,496.420013,899200,496.420013
2015-09-02,503.709991,518.98999,493.75,518.780029,748500,518.780029
2015-09-03,523.450012,523.640015,506.829987,508.51001,608100,508.51001
2015-09-04,500.51001,507.970001,498.980011,499.98999,806700,499.98999
2015-09-08,514.880005,543.190002,510.130005,542.76001,1242200,542.76001
2015-09-09,549.280029,549.98999,520.289978,527.349976,567700,527.349976
2015-09-10,525.659973,536.429993,524.359985,531.219971,522500,531.219971
2015-09-11,528.409973,533.299988,524.72998,533.299988,518800,533.299988
2015-09-14,533.469971,535.039978,524.859985,531.400024,345000,531.400024
2015-09-15,531.400024,542.98999,527.01001,541.450012,464500,541.450012
2015-09-16,541.0,545.0,533.619995,540.98999,447600,540.98999
2015-09-17,538.02002,556.309998,537.950012,550.969971,818600,550.969971
2015-09-18,547.98999,554.0,542.98999,550.359985,1191600,550.359985
2015-09-21,551.549988,557.869995,522.119995,529.380005,888600,529.380005
2015-09-22,521.299988,531.440002,519.570007,530.179993,924700,530.179993
2015-09-23,531.48999,541.299988,522.580017,536.5,990000,536.5
2015-09-24,532.01001,534.919983,515.659973,522.0,1050400,522.0
2015-09-25,529.23999,529.5,480.079987,490.670013,1522800,490.670013
2015-09-28,491.01001,492.420013,435.519989,453.980011,3128600,453.980011
2015-09-29,444.589996,477.369995,441.380005,451.820007,1621200,451.820007
2015-09-30,460.579987,474.839996,454.970001,465.140015,1452200,465.140015
2015-10-01,464.01001,473.51001,456.320007,472.970001,877100,472.970001
2015-10-02,458.049988,479.290009,452.149994,479.070007,1159600,479.070007
2015-10-05,484.100006,489.0,464.0,473.140015,915000,473.140015
2015-10-06,468.0,476.890015,448.100006,459.820007,1121400,459.820007
2015-10-07,463.390015,486.079987,456.880005,485.76001,1271000,485.76001
2015-10-08,482.779999,496.679993,468.540009,491.209991,840200,491.209991
2015-10-09,494.019989,504.980011,487.23999,503.920013,899300,503.920013
2015-10-12,521.210022,531.869995,514.27002,526.830017,1306600,526.830017
2015-10-13,518.01001,525.909973,506.959991,508.040009,984500,508.040009
2015-10-14,509.910004,523.0,502.51001,509.279999,774700,509.279999
2015-10-15,509.660004,520.0,505.019989,519.349976,735300,519.349976
2015-10-16,521.789978,522.0,509.059998,514.590027,753100,514.590027
2015-10-19,515.849976,530.659973,513.0,523.559998,871000,523.559998
2015-10-20,522.150024,526.5,510.75,514.669983,707800,514.669983
2015-10-21,521.25,524.52002,500.660004,518.530029,868100,518.530029
2015-10-22,518.119995,528.880005,511.25,525.109985,972700,525.109985
2015-10-23,530.190002,539.109985,525.309998,536.700012,804500,536.700012
2015-10-26,537.700012,550.890015,534.859985,545.869995,709600,545.869995
2015-10-27,545.159973,568.380005,545.159973,567.789978,898400,567.789978
2015-10-28,561.650024,571.159973,553.619995,571.140015,890200,571.140015
2015-10-29,568.559998,578.0,559.0,560.02002,693300,560.02002
2015-10-30,562.330017,565.659973,552.5,557.390015,731900,557.390015
2015-11-02,568.289978,580.97998,560.200012,579.0,993800,579.0
2015-11-03,581.0,581.0,564.5,578.0,944500,578.0
2015-11-04,578.01001,588.049988,549.5,564.0,1526500,564.0
2015-11-05,564.940002,574.25,561.0,564.159973,1035500,564.159973
2015-11-06,561.030029,566.080017,552.890015,562.0,666200,562.0
2015-11-09,560.830017,564.559998,555.820007,558.52002,658100,558.52002
2015-11-10,559.0,565.5,551.01001,564.859985,570200,564.859985
2015-11-11,567.5,571.75,560.150024,566.409973,597400,566.409973
2015-11-12,566.02002,566.369995,551.51001,552.530029,579400,552.530029
2015-11-13,551.190002,557.25,545.119995,548.900024,548700,548.900024
2015-11-16,550.26001,559.179993,545.200012,558.380005,574000,558.380005
2015-11-17,559.440002,573.349976,556.789978,570.909973,692000,570.909973
2015-11-18,571.400024,588.97998,571.400024,587.090027,708000,587.090027
2015-11-19,587.0,592.590027,580.580017,581.349976,584800,581.349976
2015-11-20,583.950012,587.380005,576.590027,579.570007,745700,579.570007
2015-11-23,575.98999,584.590027,567.059998,570.849976,856900,570.849976
2015-11-24,567.049988,569.929993,560.530029,567.469971,673900,567.469971
2015-11-25,567.960022,572.940002,560.0,561.690002,774100,561.690002
2015-11-27,564.080017,566.52002,559.25,563.099976,466600,563.099976
2015-11-30,563.98999,565.679993,540.26001,544.5,843100,544.5
2015-12-01,549.25,550.320007,536.299988,545.73999,651400,545.73999
2015-12-02,545.01001,555.880005,541.200012,546.880005,698800,546.880005
2015-12-03,547.590027,549.98999,534.130005,535.72998,748300,535.72998
2015-12-04,538.090027,559.299988,538.01001,558.659973,617000,558.659973
2015-12-07,559.659973,560.150024,544.559998,546.609985,491200,546.609985
2015-12-08,542.869995,558.0,540.0,556.330017,440500,556.330017
2015-12-09,553.76001,562.859985,543.0,547.390015,566000,547.390015
2015-12-10,547.23999,551.690002,542.549988,548.169983,552900,548.169983
2015-12-11,538.900024,547.5,532.5,534.51001,698500,534.51001
2015-12-14,537.140015,540.429993,527.049988,539.940002,630500,539.940002
2015-12-15,543.419983,557.150024,540.0,556.450012,779400,556.450012
2015-12-16,559.090027,563.789978,547.549988,559.669983,738400,559.669983
2015-12-17,560.0,563.030029,551.200012,551.48999,618900,551.48999
2015-12-18,548.340027,552.030029,542.150024,544.22998,1181200,544.22998
2015-12-21,545.950012,547.090027,528.280029,532.549988,859500,532.549988
2015-12-22,535.590027,539.609985,526.26001,528.340027,621800,528.340027
2015-12-23,531.059998,537.47998,528.409973,535.849976,415300,535.849976
2015-12-24,535.559998,539.849976,534.109985,537.630005,169400,537.630005
2015-12-28,536.450012,540.719971,531.580017,540.280029,351000,540.280029
2015-12-29,542.280029,553.75,541.76001,550.210022,519700,550.210022
2015-12-30,550.539978,551.880005,544.690002,548.190002,297400,548.190002
2015-12-31,542.619995,550.659973,542.619995,542.869995,308500,542.869995
2016-01-04,531.76001,532.909973,507.100006,516.549988,1023800,516.549988
2016-01-05,519.380005,521.780029,504.059998,508.980011,889300,508.980011
2016-01-06,499.0,524.669983,496.0,519.47998,886700,519.47998
2016-01-07,510.5,515.349976,501.910004,501.959991,925400,501.959991
2016-01-08,505.019989,511.309998,490.98999,491.679993,790700,491.679993
2016-01-11,495.049988,498.700012,469.799988,480.820007,862100,480.820007
2016-01-12,486.0,486.98999,452.670013,474.980011,1708100,474.980011
2016-01-13,474.850006,474.850006,451.390015,459.570007,1383100,459.570007
2016-01-14,461.850006,486.519989,453.160004,479.079987,1189100,479.079987
2016-01-15,464.589996,476.23999,456.0,462.950012,1345100,462.950012
2016-01-19,470.200012,474.440002,441.880005,447.019989,1217400,447.019989
2016-01-20,438.529999,468.820007,432.049988,461.950012,1229400,461.950012
2016-01-21,462.160004,469.980011,452.01001,461.570007,889900,461.570007
2016-01-22,469.429993,484.570007,464.230011,482.98999,820500,482.98999
2016-01-25,468.529999,482.269989,465.109985,473.119995,912000,473.119995
2016-01-26,474.399994,474.399994,456.25,463.559998,608200,463.559998
2016-01-27,460.630005,463.23999,431.51001,434.160004,1220300,434.160004
2016-01-28,436.0,436.700012,400.0,415.109985,2295700,415.109985
2016-01-29,415.220001,428.910004,405.059998,420.089996,1145300,420.089996
2016-02-01,417.190002,420.769989,408.420013,418.269989,997700,418.269989
2016-02-02,412.679993,415.630005,402.230011,409.890015,885000,409.890015
2016-02-03,413.049988,422.48999,392.350006,421.01001,1248400,421.01001
2016-02-04,417.170013,437.529999,408.119995,412.589996,1282000,412.589996
2016-02-05,416.100006,420.529999,393.070007,396.609985,1424000,396.609985
2016-02-08,380.700012,393.640015,376.609985,390.529999,1215400,390.529999
2016-02-09,357.0,388.0,350.26001,365.970001,2097800,365.970001
2016-02-10,370.019989,378.190002,363.0,367.480011,1208400,367.480011
2016-02-11,358.299988,375.980011,357.01001,367.23999,938800,367.23999
2016-02-12,371.359985,379.040009,365.130005,379.01001,724700,379.01001
2016-02-16,386.399994,393.950012,382.220001,391.76001,1088500,391.76001
2016-02-17,393.730011,398.75,385.0,397.26001,836200,397.26001
2016-02-18,395.649994,405.0,386.01001,387.299988,721600,387.299988
2016-02-19,386.450012,396.23999,380.019989,394.980011,604800,394.980011
2016-02-22,399.049988,405.709991,394.390015,395.790009,697300,395.790009
2016-02-23,392.0,399.690002,386.079987,386.829987,614400,386.829987
2016-02-24,383.690002,394.75,377.299988,393.630005,713700,393.630005
2016-02-25,396.359985,402.809998,390.48999,393.98999,670200,393.98999
2016-02-26,396.920013,398.600006,387.640015,394.230011,593300,394.230011
2016-02-29,396.23999,397.119995,383.059998,384.019989,794000,384.019989
2016-03-01,387.859985,410.209991,384.019989,410.209991,921000,410.209991
2016-03-02,410.0,419.0,405.26001,407.809998,781900,407.809998
2016-03-03,406.230011,409.440002,395.209991,401.940002,780400,401.940002
2016-03-04,404.549988,413.850006,395.950012,403.820007,790600,403.820007
2016-03-07,401.790009,411.23999,399.609985,408.279999,629200,408.279999
2016-03-08,405.399994,408.290009,392.660004,394.809998,706100,394.809998
2016-03-09,388.529999,389.609985,373.799988,374.75,1591000,374.75
2016-03-10,376.880005,380.589996,373.630005,377.559998,1172900,377.559998
2016-03-11,382.670013,383.579987,375.529999,377.119995,826600,377.119995
2016-03-14,378.549988,379.100006,370.649994,373.269989,1077700,373.269989
2016-03-15,369.959991,372.279999,359.170013,367.220001,1037400,367.220001
2016-03-16,367.0,381.0,360.0,368.459991,1093600,368.459991
2016-03-17,366.309998,369.5,348.959991,365.470001,1496700,365.470001
2016-03-18,367.640015,370.410004,356.75,364.51001,1581000,364.51001
2016-03-21,363.859985,375.920013,360.529999,371.040009,771800,371.040009
2016-03-22,367.910004,380.820007,367.25,378.309998,723100,378.309998
2016-03-23,378.850006,384.309998,365.140015,365.380005,690200,365.380005
2016-03-24,363.459991,375.380005,360.380005,370.799988,1046000,370.799988
2016-03-28,372.980011,374.920013,363.320007,363.850006,474800,363.850006
2016-03-29,363.890015,369.640015,357.339996,367.369995,591600,367.369995
2016-03-30,369.720001,373.98999,359.149994,359.679993,699300,359.679993
2016-03-31,361.019989,364.839996,358.630005,360.440002,929000,360.440002
2016-04-01,373.98999,411.980011,360.809998,405.25,3182300,405.25
2016-04-04,403.690002,411.329987,399.059998,405.299988,1205200,405.299988
2016-04-05,401.850006,411.850006,399.290009,403.649994,1025800,403.649994
2016-04-06,404.209991,428.049988,404.209991,427.200012,1474500,427.200012
2016-04-07,425.0,433.929993,417.019989,418.480011,1231400,418.480011
2016-04-08,420.899994,424.0,401.700012,404.940002,1220200,404.940002
2016-04-11,407.369995,407.369995,392.920013,396.140015,1083700,396.140015
2016-04-12,396.329987,410.48999,394.200012,408.070007,1047300,408.070007
2016-04-13,411.23999,415.0,406.0,410.519989,606100,410.519989
2016-04-14,412.160004,414.589996,401.809998,406.829987,452200,406.829987
2016-04-15,408.859985,409.769989,400.890015,406.730011,469500,406.730011
2016-04-18,407.380005,423.950012,405.589996,422.380005,952000,422.380005
2016-04-19,421.380005,422.369995,411.399994,413.779999,686700,413.779999
2016-04-20,406.209991,406.899994,396.0,399.75,979000,399.75
2016-04-21,400.690002,411.829987,398.0,409.570007,735500,409.570007
2016-04-22,406.609985,411.579987,394.5,404.380005,846300,404.380005
2016-04-25,408.209991,408.940002,403.26001,406.920013,376400,406.920013
2016-04-26,406.769989,411.410004,404.329987,406.660004,430200,406.660004
2016-04-27,406.910004,406.910004,386.359985,390.279999,975000,390.279999
2016-04-28,387.109985,401.779999,385.0,391.299988,923800,391.299988
2016-04-29,388.630005,393.0,373.140015,376.709991,889000,376.709991
2016-05-02,377.950012,385.0,369.070007,384.519989,729500,384.519989
2016-05-03,379.619995,381.730011,370.769989,371.320007,727000,371.320007
2016-05-04,370.059998,371.089996,360.25,360.640015,1007500,360.640015
2016-05-05,377.130005,381.609985,369.109985,377.730011,1500300,377.730011
2016-05-06,376.359985,377.429993,365.929993,369.950012,884800,369.950012
2016-05-09,370.200012,381.320007,370.200012,375.470001,946100,375.470001
2016-05-10,377.959991,387.089996,374.380005,385.869995,741400,385.869995
2016-05-11,385.059998,386.290009,371.459991,371.859985,702400,371.859985
2016-05-12,373.049988,375.0,362.390015,365.640015,883400,365.640015
2016-05-13,364.559998,371.670013,361.640015,369.459991,1157600,369.459991
2016-05-16,380.0,394.470001,378.660004,391.950012,1301000,391.950012
2016-05-17,392.98999,393.5,382.779999,386.380005,1355600,386.380005
2016-05-18,386.040009,391.48999,384.299988,390.279999,1172000,390.279999
2016-05-19,387.119995,394.01001,379.329987,383.299988,1254200,383.299988
2016-05-20,383.369995,388.0,382.049988,386.0,795000,386.0
2016-05-23,386.459991,396.98999,384.309998,392.640015,1084900,392.640015
2016-05-24,397.230011,402.480011,393.309998,397.700012,1109100,397.700012
2016-05-25,399.950012,400.98999,392.910004,394.48999,959800,394.48999
2016-05-26,393.48999,394.899994,388.079987,393.540009,731800,393.540009
2016-05-27,398.48999,398.48999,389.619995,396.220001,547900,396.220001
2016-05-31,398.359985,400.470001,395.0,398.929993,1007300,398.929993
2016-06-01,398.75,408.350006,395.140015,404.309998,875100,404.309998
2016-06-02,405.350006,407.570007,400.309998,407.130005,714100,407.130005
2016-06-03,405.829987,407.0,393.209991,400.75,1149400,400.75
