Date,Open_HD,High_HD,Low_HD,Close_HD,Volume_HD,AdjClose_HD
2016-03-22,130.610001,131.220001,129.919998,130.589996,3946500,129.917253
2016-03-23,130.589996,131.179993,129.949997,130.220001,3625300,129.549164
2016-03-24,129.539993,130.759995,129.460007,130.460007,3448700,129.787933
2016-03-28,130.600006,131.809998,130.490005,131.080002,2621100,130.404734
2016-03-29,131.0,132.899994,130.710007,132.470001,3405400,131.787573
2016-03-30,133.110001,133.929993,132.839996,133.419998,3138300,132.732676
2016-03-31,133.559998,134.289993,133.0,133.429993,3685900,132.742619
2016-04-01,133.100006,135.199997,133.100006,134.850006,4259400,134.155317
2016-04-04,136.070007,136.229996,134.350006,134.850006,3547600,134.155317
2016-04-05,134.199997,135.699997,133.899994,134.580002,4068600,133.886704
2016-04-06,134.25,135.740005,133.820007,135.440002,3364800,134.742274
2016-04-07,134.729996,135.240005,133.119995,133.869995,3953700,133.180354
2016-04-08,134.619995,134.619995,133.059998,133.619995,2924400,132.931642
2016-04-11,133.580002,135.080002,132.960007,133.009995,3472700,132.324784
2016-04-12,133.300003,134.720001,133.110001,134.380005,4251400,133.687737
2016-04-13,134.860001,134.860001,133.220001,133.839996,4324800,133.15051
2016-04-14,133.5,134.710007,132.880005,134.369995,4183300,133.677779
2016-04-15,134.410004,135.279999,133.970001,135.009995,3508900,134.314481
2016-04-18,134.809998,136.800003,134.740005,136.800003,3964300,136.095268
2016-04-19,136.800003,137.0,134.850006,135.440002,4649500,134.742274
2016-04-20,135.75,136.080002,134.479996,135.190002,4760200,134.493562
2016-04-21,135.229996,135.490005,134.389999,134.600006,3542200,133.906605
2016-04-22,134.850006,135.679993,133.410004,135.660004,4180900,134.961142
2016-04-25,135.179993,135.729996,134.279999,135.649994,2835400,134.951183
2016-04-26,135.089996,136.240005,134.880005,135.339996,3507200,134.642783
2016-04-27,135.369995,136.279999,134.759995,135.75,3488100,135.050674
2016-04-28,134.809998,135.440002,132.490005,132.729996,5553600,132.046228
2016-04-29,132.710007,134.300003,131.75,133.889999,4610100,133.200256
2016-05-02,134.369995,136.25,134.309998,136.050003,4284400,135.349132
2016-05-03,135.449997,135.839996,134.039993,134.539993,3408700,133.846901
2016-05-04,133.589996,135.399994,133.130005,135.160004,3192100,134.463717
2016-05-05,134.869995,135.369995,133.75,134.669998,3474900,133.976236
2016-05-06,134.479996,135.809998,134.309998,135.699997,3356800,135.000929
2016-05-09,135.589996,136.470001,135.240005,136.240005,3552300,135.538156
2016-05-10,136.320007,137.820007,136.300003,137.509995,3662800,136.801602
2016-05-11,136.800003,137.050003,134.039993,134.300003,6058400,133.608147
2016-05-12,135.0,135.0,133.100006,134.190002,5355600,133.498713
2016-05-13,133.809998,135.330002,133.029999,133.130005,5295800,132.444176
2016-05-16,133.839996,136.550003,133.080002,135.339996,8394800,134.642783
2016-05-17,133.149994,134.490005,131.100006,132.0,15989600,131.319993
2016-05-18,131.029999,132.770004,130.020004,131.770004,8258900,131.091182
2016-05-19,131.449997,132.130005,130.779999,131.729996,4577200,131.051379
2016-05-20,131.889999,133.059998,131.75,131.850006,5089800,131.170772
2016-05-23,131.839996,132.479996,131.300003,131.419998,3854500,130.742979
2016-05-24,132.179993,133.869995,132.050003,133.360001,5181500,132.672987
2016-05-25,133.460007,134.520004,133.050003,133.199997,5017500,132.513808
2016-05-26,133.130005,134.360001,132.860001,134.050003,3996800,133.359435
2016-05-27,134.070007,134.899994,133.380005,133.940002,4025300,133.250001
2016-05-31,133.570007,133.800003,131.720001,132.119995,6366900,132.119995
2016-06-01,132.119995,132.119995,131.149994,131.830002,4744300,131.830002
2016-06-02,131.850006,132.699997,131.330002,132.410004,3858500,132.410004
2016-06-03,132.529999,132.729996,130.919998,131.740005,4149600,131.740005
