Date,Open_AGN,High_AGN,Low_AGN,Close_AGN,Volume_AGN,AdjClose_AGN
2015-12-03,317.329987,317.920013,310.76001,312.950012,3155200,312.950012
2015-12-04,313.839996,317.230011,312.829987,316.5,2534800,316.5
2015-12-07,316.190002,317.429993,311.209991,316.51001,1983700,316.51001
2015-12-08,311.98999,314.950012,310.230011,310.470001,2733400,310.470001
2015-12-09,309.26001,313.899994,305.720001,306.410004,3756800,306.410004
2015-12-10,306.540009,310.450012,305.700012,305.700012,3740700,305.700012
2015-12-11,305.700012,305.700012,300.0,302.070007,3736100,302.070007
2015-12-14,302.070007,303.720001,299.619995,303.019989,2871400,303.019989
2015-12-15,305.130005,310.0,304.619995,304.660004,5044600,304.660004
2015-12-16,306.429993,309.859985,304.019989,309.070007,3883000,309.070007
2015-12-17,309.029999,313.290009,307.829987,309.51001,3910100,309.51001
2015-12-18,308.809998,311.640015,305.799988,306.579987,4288200,306.579987
2015-12-21,308.73999,310.619995,306.410004,309.920013,2100700,309.920013
2015-12-22,310.929993,311.720001,308.709991,310.589996,2067100,310.589996
2015-12-23,311.76001,313.459991,310.410004,310.570007,1447100,310.570007
2015-12-24,310.0,312.410004,309.660004,311.230011,713300,311.230011
2015-12-28,310.890015,311.160004,308.700012,308.880005,1540700,308.880005
2015-12-29,310.380005,315.179993,309.589996,314.48999,1577400,314.48999
2015-12-30,313.359985,317.480011,312.570007,315.059998,1608800,315.059998
2015-12-31,313.26001,315.059998,312.0,312.5,1599900,312.5
2016-01-04,306.5,309.980011,305.100006,307.470001,3479800,307.470001
2016-01-05,307.890015,310.829987,306.890015,308.730011,2187100,308.730011
2016-01-06,304.829987,307.410004,302.019989,303.450012,3025600,303.450012
2016-01-07,299.839996,306.059998,299.059998,303.149994,3019800,303.149994
2016-01-08,304.190002,305.940002,298.440002,299.459991,2494600,299.459991
2016-01-11,300.220001,300.5,293.700012,299.369995,2834800,299.369995
2016-01-12,301.359985,302.369995,293.470001,296.029999,2466100,296.029999
2016-01-13,297.640015,299.529999,282.649994,287.329987,3673600,287.329987
2016-01-14,286.640015,300.570007,286.01001,299.119995,3156000,299.119995
2016-01-15,290.73999,296.109985,289.070007,295.23999,3492800,295.23999
2016-01-19,297.299988,300.779999,288.850006,291.790009,2893200,291.790009
2016-01-20,286.390015,298.769989,283.01001,292.940002,3017500,292.940002
2016-01-21,294.570007,301.410004,292.029999,295.790009,2397600,295.790009
2016-01-22,300.950012,301.980011,295.320007,298.040009,2089600,298.040009
2016-01-25,297.869995,298.970001,293.019989,295.950012,2159100,295.950012
2016-01-26,296.190002,297.369995,292.660004,294.600006,1852100,294.600006
2016-01-27,293.75,295.980011,288.290009,290.019989,2013400,290.019989
