Date,Open_HCN,High_HCN,Low_HCN,Close_HCN,Volume_HCN,AdjClose_HCN
2014-11-03,71.309998,71.370003,70.739998,71.300003,2733000,65.609603
2014-11-04,71.059998,72.239998,70.830002,72.230003,2422500,66.465381
2014-11-05,72.220001,72.449997,71.160004,71.57,2134800,65.858052
2014-11-06,70.779999,71.220001,70.129997,70.160004,3174100,65.28578
2014-11-07,70.370003,71.139999,69.980003,70.620003,2663700,65.713822
2014-11-10,70.599998,71.300003,70.489998,71.139999,2318000,66.197692
2014-11-11,71.120003,71.239998,70.330002,70.839996,1211600,65.918531
2014-11-12,70.949997,71.07,70.339996,70.720001,1237300,65.806873
2014-11-13,70.879997,71.43,70.720001,71.25,1126600,66.300051
2014-11-14,70.910004,71.5,70.779999,71.169998,1622200,66.225607
2014-11-17,71.410004,72.220001,71.309998,72.169998,1645800,67.156134
2014-11-18,72.120003,72.809998,71.769997,72.43,1948900,67.398073
2014-11-19,72.190002,72.370003,71.489998,71.559998,1905600,66.588512
2014-11-20,71.690002,71.760002,70.940002,71.68,2168500,66.700178
2014-11-21,72.300003,72.739998,71.860001,72.720001,1830100,67.667927
2014-11-24,72.889999,73.07,72.18,72.290001,1278800,67.2678
2014-11-25,72.510002,72.940002,72.220001,72.43,3173100,67.398073
2014-11-26,72.589996,73.110001,72.449997,72.970001,1610200,67.900559
2014-11-28,73.190002,74.379997,72.949997,73.660004,1243500,68.542625
2014-12-01,73.529999,75.0,73.43,74.510002,2039200,69.333571
2014-12-02,74.300003,74.830002,73.760002,74.769997,1612900,69.575503
2014-12-03,75.120003,75.43,74.370003,74.879997,1612300,69.677862
2014-12-04,75.029999,75.389999,74.529999,75.239998,1687600,70.012852
2014-12-05,74.760002,74.760002,73.220001,73.989998,2034100,68.849693
2014-12-08,73.959999,75.309998,73.959999,74.769997,2228800,69.575503
2014-12-09,74.459999,76.080002,74.459999,75.550003,1934400,70.30132
2014-12-10,75.519997,76.400002,75.360001,76.110001,2721600,70.822413
2014-12-11,76.400002,76.879997,76.080002,76.370003,1861300,71.064352
2014-12-12,76.220001,77.110001,76.220001,76.260002,2237400,70.961993
2014-12-15,76.279999,76.620003,74.93,75.139999,2421900,69.919801
2014-12-16,75.18,75.489998,74.419998,74.480003,2198000,69.305656
2014-12-17,74.790001,76.800003,74.769997,76.349998,2862600,71.045737
2014-12-18,76.769997,77.080002,75.18,76.260002,3551400,70.961993
2014-12-19,76.150002,76.779999,75.650002,76.5,4002000,71.185318
2014-12-22,76.739998,78.110001,76.5,77.980003,2208900,72.562501
2014-12-23,78.019997,78.169998,76.529999,76.68,1811200,71.352813
2014-12-24,76.699997,77.279999,76.059998,76.099998,930700,70.813106
2014-12-26,76.419998,77.0,76.290001,76.790001,1025300,71.455172
2014-12-29,76.720001,77.230003,76.330002,76.620003,2063800,71.296984
2014-12-30,76.75,77.540001,76.5,76.720001,1727800,71.390035
2014-12-31,77.190002,77.639999,75.559998,75.669998,1687800,70.412979
2015-01-02,76.050003,77.199997,75.989998,76.949997,1794700,71.604052
2015-01-05,76.709999,78.099998,76.43,77.900002,2066500,72.488057
2015-01-06,77.68,79.410004,75.309998,79.010002,2897700,73.520943
2015-01-07,79.010002,80.050003,78.610001,79.739998,2736500,74.200223
2015-01-08,80.089996,80.199997,78.540001,79.410004,2459700,73.893155
2015-01-09,79.279999,80.050003,78.440002,79.489998,1845600,73.967592
2015-01-12,79.760002,80.830002,79.690002,80.690002,1644900,75.084228
2015-01-13,80.639999,81.330002,80.389999,80.870003,1908400,75.251724
2015-01-14,80.610001,81.940002,80.459999,81.900002,2302200,76.210165
2015-01-15,81.900002,83.25,81.360001,83.169998,3080900,77.391931
2015-01-16,83.279999,84.419998,82.889999,84.309998,3164300,78.452732
2015-01-20,84.400002,84.879997,83.0,83.370003,3071000,77.578041
2015-01-21,83.209999,83.349998,81.730003,82.43,2858500,76.703343
2015-01-22,82.559998,83.279999,82.440002,82.989998,3341800,77.224436
2015-01-23,83.139999,83.5,82.720001,83.230003,2160800,77.447768
2015-01-26,83.019997,83.230003,81.93,83.080002,2038200,77.308187
2015-01-27,82.919998,83.669998,82.720001,83.019997,1579300,77.252351
2015-01-28,83.089996,83.910004,83.029999,83.040001,2317800,77.270966
2015-01-29,82.980003,83.760002,82.709999,83.739998,2367800,77.922332
2015-01-30,83.540001,83.629997,81.910004,81.949997,2640400,76.256687
2015-02-02,81.82,82.050003,80.199997,81.949997,2614600,76.256687
2015-02-03,82.0,82.0,80.349998,81.760002,2884600,76.079892
2015-02-04,81.5,81.5,80.330002,80.720001,2596900,75.112143
2015-02-05,81.220001,81.699997,80.400002,81.629997,1882800,75.958919
2015-02-06,81.099998,81.099998,76.970001,77.25,3827400,72.617122
2015-02-09,77.18,77.779999,76.959999,77.07,1885100,72.447917
2015-02-10,77.07,77.709999,76.510002,77.5,2144700,72.852129
2015-02-11,77.68,78.239998,76.389999,77.239998,2511400,72.60772
2015-02-12,77.339996,77.800003,76.849998,77.449997,1613900,72.805125
2015-02-13,77.260002,77.529999,76.519997,77.120003,1267400,72.494921
2015-02-17,76.779999,77.949997,76.629997,76.970001,1711400,72.353916
2015-02-18,77.169998,78.169998,76.239998,78.110001,2259600,73.425547
2015-02-19,77.790001,77.790001,76.059998,76.220001,2004700,71.648895
2015-02-20,76.660004,78.449997,76.349998,78.050003,4007900,73.369147
2015-02-23,78.040001,78.730003,77.57,78.690002,2953600,73.970764
2015-02-24,76.300003,77.529999,76.050003,76.5,16363900,71.912102
2015-02-25,76.900002,78.339996,76.830002,77.629997,4391200,72.97433
2015-02-26,77.75,77.870003,75.959999,76.07,2865000,71.50789
2015-02-27,76.339996,77.120003,75.650002,77.110001,2660100,72.485519
2015-03-02,77.440002,78.43,77.230003,77.379997,2900200,72.739323
2015-03-03,77.690002,77.809998,76.800003,77.57,1964600,72.917931
2015-03-04,77.510002,78.190002,76.529999,76.720001,2064200,72.118909
2015-03-05,77.019997,77.75,76.660004,76.68,2015100,72.081307
2015-03-06,75.610001,75.610001,73.199997,73.620003,4831300,69.204825
2015-03-09,73.919998,74.599998,73.669998,74.389999,2934800,69.928643
2015-03-10,74.209999,75.449997,74.129997,74.93,3302400,70.436259
2015-03-11,74.809998,75.139999,73.860001,74.230003,1924400,69.778243
2015-03-12,74.589996,75.400002,74.589996,75.300003,2030400,70.784072
2015-03-13,75.360001,75.739998,74.610001,75.019997,1415000,70.520858
2015-03-16,75.260002,76.220001,75.029999,75.199997,2653200,70.690063
2015-03-17,75.199997,75.639999,74.580002,74.660004,2510100,70.182455
2015-03-18,74.669998,77.290001,74.300003,76.970001,3301700,72.353916
2015-03-19,77.050003,77.639999,76.610001,76.779999,2538100,72.175308
2015-03-20,76.550003,79.129997,76.550003,79.129997,6907600,74.384372
2015-03-23,78.93,80.349998,78.760002,79.400002,2300200,74.638183
2015-03-24,79.190002,79.650002,78.790001,79.089996,2463500,74.34677
2015-03-25,79.190002,79.599998,77.779999,77.93,1874600,73.256341
2015-03-26,77.459999,78.0,77.169998,77.400002,1946100,72.758128
2015-03-27,77.589996,78.260002,77.269997,77.779999,1798500,73.115336
2015-03-30,78.029999,78.769997,77.589996,78.709999,1665400,73.989562
2015-03-31,78.43,78.650002,77.300003,77.360001,3228200,72.720526
2015-04-01,77.459999,77.459999,76.779999,77.199997,2044200,72.570118
