Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2013-10-25,90.360004,91.19999,90.000003,91.109991,630600,76.578735
2013-10-28,91.089987,91.140002,89.639993,90.450002,689300,76.024008
2013-10-29,90.450002,90.450002,89.299997,90.210001,577000,75.822285
2013-10-30,90.039995,90.3,88.59999,89.190003,865600,74.964967
2013-10-31,89.279992,89.77999,88.359998,89.059996,946000,74.855696
2013-11-01,89.659998,90.239995,88.969998,89.970001,926700,75.620563
2013-11-04,90.000003,90.620009,89.430003,90.450002,1338200,76.024008
2013-11-05,90.05999,91.580003,89.85,90.529994,1250800,76.091242
2013-11-06,90.800005,91.909994,90.379991,90.639996,701800,76.1837
2013-11-07,90.010001,90.5,88.380002,88.589992,882800,75.065218
2013-11-08,87.730002,88.47,86.2,88.079997,697500,74.633082
2013-11-11,88.219993,88.809997,87.750007,88.319998,434800,74.836443
2013-11-12,87.969995,88.140001,86.730008,87.879996,692300,74.463615
2013-11-13,87.690002,88.759999,87.029996,88.670001,852600,75.133012
2013-11-14,89.12999,90.389998,88.92,89.439993,593000,75.785452
2013-11-15,89.269986,90.189997,89.220005,90.029997,751200,76.285381
2013-11-18,89.85,90.719997,89.439993,89.769992,934900,76.065071
2013-11-19,90.079995,90.34,88.899995,89.190003,743100,75.573627
2013-11-20,89.180005,90.089993,87.900001,88.449996,733400,74.946595
2013-11-21,88.27,89.949996,88.27,89.760002,783100,76.056606
2013-11-22,89.689991,89.970001,89.190003,89.939998,675500,76.209123
2013-11-25,89.85,90.149997,88.930006,89.029994,683700,75.438046
2013-11-26,89.099996,89.65,88.290004,88.330004,974200,74.844922
2013-11-27,88.589992,89.28999,88.43,89.16,557900,75.548205
2013-11-29,89.28999,90.679997,87.760005,87.930003,403100,74.505987
2013-12-02,87.750007,88.759999,86.860006,87.919997,645500,74.497509
2013-12-03,88.109991,89.489991,87.940001,88.980004,1124900,75.395688
2013-12-04,88.479998,89.899998,88.169995,89.679993,1015900,75.988812
2013-12-05,89.149994,89.899998,88.27,89.639993,967400,75.954919
2013-12-06,90.120003,90.760005,89.360001,90.749999,834500,76.895463
2013-12-09,91.000006,91.109991,90.000003,90.490002,1087300,76.675159
2013-12-10,90.34,90.979993,90.079995,90.510007,1056300,76.69211
2013-12-11,90.5,90.5,87.609994,87.859992,839500,74.446665
2013-12-12,87.900001,88.300002,86.829995,87.290001,1723300,73.963693
2013-12-13,87.419991,88.540003,86.970008,88.069999,827000,74.624611
2013-12-16,88.160006,88.219993,87.299999,87.769994,828400,74.370407
2013-12-17,87.58,88.39,87.209992,88.019993,822900,74.582239
2013-12-18,88.259993,90.110005,87.150005,89.899998,1464500,76.17523
2013-12-19,89.489991,89.699998,88.319998,88.59999,1169400,75.07369
2013-12-20,88.479998,89.019987,88.23,88.839991,1191800,75.27705
2013-12-23,89.059996,89.85,88.769997,89.110002,1237900,75.50584
2013-12-24,89.439993,89.820007,88.830001,89.08999,343600,75.488882
2013-12-26,89.269986,89.639993,88.849997,89.209998,573200,75.59057
2013-12-27,89.560002,90.029997,88.47,89.899998,729500,76.17523
2013-12-30,89.769992,90.3,89.449999,89.749996,480500,76.048127
2013-12-31,89.749996,89.879994,88.550009,88.790001,1146700,75.234692
2014-01-02,89.16,89.28999,87.819992,88.63999,865400,75.107583
2014-01-03,88.63999,90.01999,88.279998,89.569999,710000,75.895611
2014-01-06,89.739998,89.879994,88.839991,89.239992,781600,75.615985
2014-01-07,89.239992,90.66999,89.149994,90.5,814900,76.683631
2014-01-08,90.110005,90.549998,89.269986,89.889992,694900,76.166751
2014-01-09,89.970001,90.5,88.629992,90.450002,751100,76.641266
2014-01-10,90.800005,91.980005,90.650003,91.699995,1063800,77.700426
2014-01-13,91.219994,92.12999,90.610003,90.940002,773500,77.056458
2014-01-14,91.039998,91.800008,90.850003,91.519999,678500,77.547909
2014-01-15,91.430001,92.399993,91.430001,92.009998,697900,77.963102
2014-01-16,91.989994,92.73999,91.870002,92.57,536300,78.43761
2014-01-17,92.879995,92.899999,91.459995,91.780004,874300,77.76822
2014-01-21,92.190003,92.699998,91.68,92.280001,1078100,78.191884
2014-01-22,92.680003,93.850004,92.57,93.3,690600,79.056163
2014-01-23,91.809998,92.180005,91.390001,91.729998,699200,78.338786
2014-01-24,91.099994,91.479999,89.769992,90.239995,1014200,77.066302
2014-01-27,89.720002,91.069991,89.339997,90.289993,1276700,77.109001
2014-01-28,90.389998,91.669993,90.389998,91.349992,769300,78.014256
2014-01-29,90.379991,91.580003,89.899998,90.639996,1343000,77.407909
2014-01-30,91.430001,92.139988,91.209996,91.380003,1778700,78.039886
2014-01-31,90.850003,92.399993,90.419992,91.830002,1289800,78.424192
2014-02-03,91.92,92.159993,89.85,90.200003,1198700,77.032149
2014-02-04,90.490002,92.080001,90.189997,91.749993,946100,78.355863
2014-02-05,91.519999,91.830002,90.600005,91.15,1014000,77.84346
