Date,Open_OKE,High_OKE,Low_OKE,Close_OKE,Volume_OKE,AdjClose_OKE
2015-10-19,38.509998,38.599998,37.470001,38.330002,2298500,36.021063
2015-10-20,38.169998,38.77,37.849998,38.130001,1254500,35.83311
2015-10-21,38.040001,38.360001,37.200001,37.400002,1420800,35.147084
2015-10-22,37.400002,37.48,36.130001,36.68,2699700,34.470455
2015-10-23,36.689999,38.009998,35.720001,36.23,1876200,34.047562
2015-10-26,36.060001,36.189999,34.549999,34.599998,1993400,32.515749
2015-10-27,33.959999,33.990002,32.66,33.27,2868400,31.265868
2015-10-28,33.450001,34.02,32.98,33.639999,2666900,31.613579
2015-10-29,32.889999,33.709999,32.18,33.279999,1164900,31.857679
2015-10-30,33.43,34.200001,32.869999,33.919998,1643200,32.470327
2015-11-02,33.5,34.610001,33.439999,34.400002,1886000,32.929816
2015-11-03,34.419998,34.900002,33.759998,34.07,2316300,32.613917
2015-11-04,34.66,35.650002,32.900002,33.560001,2587100,32.125715
2015-11-05,33.32,33.5,30.790001,31.370001,3391200,30.029311
2015-11-06,31.07,31.629999,30.129999,31.6,2997200,30.249481
2015-11-09,31.6,31.93,30.530001,30.799999,2654100,29.48367
2015-11-10,30.75,31.01,30.309999,30.780001,1973400,29.464526
2015-11-11,30.780001,30.99,29.360001,29.5,2633100,28.23923
2015-11-12,29.370001,29.43,28.139999,28.219999,2299100,27.013934
2015-11-13,28.34,28.559999,27.440001,28.49,3573900,27.272395
2015-11-16,28.639999,29.74,28.41,29.719999,2715100,28.449827
2015-11-17,29.5,29.5,28.370001,28.459999,2128800,27.243677
2015-11-18,28.629999,29.870001,28.59,29.299999,2683400,28.047777
2015-11-19,29.16,29.34,28.639999,28.98,1633500,27.741453
2015-11-20,28.9,29.25,28.4,28.6,1762300,27.377695
2015-11-23,28.620001,29.48,28.42,29.09,1762100,27.846753
2015-11-24,29.139999,30.389999,29.110001,30.280001,2544800,28.985895
2015-11-25,29.93,30.629999,29.51,30.41,2389000,29.110338
2015-11-27,29.940001,30.43,29.41,29.459999,957600,28.200939
2015-11-30,29.629999,29.870001,29.16,29.48,2214900,28.220084
2015-12-01,29.41,29.889999,28.9,29.209999,2410100,27.961623
2015-12-02,28.809999,28.879999,26.92,26.99,3441400,25.836502
2015-12-03,27.209999,27.42,26.5,26.790001,2912200,25.645051
2015-12-04,26.65,26.9,24.6,24.799999,4683200,23.740098
2015-12-07,23.969999,23.969999,21.09,21.620001,6363900,20.696006
2015-12-08,21.110001,22.299999,20.91,21.459999,5883400,20.542842
2015-12-09,21.85,22.99,21.540001,22.200001,5529200,21.251218
2015-12-10,22.17,22.92,21.799999,22.299999,3150500,21.346943
2015-12-11,21.92,21.969999,20.01,20.309999,5705400,19.441992
2015-12-14,20.110001,20.610001,19.68,20.6,4529800,19.719598
2015-12-15,20.83,21.559999,20.790001,21.34,4721300,20.427972
2015-12-16,21.08,21.620001,20.559999,20.879999,3761600,19.987631
2015-12-17,20.809999,21.0,19.120001,19.860001,6815100,19.011225
2015-12-18,19.809999,20.129999,18.84,18.93,9886000,18.120971
2015-12-21,19.41,21.870001,19.34,21.85,10064100,20.916176
2015-12-22,21.77,23.66,21.48,23.120001,7306300,22.131899
2015-12-23,23.780001,24.969999,23.120001,24.290001,4638000,23.251896
2015-12-24,24.35,24.719999,23.879999,24.120001,2207600,23.089161
2015-12-28,24.0,24.190001,23.23,24.120001,3239100,23.089161
2015-12-29,24.5,24.879999,23.65,24.049999,3020000,23.022151
2015-12-30,23.940001,24.469999,23.35,23.440001,2354600,22.438223
2015-12-31,23.860001,24.790001,23.32,24.66,3905200,23.606082
2016-01-04,24.66,25.559999,24.48,25.35,4140600,24.266593
2016-01-05,25.309999,25.66,24.969999,25.370001,3638600,24.285739
2016-01-06,24.610001,24.629999,23.43,24.219999,5046500,23.184886
2016-01-07,23.75,24.129999,22.67,22.780001,3153600,21.80643
2016-01-08,23.0,23.65,22.389999,23.049999,4032000,22.064889
2016-01-11,23.709999,23.82,22.200001,22.610001,3377300,21.643695
2016-01-12,23.940001,23.940001,20.639999,21.85,5058800,20.916176
2016-01-13,22.049999,22.25,20.370001,20.969999,5252700,20.073784
2016-01-14,21.1,22.870001,20.73,22.780001,5665800,21.80643
2016-01-15,21.290001,22.200001,20.98,21.940001,4009800,21.00233
2016-01-19,22.23,22.42,20.23,20.790001,4104900,19.901479
2016-01-20,20.809999,21.129999,18.98,20.040001,6006400,19.183532
2016-01-21,20.16,23.08,20.02,22.620001,5255700,21.653268
2016-01-22,23.65,25.15,23.25,25.1,8188000,24.027278
2016-01-25,24.41,25.959999,23.610001,23.620001,4500000,22.61053
2016-01-26,24.26,24.790001,23.42,24.299999,3677400,23.261467
2016-01-27,24.27,24.5,22.91,23.129999,4562800,22.14147
2016-01-28,23.42,24.190001,23.18,23.91,4295900,23.513327
2016-01-29,24.110001,25.030001,23.84,24.91,3715300,24.496737
2016-02-01,24.110001,24.16,22.85,23.440001,3169700,23.051125
2016-02-02,22.73,23.58,22.440001,23.120001,2672900,22.736435
2016-02-03,23.74,24.75,22.65,24.639999,3213700,24.231216
2016-02-04,24.780001,25.99,24.629999,25.49,3751700,25.067115
2016-02-05,25.1,25.719999,24.540001,25.540001,4144500,25.116286
2016-02-08,24.299999,24.450001,21.790001,23.16,5770900,22.77577
2016-02-09,21.809999,22.139999,19.860001,20.629999,9079500,20.287743
2016-02-10,20.67,21.5,19.799999,20.91,3969100,20.563098
2016-02-11,20.1,20.77,18.879999,19.620001,5340700,19.2945
2016-02-12,20.27,20.450001,19.299999,20.18,3936700,19.845209
2016-02-16,20.48,21.15,20.26,21.030001,3656000,20.681108
2016-02-17,21.6,22.219999,20.690001,21.73,6085400,21.369494
2016-02-18,22.129999,22.200001,20.5,21.190001,3732500,20.838453
2016-02-19,20.700001,20.860001,20.110001,20.66,2798800,20.317246
2016-02-22,21.15,21.75,21.07,21.4,4101600,21.044969
2016-02-23,21.32,21.639999,20.549999,21.309999,4627200,20.956462
2016-02-24,20.700001,21.709999,19.940001,21.52,5525400,21.162979
2016-02-25,21.32,21.620001,20.5,21.370001,4214000,21.015467
2016-02-26,21.98,23.68,21.780001,23.01,5623500,22.628259
2016-02-29,23.110001,24.370001,22.83,24.0,4217200,23.601834
2016-03-01,24.23,24.5,23.34,24.200001,2681700,23.798517
2016-03-02,24.0,25.59,23.799999,25.57,3211700,25.145787
2016-03-03,25.33,26.9,25.32,26.6,4329400,26.1587
2016-03-04,26.950001,28.030001,25.610001,26.360001,4675600,25.922682
2016-03-07,26.370001,28.17,26.370001,27.629999,4148300,27.171611
2016-03-08,27.43,27.52,26.02,26.219999,4921200,25.785003
2016-03-09,26.719999,27.110001,25.719999,26.469999,3217800,26.030856
2016-03-10,26.25,27.67,26.02,27.43,3834400,26.97493
2016-03-11,27.780001,28.57,27.67,28.309999,3140100,27.84033
2016-03-14,27.85,28.43,27.52,28.18,2279500,27.712487
2016-03-15,27.6,27.74,26.790001,27.719999,1871900,27.260118
2016-03-16,27.940001,29.559999,27.9,29.51,2350000,29.020422
2016-03-17,29.700001,30.48,29.219999,30.219999,2555200,29.718642
2016-03-18,30.559999,30.99,29.690001,30.82,8541400,30.308689
2016-03-21,30.780001,30.82,29.32,29.690001,2889500,29.197436
2016-03-22,29.23,30.450001,29.049999,30.209999,2352800,29.708808
2016-03-23,29.790001,30.0,28.41,28.440001,2394600,27.968174
2016-03-24,27.91,28.73,27.469999,28.68,3202800,28.204192
