Date,Open_MKC,High_MKC,Low_MKC,Close_MKC,Volume_MKC,AdjClose_MKC
2015-11-02,84.349998,84.669998,82.889999,84.550003,768000,83.769837
2015-11-03,84.260002,85.010002,83.599998,84.970001,680300,84.18596
2015-11-04,85.059998,85.339996,84.650002,85.050003,531200,84.265223
2015-11-05,85.199997,86.209999,85.050003,85.860001,671400,85.067747
2015-11-06,85.449997,85.580002,83.300003,84.139999,739600,83.363616
2015-11-09,84.019997,84.040001,82.93,83.550003,497200,82.779064
2015-11-10,83.449997,84.040001,83.029999,83.790001,428200,83.016847
2015-11-11,84.099998,84.75,83.620003,84.230003,343800,83.45279
2015-11-12,83.889999,84.32,82.279999,82.349998,560500,81.590132
2015-11-13,82.239998,82.849998,81.610001,81.769997,474400,81.015482
2015-11-16,81.769997,83.330002,81.379997,83.300003,316500,82.531371
2015-11-17,83.379997,83.660004,82.349998,82.709999,505900,81.946811
2015-11-18,83.050003,84.860001,82.720001,84.690002,537800,83.908544
2015-11-19,84.93,85.57,84.150002,84.720001,485800,83.938266
2015-11-20,85.099998,85.589996,84.07,84.18,423700,83.403248
2015-11-23,84.379997,85.540001,84.339996,85.139999,345800,84.354389
2015-11-24,84.82,85.639999,84.779999,85.279999,684500,84.493097
2015-11-25,85.230003,86.0,84.900002,85.720001,362900,84.929039
2015-11-27,85.769997,86.050003,85.220001,86.029999,249400,85.236176
2015-11-30,86.480003,86.489998,85.730003,85.919998,1771300,85.127191
2015-12-01,85.650002,87.150002,85.650002,86.720001,1055700,85.919812
2015-12-02,86.290001,86.889999,85.389999,85.510002,647400,84.720978
2015-12-03,85.470001,86.150002,83.949997,84.540001,645000,83.759927
2015-12-04,84.830002,86.510002,84.82,86.459999,442700,85.662209
2015-12-07,86.440002,87.459999,86.230003,87.400002,715400,86.593538
2015-12-08,86.959999,86.959999,86.290001,86.540001,647000,85.741472
2015-12-09,86.209999,87.370003,85.720001,86.169998,492300,85.374884
2015-12-10,86.059998,86.129997,85.120003,85.18,652400,84.394021
2015-12-11,84.540001,84.860001,83.5,83.849998,724600,83.076291
2015-12-14,84.029999,84.650002,83.57,84.589996,772200,83.809461
2015-12-15,85.080002,85.610001,84.089996,84.739998,706500,83.958079
