Date,Open_RHI,High_RHI,Low_RHI,Close_RHI,Volume_RHI,AdjClose_RHI
2015-11-03,53.650002,53.900002,52.990002,53.32,909400,52.520343
2015-11-04,53.419998,53.580002,52.490002,52.740002,862500,51.949044
2015-11-05,52.73,52.73,51.970001,52.209999,1075800,51.42699
2015-11-06,51.810001,53.16,51.650002,52.799999,1200400,52.008142
2015-11-09,52.650002,52.740002,51.830002,52.599998,754700,51.81114
2015-11-10,52.349998,52.799999,51.709999,52.200001,707800,51.417142
2015-11-11,52.400002,52.799999,52.07,52.369999,742600,51.58459
2015-11-12,52.07,52.580002,51.310001,51.34,715400,50.570039
2015-11-13,51.220001,51.380001,50.59,50.82,1141000,50.057837
2015-11-16,50.549999,51.049999,50.360001,51.040001,1095500,50.274539
2015-11-17,51.130001,51.450001,50.02,50.540001,1325300,49.782037
2015-11-18,50.619999,51.049999,50.330002,51.009998,749800,50.244986
2015-11-19,51.060001,51.259998,50.48,50.720001,765800,49.959338
2015-11-20,50.959999,51.259998,50.860001,51.099998,638700,50.333636
2015-11-23,50.799999,51.349998,50.709999,50.900002,577000,50.33364
2015-11-24,50.5,51.02,50.169998,50.880001,1054900,50.313863
2015-11-25,51.040001,51.279999,50.91,51.049999,551600,50.481969
2015-11-27,51.040001,51.189999,50.75,51.119999,210000,50.55119
2015-11-30,51.290001,51.470001,51.009998,51.18,848600,50.610524
2015-12-01,51.490002,52.16,51.18,52.029999,867200,51.451064
2015-12-02,52.029999,52.220001,51.27,51.330002,753900,50.758856
2015-12-03,51.43,51.529999,49.599998,49.720001,1601900,49.16677
2015-12-04,50.0,50.73,49.66,50.310001,1281100,49.750205
2015-12-07,50.189999,50.32,49.799999,50.110001,854300,49.55243
2015-12-08,49.639999,50.189999,49.52,49.759998,532500,49.206322
2015-12-09,48.389999,48.889999,47.310001,47.759998,1907800,47.228576
2015-12-10,47.68,48.349998,47.490002,47.529999,1896100,47.001136
2015-12-11,47.040001,47.23,46.5,46.549999,2310700,46.03204
2015-12-14,46.549999,46.900002,45.669998,45.990002,2167000,45.478274
2015-12-15,46.360001,46.77,46.110001,46.529999,1673300,46.012262
2015-12-16,46.869999,47.200001,46.139999,46.709999,1446600,46.19026
2015-12-17,46.790001,46.810001,45.650002,45.810001,1643600,45.300276
2015-12-18,45.470001,45.619999,44.950001,44.950001,2509100,44.449845
2015-12-21,45.0,45.669998,44.959999,45.509998,1077900,45.003612
2015-12-22,45.580002,46.119999,45.360001,46.060001,1064900,45.547495
2015-12-23,46.41,46.93,46.16,46.889999,883600,46.368257
2015-12-24,46.82,47.52,46.650002,47.150002,747900,46.625367
2015-12-28,47.029999,47.470001,46.860001,47.380001,735900,46.852807
2015-12-29,47.650002,48.110001,47.5,47.880001,745300,47.347243
2015-12-30,47.91,48.07,47.52,47.52,699500,46.991248
2015-12-31,47.41,47.84,47.119999,47.139999,655200,46.615476
2016-01-04,46.400002,46.41,45.68,46.139999,959400,45.626603
2016-01-05,46.139999,46.400002,45.93,46.290001,956300,45.774935
2016-01-06,45.700001,45.950001,44.82,45.060001,783400,44.558622
2016-01-07,44.349998,45.279999,43.77,44.900002,1914800,44.400402
2016-01-08,45.150002,45.290001,43.700001,43.790001,1096700,43.302752
2016-01-11,44.029999,44.060001,42.959999,43.799999,1729100,43.312639
2016-01-12,44.150002,44.330002,43.310001,44.02,1060800,43.530193
2016-01-13,44.080002,44.349998,42.34,42.419998,1576500,41.947994
2016-01-14,42.66,43.349998,41.91,43.02,841700,42.54132
2016-01-15,41.990002,42.509998,41.549999,42.459999,1196900,41.987549
2016-01-19,42.98,43.139999,42.189999,42.650002,928000,42.175438
2016-01-20,41.720001,42.720001,40.799999,42.200001,1291700,41.730444
2016-01-21,42.349998,42.459999,41.610001,41.790001,1538500,41.325006
2016-01-22,42.57,43.509998,42.299999,43.459999,1722300,42.976422
2016-01-25,43.380001,43.380001,42.650002,42.849998,727600,42.373209
2016-01-26,42.919998,43.799999,42.860001,43.77,586700,43.282974
2016-01-27,43.75,44.060001,42.889999,43.279999,973100,42.798425
2016-01-28,43.630001,43.630001,42.75,43.209999,1081900,42.729204
2016-01-29,43.349998,44.41,43.049999,43.77,3770400,43.282974
2016-02-01,43.43,43.75,43.110001,43.380001,2711900,42.897315
2016-02-02,42.689999,43.060001,41.759998,42.009998,2584500,41.542556
2016-02-03,42.009998,42.02,38.549999,39.240002,3313500,38.803381
2016-02-04,39.18,40.349998,38.93,39.259998,2531700,38.823155
2016-02-05,39.259998,40.0,39.07,39.68,1561700,39.238484
2016-02-08,39.139999,39.330002,38.220001,38.98,1849400,38.546272
2016-02-09,38.610001,39.509998,38.150002,38.220001,1619900,37.79473
2016-02-10,38.23,38.610001,37.689999,37.700001,1090600,37.280515
2016-02-11,36.860001,37.23,36.169998,36.650002,1531100,36.242199
2016-02-12,37.130001,37.380001,36.700001,37.34,1043200,36.92452
2016-02-16,37.860001,38.07,37.389999,38.07,1020100,37.646397
2016-02-17,38.16,38.34,37.810001,37.959999,1157600,37.537621
2016-02-18,38.130001,38.91,38.029999,38.380001,1486700,37.952949
2016-02-19,38.349998,38.610001,38.029999,38.369999,1147000,37.943058
2016-02-22,38.759998,39.330002,38.759998,39.18,981300,38.744047
2016-02-23,38.93,39.310001,38.59,38.959999,955700,38.744046
2016-02-24,38.619999,39.299999,38.369999,39.279999,2297800,39.062272
2016-02-25,39.380001,39.549999,39.029999,39.389999,2025100,39.171663
2016-02-26,39.619999,39.75,39.360001,39.580002,991600,39.360612
2016-02-29,39.509998,39.790001,39.110001,39.389999,1563000,39.171663
2016-03-01,39.639999,41.080002,39.52,41.0,1733100,40.77274
2016-03-02,40.779999,40.98,40.369999,40.619999,913600,40.394845
2016-03-03,40.66,41.73,40.400002,41.700001,1134400,41.46886
2016-03-04,41.700001,42.099998,41.490002,41.889999,1182900,41.657806
2016-03-07,41.630001,41.98,41.470001,41.75,1542800,41.518583
2016-03-08,41.57,41.689999,40.880001,41.060001,899800,40.832408
2016-03-09,41.16,41.900002,41.080002,41.52,1219800,41.289858
2016-03-10,41.869999,41.900002,41.009998,41.439999,1367800,41.210299
2016-03-11,41.860001,42.779999,41.509998,42.619999,1231400,42.383759
2016-03-14,42.389999,42.549999,42.0,42.27,742900,42.035701
2016-03-15,41.919998,42.240002,41.599998,42.169998,650700,41.936253
2016-03-16,41.919998,42.77,41.91,42.68,688200,42.443428
2016-03-17,42.639999,43.279999,42.360001,43.18,1451200,42.940656
2016-03-18,43.349998,44.029999,43.169998,43.32,1139800,43.07988
2016-03-21,43.25,43.98,43.130001,43.68,1013700,43.437885
2016-03-22,43.23,44.029999,42.98,43.950001,1152400,43.706389
2016-03-23,44.009998,44.040001,43.330002,43.630001,1066900,43.388163
2016-03-24,43.490002,44.23,43.0,44.23,1383100,43.984836
