Date,Open_VIAB,High_VIAB,Low_VIAB,Close_VIAB,Volume_VIAB,AdjClose_VIAB
2013-11-05,82.290001,84.230003,82.260002,84.150002,2752700,78.603882
2013-11-06,84.699997,85.5,82.550003,83.790001,2936600,78.267608
2013-11-07,84.160004,84.199997,80.830002,80.910004,3245800,75.577425
2013-11-08,81.050003,82.5,80.559998,82.290001,2575800,76.86647
2013-11-11,82.269997,82.769997,82.019997,82.360001,1334400,76.931856
2013-11-12,81.839996,82.330002,81.43,82.120003,2076600,76.707676
2013-11-13,79.199997,83.279999,79.199997,83.129997,2730500,77.651104
2013-11-14,82.0,83.489998,80.5,80.800003,7294900,75.474674
2013-11-15,81.199997,81.550003,79.980003,80.510002,5026500,75.203786
2013-11-18,80.650002,80.889999,79.25,79.540001,3927700,74.297715
2013-11-19,79.889999,80.169998,79.139999,79.629997,3314800,74.38178
2013-11-20,79.639999,80.209999,78.970001,80.120003,5411500,74.839491
2013-11-21,80.089996,80.660004,79.75,80.160004,2910200,74.876855
2013-11-22,80.050003,80.459999,79.510002,79.629997,7886900,74.38178
2013-11-25,80.120003,80.120003,79.389999,79.589996,3169100,74.344416
2013-11-26,79.739998,79.839996,78.830002,79.25,3794400,74.026828
2013-11-27,79.760002,80.080002,79.18,79.849998,2773500,74.587282
2013-11-29,80.050003,80.860001,79.739998,80.169998,1432000,74.886191
2013-12-02,81.0,81.580002,80.220001,80.82,3317900,75.493352
2013-12-03,80.580002,81.480003,80.459999,81.199997,3440800,75.848305
2013-12-04,80.790001,81.849998,80.360001,81.529999,2963100,76.156557
2013-12-05,81.389999,82.25,81.32,81.620003,2208100,76.240629
2013-12-06,82.589996,82.739998,81.419998,82.199997,2380300,76.782398
2013-12-09,82.540001,82.849998,81.300003,82.169998,2715100,76.754376
2013-12-10,81.900002,83.040001,81.860001,82.610001,2859800,77.165379
2013-12-11,82.300003,82.849998,80.779999,81.029999,2593100,75.965382
2013-12-12,80.809998,81.220001,80.489998,80.720001,1777000,75.674761
2013-12-13,81.190002,81.639999,80.870003,81.199997,1914700,76.124755
2013-12-16,81.669998,82.190002,80.970001,82.040001,2718000,76.912256
2013-12-17,82.0,82.660004,81.290001,82.239998,2512500,77.099753
2013-12-18,82.290001,83.650002,80.879997,83.550003,3437500,78.327879
2013-12-19,83.57,84.739998,83.57,84.120003,3757300,78.862252
2013-12-20,84.059998,85.370003,84.059998,84.160004,7198300,78.899753
2013-12-23,84.699997,85.669998,84.260002,85.470001,2577300,80.127871
2013-12-24,85.610001,85.860001,85.339996,85.599998,1019000,80.249743
2013-12-26,85.790001,85.989998,85.57,85.839996,1685700,80.474741
2013-12-27,85.980003,86.160004,85.279999,86.050003,1276000,80.671621
2013-12-30,86.25,87.190002,85.910004,87.150002,2344100,81.702867
2013-12-31,87.269997,87.839996,86.989998,87.339996,1971500,81.880986
2014-01-02,87.449997,87.57,86.690002,86.949997,1613300,81.515363
2014-01-03,86.889999,87.190002,86.470001,86.599998,1554200,81.18724
2014-01-06,87.129997,87.160004,85.410004,85.730003,2331100,80.371623
2014-01-07,86.160004,86.620003,85.870003,86.330002,1806000,80.934119
2014-01-08,86.190002,86.93,85.709999,86.669998,2257400,81.252865
2014-01-09,87.07,87.07,85.699997,86.0,1422200,80.624744
2014-01-10,85.970001,86.300003,84.580002,85.400002,2186900,80.062247
2014-01-13,85.339996,86.199997,84.080002,84.419998,2575200,79.143497
2014-01-14,84.459999,84.910004,83.900002,84.629997,2246500,79.34037
2014-01-15,84.559998,85.050003,84.050003,84.959999,2933200,79.649746
2014-01-16,84.43,85.32,84.43,84.940002,1512700,79.630999
2014-01-17,84.269997,84.82,82.769997,83.080002,4233300,77.887254
2014-01-21,83.760002,83.910004,82.260002,82.550003,2939400,77.390382
2014-01-22,82.550003,84.389999,82.419998,84.32,2892100,79.049748
2014-01-23,83.540001,84.0,82.839996,83.519997,2464800,78.299748
2014-01-24,83.199997,83.199997,81.230003,81.410004,2697800,76.321636
2014-01-27,81.360001,81.989998,80.610001,81.040001,2893700,75.974759
2014-01-28,80.629997,82.309998,80.629997,82.260002,2493200,77.118507
2014-01-29,81.379997,81.849998,80.82,80.970001,3424700,75.909135
2014-01-30,83.0,85.330002,82.510002,84.010002,5672600,78.759127
2014-01-31,82.080002,83.089996,81.360001,82.099998,6061200,76.968504
2014-02-03,82.150002,82.18,78.660004,78.800003,4095900,73.874768
2014-02-04,79.309998,80.139999,78.68,79.620003,3360300,74.643515
2014-02-05,79.150002,80.099998,78.43,79.949997,2582200,74.952884
2014-02-06,79.870003,81.309998,79.610001,80.730003,1882900,75.684138
2014-02-07,81.050003,82.190002,80.709999,81.919998,2103300,76.799754
2014-02-10,82.07,82.610001,81.839996,82.57,1775500,77.409129
2014-02-11,82.809998,83.459999,82.5,83.169998,2127000,77.971625
2014-02-12,83.580002,84.290001,83.330002,84.269997,2362400,79.002871
2014-02-13,83.459999,85.489998,83.459999,84.709999,3183800,79.415372
2014-02-14,84.419998,86.339996,84.410004,85.480003,2113700,80.137248
2014-02-18,85.730003,86.239998,84.709999,85.75,1960800,80.390369
2014-02-19,85.449997,86.68,85.449997,86.019997,2023700,80.64349
2014-02-20,88.169998,88.169998,85.879997,86.510002,1782900,81.102869
2014-02-21,87.300003,87.360001,86.470001,86.860001,1759300,81.430992
2014-02-24,86.919998,88.129997,86.599998,86.980003,2444500,81.543494
2014-02-25,87.199997,87.629997,86.150002,86.43,1898600,81.027868
2014-02-26,86.760002,87.080002,85.669998,86.139999,1978000,80.755993
2014-02-27,86.089996,87.040001,85.790001,86.860001,2130900,81.430992
2014-02-28,87.010002,88.470001,86.510002,87.730003,3059100,82.246617
2014-03-03,87.330002,87.370003,85.330002,85.900002,2857200,80.530995
2014-03-04,86.790001,87.419998,86.559998,86.940002,2429600,81.505993
2014-03-05,87.389999,87.510002,86.300003,87.129997,1979800,81.684113
2014-03-06,86.910004,88.339996,86.889999,87.970001,2353800,82.471614
2014-03-07,88.440002,89.040001,87.910004,88.269997,2412200,82.752859
2014-03-10,88.0,88.93,87.059998,88.900002,2856300,83.343486
2014-03-11,88.959999,89.239998,87.809998,88.220001,2526600,82.705988
2014-03-12,87.199997,88.239998,86.879997,88.199997,2210100,82.969379
2014-03-13,88.559998,88.860001,86.839996,87.099998,1950500,81.934615
2014-03-14,86.769997,87.860001,86.769997,87.080002,2372800,81.915804
2014-03-17,88.0,88.669998,87.699997,88.239998,1665000,83.007008
2014-03-18,88.589996,89.169998,87.779999,88.410004,1762300,83.166932
2014-03-19,88.559998,88.919998,87.449997,87.849998,1832100,82.640137
2014-03-20,87.699997,88.139999,86.839996,87.519997,1823500,82.329706
2014-03-21,88.68,89.269997,86.919998,87.029999,4107700,81.868767
2014-03-24,86.879997,87.260002,85.0,85.860001,2600200,80.768154
2014-03-25,85.949997,86.269997,84.410004,85.419998,2906700,80.354246
2014-03-26,85.889999,86.080002,84.639999,84.669998,2336300,79.648724
2014-03-27,84.459999,84.730003,83.419998,84.0,2331400,79.018459
2014-03-28,83.889999,85.389999,83.830002,84.690002,2014600,79.667542
2014-03-31,85.199997,85.669998,84.949997,84.989998,1660600,79.949746
2014-04-01,86.040001,86.769997,85.690002,86.720001,2740800,81.577153
2014-04-02,87.43,87.860001,86.550003,87.370003,3017300,82.188607
2014-04-03,87.730003,88.029999,86.779999,87.160004,2039200,81.991062
2014-04-04,87.410004,87.75,84.480003,84.739998,2801500,79.714572
2014-04-07,84.529999,84.870003,81.959999,82.769997,2996600,77.8614
2014-04-08,82.669998,83.860001,82.129997,83.629997,3938700,78.670399
2014-04-09,83.739998,86.0,83.739998,85.889999,2375500,80.796374
2014-04-10,85.709999,85.779999,82.800003,82.830002,2608100,77.917847
2014-04-11,82.220001,83.110001,81.660004,81.940002,2263500,77.080628
2014-04-14,82.809998,83.470001,81.669998,82.730003,2082200,77.823778
2014-04-15,83.059998,83.139999,81.190002,82.239998,2275500,77.362832
2014-04-16,83.57,84.0,82.779999,83.25,2233200,78.312937
2014-04-17,82.849998,84.43,82.790001,84.050003,2097800,79.065497
2014-04-21,84.050003,84.339996,83.559998,84.300003,1089100,79.300671
2014-04-22,84.300003,84.669998,83.580002,84.010002,1335200,79.027868
2014-04-23,84.089996,84.629997,83.860001,84.349998,1601500,79.347701
2014-04-24,85.669998,85.669998,84.010002,84.839996,1348000,79.80864
2014-04-25,84.379997,84.75,83.190002,83.440002,1446100,78.491672
2014-04-28,84.129997,84.75,82.57,83.769997,2250000,78.802096
