Date,Open_BWA,High_BWA,Low_BWA,Close_BWA,Volume_BWA,AdjClose_BWA
2015-12-09,41.110001,42.029999,40.810001,41.27,1465400,40.945195
2015-12-10,41.25,41.650002,40.98,41.119999,1134900,40.796374
2015-12-11,40.540001,40.580002,39.669998,39.82,1457800,39.506606
2015-12-14,39.869999,40.130001,39.529999,39.970001,1494900,39.655427
2015-12-15,40.240002,41.200001,40.139999,40.779999,1587700,40.45905
2015-12-16,41.259998,42.209999,40.889999,42.119999,1793900,41.788504
2015-12-17,42.049999,42.150002,41.07,41.07,1128700,40.746768
2015-12-18,40.849998,41.080002,40.48,40.82,3094500,40.498736
2015-12-21,41.209999,41.790001,41.119999,41.580002,1574300,41.252757
2015-12-22,41.77,42.41,41.59,42.130001,1056300,41.798427
2015-12-23,42.43,43.790001,42.34,43.57,1541400,43.227093
2015-12-24,43.59,43.959999,43.439999,43.509998,610200,43.167563
2015-12-28,43.349998,43.639999,42.779999,43.389999,1146400,43.048509
2015-12-29,43.66,44.349998,43.459999,44.040001,1163400,43.693395
2015-12-30,43.91,44.299999,43.799999,43.919998,1030600,43.574337
2015-12-31,43.700001,44.099998,43.220001,43.23,1046900,42.889768
2016-01-04,43.23,43.23,41.790001,42.25,2039000,41.917482
2016-01-05,42.610001,42.689999,41.150002,41.57,1868500,41.242833
2016-01-06,40.73,40.740002,39.77,40.209999,1538600,39.893536
2016-01-07,39.259998,39.290001,37.59,37.709999,2337200,37.413212
2016-01-08,38.380001,38.560001,36.52,36.599998,2426600,36.311947
2016-01-11,36.919998,37.5,36.400002,36.889999,2730700,36.599666
2016-01-12,37.490002,37.669998,36.48,37.400002,2066000,37.105654
2016-01-13,35.490002,36.950001,32.990002,33.84,8568900,33.573671
2016-01-14,33.889999,33.919998,32.049999,32.860001,6317800,32.601384
2016-01-15,31.26,31.48,30.290001,31.07,4314000,30.825471
2016-01-19,31.51,31.540001,30.02,30.34,4726000,30.101217
2016-01-20,29.91,30.57,28.6,30.129999,3275700,29.892868
2016-01-21,30.219999,30.629999,29.200001,29.23,4147000,28.999952
2016-01-22,29.98,30.35,28.75,29.08,4347800,28.851133
2016-01-25,28.92,29.0,28.16,28.23,3843700,28.007822
2016-01-26,28.83,28.99,28.459999,28.75,2407500,28.52373
2016-01-27,28.790001,29.780001,28.790001,28.99,2898600,28.761841
2016-01-28,29.48,29.620001,28.299999,28.469999,2466400,28.245933
2016-01-29,28.59,29.4,28.389999,29.360001,4757200,29.12893
2016-02-01,29.040001,29.85,28.82,29.77,2146200,29.535703
2016-02-02,29.450001,29.540001,28.5,28.73,2320500,28.503887
2016-02-03,28.99,29.139999,27.68,28.450001,2376900,28.226092
2016-02-04,28.360001,29.76,28.030001,29.73,2864900,29.496017
2016-02-05,29.709999,30.209999,29.34,29.450001,2977000,29.218222
2016-02-08,29.0,29.280001,28.389999,29.030001,2342200,28.801527
2016-02-09,28.67,29.98,28.639999,29.610001,3818600,29.376962
2016-02-10,29.77,30.58,29.459999,30.35,4637300,30.111138
2016-02-11,29.01,31.200001,28.629999,30.190001,4606900,29.952397
2016-02-12,30.629999,31.84,30.280001,31.74,3550900,31.490198
2016-02-16,32.200001,32.459999,31.58,32.400002,2839300,32.145005
2016-02-17,32.880001,34.52,32.880001,33.59,3092600,33.325638
2016-02-18,33.790001,33.84,32.549999,32.639999,3052800,32.383114
2016-02-19,32.459999,32.57,31.610001,32.299999,2088600,32.04579
2016-02-22,32.959999,33.369999,32.5,32.869999,1835400,32.611304
2016-02-23,32.73,33.290001,31.870001,32.119999,2105900,31.867206
2016-02-24,31.75,32.490002,31.16,32.41,2069000,32.154925
2016-02-25,32.57,33.099998,31.76,32.599998,1644700,32.343428
2016-02-26,32.889999,33.419998,32.610001,33.040001,1885900,32.91121
2016-02-29,33.07,33.740002,32.509998,32.68,2230800,32.552613
2016-03-01,33.849998,35.630001,33.119999,34.16,3185700,34.026843
2016-03-02,34.209999,34.740002,33.880001,34.73,1636900,34.594621
2016-03-03,34.740002,35.709999,34.540001,35.07,1772000,34.933296
2016-03-04,35.080002,35.299999,34.049999,35.0,1737700,34.863569
2016-03-07,34.790001,35.459999,34.669998,35.459999,1387800,35.321775
2016-03-08,35.0,35.380001,33.860001,34.419998,2096800,34.285828
2016-03-09,34.700001,35.27,34.470001,35.119999,1988300,34.9831
2016-03-10,35.18,35.330002,33.959999,34.630001,1973300,34.495012
2016-03-11,35.119999,35.98,34.91,35.939999,1465300,35.799904
2016-03-14,35.689999,36.029999,35.419998,35.939999,1588200,35.799904
2016-03-15,35.43,35.759998,35.189999,35.650002,1117700,35.511037
2016-03-16,35.540001,37.16,35.509998,37.080002,1887100,36.935463
2016-03-17,37.099998,37.740002,36.549999,37.610001,1548900,37.463396
2016-03-18,37.869999,38.57,37.43,37.970001,3214100,37.821993
2016-03-21,37.93,38.25,37.220001,37.790001,1152200,37.642695
2016-03-22,37.369999,37.799999,36.939999,37.560001,1098900,37.413592
2016-03-23,37.380001,37.529999,36.580002,36.740002,1117600,36.596788
2016-03-24,36.169998,36.919998,35.810001,36.919998,1452100,36.776083
2016-03-28,37.09,37.400002,36.700001,37.119999,1103100,36.975304
2016-03-29,36.48,37.619999,36.029999,37.43,1800000,37.284097
2016-03-30,37.84,38.450001,37.549999,37.919998,1258700,37.772185
2016-03-31,37.810001,38.57,37.73,38.400002,2217900,38.250317
2016-04-01,37.990002,38.220001,37.259998,37.68,2615600,37.533123
2016-04-04,37.549999,37.669998,35.040001,35.279999,3543400,35.142476
2016-04-05,34.82,35.790001,34.57,35.18,1907700,35.042868
2016-04-06,35.049999,35.25,34.27,34.779999,1818600,34.644425
2016-04-07,34.66,35.41,33.889999,34.049999,2984200,33.917272
2016-04-08,34.529999,35.09,33.98,34.18,1731200,34.046766
2016-04-11,34.509998,35.419998,34.419998,34.799999,1613600,34.664348
2016-04-12,34.950001,35.25,34.459999,34.919998,1197000,34.783879
