Date,Open_COST,High_COST,Low_COST,Close_COST,Volume_COST,AdjClose_COST
2015-10-08,147.610001,151.699997,147.610001,151.660004,2370900,150.415155
2015-10-09,150.759995,154.259995,150.440002,153.970001,3715500,152.706191
2015-10-12,153.970001,154.479996,153.089996,153.630005,1200100,152.368986
2015-10-13,153.229996,154.070007,152.220001,152.279999,1493700,151.030061
2015-10-14,152.309998,152.770004,149.100006,149.839996,3044900,148.610086
2015-10-15,150.830002,151.899994,150.220001,151.770004,1697000,150.524252
2015-10-16,152.320007,152.970001,151.279999,152.059998,1644100,150.811865
2015-10-19,152.050003,153.389999,151.919998,153.220001,1543700,151.962348
2015-10-20,153.720001,154.880005,153.160004,154.559998,1875700,153.291345
2015-10-21,154.800003,155.940002,154.309998,155.210007,1797300,153.936019
2015-10-22,155.429993,158.339996,155.080002,158.149994,2192400,156.851874
2015-10-23,158.699997,158.800003,154.910004,155.740005,2273400,154.461667
2015-10-26,152.059998,157.410004,151.259995,156.729996,2500000,155.443532
2015-10-27,157.270004,158.300003,155.559998,157.759995,1675100,156.465076
2015-10-28,157.5,157.929993,155.509995,157.759995,1778800,156.465076
2015-10-29,157.059998,158.380005,156.529999,158.279999,1547000,156.980812
2015-10-30,158.0,159.399994,157.300003,158.119995,2050000,156.822122
2015-11-02,158.990005,159.309998,157.649994,159.149994,1260700,157.843666
2015-11-03,158.399994,159.220001,157.380005,158.800003,1531100,157.496548
2015-11-04,159.0,159.029999,156.899994,157.149994,1653100,155.860082
2015-11-05,154.149994,156.809998,154.020004,156.270004,2550300,154.987316
2015-11-06,156.490005,157.960007,155.669998,157.550003,1749800,156.256808
2015-11-09,156.809998,157.100006,153.889999,155.160004,2291100,153.886426
2015-11-10,155.130005,156.460007,154.600006,156.410004,1701800,155.52711
2015-11-11,155.979996,157.429993,155.179993,156.389999,1864200,155.507219
2015-11-12,156.119995,156.979996,155.399994,156.0,1657400,155.119421
2015-11-13,155.070007,155.25,153.229996,153.669998,2459900,152.802571
2015-11-16,153.809998,156.470001,153.240005,156.449997,1778400,155.566878
2015-11-17,157.350006,159.919998,157.020004,158.889999,2500000,157.993107
2015-11-18,158.889999,161.399994,157.820007,161.25,2152000,160.339786
2015-11-19,161.690002,163.199997,161.440002,162.830002,2959300,161.910869
2015-11-20,164.160004,164.470001,162.75,163.100006,2051100,162.179349
2015-11-23,163.529999,163.899994,162.729996,163.449997,1174300,162.527364
