Date,Open_ADP,High_ADP,Low_ADP,Close_ADP,Volume_ADP,AdjClose_ADP
2014-06-13,78.540003,79.069999,78.249996,78.809998,1233700,65.950468
2014-06-16,78.470006,79.130003,78.449993,78.650008,1170100,65.816584
2014-06-17,78.480008,78.82,78.210005,78.220007,2226100,65.456747
2014-06-18,78.220007,78.70001,77.920006,78.61,2551400,65.783104
2014-06-19,78.880003,78.920003,78.349999,78.460004,1875600,65.657583
2014-06-20,78.859999,79.660016,78.500012,79.450007,3984800,66.486046
2014-06-23,79.359998,79.590001,78.859999,79.220004,1049200,66.293573
2014-06-24,79.150007,79.630001,78.849997,79.059997,1189600,66.159674
2014-06-25,78.760005,79.440005,78.61,79.25001,1182400,66.318683
2014-06-26,79.280007,79.280007,78.630004,79.109998,1000200,66.201517
2014-06-27,79.059997,79.550011,78.859999,79.480005,1553900,66.511149
2014-06-30,79.130003,79.490007,78.82,79.280007,1275500,66.343785
2014-07-01,79.620008,80.560001,79.200008,80.370005,1871900,67.255927
2014-07-02,80.010001,80.35001,79.609997,80.22,1591100,67.130399
2014-07-03,80.000007,80.610011,80.000007,80.590007,883300,67.440031
2014-07-07,80.180001,80.520001,80.100011,80.440011,1255300,67.31451
2014-07-08,80.360012,80.800006,80.120006,80.47,1723800,67.339605
2014-07-09,80.669997,80.719999,80.190012,80.47,1074600,67.339605
2014-07-10,80.800006,80.800006,79.770004,80.150012,1085700,67.07183
2014-07-11,80.270002,80.300008,79.620008,80.129999,1217800,67.055083
2014-07-14,80.390009,80.500006,80.160014,80.339999,913000,67.230817
2014-07-15,80.35001,80.709997,79.890002,80.339999,1059600,67.230817
2014-07-16,80.65001,80.680008,80.320004,80.500006,1121700,67.364715
2014-07-17,80.040007,80.530003,79.860013,79.959999,1214900,66.912822
2014-07-18,80.43,81.160011,80.020003,81.030002,1583900,67.808231
2014-07-21,80.590007,81.070001,80.410013,80.980009,1141800,67.766395
2014-07-22,81.160011,81.790001,81.030002,81.680005,949100,68.352172
2014-07-23,81.559997,81.880002,81.290003,81.830001,1188800,68.477693
2014-07-24,81.600006,82.51001,81.590004,82.430002,1443800,68.979791
2014-07-25,82.519995,82.620015,82.040009,82.609996,1364100,69.130415
2014-07-28,82.470002,82.609996,81.910008,82.490006,1005200,69.030004
2014-07-29,82.640002,82.690003,81.87,81.87,1505300,68.511166
2014-07-30,82.330008,82.460008,81.710011,82.150006,1898900,68.745482
2014-07-31,82.230005,82.500008,80.930007,81.309998,1865900,68.04254
2014-08-01,80.870003,81.830001,80.870003,81.540002,1922300,68.235014
2014-08-04,81.32,81.500002,80.590007,81.209995,2411400,67.958855
2014-08-05,81.230008,81.230008,80.160014,80.48001,1750900,67.347982
2014-08-06,80.419998,80.669997,80.140001,80.360012,1184200,67.247564
2014-08-07,80.680008,80.970007,79.809994,80.070004,1504300,67.004878
2014-08-08,80.200005,81.280001,80.200005,81.120003,1463800,67.883546
2014-08-11,81.209995,81.74,81.160011,81.340004,1120300,68.06765
2014-08-12,81.110009,81.680005,80.930007,81.269999,1165300,68.009067
2014-08-13,81.74,82.069998,81.170004,82.000009,1206300,68.619961
2014-08-14,83.780001,83.780001,81.690007,82.390003,905600,68.946319
2014-08-15,83.14,83.150011,81.670003,82.269995,1885300,68.845893
2014-08-18,82.620015,83.330004,82.51001,83.250005,1072400,69.665994
2014-08-19,83.010008,83.550006,82.950005,83.429999,958100,69.816617
2014-08-20,83.360011,83.679998,82.790007,83.57001,1228000,69.933783
2014-08-21,83.57001,84.070009,83.270001,83.890006,923700,70.201565
2014-08-22,84.050005,84.200001,83.280003,83.490003,1041600,69.86683
2014-08-25,83.629997,83.940008,83.270001,83.620012,962800,69.975626
2014-08-26,83.600008,84.230015,83.419997,83.820009,1217400,70.142989
2014-08-27,83.750004,83.969997,83.429999,83.669996,983300,70.017454
2014-08-28,83.030004,83.719998,83.030004,83.500005,948000,69.8752
2014-08-29,83.950001,83.950001,82.910014,83.48,1773300,69.85846
2014-09-02,83.679998,83.940008,83.270001,83.690009,1374800,70.034201
2014-09-03,84.090004,84.16001,83.600008,83.780001,1212700,70.109509
2014-09-04,83.669996,84.440006,83.629997,83.810007,1006500,70.134619
2014-09-05,83.690009,84.370009,83.620012,84.340003,1367900,70.578135
2014-09-08,83.910011,84.480006,83.740002,84.090004,980200,70.368929
2014-09-09,83.850007,84.050005,83.450003,83.61001,1140900,69.967256
2014-09-10,83.320011,83.650009,82.919998,83.61001,1457400,70.371251
2014-09-11,83.300007,83.410012,82.690003,83.200004,1534000,70.026165
2014-09-12,83.260007,83.379997,82.330008,83.020002,1924800,69.874664
2014-09-15,82.940003,83.61001,82.550009,83.460005,1412400,70.244998
2014-09-16,82.559994,83.560008,82.559994,83.410012,1582600,70.202921
2014-09-17,83.469998,83.510007,82.809993,83.350009,1625100,70.152418
2014-09-18,83.490003,84.310006,83.310009,84.190007,1835800,70.859412
2014-09-19,84.550003,84.680004,83.560008,83.879996,2696400,70.598488
2014-09-22,83.419997,83.769999,82.770002,83.090007,1090600,69.933585
2014-09-23,82.940003,83.090007,82.59,82.609996,1094400,69.529579
2014-09-24,82.520003,84.060007,82.390003,83.930006,1189700,70.640579
2014-09-25,83.61001,83.61001,82.319997,82.359997,1519100,69.319164
2014-09-26,82.240007,82.760009,81.800003,82.59,1459500,69.512749
2014-09-29,82.059996,82.910005,81.910008,82.810011,1482100,69.697923
2014-09-30,83.340006,83.450003,82.700005,83.080005,2068600,69.925167
2014-10-01,73.029999,73.080002,71.410004,71.419998,3540300,68.466883
2014-10-02,71.709999,72.629997,71.510002,72.5,3008000,69.502228
2014-10-03,73.559998,75.040001,73.550003,74.849998,4475400,71.755058
2014-10-06,74.959999,75.040001,74.290001,74.519997,2919500,71.438701
2014-10-07,74.339996,74.5,73.480003,73.519997,2233300,70.480049
2014-10-08,73.5,74.980003,73.260002,74.779999,2078800,71.687952
2014-10-09,74.800003,74.949997,73.160004,73.190002,1972800,70.1637
2014-10-10,73.25,73.82,72.650002,72.660004,2395900,69.655616
2014-10-13,72.82,73.120003,71.93,71.949997,2058700,68.974967
2014-10-14,72.559998,72.980003,72.25,72.639999,2088100,69.636439
2014-10-15,72.0,72.339996,70.5,71.779999,2482900,68.811998
2014-10-16,70.790001,72.150002,70.690002,71.629997,2179300,68.668199
2014-10-17,72.510002,72.980003,71.510002,72.68,1700400,69.674786
2014-10-20,72.540001,73.389999,72.349998,73.349998,2125400,70.31708
2014-10-21,73.629997,74.889999,73.25,74.809998,1565300,71.716711
2014-10-22,75.010002,75.18,74.559998,74.610001,1416100,71.524983
2014-10-23,75.75,76.199997,75.220001,75.440002,1462300,72.320666
2014-10-24,75.779999,76.25,75.470001,76.199997,1131800,73.049236
2014-10-27,76.25,76.599998,75.949997,76.470001,1103400,73.308076
2014-10-28,76.940002,77.32,76.220001,77.260002,2314800,74.065411
2014-10-29,77.089996,78.099998,76.93,77.919998,1357100,74.698117
2014-10-30,77.889999,79.389999,77.300003,78.949997,2113800,75.685527
2014-10-31,80.610001,81.989998,79.860001,81.779999,3712300,78.398512
2014-11-03,81.5,82.470001,81.480003,81.739998,2707500,78.360165
2014-11-04,82.349998,83.360001,82.0,83.150002,2508300,79.711867
2014-11-05,83.779999,84.379997,83.330002,84.300003,2325900,80.814318
2014-11-06,84.660004,85.099998,84.150002,84.75,2126500,81.245708
2014-11-07,84.870003,84.980003,83.68,84.379997,2441300,80.891004
2014-11-10,84.309998,85.279999,84.059998,85.120003,1611400,81.600412
2014-11-11,85.089996,85.32,84.639999,84.949997,1267100,81.437435
2014-11-12,84.769997,85.540001,84.629997,85.209999,1516200,81.686687
2014-11-13,85.43,85.889999,84.980003,85.410004,1451600,81.878422
2014-11-14,85.410004,85.529999,84.459999,84.75,1853000,81.245708
2014-11-17,84.699997,85.080002,84.540001,84.839996,1531800,81.331983
2014-11-18,84.849998,85.120003,84.449997,84.75,1807300,81.245708
2014-11-19,84.790001,84.790001,84.059998,84.269997,2362400,80.785552
2014-11-20,84.279999,84.419998,83.599998,84.120003,2507400,80.64176
2014-11-21,85.220001,85.220001,83.809998,84.139999,2692000,80.66093
2014-11-24,84.510002,84.919998,84.43,84.790001,2295400,81.284055
2014-11-25,84.690002,85.07,84.489998,84.519997,1852600,81.025215
2014-11-26,84.720001,84.959999,84.360001,84.860001,1997100,81.35116
2014-11-28,85.260002,86.260002,84.809998,85.639999,1267300,82.098907
2014-12-01,85.18,86.5,85.0,86.07,2055000,82.511128
2014-12-02,86.449997,86.540001,85.620003,85.800003,1669300,82.252295
2014-12-03,85.489998,86.0,84.989998,85.940002,1875800,82.386506
2014-12-04,86.059998,86.419998,85.730003,86.059998,1550900,82.501539
2014-12-05,85.790001,85.919998,85.110001,85.82,1792000,82.271465
2014-12-08,85.360001,86.010002,85.050003,85.589996,1674200,82.050972
2014-12-09,85.18,85.589996,84.360001,85.260002,1941400,81.734622
2014-12-10,84.559998,85.540001,83.980003,84.129997,2024900,81.117533
2014-12-11,85.529999,85.57,84.43,84.599998,1976800,81.570705
2014-12-12,83.470001,84.650002,82.5,82.5,2415600,79.545902
2014-12-15,82.809998,83.419998,82.040001,82.779999,1841700,79.815875
2014-12-16,82.769997,84.07,82.43,82.910004,1986400,79.941224
2014-12-17,82.620003,84.860001,82.620003,84.690002,1906200,81.657486
2014-12-18,85.870003,85.940002,85.029999,85.68,3535500,82.612035
2014-12-19,85.449997,86.150002,84.660004,84.709999,4230500,81.676767
2014-12-22,84.720001,85.720001,84.610001,85.699997,1672100,82.631316
2014-12-23,86.309998,86.470001,85.139999,85.169998,2340700,82.120295
2014-12-24,85.129997,85.610001,85.029999,85.239998,1060300,82.187788
2014-12-26,85.57,85.910004,85.129997,85.199997,1006300,82.149219
2014-12-29,85.019997,85.239998,84.82,84.870003,1242600,81.831041
2014-12-30,84.739998,84.910004,84.010002,84.110001,1427700,81.098253
2014-12-31,84.379997,84.870003,83.360001,83.370003,1798200,80.384752
2015-01-02,82.980003,84.18,82.519997,83.290001,1866600,80.307615
2015-01-05,83.25,84.440002,82.949997,83.230003,3270900,80.249766
2015-01-06,83.300003,83.739998,81.959999,82.540001,2569700,79.58447
2015-01-07,82.220001,83.32,81.800003,83.260002,2079000,80.27869
2015-01-08,83.959999,85.18,83.639999,85.169998,3358700,82.120295
2015-01-09,85.050003,85.190002,84.110001,84.559998,1751600,81.532136
2015-01-12,84.720001,85.040001,83.809998,84.150002,1321800,81.136821
2015-01-13,84.800003,85.5,83.290001,83.980003,1919000,80.97291
2015-01-14,83.080002,83.989998,82.970001,83.739998,1792200,80.741499
2015-01-15,83.870003,84.339996,83.330002,83.699997,1434800,80.70293
2015-01-16,83.559998,84.639999,83.160004,84.57,2261500,81.54178
2015-01-20,84.830002,85.220001,83.790001,84.970001,1572100,81.927459
2015-01-21,84.559998,85.150002,84.099998,84.559998,1729500,81.532136
2015-01-22,85.0,86.790001,84.0,86.610001,1980000,83.508734
2015-01-23,86.650002,87.18,86.389999,86.849998,2088000,83.740139
2015-01-26,86.25,86.889999,85.489998,86.57,1527100,83.470166
2015-01-27,85.709999,86.440002,84.779999,85.629997,1697300,82.563822
2015-01-28,85.860001,86.300003,84.459999,84.529999,2137000,81.503212
2015-01-29,84.449997,84.82,83.5,84.349998,2968900,81.329657
2015-01-30,83.959999,84.239998,82.470001,82.529999,4076700,79.574826
2015-02-02,81.82,83.5,81.709999,83.440002,2810200,80.452245
2015-02-03,84.18,85.360001,83.510002,85.139999,3449000,82.09137
2015-02-04,87.139999,87.18,85.669998,86.580002,3659200,83.47981
2015-02-05,86.43,87.190002,85.889999,87.169998,2151300,84.04868
2015-02-06,87.150002,87.349998,86.230003,86.440002,2375000,83.344823
2015-02-09,86.010002,86.489998,85.739998,86.010002,1700900,82.93022
2015-02-10,86.190002,86.75,85.650002,86.519997,2552200,83.421953
2015-02-11,86.709999,87.230003,86.300003,86.82,1816000,83.711214
2015-02-12,87.199997,87.790001,86.980003,87.75,1873000,84.607914
2015-02-13,87.949997,88.75,87.779999,88.75,1936600,85.572106
2015-02-17,87.760002,88.07,86.550003,87.110001,3990400,83.990831
2015-02-18,86.599998,87.730003,86.599998,87.589996,1764200,84.453639
2015-02-19,87.610001,87.830002,86.860001,87.730003,1568100,84.588633
2015-02-20,87.809998,88.75,87.040001,88.690002,2010900,85.514257
2015-02-23,88.730003,89.239998,88.230003,89.169998,1801400,85.977066
2015-02-24,89.169998,89.379997,88.510002,89.260002,1418900,86.063847
2015-02-25,89.330002,89.699997,88.790001,89.07,1617900,85.880648
2015-02-26,89.190002,89.25,88.610001,88.839996,1426300,85.65888
2015-02-27,88.849998,89.440002,88.449997,88.839996,1815900,85.65888
2015-03-02,88.879997,90.230003,88.580002,90.18,1771400,86.950902
2015-03-03,89.550003,89.989998,88.330002,88.699997,3012200,85.523894
2015-03-04,88.25,88.300003,86.519997,86.580002,3306000,83.47981
2015-03-05,86.589996,86.910004,86.260002,86.75,2728600,83.643721
2015-03-06,86.330002,86.970001,85.839996,86.0,2011000,82.920576
2015-03-09,86.400002,87.0,85.860001,86.839996,1481000,83.730495
2015-03-10,86.059998,86.309998,85.150002,85.150002,1915300,82.101014
2015-03-11,84.989998,85.440002,84.639999,84.989998,1721800,82.421035
2015-03-12,85.410004,86.489998,85.120003,86.389999,1190700,83.778719
