Date,Open_CL,High_CL,Low_CL,Close_CL,Volume_CL,AdjClose_CL
2014-01-21,65.050003,65.410004,64.290001,64.739998,2828700,61.269987
2014-01-22,64.540001,64.699997,63.869999,64.010002,2323200,60.898947
2014-01-23,63.43,63.740002,63.23,63.439999,3263800,60.356647
2014-01-24,63.389999,63.950001,62.389999,62.389999,5429400,59.357681
2014-01-27,62.470001,62.650002,61.950001,62.110001,4636800,59.091291
2014-01-28,62.200001,62.93,62.200001,62.869999,3377600,59.814351
2014-01-29,62.790001,62.790001,61.43,61.59,5682200,58.596564
2014-01-30,63.439999,63.810001,61.130001,61.490002,5456400,58.501425
2014-01-31,60.610001,61.59,60.0,61.23,6831800,58.25406
2014-02-03,61.220001,61.299999,59.75,60.169998,6868200,57.245577
2014-02-04,60.349998,60.669998,60.139999,60.349998,5220800,57.416829
2014-02-05,60.150002,60.790001,60.02,60.419998,5981000,57.483427
2014-02-06,60.509998,60.84,60.27,60.599998,4190900,57.654679
2014-02-07,60.779999,61.150002,60.540001,60.860001,3651200,57.902044
2014-02-10,60.84,61.619999,60.810001,61.52,4451800,58.529966
2014-02-11,61.669998,62.48,61.389999,62.400002,3701400,59.367197
2014-02-12,62.41,62.740002,61.68,61.919998,3972100,58.910523
2014-02-13,61.450001,62.41,61.439999,62.310001,3090900,59.281571
2014-02-14,62.380001,62.900002,61.810001,62.68,3116100,59.633587
2014-02-18,62.860001,62.860001,62.0,62.389999,2951100,59.357681
2014-02-19,61.970001,62.189999,61.439999,61.529999,3358500,58.539478
2014-02-20,61.48,62.110001,61.349998,61.860001,2658300,58.853441
2014-02-21,61.959999,62.540001,61.529999,61.560001,3166400,58.568023
2014-02-24,61.810001,62.470001,61.580002,61.950001,3236300,58.939067
2014-02-25,62.040001,62.23,61.68,62.07,3961200,59.053234
2014-02-26,62.110001,62.540001,61.860001,61.950001,3026300,58.939067
2014-02-27,61.740002,62.209999,61.619999,62.119999,2469700,59.100803
2014-02-28,62.389999,63.150002,62.09,62.830002,3366200,59.776298
2014-03-03,62.23,62.630001,62.0,62.220001,2714800,59.195945
2014-03-04,62.669998,63.259998,62.669998,63.009998,2937600,59.947546
2014-03-05,62.82,62.950001,62.540001,62.619999,2401100,59.576502
2014-03-06,62.779999,63.189999,62.639999,63.02,2665900,59.957062
2014-03-07,63.09,63.23,62.849998,63.130001,1992800,60.061716
2014-03-10,62.939999,63.200001,62.860001,63.049999,1955500,59.985603
2014-03-11,63.169998,63.82,63.060001,63.290001,3367300,60.21394
2014-03-12,62.91,63.400002,62.869999,63.220001,2368700,60.147342
2014-03-13,63.32,63.880001,63.110001,63.23,2633000,60.156855
2014-03-14,63.139999,63.990002,63.060001,63.830002,3620000,60.727695
2014-03-17,64.050003,64.690002,63.91,64.400002,2838300,61.269991
2014-03-18,64.519997,64.589996,64.209999,64.339996,2148700,61.212903
2014-03-19,64.269997,64.32,63.139999,63.389999,2285500,60.309078
2014-03-20,63.299999,63.700001,63.07,63.59,1978900,60.499358
2014-03-21,64.059998,64.129997,63.32,63.459999,5963400,60.375676
2014-03-24,63.77,64.050003,63.259998,63.310001,2417900,60.232968
2014-03-25,63.720001,64.300003,63.310001,63.77,3161400,60.67061
2014-03-26,63.869999,64.550003,63.700001,64.269997,2737000,61.146305
2014-03-27,64.25,65.919998,63.990002,64.059998,8116000,60.946513
2014-03-28,64.040001,64.599998,63.720001,64.099998,2857600,60.984569
2014-03-31,64.5,64.919998,64.029999,64.870003,3568300,61.717149
2014-04-01,64.870003,65.099998,64.029999,64.220001,3089100,61.09874
2014-04-02,64.330002,64.599998,63.869999,64.300003,2969600,61.174853
2014-04-03,64.489998,64.660004,64.209999,64.279999,2426400,61.155821
2014-04-04,64.57,64.650002,64.129997,64.220001,2435300,61.09874
2014-04-07,63.919998,65.300003,63.91,64.919998,4229000,61.764715
2014-04-08,64.839996,65.669998,64.739998,65.629997,4400900,62.440206
2014-04-09,65.599998,65.980003,65.459999,65.730003,3408700,62.535352
2014-04-10,65.589996,66.309998,65.389999,65.940002,6901000,62.735144
2014-04-11,65.760002,66.269997,65.25,65.309998,4838300,62.135759
2014-04-14,65.660004,66.010002,65.529999,65.860001,3040300,62.659031
2014-04-15,66.089996,66.470001,65.830002,66.370003,4172700,63.144245
2014-04-16,66.57,67.400002,66.410004,67.18,3575800,63.914875
2014-04-17,66.75,67.169998,66.529999,66.940002,3599300,64.02966
2014-04-21,66.699997,67.050003,66.150002,66.839996,2132200,63.934002
2014-04-22,66.910004,67.089996,66.349998,66.360001,3283700,63.474875
2014-04-23,66.379997,66.57,65.800003,65.870003,3688200,63.006181
2014-04-24,66.050003,66.459999,65.949997,66.43,3992000,63.541831
2014-04-25,66.5,66.940002,65.919998,66.239998,3169500,63.360089
2014-04-28,66.660004,67.949997,66.580002,67.860001,4539000,64.90966
2014-04-29,67.75,67.82,67.029999,67.040001,4473600,64.125311
2014-04-30,67.309998,67.68,67.080002,67.300003,3839500,64.374009
2014-05-01,67.18,67.419998,66.540001,67.010002,2652400,64.096616
2014-05-02,66.900002,67.330002,66.800003,67.099998,2538900,64.1827
2014-05-05,66.870003,67.139999,66.669998,66.900002,2032600,63.991398
2014-05-06,66.629997,67.150002,66.610001,66.709999,2012900,63.809656
2014-05-07,66.760002,67.400002,66.760002,67.230003,2191000,64.307053
2014-05-08,67.139999,67.360001,66.879997,67.099998,1714000,64.1827
2014-05-09,67.019997,67.730003,67.019997,67.650002,2418100,64.708791
2014-05-12,67.75,67.75,67.07,67.190002,1690900,64.268791
2014-05-13,67.209999,67.389999,67.0,67.260002,1797000,64.335747
2014-05-14,67.220001,67.580002,66.900002,66.959999,1604000,64.048787
2014-05-15,66.739998,67.089996,66.309998,66.410004,2440500,63.522704
2014-05-16,66.300003,66.970001,66.300003,66.919998,2840300,64.010525
2014-05-19,66.559998,66.809998,66.32,66.730003,1832500,63.828791
2014-05-20,66.699997,66.919998,66.379997,66.559998,1778900,63.666177
2014-05-21,66.690002,66.849998,66.459999,66.809998,1706400,63.905307
2014-05-22,66.709999,66.800003,66.370003,66.610001,2679200,63.714006
2014-05-23,66.800003,67.160004,66.5,66.730003,3253500,63.828791
2014-05-27,66.889999,66.940002,66.519997,66.709999,3614400,63.809656
2014-05-28,66.699997,66.709999,66.099998,66.120003,3281200,63.245311
2014-05-29,66.379997,66.959999,66.260002,66.919998,6367200,64.010525
2014-05-30,66.940002,68.470001,66.849998,68.400002,7885400,65.426183
2014-06-02,68.129997,68.269997,67.809998,68.209999,2924900,65.244441
2014-06-03,68.029999,68.150002,67.120003,67.239998,3143700,64.316613
2014-06-04,67.339996,67.730003,66.980003,67.709999,2659500,64.76618
2014-06-05,67.839996,68.199997,67.709999,67.959999,2872700,65.00531
2014-06-06,68.050003,68.199997,67.860001,68.019997,2941800,65.062699
2014-06-09,67.889999,68.639999,67.879997,68.440002,2260000,65.464445
2014-06-10,68.290001,68.940002,68.269997,68.690002,2931800,65.703575
2014-06-11,68.610001,68.699997,68.309998,68.620003,2063900,65.636619
2014-06-12,68.349998,68.599998,67.629997,67.839996,2131500,64.890525
2014-06-13,67.779999,67.970001,67.720001,67.860001,1559000,64.90966
2014-06-16,67.629997,68.18,67.330002,68.089996,1810000,65.129656
2014-06-17,68.029999,68.050003,67.669998,67.889999,1644400,64.938354
2014-06-18,67.760002,68.769997,67.760002,68.730003,2337700,65.741837
2014-06-19,68.910004,69.449997,68.910004,69.43,3072200,66.411401
2014-06-20,69.300003,69.470001,68.330002,68.379997,4035200,65.407048
2014-06-23,68.349998,68.360001,67.709999,67.830002,2656100,64.880965
2014-06-24,67.760002,68.220001,67.550003,67.949997,2438700,64.995743
2014-06-25,67.910004,68.089996,67.699997,67.949997,2117200,64.995743
2014-06-26,67.839996,68.029999,67.510002,67.900002,2154600,64.947921
2014-06-27,67.779999,68.489998,67.57,68.43,4109300,65.454877
2014-06-30,68.309998,68.860001,67.919998,68.18,2711400,65.215747
2014-07-01,68.5,68.599998,67.949997,68.480003,2150000,65.502706
2014-07-02,68.360001,68.75,68.300003,68.470001,1194200,65.493139
2014-07-03,68.440002,68.82,68.440002,68.82,1205500,65.827921
2014-07-07,68.790001,68.949997,68.610001,68.860001,1951800,65.866183
2014-07-08,68.589996,69.580002,68.550003,69.5,3835000,66.478357
2014-07-09,69.529999,69.889999,69.419998,69.650002,2497500,66.621837
2014-07-10,69.330002,69.720001,69.300003,69.419998,2933900,66.401833
2014-07-11,69.470001,69.620003,69.25,69.519997,1681500,66.497484
2014-07-14,69.779999,70.110001,69.730003,69.790001,2198500,66.755749
2014-07-15,69.660004,69.800003,69.349998,69.660004,2835200,66.631404
2014-07-16,69.599998,69.900002,69.330002,69.449997,2499400,66.775621
2014-07-17,69.360001,69.5,68.599998,68.599998,2366300,65.958354
2014-07-18,68.779999,69.010002,68.550003,68.900002,2395800,66.246805
2014-07-21,68.559998,68.889999,68.440002,68.760002,1516400,66.112196
2014-07-22,68.760002,68.989998,68.400002,68.589996,1965700,65.948737
2014-07-23,68.599998,68.690002,67.970001,68.169998,1919700,65.544912
2014-07-24,68.330002,68.339996,67.989998,68.110001,1917300,65.487225
2014-07-25,68.099998,68.169998,67.529999,67.589996,1594300,64.987245
2014-07-28,67.639999,67.889999,67.089996,67.330002,1711600,64.737262
2014-07-29,67.07,67.32,66.260002,66.360001,4919000,63.804614
2014-07-30,66.459999,66.730003,66.019997,66.110001,3740600,63.564241
2014-07-31,64.730003,64.989998,63.400002,63.400002,6849300,60.958598
2014-08-01,63.060001,64.669998,62.889999,63.950001,5261900,61.487418
2014-08-04,63.880001,64.129997,63.560001,63.759998,4342400,61.304732
2014-08-05,63.5,64.07,63.48,63.77,4336500,61.314349
2014-08-06,63.919998,65.25,63.919998,64.800003,5742500,62.304689
2014-08-07,64.970001,65.07,64.309998,64.449997,2797600,61.96816
2014-08-08,64.370003,65.220001,64.32,65.18,2175300,62.670053
2014-08-11,65.339996,65.699997,65.010002,65.059998,4085500,62.554671
2014-08-12,64.529999,64.839996,64.330002,64.419998,4138700,61.939317
2014-08-13,64.599998,64.699997,64.050003,64.379997,3686800,61.900856
2014-08-14,64.400002,64.550003,64.040001,64.209999,4143700,61.737404
2014-08-15,64.400002,64.669998,63.689999,64.129997,3972300,61.660483
2014-08-18,64.349998,65.0,64.300003,64.620003,3797400,62.13162
2014-08-19,64.529999,64.540001,64.040001,64.260002,3273800,61.785482
2014-08-20,64.419998,64.809998,64.239998,64.669998,2815800,62.17969
2014-08-21,64.550003,65.010002,64.550003,64.809998,2500000,62.314298
2014-08-22,64.900002,64.970001,64.529999,64.57,1642200,62.083542
2014-08-25,64.919998,65.139999,64.720001,64.870003,1556800,62.371993
2014-08-26,64.900002,65.110001,64.709999,64.790001,2390400,62.295072
2014-08-27,64.790001,64.93,64.580002,64.830002,2084400,62.333532
2014-08-28,64.629997,64.739998,64.449997,64.510002,2204600,62.025855
2014-08-29,64.739998,64.760002,64.400002,64.730003,2102500,62.237384
2014-09-02,64.440002,64.699997,64.160004,64.419998,3045400,61.939317
2014-09-03,64.849998,64.889999,64.309998,64.419998,3304200,61.939317
2014-09-04,64.480003,64.629997,64.080002,64.309998,3288600,61.833552
2014-09-05,64.269997,64.879997,64.120003,64.860001,3441700,62.362376
2014-09-08,64.440002,64.529999,63.630001,63.639999,3739100,61.189354
2014-09-09,63.5,63.720001,63.369999,63.43,3520600,60.987442
2014-09-10,63.5,64.080002,63.360001,64.0,2769700,61.535492
2014-09-11,63.970001,64.5,63.779999,64.419998,3271900,61.939317
2014-09-12,64.18,64.559998,64.080002,64.480003,3230400,61.997011
2014-09-15,64.220001,64.790001,64.129997,64.510002,3135900,62.025855
