Date,Open_NLSN,High_NLSN,Low_NLSN,Close_NLSN,Volume_NLSN,AdjClose_NLSN
2015-08-21,46.900002,47.220001,45.880001,45.919998,3012400,44.844873
2015-08-24,43.560001,44.650002,43.290001,43.650002,3828800,42.628024
2015-08-25,44.91,44.91,42.759998,42.799999,4793800,42.067773
2015-08-26,44.130001,44.279999,42.799999,44.23,3114900,43.473309
2015-08-27,44.66,45.700001,44.419998,45.349998,2403500,44.574147
2015-08-28,45.18,45.43,44.900002,45.259998,1312800,44.485687
2015-08-31,45.009998,45.580002,44.650002,45.23,1479100,44.456201
2015-09-01,44.200001,45.060001,43.299999,43.57,3529600,42.824601
2015-09-02,44.330002,45.380001,44.200001,45.369999,3423700,44.593805
2015-09-03,45.470001,46.369999,45.240002,45.509998,1958700,44.73141
2015-09-04,44.610001,45.43,44.5,44.959999,1871000,44.19082
2015-09-08,45.790001,46.400002,45.540001,46.25,1698600,45.458751
2015-09-09,46.91,46.939999,46.150002,46.23,1710300,45.439093
2015-09-10,46.279999,46.610001,45.93,46.130001,1423400,45.340805
2015-09-11,45.970001,46.060001,45.380001,45.880001,1450200,45.095082
2015-09-14,45.799999,46.049999,45.330002,45.689999,994400,44.90833
2015-09-15,45.919998,46.740002,45.869999,46.549999,1058900,45.753618
2015-09-16,46.77,47.41,46.709999,47.240002,1969200,46.431816
2015-09-17,47.18,47.860001,46.900002,47.18,1543500,46.372841
2015-09-18,46.650002,47.610001,46.450001,46.740002,3305300,45.94037
2015-09-21,46.84,47.669998,46.459999,47.549999,1635100,46.73651
2015-09-22,47.0,47.439999,46.830002,47.110001,2038100,46.304039
2015-09-23,47.080002,47.41,46.919998,47.25,1426500,46.441643
2015-09-24,46.790001,47.220001,46.740002,47.169998,2664400,46.36301
2015-09-25,47.369999,47.459999,46.299999,46.75,3232400,45.950197
2015-09-28,46.34,46.740002,45.259998,45.529999,3002300,44.751068
2015-09-29,45.459999,45.720001,44.720001,45.240002,2734000,44.466032
2015-09-30,44.169998,45.580002,43.849998,44.470001,6014400,43.709205
2015-10-01,44.41,45.389999,44.27,44.900002,3906500,44.131849
2015-10-02,44.209999,45.77,44.130001,45.740002,3257700,44.957478
2015-10-05,45.98,46.48,45.93,46.330002,2199000,45.537384
2015-10-06,46.189999,46.540001,46.150002,46.299999,1494200,45.507895
2015-10-07,46.82,47.209999,46.43,46.669998,2586800,45.871564
2015-10-08,46.560001,46.810001,46.27,46.619999,2871000,45.82242
2015-10-09,46.599998,46.799999,46.419998,46.5,2396100,45.704474
2015-10-12,46.450001,47.139999,46.43,46.990002,1228600,46.186093
2015-10-13,46.689999,47.139999,46.529999,46.939999,1250900,46.136945
2015-10-14,46.990002,47.509998,46.75,46.82,1669700,46.018999
2015-10-15,46.93,47.77,46.919998,47.720001,1778800,46.903603
2015-10-16,47.810001,48.09,47.610001,47.740002,1679500,46.923262
2015-10-19,47.720001,48.18,47.68,48.18,2021400,47.355733
2015-10-20,48.110001,48.779999,48.110001,48.529999,3751600,47.699744
2015-10-21,47.380001,47.380001,44.970001,45.849998,4080300,45.065593
2015-10-22,46.240002,47.939999,46.209999,47.419998,3523600,46.608733
2015-10-23,47.75,48.450001,47.529999,48.27,1679300,47.444193
2015-10-26,48.16,48.610001,47.860001,48.380001,1665200,47.552312
2015-10-27,48.009998,48.110001,47.41,47.77,969500,46.952747
2015-10-28,47.950001,48.599998,47.650002,48.349998,1529800,47.522823
2015-10-29,48.029999,48.450001,47.720001,47.950001,1519800,47.129668
2015-10-30,47.779999,48.23,47.310001,47.509998,2010600,46.697193
2015-11-02,47.290001,47.919998,46.790001,47.720001,2535500,46.903603
2015-11-03,47.669998,47.849998,47.41,47.799999,1508600,46.982233
2015-11-04,47.75,47.93,47.400002,47.59,1571600,46.775826
2015-11-05,47.490002,47.849998,47.110001,47.84,1445800,47.021549
2015-11-06,47.740002,48.389999,47.52,48.049999,1860700,47.227956
2015-11-09,47.73,48.049999,47.639999,47.869999,1136700,47.051035
2015-11-10,47.66,48.0,47.310001,47.490002,1269900,46.677539
2015-11-11,47.709999,47.799999,47.34,47.52,1085400,46.707024
2015-11-12,47.049999,47.630001,47.049999,47.18,957700,46.372841
2015-11-13,47.119999,47.34,46.349998,46.450001,989600,45.65533
2015-11-16,46.32,46.849998,46.049999,46.830002,2107100,46.02883
2015-11-17,46.799999,47.0,46.509998,46.639999,1717300,45.842078
2015-11-18,47.080002,47.990002,46.709999,47.880001,2097500,47.060866
2015-11-19,47.939999,47.959999,47.450001,47.669998,1073500,46.854456
2015-11-20,47.959999,47.959999,47.369999,47.709999,1044900,47.170841
2015-11-23,47.709999,47.73,47.220001,47.259998,1313200,46.725925
2015-11-24,46.919998,47.169998,46.490002,46.93,2048500,46.399656
2015-11-25,46.669998,47.040001,46.639999,46.759998,2353800,46.231576
2015-11-27,46.610001,47.119999,46.330002,47.099998,489600,46.567734
2015-11-30,47.119999,47.279999,46.630001,46.68,1594300,46.152482
2015-12-01,46.93,47.490002,46.66,47.459999,1609200,46.923666
2015-12-02,47.5,47.5,46.459999,46.639999,1933100,46.112933
2015-12-03,47.080002,47.080002,45.400002,45.669998,2598500,45.153893
2015-12-04,45.799999,46.970001,45.630001,46.889999,2639400,46.360108
2015-12-07,46.66,46.91,46.150002,46.68,1722700,46.152482
2015-12-08,46.189999,46.389999,45.439999,45.610001,2599700,45.094574
2015-12-09,45.540001,46.189999,44.889999,45.09,3354200,44.58045
2015-12-10,45.0,46.049999,44.830002,45.700001,2112800,45.183557
