Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2015-07-24,114.970001,115.43,112.629997,112.980003,1550300,109.914956
2015-07-27,112.330002,112.959999,111.540001,111.82,1312000,108.786422
2015-07-28,112.339996,115.57,111.730003,115.379997,2030300,112.24984
2015-07-29,113.010002,116.370003,111.889999,115.93,2795500,112.784922
2015-07-30,116.230003,116.580002,113.589996,114.269997,2517300,111.169953
2015-07-31,114.440002,114.790001,113.620003,114.139999,2223000,111.043482
2015-08-03,114.099998,114.279999,113.190002,113.629997,876800,110.547316
2015-08-04,113.980003,114.830002,113.18,113.389999,1167600,110.313829
2015-08-05,114.25,114.599998,113.330002,113.389999,1110000,110.313829
2015-08-06,113.43,114.099998,112.940002,113.339996,981300,110.265183
2015-08-07,113.110001,113.599998,112.440002,113.150002,1536000,110.080342
2015-08-10,114.0,115.559998,113.75,115.470001,1467900,112.337402
2015-08-11,114.209999,114.769997,113.43,113.980003,958500,110.887827
2015-08-12,113.410004,114.050003,112.559998,113.449997,1476900,110.372199
2015-08-13,113.169998,114.089996,112.949997,113.669998,1163300,110.586232
2015-08-14,113.690002,114.139999,113.449997,113.989998,850200,110.89755
2015-08-17,113.870003,114.360001,112.989998,114.0,1146100,110.907281
2015-08-18,113.669998,114.029999,113.209999,113.510002,820600,110.430576
2015-08-19,112.769997,113.25,111.510002,112.419998,1073100,109.370143
2015-08-20,111.910004,112.93,111.639999,111.650002,1532800,108.621036
2015-08-21,110.760002,111.440002,108.440002,108.610001,2431600,105.663508
2015-08-24,103.57,106.18,101.010002,105.360001,3888500,102.501677
2015-08-25,107.790001,107.800003,102.779999,103.0,3243100,100.205701
2015-08-26,105.040001,105.129997,102.870003,104.050003,3876200,101.227219
2015-08-27,105.790001,106.019997,103.900002,105.190002,3116500,102.336291
2015-08-28,105.050003,106.769997,105.050003,106.190002,2824700,103.309162
2015-08-31,105.790001,106.18,104.970001,105.75,1967400,102.881096
2015-09-01,103.519997,104.25,101.980003,102.379997,2145300,99.602519
2015-09-02,103.400002,103.760002,102.400002,102.949997,1819000,100.157055
2015-09-03,103.019997,104.470001,102.339996,103.010002,2336900,100.916311
2015-09-04,101.800003,102.370003,100.989998,101.440002,2890000,99.378222
2015-09-08,103.209999,104.269997,102.040001,104.269997,2592500,102.150696
2015-09-09,105.029999,105.400002,103.75,104.300003,2470200,102.180093
2015-09-10,103.779999,105.800003,103.419998,105.190002,3322600,103.052003
2015-09-11,104.93,105.050003,104.080002,104.769997,2412500,102.640533
2015-09-14,104.839996,105.0,103.93,104.410004,1783900,102.287857
2015-09-15,104.889999,105.910004,104.160004,105.699997,1934500,103.551631
