Date,Open_PFG,High_PFG,Low_PFG,Close_PFG,Volume_PFG,AdjClose_PFG
2015-12-07,48.91,49.360001,48.68,49.049999,1990000,48.149236
2015-12-08,48.610001,48.860001,48.110001,48.25,1536300,47.363928
2015-12-09,48.029999,48.650002,46.93,47.23,1915400,46.362659
2015-12-10,47.259998,47.91,47.16,47.43,1759400,46.558987
2015-12-11,46.639999,46.790001,44.900002,45.23,3276900,44.399387
2015-12-14,45.400002,46.0,44.560001,44.990002,1606400,44.163797
2015-12-15,45.630001,46.07,45.360001,45.77,1864700,44.929471
2015-12-16,46.150002,46.84,45.560001,46.73,1705600,45.871841
2015-12-17,46.810001,46.919998,45.209999,45.23,1703900,44.399387
2015-12-18,45.0,45.0,43.82,43.82,2814900,43.015281
2015-12-21,44.279999,44.549999,43.639999,44.169998,1533800,43.358852
2015-12-22,44.529999,44.98,44.049999,44.810001,1005100,43.987102
2015-12-23,45.060001,45.82,44.959999,45.700001,991200,44.860757
2015-12-24,45.66,45.869999,45.48,45.66,383500,44.821491
2015-12-28,45.349998,45.57,44.959999,45.57,837800,44.733144
2015-12-29,46.450001,46.450001,45.91,46.16,965700,45.312309
2015-12-30,46.029999,46.139999,45.419998,45.470001,798100,44.634981
2015-12-31,45.209999,45.869999,44.919998,44.98,933700,44.153978
2016-01-04,43.810001,44.07,43.279999,44.040001,1816200,43.231242
2016-01-05,43.790001,44.299999,43.59,44.139999,1487100,43.329404
2016-01-06,43.200001,43.330002,42.040001,42.32,2110400,41.542827
2016-01-07,41.299999,41.650002,40.099998,40.23,2936200,39.491208
2016-01-08,40.720001,41.119999,40.040001,40.139999,3309300,39.402861
2016-01-11,40.330002,41.330002,38.93,39.509998,2188900,38.784429
2016-01-12,40.189999,40.189999,39.060001,39.68,1387100,38.951309
2016-01-13,40.189999,40.470001,37.900002,38.299999,2365500,37.596651
2016-01-14,38.77,39.389999,37.689999,38.990002,1954800,38.273982
2016-01-15,37.740002,38.27,37.029999,37.91,2510800,37.213813
2016-01-19,38.700001,38.849998,37.18,37.529999,1971900,36.840791
2016-01-20,36.560001,36.82,35.220001,36.470001,2572100,35.800259
2016-01-21,36.59,37.740002,36.380001,36.84,1719400,36.163463
2016-01-22,37.77,38.369999,37.529999,38.060001,1983000,37.36106
2016-01-25,37.869999,38.02,37.150002,37.23,2162500,36.546301
2016-01-26,37.369999,38.02,37.330002,37.939999,1584400,37.243261
2016-01-27,37.75,38.73,37.259998,37.599998,1865500,36.909505
2016-01-28,38.040001,38.700001,36.990002,37.459999,1830900,36.772077
2016-01-29,37.919998,38.27,37.389999,38.0,4722100,37.302161
2016-02-01,37.849998,38.200001,37.209999,37.950001,3865900,37.25308
2016-02-02,34.5,35.860001,33.09,35.07,4766400,34.425968
2016-02-03,35.25,35.540001,34.299999,35.540001,3534600,34.887338
2016-02-04,35.509998,36.779999,35.209999,36.34,2762800,35.672645
2016-02-05,36.34,37.0,36.029999,36.810001,3221800,36.134015
2016-02-08,36.029999,36.18,35.259998,35.779999,3003100,35.122928
2016-02-09,34.950001,36.25,34.950001,35.98,3126000,35.319256
2016-02-10,36.380001,36.970001,35.459999,36.009998,2167700,35.348704
2016-02-11,34.779999,34.990002,33.720001,34.34,3184300,33.709374
2016-02-12,35.169998,35.490002,34.599998,35.380001,3534400,34.730276
2016-02-16,36.119999,36.52,35.549999,36.459999,3155600,35.790441
2016-02-17,37.060001,37.720001,37.060001,37.560001,2828700,36.870242
2016-02-18,37.66,37.689999,36.93,37.18,2091800,36.49722
2016-02-19,36.84,37.040001,36.419998,36.810001,1885500,36.134015
2016-02-22,37.740002,37.740002,36.990002,37.380001,1594900,36.693548
2016-02-23,37.290001,37.459999,36.830002,36.93,1474200,36.251811
2016-02-24,36.540001,37.509998,35.73,37.130001,1554400,36.448139
2016-02-25,37.209999,37.790001,37.07,37.740002,1589300,37.046937
2016-02-26,37.68,38.98,37.52,38.470001,2509200,37.763531
2016-02-29,38.400002,38.529999,37.779999,37.810001,1929600,37.115651
2016-03-01,38.209999,39.52,38.16,39.52,2113900,38.794248
2016-03-02,39.560001,39.84,39.169998,39.470001,1969900,38.745167
2016-03-03,39.09,39.209999,38.529999,39.099998,2093900,38.755076
2016-03-04,39.27,39.57,38.869999,39.349998,1633600,39.002871
2016-03-07,38.970001,39.52,38.73,39.509998,1907100,39.161459
2016-03-08,38.82,39.34,37.880001,38.18,1614600,37.843194
2016-03-09,38.580002,38.779999,37.779999,38.32,1529900,37.981958
2016-03-10,38.93,39.029999,37.689999,38.459999,1164500,38.120722
2016-03-11,39.400002,40.400002,38.869999,40.360001,1616200,40.003963
2016-03-14,40.060001,40.150002,39.439999,39.799999,1183100,39.448902
2016-03-15,39.32,39.490002,38.810001,39.349998,1184300,39.002871
2016-03-16,39.279999,40.09,39.169998,39.91,1622800,39.557932
2016-03-17,39.900002,40.950001,39.610001,40.66,1592100,40.301316
2016-03-18,40.849998,41.68,40.84,41.43,2709300,41.064524
2016-03-21,41.32,41.619999,40.779999,41.220001,1390500,40.856377
2016-03-22,40.549999,40.919998,40.419998,40.68,1642900,40.32114
2016-03-23,40.630001,40.630001,39.560001,39.759998,1769100,39.409254
2016-03-24,39.27,39.27,38.360001,38.900002,2340500,38.556843
2016-03-28,39.049999,39.490002,38.84,39.299999,1147400,38.953312
2016-03-29,38.950001,39.490002,38.509998,39.400002,1525700,39.052433
2016-03-30,39.810001,40.48,39.59,39.77,1112100,39.419168
2016-03-31,39.66,39.919998,39.209999,39.450001,1578600,39.101991
2016-04-01,39.200001,39.93,38.91,39.880001,1590700,39.528198
2016-04-04,39.790001,39.799999,39.099998,39.25,1509800,38.903754
2016-04-05,38.93,39.060001,38.509998,38.599998,1691400,38.259487
2016-04-06,38.779999,39.880001,38.389999,39.490002,2127200,39.141639
2016-04-07,38.990002,39.130001,38.380001,38.689999,2045900,38.348693
2016-04-08,39.209999,39.669998,38.860001,39.029999,1304300,38.685694
2016-04-11,39.389999,40.099998,39.369999,39.630001,1213200,39.280403
