Date,Open_WYN,High_WYN,Low_WYN,Close_WYN,Volume_WYN,AdjClose_WYN
2015-07-27,82.660004,82.760002,80.889999,81.599998,2871700,79.548974
2015-07-28,82.459999,84.169998,80.360001,80.610001,3941200,78.58386
2015-07-29,81.07,82.879997,80.779999,82.339996,2989700,80.270372
2015-07-30,82.220001,83.120003,81.580002,81.760002,2051000,79.704956
2015-07-31,82.550003,82.949997,81.599998,82.519997,1427400,80.445848
2015-08-03,82.68,83.32,81.400002,81.800003,1086100,79.743952
2015-08-04,81.889999,82.220001,80.989998,81.169998,776500,79.129782
2015-08-05,81.589996,82.080002,79.639999,79.699997,1507100,77.69673
2015-08-06,79.879997,79.910004,78.230003,79.18,2146300,77.189803
2015-08-07,79.139999,79.269997,78.209999,78.599998,1327100,76.62438
2015-08-10,79.489998,80.150002,78.919998,79.980003,1199500,77.969698
2015-08-11,79.220001,79.940002,78.879997,79.790001,1626900,77.784471
2015-08-12,78.980003,80.32,78.559998,80.080002,1613900,78.067183
2015-08-13,80.089996,81.110001,79.400002,80.400002,1105300,78.379139
2015-08-14,80.150002,80.739998,78.669998,79.029999,2280800,77.043572
2015-08-17,78.809998,80.650002,78.410004,80.599998,1135700,78.574109
2015-08-18,80.760002,80.760002,79.989998,80.349998,883200,78.330393
2015-08-19,79.849998,80.900002,79.529999,80.419998,788600,78.398633
2015-08-20,79.489998,79.870003,77.989998,78.040001,1270200,76.078458
2015-08-21,77.25,77.970001,76.580002,76.790001,1572000,74.859877
2015-08-24,72.029999,76.300003,70.419998,74.220001,2122400,72.354474
2015-08-25,76.709999,76.709999,74.18,74.230003,1460500,72.364225
2015-08-26,75.199997,76.150002,73.809998,75.889999,1769100,74.403476
2015-08-27,76.830002,77.440002,75.529999,77.239998,1437100,75.72703
2015-08-28,77.07,77.470001,76.220001,77.199997,1057500,75.687813
2015-08-31,76.800003,77.349998,76.260002,76.480003,1054300,74.981923
2015-09-01,74.699997,75.82,74.650002,75.129997,1649400,73.65836
2015-09-02,76.230003,77.309998,75.559998,77.099998,1248500,75.589773
2015-09-03,77.360001,78.120003,76.900002,77.260002,873100,75.746643
2015-09-04,76.199997,77.089996,75.959999,76.199997,848000,74.707401
2015-09-08,77.57,78.120003,77.050003,78.029999,855500,76.501557
2015-09-09,78.809998,78.900002,77.330002,77.459999,759800,75.942722
2015-09-10,77.32,78.330002,76.709999,77.980003,889500,76.452541
2015-09-11,77.989998,78.940002,77.699997,78.919998,738500,77.374123
2015-09-14,78.620003,79.269997,78.43,78.620003,584500,77.080004
2015-09-15,78.830002,78.830002,77.309998,78.440002,1120800,76.90353
2015-09-16,78.360001,78.82,78.230003,78.709999,1187700,77.168238
2015-09-17,78.449997,79.559998,78.089996,78.370003,952300,76.834901
2015-09-18,76.980003,77.199997,75.699997,75.910004,2188600,74.423088
2015-09-21,76.470001,77.010002,75.919998,76.43,704900,74.932899
2015-09-22,75.5,75.540001,74.339996,74.620003,815200,73.158356
2015-09-23,74.650002,74.800003,73.919998,73.940002,834200,72.491675
2015-09-24,73.419998,73.959999,72.940002,73.580002,980700,72.138726
2015-09-25,74.160004,74.639999,73.349998,73.519997,1228000,72.079896
2015-09-28,73.029999,73.360001,70.809998,70.879997,1616300,69.491609
2015-09-29,70.900002,71.339996,69.769997,70.18,1268500,68.805323
2015-09-30,70.949997,72.169998,70.790001,71.900002,1262400,70.491633
2015-10-01,71.93,73.220001,71.349998,72.059998,1414800,70.648495
2015-10-02,70.989998,73.849998,70.690002,73.849998,1305900,72.403434
2015-10-05,74.43,75.510002,74.339996,75.349998,816400,73.874052
2015-10-06,75.32,76.459999,74.769997,75.050003,1211900,73.579933
2015-10-07,75.029999,76.489998,74.510002,76.449997,854300,74.952504
2015-10-08,76.150002,78.589996,76.150002,78.18,1123500,76.64862
2015-10-09,77.93,78.559998,77.660004,78.400002,727700,76.864312
2015-10-12,78.279999,79.07,77.970001,78.870003,689600,77.325107
2015-10-13,78.349998,79.760002,78.129997,78.639999,1180300,77.099609
