Date,Open_WMB,High_WMB,Low_WMB,Close_WMB,Volume_WMB,AdjClose_WMB
2014-04-17,41.18,41.93,41.150002,41.790001,3449500,36.717054
2014-04-21,41.779999,42.130001,41.709999,42.060001,3745700,36.954278
2014-04-22,41.860001,42.220001,41.709999,41.970001,3408500,36.875203
2014-04-23,42.0,42.419998,41.939999,42.049999,2891900,36.94549
2014-04-24,42.02,42.09,41.060001,41.330002,5136500,36.312894
2014-04-25,41.310001,41.57,41.09,41.259998,3384600,36.251389
2014-04-28,42.029999,42.029999,41.150002,41.700001,4861400,36.637979
2014-04-29,41.91,42.32,41.84,42.200001,4950100,37.077283
2014-04-30,42.169998,42.27,41.84,42.169998,4810800,37.050922
2014-05-01,41.740002,43.560001,40.919998,43.27,6677600,38.017394
2014-05-02,43.27,43.48,42.77,42.84,3399200,37.639592
2014-05-05,42.77,43.619999,42.52,43.52,3864300,38.237046
2014-05-06,43.470001,43.860001,43.349998,43.48,3613500,38.201901
2014-05-07,43.810001,44.5,43.720001,44.41,6576300,39.019007
2014-05-08,44.169998,44.389999,43.900002,43.98,3408400,38.641205
2014-05-09,43.970001,44.080002,43.419998,43.689999,4429900,38.386408
2014-05-12,44.360001,45.43,43.93,44.040001,3775600,38.693923
2014-05-13,44.040001,44.540001,43.889999,44.509998,5800800,39.106867
2014-05-14,44.990002,45.360001,44.619999,45.290001,7052400,39.792184
2014-05-15,45.220001,45.52,44.919998,45.450001,8860900,39.932761
2014-05-16,45.389999,45.869999,45.09,45.599998,6974800,40.06455
2014-05-19,45.580002,46.150002,45.540001,45.939999,4079100,40.363277
2014-05-20,45.84,46.41,45.830002,46.330002,5313500,40.705937
2014-05-21,46.34,46.799999,46.220001,46.580002,3927300,40.925589
2014-05-22,46.66,46.810001,46.599998,46.669998,3879600,41.004661
2014-05-23,46.77,46.919998,46.68,46.869999,3503900,41.180383
2014-05-27,47.0,47.110001,46.549999,46.849998,4312300,41.162811
2014-05-28,46.84,46.919998,46.32,46.709999,4035600,41.039806
2014-05-29,46.869999,46.990002,46.490002,46.779999,3390400,41.101309
2014-05-30,46.73,47.009998,46.720001,46.959999,4065300,41.259458
2014-06-02,46.950001,47.080002,46.689999,46.91,3664000,41.215529
2014-06-03,46.880001,47.009998,46.669998,46.82,3403600,41.136454
2014-06-04,46.869999,47.099998,46.759998,46.900002,3004000,41.206744
2014-06-05,46.990002,47.52,46.900002,47.380001,3178400,41.628476
2014-06-06,47.43,47.950001,47.400002,47.73,3772100,41.935987
2014-06-09,47.700001,48.0,47.59,47.759998,3369800,41.962345
2014-06-10,47.459999,47.959999,47.41,47.639999,3241300,41.856912
2014-06-11,46.959999,47.220001,46.580002,46.779999,4318300,41.471278
2014-06-12,46.970001,47.099998,46.57,46.849998,2594700,41.533334
2014-06-13,46.830002,47.200001,46.610001,47.18,1976500,41.825886
2014-06-16,54.77,59.68,54.650002,56.02,37458000,49.662699
2014-06-17,55.400002,58.450001,55.400002,57.310001,18427800,50.806307
2014-06-18,57.939999,58.200001,57.029999,57.349998,31927500,50.841765
2014-06-19,57.220001,57.970001,56.490002,57.93,9690700,51.355947
2014-06-20,57.970001,58.240002,57.610001,57.66,7958600,51.116587
2014-06-23,57.91,58.93,57.75,58.860001,7254600,52.180408
2014-06-24,58.509998,59.0,57.41,57.509998,8561200,50.983608
2014-06-25,57.880001,58.389999,57.490002,57.990002,7680900,51.409139
2014-06-26,57.860001,58.139999,57.509998,58.099998,4933300,51.506653
2014-06-27,57.990002,58.650002,57.900002,58.560001,16052100,51.914454
2014-06-30,58.119999,58.650002,58.09,58.209999,5364600,51.60417
2014-07-01,58.439999,58.669998,58.0,58.549999,4287000,51.905586
2014-07-02,58.599998,58.709999,57.990002,58.349998,4048600,51.728282
2014-07-03,58.540001,58.540001,57.720001,58.110001,2543300,51.51552
2014-07-07,57.669998,58.389999,57.540001,57.700001,4355000,51.152048
2014-07-08,57.880001,57.889999,57.43,57.639999,7854000,51.098856
2014-07-09,57.959999,58.32,57.630001,57.860001,6395000,51.293891
2014-07-10,57.549999,58.040001,57.349998,57.82,4827400,51.258429
2014-07-11,57.84,58.23,57.490002,58.209999,2722400,51.60417
2014-07-14,58.049999,58.709999,57.950001,58.330002,2925100,51.710555
2014-07-15,58.220001,58.349998,57.470001,57.869999,4330200,51.302754
2014-07-16,58.16,58.459999,57.75,58.389999,3671800,51.763744
2014-07-17,58.189999,58.830002,57.509998,57.599998,3635000,51.063394
2014-07-18,57.830002,58.43,57.66,58.220001,4489800,51.613037
2014-07-21,58.16,58.360001,57.650002,58.07,3965700,51.480059
2014-07-22,58.27,58.84,58.27,58.450001,3115900,51.816936
2014-07-23,58.34,58.849998,58.049999,58.66,3144100,52.003104
2014-07-24,58.630001,58.860001,58.02,58.57,4513800,51.923317
2014-07-25,58.419998,58.610001,58.130001,58.200001,3298700,51.595307
2014-07-28,58.119999,58.290001,57.389999,57.970001,3542800,51.391408
2014-07-29,57.830002,58.369999,57.700001,58.07,3576300,51.480059
2014-07-30,58.220001,58.619999,56.549999,56.689999,5424900,50.256664
2014-07-31,55.709999,58.27,55.52,56.630001,13266600,50.203475
2014-08-01,56.259998,56.619999,54.830002,55.549999,8759600,49.246035
2014-08-04,55.32,56.439999,54.959999,56.169998,4466400,49.795674
2014-08-05,55.669998,55.98,54.66,55.009998,5681400,48.767314
2014-08-06,54.91,55.68,54.619999,55.18,5997900,48.918024
2014-08-07,55.09,55.34,54.279999,54.369999,4751200,48.199944
2014-08-08,54.68,56.32,54.549999,56.25,5301700,49.866597
2014-08-11,56.57,57.380001,56.549999,56.689999,6668300,50.256664
2014-08-12,56.540001,57.130001,56.110001,57.009998,4704900,50.540349
2014-08-13,56.849998,57.84,56.610001,56.799999,6225100,50.354181
2014-08-14,56.919998,57.27,56.560001,56.779999,5325300,50.33645
2014-08-15,57.040001,57.919998,57.040001,57.790001,5148000,51.231835
2014-08-18,57.84,58.32,57.509998,58.110001,3581500,51.51552
2014-08-19,58.16,58.650002,57.939999,58.610001,3735500,51.958779
2014-08-20,58.580002,58.799999,58.220001,58.650002,3297100,51.99424
2014-08-21,58.529999,58.68,58.060001,58.32,3692600,51.701688
2014-08-22,58.380001,58.630001,57.91,58.509998,3345400,51.870125
2014-08-25,58.709999,58.830002,58.220001,58.32,3290300,51.701688
2014-08-26,58.630001,59.18,58.419998,58.84,4218100,52.162677
2014-08-27,58.75,59.150002,58.400002,59.119999,3167800,52.410901
2014-08-28,59.009998,59.290001,58.700001,58.77,2644800,52.100621
2014-08-29,59.060001,59.459999,58.77,59.439999,3493800,52.694586
2014-09-02,59.32,59.77,58.900002,59.290001,4711300,52.561611
2014-09-03,59.66,59.66,59.040001,59.279999,3057900,52.552744
2014-09-04,59.34,59.709999,58.490002,58.650002,3961600,51.99424
2014-09-05,58.720001,59.169998,58.200001,59.130001,3405500,52.419768
2014-09-08,58.799999,58.799999,57.84,57.959999,6586900,51.382541
2014-09-09,58.0,58.080002,57.02,57.459999,7191500,50.939282
2014-09-10,57.040001,57.259998,56.580002,56.82,5311800,50.867662
2014-09-11,56.549999,57.560001,56.279999,57.439999,4956200,51.422712
2014-09-12,57.380001,57.380001,55.830002,56.200001,6325500,50.312613
2014-09-15,56.060001,56.790001,55.900002,56.630001,4640000,50.697568
2014-09-16,56.450001,57.759998,56.400002,57.32,3310300,51.315283
2014-09-17,57.470001,57.610001,56.830002,57.060001,6595100,51.082522
2014-09-18,57.169998,57.259998,56.110001,56.5,6067600,50.581185
2014-09-19,56.400002,56.66,56.040001,56.419998,14027400,50.509564
2014-09-22,56.470001,56.52,55.48,55.639999,7313600,49.811276
2014-09-23,55.580002,56.139999,55.549999,55.630001,4152500,49.802325
2014-09-24,55.630001,56.48,54.799999,56.18,6644300,50.294708
2014-09-25,56.0,56.18,55.139999,55.279999,6085800,49.488989
2014-09-26,55.150002,56.919998,54.98,56.509998,5140300,50.590136
2014-09-29,55.93,56.220001,55.439999,55.990002,4069900,50.124613
2014-09-30,55.939999,56.360001,55.099998,55.349998,4269200,49.551655
2014-10-01,55.34,56.0,54.490002,54.77,9262400,49.032416
2014-10-02,54.619999,55.25,53.59,54.759998,7252800,49.023462
2014-10-03,55.040001,56.119999,54.82,55.830002,5676300,49.981374
2014-10-06,55.900002,55.900002,54.77,55.169998,3482000,49.390511
2014-10-07,54.959999,55.139999,54.0,54.0,6248500,48.34308
2014-10-08,54.0,54.0,51.639999,53.849998,9292200,48.208792
2014-10-09,53.549999,53.869999,49.84,50.18,16859500,44.923255
2014-10-10,50.41,51.889999,48.849998,50.150002,14298300,44.896398
2014-10-13,50.0,50.91,47.860001,47.889999,10482900,42.873149
2014-10-14,48.099998,49.59,46.419998,47.919998,17603400,42.900005
2014-10-15,47.380001,49.779999,46.150002,49.709999,14328400,44.50249
2014-10-16,48.380001,53.889999,48.23,51.049999,13002500,45.702114
2014-10-17,51.669998,53.279999,51.669998,52.099998,12866900,46.642118
2014-10-20,52.0,53.41,51.330002,53.32,6991300,47.734315
2014-10-21,53.880001,54.880001,53.5,54.740002,9428600,49.00556
2014-10-22,54.950001,55.200001,53.080002,53.110001,6118800,47.546315
2014-10-23,53.48,54.360001,52.959999,53.099998,5854100,47.53736
2014-10-24,53.189999,53.52,52.380001,53.240002,4631500,47.662697
2014-10-27,53.700001,54.09,52.139999,53.419998,7283400,47.823837
2014-10-28,53.869999,54.110001,52.759998,54.040001,5180100,48.37889
2014-10-29,54.68,55.939999,54.68,55.700001,11541200,49.864992
2014-10-30,55.049999,57.0,54.389999,55.0,8025500,49.238322
2014-10-31,55.110001,55.669998,54.5,55.509998,6104000,49.694894
2014-11-03,55.52,56.810001,55.240002,55.68,5049900,49.847087
2014-11-04,55.02,55.419998,53.450001,54.169998,5849100,48.495269
2014-11-05,54.540001,54.700001,53.759998,54.57,3944600,48.853367
2014-11-06,54.59,54.860001,54.060001,54.709999,5277900,48.978701
