Date,Open_HON,High_HON,Low_HON,Close_HON,Volume_HON,AdjClose_HON
2014-01-22,90.910004,91.25,90.220001,91.089996,2736000,86.541489
2014-01-23,90.360001,90.709999,89.230003,89.800003,4178600,85.315911
2014-01-24,89.550003,90.910004,88.43,88.470001,5022500,84.052322
2014-01-27,89.230003,90.970001,89.230003,90.290001,6587200,85.781441
2014-01-28,90.260002,91.190002,90.139999,90.449997,2928000,85.933448
2014-01-29,89.589996,90.540001,89.260002,89.739998,3964600,85.258902
2014-01-30,90.690002,91.870003,90.449997,91.699997,3150400,87.12103
2014-01-31,90.599998,92.150002,90.260002,91.230003,3706400,86.674505
2014-02-03,91.230003,91.959999,88.660004,88.75,4236400,84.318339
2014-02-04,88.959999,89.989998,88.269997,89.760002,3935200,85.277907
2014-02-05,89.199997,89.949997,88.510002,89.589996,4273200,85.116391
2014-02-06,89.910004,91.190002,89.769997,91.139999,2185100,86.588996
2014-02-07,91.690002,93.290001,91.470001,93.160004,4195700,88.508133
2014-02-10,93.099998,93.800003,92.5,92.849998,3281400,88.213607
2014-02-11,93.099998,94.550003,92.940002,94.160004,2978500,89.458198
2014-02-12,94.559998,94.870003,93.910004,94.290001,2477800,89.581704
2014-02-13,93.480003,94.599998,93.260002,94.529999,2339400,89.809718
2014-02-14,94.489998,94.82,93.889999,94.610001,2557600,89.885725
2014-02-18,94.410004,94.720001,93.870003,94.349998,2340600,89.638706
2014-02-19,93.980003,95.07,92.830002,92.949997,4265500,88.308612
2014-02-20,93.230003,94.029999,92.720001,93.559998,2297700,88.888153
2014-02-21,93.839996,94.440002,93.709999,93.93,3218600,89.23968
2014-02-24,94.360001,95.209999,93.75,93.760002,2959300,89.078171
2014-02-25,93.629997,94.290001,93.230003,93.870003,3246200,89.612773
2014-02-26,93.550003,94.540001,93.5,93.860001,2620700,89.603224
2014-02-27,93.620003,94.5,93.440002,94.370003,2063900,90.090097
2014-02-28,94.300003,95.209999,93.830002,94.440002,3211700,90.156922
2014-03-03,92.709999,94.07,92.57,93.589996,2697200,89.345465
2014-03-04,94.660004,95.580002,94.519997,94.599998,3903300,90.309662
2014-03-05,95.379997,95.849998,94.559998,94.660004,4219100,90.366945
2014-03-06,95.050003,95.5,94.699997,94.75,3742500,90.45286
2014-03-07,95.480003,95.910004,95.220001,95.440002,4810200,91.111569
2014-03-10,95.050003,95.419998,94.690002,95.25,2526600,90.930184
2014-03-11,95.129997,95.269997,93.93,94.110001,2447000,89.841886
2014-03-12,93.269997,93.860001,92.610001,93.849998,2649300,89.593676
2014-03-13,94.339996,94.489998,92.629997,92.849998,3532900,88.639028
2014-03-14,92.610001,93.080002,91.879997,92.010002,3284700,87.837128
2014-03-17,92.510002,93.82,92.470001,93.400002,3116400,89.164087
2014-03-18,93.720001,93.860001,93.360001,93.75,2320500,89.498213
2014-03-19,93.790001,94.019997,92.209999,92.889999,2379400,88.677215
2014-03-20,92.889999,93.389999,92.489998,92.949997,2389100,88.734492
2014-03-21,94.050003,94.779999,92.959999,92.989998,4799500,88.772678
2014-03-24,93.410004,93.660004,91.510002,91.970001,3695000,87.798941
2014-03-25,92.589996,92.919998,91.779999,92.440002,2367300,88.247627
2014-03-26,92.860001,93.07,90.830002,90.839996,3227300,86.720185
2014-03-27,90.959999,91.190002,90.050003,90.300003,3317800,86.204681
2014-03-28,90.5,91.540001,90.480003,90.889999,2474300,86.76792
2014-03-31,91.660004,92.919998,91.419998,92.760002,3330400,88.553113
2014-04-01,93.150002,93.360001,92.610001,93.260002,2240300,89.030437
2014-04-02,93.43,94.190002,93.139999,93.879997,2882400,89.622314
2014-04-03,94.099998,94.339996,93.57,94.279999,2321400,90.004175
2014-04-04,94.550003,95.160004,93.290001,93.330002,3326800,89.097262
2014-04-07,93.279999,93.459999,91.57,91.900002,2826900,87.732116
2014-04-08,93.440002,93.440002,91.169998,91.970001,2075200,87.798941
2014-04-09,92.169998,93.269997,91.870003,93.209999,2745600,88.982702
2014-04-10,93.199997,93.400002,91.339996,91.339996,2538000,87.197508
2014-04-11,90.43,91.440002,90.209999,90.400002,2750600,86.300145
2014-04-14,91.18,91.309998,90.019997,90.919998,1940000,86.796558
2014-04-15,91.080002,91.769997,89.959999,91.709999,3572300,87.550731
2014-04-16,92.510002,93.32,92.080002,93.300003,3462900,89.068624
2014-04-17,93.610001,93.940002,92.220001,93.099998,3931500,88.87769
2014-04-21,93.470001,93.470001,92.470001,93.18,2647700,88.954064
2014-04-22,93.239998,93.989998,92.989998,93.339996,2862900,89.106804
2014-04-23,92.82,94.160004,92.82,94.029999,3454100,89.765513
2014-04-24,94.540001,94.57,93.410004,93.629997,2832500,89.383652
2014-04-25,93.639999,93.790001,92.459999,92.650002,2970400,88.448102
2014-04-28,92.860001,93.360001,91.400002,92.459999,2807000,88.266716
2014-04-29,92.660004,92.910004,91.980003,92.470001,2602900,88.276265
2014-04-30,92.260002,93.239998,91.900002,92.900002,3424900,88.686764
2014-05-01,92.830002,93.169998,91.980003,92.239998,2502500,88.056693
2014-05-02,92.230003,92.839996,92.07,92.370003,2829800,88.180801
2014-05-05,92.169998,92.889999,91.82,92.610001,3215200,88.409915
2014-05-06,92.389999,92.529999,91.57,91.580002,2572000,87.426629
