Date,Open_O,High_O,Low_O,Close_O,Volume_O,AdjClose_O
2016-02-03,57.41,58.18,57.139999,57.349998,3066400,56.599847
2016-02-04,57.209999,57.900002,56.860001,57.48,2953900,56.728147
2016-02-05,57.060001,57.25,55.509998,55.889999,3205700,55.158945
2016-02-08,55.709999,56.299999,54.82,56.169998,2651700,55.435281
2016-02-09,56.0,56.75,55.630001,56.360001,2910900,55.622798
2016-02-10,56.5,57.5,56.48,56.779999,2440800,56.037303
2016-02-11,56.709999,60.220001,56.689999,60.119999,6346600,59.333615
2016-02-12,59.900002,61.259998,59.650002,60.48,5543500,59.688907
2016-02-16,60.330002,60.41,58.759998,59.82,3678700,59.03754
2016-02-17,60.0,60.57,59.360001,59.810001,2873700,59.027672
2016-02-18,59.799999,60.709999,59.52,60.450001,2205600,59.6593
2016-02-19,60.259998,61.34,60.049999,60.220001,2994400,59.432309
2016-02-22,60.560001,60.689999,59.470001,59.720001,2415900,58.938849
2016-02-23,59.779999,60.080002,59.110001,59.709999,2124900,58.928978
2016-02-24,59.529999,60.259998,59.27,59.529999,1578800,58.751332
2016-02-25,59.759998,60.630001,59.66,60.119999,1939700,59.333615
2016-02-26,59.860001,59.860001,58.509998,58.630001,2491800,58.055272
2016-02-29,58.509998,59.220001,58.150002,58.540001,3739400,57.966154
2016-03-01,58.919998,59.330002,58.25,58.830002,2150700,58.253313
2016-03-02,58.470001,59.099998,58.16,59.040001,1674600,58.461253
2016-03-03,59.139999,59.34,58.290001,59.02,1551100,58.441449
2016-03-04,58.98,58.98,57.810001,58.16,1880700,57.589878
2016-03-07,58.099998,58.16,57.48,57.75,2237500,57.183898
2016-03-08,57.75,59.049999,57.5,58.639999,2209200,58.065173
2016-03-09,58.509998,59.57,58.380001,58.93,1573300,58.352331
2016-03-10,59.259998,59.529999,58.720001,59.25,1890100,58.669194
2016-03-11,59.779999,59.889999,59.060001,59.630001,1594900,59.04547
2016-03-14,59.360001,59.82,59.27,59.75,1215000,59.164292
2016-03-15,59.700001,60.290001,59.509998,59.860001,1554600,59.273215
2016-03-16,59.669998,61.0,58.900002,60.880001,2086900,60.283216
2016-03-17,60.91,61.849998,60.5,61.57,1823400,60.966451
2016-03-18,61.459999,61.52,60.759998,61.240002,3018700,60.639688
2016-03-21,60.950001,60.990002,60.169998,60.77,1611900,60.174294
2016-03-22,60.75,61.5,60.619999,60.880001,1094200,60.283216
2016-03-23,60.639999,61.779999,60.639999,61.41,1353700,60.80802
2016-03-24,61.450001,61.700001,61.240002,61.459999,1277400,60.857529
2016-03-28,61.509998,62.25,61.439999,62.110001,1290100,61.501159
2016-03-29,62.209999,62.889999,61.93,62.869999,1753700,62.253707
2016-03-30,62.779999,62.84,61.869999,62.209999,1546700,61.795778
2016-03-31,62.32,62.740002,62.169998,62.509998,2227100,62.09378
2016-04-01,62.18,62.439999,61.860001,62.25,2039800,61.835512
2016-04-04,62.259998,62.799999,61.66,62.16,1768600,61.746112
2016-04-05,62.0,62.919998,62.0,62.860001,1719800,62.441451
2016-04-06,62.77,63.040001,62.490002,62.970001,1658700,62.55072
2016-04-07,62.77,63.209999,62.529999,62.650002,1322100,62.232851
2016-04-08,62.650002,63.27,62.509998,63.0,893900,62.580519
2016-04-11,62.959999,63.490002,62.900002,63.0,1153800,62.580519
2016-04-12,63.119999,63.919998,63.07,63.740002,2140300,63.315593
2016-04-13,63.889999,63.889999,62.290001,63.080002,1559800,62.659988
2016-04-14,62.77,62.959999,62.380001,62.669998,1129900,62.252714
2016-04-15,62.669998,63.080002,62.400002,63.009998,1147300,62.59045
2016-04-18,63.029999,63.240002,62.470001,63.150002,977900,62.729521
2016-04-19,63.150002,63.540001,62.830002,63.290001,1146700,62.868589
2016-04-20,63.34,63.5,61.48,61.560001,1478600,61.150108
2016-04-21,61.400002,61.490002,58.860001,59.029999,3517300,58.636951
2016-04-22,59.310001,60.029999,59.040001,59.369999,1650000,58.974688
2016-04-25,59.369999,60.32,59.150002,60.32,1422200,59.918363
2016-04-26,60.34,60.68,59.290001,59.599998,2098600,59.203156
2016-04-27,59.93,59.93,58.439999,59.450001,2123600,59.054157
2016-04-28,58.880001,59.540001,58.830002,59.470001,1505600,59.272431
2016-04-29,59.200001,59.400002,58.689999,59.200001,2300800,59.003327
2016-05-02,59.389999,60.400002,59.299999,59.810001,1384400,59.611302
2016-05-03,59.810001,60.740002,59.73,60.709999,1599100,60.508309
2016-05-04,60.43,62.950001,60.349998,62.380001,2570100,62.172763
2016-05-05,62.049999,63.099998,62.009998,62.41,1934000,62.202662
2016-05-06,62.459999,63.580002,62.139999,63.580002,1544500,63.368777
2016-05-09,63.75,64.099998,63.16,64.040001,1454900,63.827248
2016-05-10,64.169998,64.349998,63.759998,64.220001,1260500,64.006651
2016-05-11,64.059998,64.190002,62.310001,63.27,1742200,63.059806
2016-05-12,63.299999,64.550003,62.790001,64.139999,1599200,63.926915
2016-05-13,63.900002,64.0,63.029999,63.619999,1060800,63.408642
2016-05-16,63.610001,64.110001,63.23,63.91,1184600,63.697679
2016-05-17,63.669998,63.669998,62.25,62.5,2069800,62.292363
2016-05-18,62.290001,62.5,60.16,60.869999,2590800,60.667778
2016-05-19,58.849998,59.16,58.5,59.049999,6157500,58.853824
2016-05-20,59.330002,59.330002,58.32,59.189999,3345600,58.993359
2016-05-23,59.25,59.439999,58.759998,59.049999,2302200,58.853824
2016-05-24,59.349998,59.630001,59.18,59.43,2345300,59.232563
2016-05-25,59.450001,59.490002,58.299999,59.380001,1901500,59.18273
2016-05-26,59.400002,59.939999,59.200001,59.900002,1628800,59.701003
2016-05-27,59.900002,60.279999,59.560001,59.900002,2032300,59.900002
2016-05-31,59.950001,60.279999,59.080002,60.09,3807700,60.09
2016-06-01,59.939999,60.91,59.919998,60.849998,2037900,60.849998
2016-06-02,60.630001,61.59,60.580002,61.549999,1684900,61.549999
2016-06-03,62.040001,63.279999,62.0,63.049999,2519400,63.049999
