Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2014-07-10,72.540001,73.139999,72.010002,72.919998,764100,71.011242
2014-07-11,72.940002,73.099998,72.43,72.980003,527000,71.069676
2014-07-14,73.32,73.5,72.849998,73.099998,664800,71.18653
2014-07-15,72.800003,73.089996,72.449997,72.699997,1672200,70.796999
2014-07-16,72.989998,72.989998,72.400002,72.970001,1446600,71.059936
2014-07-17,72.779999,73.550003,72.489998,72.699997,1274300,70.796999
2014-07-18,72.849998,73.300003,72.559998,73.059998,1431500,71.147576
2014-07-21,72.919998,73.0,72.379997,72.739998,1055100,70.835953
2014-07-22,73.059998,73.879997,73.019997,73.720001,1257000,71.790304
2014-07-23,73.739998,74.279999,73.620003,74.059998,1931100,72.1214
2014-07-24,77.050003,79.129997,75.620003,76.370003,4459400,74.370939
2014-07-25,76.410004,77.059998,76.209999,76.790001,2049700,74.779943
2014-07-28,76.75,77.720001,76.57,77.400002,3131700,75.373976
2014-07-29,77.389999,77.989998,77.25,77.620003,1534000,75.588219
2014-07-30,77.989998,78.459999,77.690002,77.949997,1270800,75.909575
2014-07-31,77.669998,78.040001,76.720001,76.910004,2099000,74.896805
2014-08-01,76.959999,77.830002,76.730003,77.300003,1629000,75.276595
2014-08-04,77.279999,77.919998,76.540001,77.790001,3296300,75.753767
2014-08-05,77.269997,77.779999,76.839996,77.050003,1668600,75.033139
2014-08-06,76.669998,76.870003,75.489998,76.029999,2228300,74.039835
2014-08-07,76.370003,76.459999,74.860001,74.959999,2009400,72.997843
2014-08-08,75.0,75.57,74.660004,75.43,1353100,73.455542
2014-08-11,75.769997,76.389999,75.529999,75.889999,1267100,73.9035
2014-08-12,75.940002,76.120003,75.599998,75.82,1084400,73.835333
2014-08-13,76.169998,76.489998,75.940002,76.139999,1170200,74.146956
2014-08-14,76.059998,76.639999,76.040001,76.620003,1043800,74.845398
2014-08-15,76.790001,77.0,76.099998,76.330002,1594700,74.562114
2014-08-18,76.529999,76.989998,76.360001,76.599998,698400,74.825857
2014-08-19,76.68,77.099998,76.629997,76.93,715800,75.148216
2014-08-20,76.93,77.019997,76.580002,76.860001,718600,75.079837
2014-08-21,77.059998,77.370003,76.879997,76.93,758900,75.148216
2014-08-22,77.050003,77.290001,76.43,76.599998,681100,74.825857
2014-08-25,77.029999,77.290001,76.669998,76.919998,454600,75.138445
2014-08-26,76.849998,76.910004,76.349998,76.720001,616000,74.943081
2014-08-27,76.970001,76.970001,76.0,76.370003,774400,74.601188
2014-08-28,76.309998,76.919998,76.089996,76.720001,580800,74.943081
2014-08-29,77.0,77.410004,76.800003,77.389999,992100,75.597561
2014-09-02,77.510002,77.690002,77.050003,77.150002,1112300,75.363122
2014-09-03,77.510002,77.650002,77.190002,77.360001,665300,75.568257
2014-09-04,77.32,77.940002,77.080002,77.349998,840100,75.558486
2014-09-05,77.18,78.260002,76.980003,78.139999,1240700,76.33019
2014-09-08,77.919998,78.599998,77.82,78.330002,1086200,76.515792
2014-09-09,78.220001,78.330002,77.830002,78.0,1084300,76.193433
2014-09-10,78.150002,78.339996,77.82,77.959999,913900,76.154359
